node	student	gender	dorm	major	year	school
0	1	1	0	0	2009	18173
1	1	1	252	146	2007	0
2	1	1	0	110	2007	51219
3	1	1	0	122	2007	5123
4	5	2	0	0	2004	0
5	1	1	255	146	2006	3571
6	1	2	205	115	2006	50425
7	1	0	0	0	0	0
8	1	1	0	148	2007	50522
9	1	2	0	121	2006	50173
10	1	1	0	114	2006	22361
11	1	1	0	111	0	25967
12	1	2	238	145	2006	50100
13	1	0	0	0	0	0
14	2	1	0	163	2005	5160
15	2	2	0	110	2004	19127
16	1	2	0	157	2006	0
17	1	1	202	150	2007	50060
18	1	1	203	146	2008	22361
19	2	2	245	145	2004	9241
20	2	0	0	150	2004	18342
21	1	1	268	150	2009	5042
22	1	2	216	0	2009	5928
23	1	2	216	128	2009	5003
24	2	2	0	120	2004	5126
25	5	0	0	141	0	25180
26	1	1	0	146	2007	257
27	1	2	211	141	2008	17496
28	2	2	246	163	2005	58523
29	2	2	234	157	2005	17263
30	1	1	220	145	2009	55579
31	5	2	0	0	2008	0
32	1	1	231	114	2006	22494
33	1	1	0	140	2009	51232
34	1	1	212	140	2009	158
35	5	1	0	155	0	4929
36	1	2	208	0	2008	4007
37	1	1	0	141	2006	0
38	1	1	255	150	2007	9771
39	1	1	268	121	2009	18003
40	1	1	219	0	2009	22498
41	1	1	263	0	2009	57055
42	1	1	204	145	2007	50115
43	2	1	0	157	2004	5041
44	1	1	0	111	2006	0
45	1	1	215	114	2009	50152
46	1	1	252	114	2007	9077
47	1	2	0	0	2008	52695
48	1	1	249	138	2007	50410
49	1	1	206	143	2008	51427
50	1	2	0	138	2007	4377
51	1	2	202	115	2006	4960
52	1	1	249	141	2006	50365
53	2	2	0	145	0	4824
54	1	2	244	145	2007	16130
55	2	1	0	114	2005	324
56	1	1	0	156	2006	17528
57	5	2	0	164	2005	18364
58	2	2	0	143	2005	0
59	1	1	208	114	2006	18230
60	1	2	205	119	2008	5105
61	2	1	0	130	2004	4889
62	1	0	0	0	0	0
63	1	1	268	0	2009	21242
64	1	1	202	150	2005	0
65	2	2	0	162	2003	0
66	1	2	265	146	2008	51882
67	2	2	243	157	2004	0
68	1	1	208	0	2008	50031
69	1	2	0	121	2007	50244
70	1	2	203	159	2006	51855
71	1	0	0	0	0	0
72	1	2	207	0	2007	0
73	1	1	209	0	2009	4866
74	1	1	0	138	2007	17368
75	1	0	0	0	0	0
76	1	0	0	0	0	0
77	1	1	271	146	2006	9829
78	1	2	238	0	0	0
79	1	2	0	142	2006	50050
80	2	2	237	121	2005	17528
81	2	1	0	163	2005	243
82	2	2	0	157	2005	50076
83	1	2	204	151	2008	50007
84	1	0	0	0	0	0
85	1	0	0	0	0	0
86	1	1	255	0	2007	6674
87	1	0	0	0	0	0
88	1	2	220	114	2009	55100
