node	student	gender	dorm	major	year	school
0	1	2	332	0	2009	17278
1	1	2	335	129	2007	52104
2	1	1	347	129	2006	9618
3	1	1	333	135	2007	8849
4	2	2	0	118	2005	50582
5	2	2	0	122	2005	18079
6	1	1	341	117	2009	9318
7	1	1	345	122	2006	16112
8	1	0	0	138	2007	0
9	1	1	340	0	2008	17454
10	1	2	335	0	2008	50367
11	1	1	333	0	2008	9159
12	1	2	337	118	2006	18158
13	2	2	0	129	2005	50612
14	1	1	0	0	2006	9771
15	2	1	337	117	2005	17081
16	1	2	346	99	2008	18134
17	1	2	341	108	2009	17946
18	1	2	341	122	2007	0
19	1	1	339	122	2008	9076
20	1	2	332	115	2007	50620
21	1	1	333	122	2007	9670
22	1	0	0	0	0	0
23	5	2	0	0	0	0
24	2	2	349	118	2005	3683
25	1	1	339	125	2008	3576
26	2	1	0	0	0	17140
27	1	0	336	118	2006	0
28	1	2	341	0	2008	9829
29	1	1	338	129	2009	50909
30	1	1	0	97	2009	15875
31	1	1	328	95	2008	17273
32	1	2	0	108	2007	16795
33	1	1	0	108	2007	50494
34	2	0	0	129	2005	50203
35	1	2	338	128	2009	17609
36	1	1	343	122	2006	3739
37	1	2	334	0	2008	50855
38	1	2	338	95	2009	9318
39	2	1	0	137	2005	17533
40	1	2	339	117	2007	50643
41	1	1	341	0	2008	9755
42	1	2	338	0	2009	17454
43	1	2	0	108	2007	9484
44	1	1	345	105	2006	17636
45	1	1	332	0	2009	25085
46	1	2	334	108	2007	16263
47	1	0	333	135	2007	51086
48	1	1	0	125	2007	16274
49	1	1	334	97	2007	9423
50	1	1	337	122	2007	17917
51	1	2	337	97	2006	9382
52	1	1	0	0	2009	56307
53	1	2	0	0	0	53375
54	1	2	341	97	2009	17323
55	1	1	335	106	2008	50104
56	1	2	0	117	2006	50002
57	1	2	328	108	2009	3748
58	1	2	345	130	2007	17444
59	1	2	0	130	0	17763
60	1	2	348	117	2007	9421
61	1	1	335	0	2008	9492
62	2	0	0	117	2005	17040
63	1	1	337	125	2006	51518
64	1	1	339	125	2007	17763
65	1	1	341	97	2007	3523
66	1	1	335	0	2008	21326
67	1	1	0	0	2009	57423
68	1	1	333	125	2006	3531
69	1	1	341	102	2009	0
70	1	2	333	110	2007	50425
71	1	1	0	97	2007	21781
72	2	1	348	101	2004	0
73	1	2	0	108	2007	50643
74	1	2	335	110	2007	17640
75	1	1	336	115	2009	57423
76	1	1	341	96	2006	21364
77	1	1	334	103	2004	17115
78	1	1	340	0	2007	17431
79	1	2	343	108	2006	25735
80	1	1	341	129	2008	17749
81	1	1	351	0	2009	17188
82	2	1	345	138	2005	8994
83	2	2	332	117	1969	9415
84	1	1	343	122	2006	0
85	1	1	345	108	2007	0
86	1	1	0	117	2007	13292
87	1	2	352	119	2006	17707
88	1	2	335	0	2008	50046
89	1	2	333	117	2005	50020
90	1	0	0	93	2005	50074
91	1	1	347	119	2006	0
92	2	1	0	122	2004	17049
93	2	0	0	129	0	17247
94	1	2	335	130	2007	17914
