node	student	gender	dorm	major	year	school
0	1	2	51	118	2008	50161
1	1	2	51	135	2009	2800
2	1	2	79	144	2007	17263
3	1	1	58	164	2007	9771
4	1	1	0	165	2006	744
5	1	2	96	0	2009	1756
6	1	1	112	166	2009	50383
7	1	1	92	171	2009	19885
8	2	2	0	217	2005	50831
9	2	2	0	124	2005	25286
10	1	1	0	145	2006	54135
11	1	1	0	121	2009	9093
12	2	2	0	165	2004	25387
13	1	1	0	135	2005	0
14	1	2	68	186	2006	5738
15	2	1	0	195	2005	18003
16	1	2	68	155	2005	17456
17	1	2	52	168	2008	23256
18	1	2	63	135	2006	2973
19	1	1	98	145	2009	3755
20	1	2	0	164	2006	50325
21	2	2	0	195	2005	51197
22	2	2	0	195	2005	50010
23	1	1	51	155	2008	51165
24	2	1	0	135	2005	12055
25	2	2	80	123	2003	9136
26	1	1	54	170	2008	5616
27	1	1	0	135	2006	53909
28	1	2	0	150	2007	3527
29	1	1	97	164	2009	3570
30	5	2	0	195	0	970
31	1	1	58	210	2006	52402
32	1	2	92	195	2009	1734
33	1	2	51	0	2009	16168
34	1	2	69	119	2005	52899
35	1	1	54	135	2008	51333
36	1	1	0	166	2006	50661
37	1	2	52	144	2008	0
38	5	0	0	0	0	0
39	5	2	92	207	2006	23675
40	1	1	51	195	2008	50190
41	1	1	52	204	2008	24421
42	1	2	67	217	2009	18366
43	1	2	0	160	2007	50389
44	2	1	0	0	0	9588
45	2	1	0	166	2005	16208
46	1	1	52	165	2008	9324
47	1	1	98	155	2009	50608
48	2	1	0	171	2005	17268
49	1	2	89	120	2008	2209
50	1	1	90	0	2008	3007
51	1	1	0	118	2007	50112
52	1	2	100	128	2009	17640
53	1	2	67	217	2008	5449
54	1	1	52	155	2008	16385
55	1	2	93	150	2009	16065
56	1	2	111	195	2007	16090
57	1	2	52	160	2007	21816
58	1	1	52	160	2008	9224
59	1	1	54	165	2007	16329
60	1	0	0	155	0	0
61	1	1	51	135	2009	1473
62	1	1	0	155	2008	50088
63	1	2	93	158	2009	6436
64	1	2	97	164	2008	9886
65	1	2	0	167	2009	5219
66	2	1	0	138	2005	4251
67	1	2	0	145	2006	9318
68	1	2	0	123	2008	16168
69	1	1	51	0	2008	0
70	1	0	0	0	0	25133
71	2	1	0	171	2005	3638
72	1	1	54	155	2007	18294
73	1	2	0	159	2007	4005
74	1	1	66	166	2007	9763
75	1	1	0	151	2007	9094
76	1	1	51	0	2009	16385
77	1	2	53	215	2008	4637
78	1	2	0	195	2006	15917
79	1	2	0	0	0	0
80	5	2	0	137	2005	3900
81	1	1	53	166	2007	18051
82	1	1	53	160	2007	23308
83	1	1	97	155	2009	4031
84	1	1	51	138	2009	25180
85	2	2	0	217	2005	17098
86	1	2	0	122	2006	50151
87	2	1	51	171	2005	50099
88	2	0	0	0	0	0
89	2	1	69	147	2005	9415
90	1	1	53	135	2008	25371
91	2	2	100	131	2004	3754
92	1	2	0	130	2009	4711
93	1	2	0	166	2007	25116
94	1	2	82	144	2005	52347
95	2	1	0	217	2003	50270
96	1	1	88	155	2009	22237
97	1	1	88	155	2009	18230
98	1	2	51	0	0	0
99	1	2	67	217	2010	9045
100	1	1	0	193	2006	0
101	1	1	53	160	2008	3524
102	2	1	0	160	2005	50916
103	1	1	0	217	2007	9530
104	2	2	0	136	2004	50353
105	1	1	107	133	2006	17885
106	1	1	52	166	2007	50188
