node	student	gender	dorm	major	year	school
0	1	2	0	294	2006	0
1	5	1	0	293	2005	16227
2	2	2	110	294	2005	2405
3	1	1	121	295	2008	9094
4	1	1	122	289	2006	9283
5	1	1	128	299	2008	3675
6	1	2	93	299	2008	16246
7	1	2	89	0	2009	20935
8	1	1	0	0	2009	16215
9	1	1	0	247	2007	51521
10	1	0	0	0	0	0
11	1	1	88	0	0	17457
12	1	1	91	0	2009	0
13	1	0	0	240	2007	0
14	1	2	92	276	2009	16153
15	5	2	0	0	0	21257
16	1	2	0	296	2005	20900
17	1	2	91	299	2009	0
18	1	2	92	248	2009	17853
19	1	1	125	299	2007	17764
20	1	2	89	276	2009	21238
21	4	2	0	0	0	0
22	2	2	0	0	2005	21095
23	1	1	136	247	2009	16176
24	1	0	0	0	0	0
25	1	2	0	254	2006	50307
26	1	1	0	278	2007	18078
27	1	1	0	263	2006	9128
28	1	2	114	292	2008	16128
29	2	1	0	295	2005	3524
30	1	2	92	299	2009	17995
31	1	2	115	0	2005	0
32	1	1	0	300	0	51955
33	1	1	121	266	2008	16437
34	1	1	94	248	2008	51289
35	2	2	0	291	2005	0
36	1	1	132	254	2009	18123
37	1	2	139	294	2009	16435
38	1	2	92	299	2009	3769
39	2	2	115	302	2005	21569
40	1	1	138	265	2009	16268
41	1	1	124	266	2006	2275
42	1	2	92	289	2009	9760
43	1	0	0	0	0	0
44	1	2	137	300	2009	50062
45	2	1	121	247	2005	20838
46	1	1	123	296	2007	16161
47	2	2	0	297	2004	16482
48	1	2	0	265	2006	17995
49	1	2	96	291	2008	21841
50	2	0	0	295	2005	16051
51	1	1	132	263	2009	9530
52	1	2	0	293	2005	16437
53	5	1	0	274	0	6273
54	1	1	91	248	2009	21816
55	1	1	89	298	2009	16742
56	1	1	89	258	2009	3749
57	2	1	124	299	2004	18084
58	1	2	101	294	2007	16727
59	1	2	87	254	2007	21742
60	2	1	121	297	2005	3678
61	1	2	88	271	2009	21626
62	5	1	0	284	0	0
63	1	2	89	248	2009	16158
64	1	2	0	250	2009	21397
65	1	0	0	0	2007	0
66	1	2	0	299	2008	3953
67	1	2	93	278	2007	16077
68	1	2	0	0	2006	17968
69	1	1	0	265	2009	51396
70	1	2	86	300	2008	50354
71	1	2	103	300	2006	21417
72	1	1	89	250	2009	21219
73	1	2	0	299	2009	16015
74	5	1	0	284	2005	17138
75	1	1	0	295	2007	51659
76	1	1	92	299	2009	3674
77	1	1	0	258	2006	16389
78	1	2	0	284	2005	0
79	1	1	88	287	2009	16262
80	2	2	0	254	2005	21435
81	1	1	120	294	2008	50141
82	1	2	92	299	2009	51210
83	2	1	106	270	2005	0
84	1	1	123	247	2007	16429
85	1	1	0	276	2005	21037
86	1	2	96	297	2007	21021
87	2	2	0	298	0	16169
88	1	1	90	255	2009	16440
89	2	2	113	293	2003	51535
90	1	1	90	242	0	16358
91	1	2	0	295	2007	21094
92	1	2	0	292	2006	17901
93	1	2	96	300	2009	11115
94	1	1	123	268	2008	16130
95	1	2	0	237	2007	9326
96	1	1	86	241	2008	50486
97	1	2	89	275	2009	59173
98	1	2	88	297	2009	17890
99	1	1	127	247	2006	21765
100	5	1	123	295	2004	4481
101	2	1	0	293	2005	16425
102	2	1	122	295	2005	16772
103	1	2	0	294	2006	9588
104	1	2	88	299	2008	16264
105	1	1	0	295	2007	9067
106	1	0	0	0	0	0
107	1	2	0	293	2005	0
108	1	1	87	263	0	0
109	1	1	0	270	2007	21425
110	2	1	128	303	2004	51901
111	2	1	0	266	2005	55170
112	1	2	91	300	2009	21323
113	1	1	93	303	2008	21841
114	1	2	0	299	2005	6145
115	2	1	120	295	2005	16317
116	1	2	0	289	2007	20891
117	1	0	126	0	2007	21556
118	1	2	102	297	2008	8761
119	1	2	0	268	2005	50099
120	1	1	86	299	2008	19150
121	1	2	96	250	2007	16385
122	1	1	89	0	2005	57435
