node	student	gender	dorm	major	year	school
0	1	2	101	270	2005	0
1	1	1	92	243	2007	8959
2	1	1	102	292	2008	8971
3	1	0	0	0	0	0
4	1	2	107	236	2006	8820
5	1	1	0	259	0	8977
6	1	2	112	240	2008	8981
7	1	2	94	243	2009	8875
8	1	1	0	302	0	8991
9	1	1	90	249	2009	0
10	1	1	95	240	2008	14251
11	1	1	135	0	0	15951
12	1	2	102	281	2010	8952
13	1	1	86	293	2009	51261
14	2	2	0	259	2004	22221
15	1	2	0	259	2007	8990
16	1	0	0	0	0	0
17	1	1	0	293	2007	8878
18	1	0	0	0	0	0
19	1	1	90	293	2007	8958
20	2	2	0	249	2005	8897
21	1	2	0	260	2006	8900
22	1	1	0	259	2007	8963
23	1	1	126	262	2006	50584
24	1	2	102	251	0	8847
25	2	1	120	243	2005	0
26	1	2	93	289	2006	8946
27	1	1	100	259	2006	8884
28	1	1	0	0	2009	8826
29	1	0	0	0	0	0
30	1	2	0	290	2005	8966
31	1	2	94	243	0	8830
32	2	0	0	259	2004	15875
33	1	1	0	249	2007	25037
34	2	1	0	285	2005	8826
35	1	1	92	293	2008	8964
36	1	2	96	281	2008	8936
37	1	2	0	281	2006	17097
38	1	2	0	281	2007	8826
39	2	2	0	294	0	9142
40	1	2	0	253	2006	8925
41	2	2	0	291	2005	8872
42	1	2	0	263	2007	8885
43	1	1	0	287	2006	0
44	1	2	0	256	2007	8978
45	1	1	0	259	0	8900
46	1	2	0	310	2008	8873
47	0	0	0	0	0	0
48	1	2	0	287	0	8961
49	1	1	103	278	2007	8840
50	1	2	107	298	2006	8826
51	2	2	0	0	2005	8893
52	1	2	98	281	2008	8905
53	1	2	94	243	2009	8959
54	1	2	96	280	2008	1438
55	1	2	0	298	2008	53756
56	1	2	108	287	2007	0
57	5	2	0	257	2006	8930
58	1	2	106	253	2006	8950
59	1	1	0	300	2005	50527
60	1	1	133	297	2008	8931
61	1	2	108	243	2006	8971
62	1	1	99	261	2006	8964
63	1	2	0	293	2006	8885
64	1	0	0	287	0	8947
65	1	1	0	288	2008	0
66	1	2	98	0	0	8937
67	1	2	116	292	2006	16431
68	1	2	0	244	0	50112
69	1	1	0	278	2007	8947
70	1	1	0	299	0	8955
71	1	1	88	278	2007	0
72	1	1	0	293	2007	8851
73	1	1	125	289	2006	15940
74	1	2	88	247	2004	0
75	5	2	0	281	2007	8830
76	1	2	92	276	2006	0
77	1	1	0	259	2007	8973
78	1	1	130	0	2008	8975
79	1	1	0	243	2007	8885
80	1	1	0	301	2007	8977
81	1	1	0	292	2008	8852
82	1	1	0	309	2005	9321
83	1	2	86	242	2008	8973
84	1	1	0	298	2007	15981
85	1	2	0	286	2006	8976
86	1	1	0	263	2006	57826
87	1	1	0	259	2008	8874
88	2	2	0	243	2005	8978
89	1	1	0	235	2006	51437
90	1	1	100	240	2009	8988
91	1	2	92	267	2009	0
92	1	1	0	288	2006	8880
93	1	1	0	243	2008	8847
94	1	1	0	299	2007	8964
95	1	2	136	273	2009	8989
96	1	2	0	243	2006	0
97	1	1	127	274	2009	0
98	1	1	0	0	0	8990
99	1	1	93	299	2005	0
100	1	2	95	261	0	8823
101	1	2	96	246	2007	15999
102	1	1	94	236	2008	8862
103	1	2	129	310	2008	0
104	1	2	0	244	2007	21623
105	1	1	98	246	0	8916
106	2	0	0	261	0	0
107	1	1	94	293	2009	8992
108	1	2	133	275	2007	8955
109	1	2	0	236	2007	8899
110	1	2	0	240	2007	8857
111	2	1	0	305	2005	8840
112	1	1	0	288	2008	8837
113	1	1	0	261	2006	52234
114	1	1	0	259	0	8985
115	2	2	0	247	2004	8900
116	1	2	0	292	0	0
117	1	1	0	249	2008	8830
118	2	2	0	275	2005	8940
119	1	1	0	288	2008	8978
120	1	1	0	0	2008	8860
121	1	2	102	282	2008	0
122	1	2	96	243	2008	8940
123	1	2	0	243	2009	8939
124	1	0	0	0	0	0
125	1	1	103	287	0	0
126	1	1	0	293	2007	8960
127	1	2	0	242	2006	8920
128	2	2	0	289	2005	9669
129	1	1	0	284	2007	8930
130	5	1	0	299	2006	8948
131	1	2	0	252	2007	9670
132	1	1	0	0	2008	8852
133	2	2	0	255	2005	21805
134	1	2	0	276	2006	8891
135	1	2	111	249	2006	8847
136	1	0	0	0	0	0
137	1	1	0	246	2006	9657
138	1	2	86	273	2008	8873
139	1	1	0	0	2005	25034
140	1	0	0	0	0	0
141	1	1	0	293	0	3756
142	1	1	0	288	2008	8948
143	1	2	98	282	2004	8961
144	1	2	98	257	0	8955
145	1	2	0	285	2006	8927
146	1	1	86	243	2008	8977
147	1	1	0	259	2008	8964
148	1	2	0	294	0	3676
149	1	1	0	259	2006	0
150	1	1	0	298	0	8936
151	1	2	0	292	2004	8918
152	1	1	0	286	2006	0
153	1	1	0	259	2006	8837
154	1	1	0	242	2008	8938
155	1	1	0	240	2007	53756
156	1	2	104	298	2008	8964
157	1	2	0	235	2008	8964
158	1	1	97	298	2008	8895
159	1	1	104	274	2009	8823
160	1	1	0	243	2008	8937
161	1	1	0	270	0	8845
162	4	2	0	287	2006	8891
163	1	1	102	0	2009	8826
164	1	2	86	270	2008	0
165	1	2	106	287	0	8828
166	1	1	0	293	2006	8939
167	1	2	0	258	2007	8960
168	1	1	0	298	2009	8975
169	1	1	90	293	2005	15972
170	1	2	91	293	2004	8845
171	1	1	0	259	2009	8938
172	1	2	0	243	2008	22201
173	1	1	87	293	2008	0
174	1	1	96	279	2008	16354
175	1	2	133	287	2009	8925
176	1	2	92	280	2006	8936
177	1	2	96	280	2006	52234
178	2	1	0	287	2005	15933
