node	student	gender	dorm	major	year	school
0	1	2	87	320	2008	11404
1	5	1	105	278	0	10787
2	1	2	88	268	2005	0
3	1	1	86	325	2009	10892
4	1	2	0	268	2006	10206
5	1	2	89	339	2008	0
6	1	1	0	248	0	0
7	1	2	89	254	2005	10524
8	1	2	87	263	2009	10298
9	1	1	111	250	2006	10618
10	1	1	0	251	2008	10653
11	1	2	0	254	2008	26375
12	1	1	0	254	2005	10300
13	1	1	86	250	2007	26403
14	1	2	88	262	2006	9939
15	1	2	86	307	2008	10108
16	1	2	88	268	2008	26265
17	1	2	88	339	2005	10244
18	1	2	0	339	2007	10334
19	1	2	87	250	2009	0
20	1	2	0	260	2005	10341
21	1	0	86	253	2008	51306
22	1	2	88	260	2007	10710
23	1	2	86	268	2005	10297
24	2	1	0	251	2005	10427
25	1	2	0	251	2005	10274
26	1	1	86	268	2009	10709
27	1	2	0	263	2005	10416
28	1	2	113	339	2007	10923
29	1	1	86	250	2007	10943
30	1	1	106	252	2006	26269
31	1	2	88	262	2008	10471
32	1	1	0	303	2007	10615
33	1	2	92	339	0	26407
34	1	1	89	251	2005	5421
35	1	2	88	339	0	26403
36	1	2	88	263	2008	10268
37	1	2	0	254	2007	9853
38	1	2	88	306	2007	10471
39	1	2	87	254	2008	0
40	5	2	0	0	0	0
41	1	1	0	328	2007	53560
42	1	2	86	253	2008	10653
43	1	2	0	306	0	26349
44	1	2	94	268	2008	10728
45	1	1	0	0	2007	10192
46	1	2	88	273	0	11083
47	1	1	89	257	2006	0
48	2	2	0	262	2000	10106
49	1	1	0	325	2007	10298
50	2	1	106	316	2005	9919
51	1	2	0	254	0	26359
52	2	2	0	251	0	10589
53	1	2	88	273	2009	10734
54	1	2	0	286	2009	10425
55	1	2	87	262	2009	11199
56	1	2	0	249	2005	0
57	1	2	0	339	2006	10165
58	1	2	88	260	0	10531
59	1	2	0	262	2006	51580
60	1	1	0	265	2006	10786
61	1	2	0	268	2006	26328
62	1	1	88	278	2009	52033
63	1	2	88	263	2009	10307
64	1	2	88	250	2008	10184
65	5	2	0	306	0	10407
66	1	1	0	278	0	10383
67	1	2	88	339	2007	10186
68	1	2	0	254	2007	5585
69	1	2	88	252	2008	0
70	2	1	0	249	2005	10416
71	1	2	87	268	2007	10212
72	1	2	94	339	2006	9890
73	1	2	89	339	2007	10650
74	1	2	0	286	0	10178
75	1	2	0	320	2008	26648
76	1	2	0	248	2006	26709
77	1	2	88	273	2009	26402
78	2	2	0	252	2004	10158
79	1	0	0	0	0	0
80	1	2	0	0	0	10274
81	1	0	87	0	2008	14529
82	1	2	0	251	0	0
83	1	2	87	339	2009	11367
84	1	2	0	339	0	10334
85	1	2	0	251	2006	10392
86	1	2	0	339	2008	10569
87	1	2	87	252	2009	9836
88	1	1	110	273	0	10279
89	1	1	88	307	2008	10670
90	1	2	0	339	0	0
