node	student	gender	dorm	major	year	school
0	1	2	106	0	2009	16772
1	1	0	96	296	2008	17214
2	1	1	101	235	2006	0
3	2	2	93	254	2005	17692
4	5	2	0	281	2006	18070
5	1	1	0	296	2006	17949
6	1	1	0	293	2007	17181
7	1	2	90	0	2008	17739
8	1	1	114	288	2007	16836
9	1	1	0	235	2008	16889
10	1	0	0	245	2006	51465
11	1	2	104	261	2008	17081
12	2	1	0	245	2005	17238
13	1	2	0	256	2008	16813
14	1	1	0	0	2009	16499
15	1	1	107	0	2009	17253
16	1	1	0	293	2009	17264
17	1	2	102	265	2007	16062
18	1	1	0	239	2006	51686
19	2	2	0	261	2005	17658
20	1	1	87	288	2009	50463
21	1	1	0	273	2006	17110
22	1	2	0	244	2005	17627
23	1	2	90	254	2010	17433
24	1	1	99	295	2009	16852
25	1	1	0	283	0	17717
26	1	2	101	296	2008	52899
27	2	2	0	301	2005	17129
28	1	1	109	288	2006	17991
29	1	1	0	261	2007	0
30	1	2	0	307	2005	17636
31	1	2	114	260	2008	53909
32	1	1	0	245	2007	17214
33	1	1	131	296	2006	17880
34	1	2	0	281	0	17264
35	1	1	93	261	2009	51465
36	1	2	86	0	2008	17636
37	1	1	0	270	2006	18104
38	1	1	0	271	0	51901
39	5	2	0	281	2007	16779
40	1	2	0	293	2007	18003
41	1	2	115	293	2007	17302
42	1	1	0	235	2007	17997
43	1	2	97	254	2008	18003
44	1	1	100	283	2006	16758
45	1	2	0	271	2006	17402
46	2	1	0	254	2005	17157
47	1	1	90	270	2008	18003
48	1	1	87	271	0	0
49	1	1	0	288	2006	17077
50	1	1	0	245	2005	0
51	1	1	105	253	2009	0
52	1	2	0	284	2008	17996
53	1	2	0	270	2007	16758
54	1	2	115	0	2008	0
55	1	2	90	294	2008	16889
56	1	0	0	0	0	0
57	1	2	0	235	2006	50235
58	1	2	86	0	2008	17934
59	2	2	0	0	2005	0
60	1	2	0	293	2006	17305
61	1	2	114	281	2008	17206
62	1	1	96	262	2008	17189
63	1	1	0	245	0	17980
64	1	1	0	284	2005	17099
65	1	0	0	308	2006	17577
66	2	2	88	256	2004	17331
67	1	2	106	260	2008	17072
68	1	1	114	308	2008	50450
69	1	0	0	0	0	0
70	1	2	113	260	2009	51465
71	1	2	97	284	2006	17487
72	2	1	0	238	2005	17905
73	2	2	0	245	2005	24410
74	1	2	104	270	2009	17996
75	1	2	0	263	2005	0
76	1	1	0	288	0	0
77	1	1	0	235	2006	50384
78	5	1	0	280	2005	17843
79	1	1	0	281	0	0
80	1	1	102	281	2009	0
81	1	1	99	0	2009	18028
82	2	1	0	261	2004	0
83	1	1	0	281	2006	51981
84	1	1	0	0	2007	17720
85	1	2	120	235	2006	17507
86	1	1	0	271	2007	17378
87	2	2	0	235	2004	0
88	2	2	98	240	2005	21781
89	2	1	0	296	2004	16805
90	2	0	0	0	0	0
91	1	2	90	235	2008	0
92	2	2	0	0	0	17108
93	1	1	100	0	0	0
94	4	2	0	0	0	0
95	1	2	0	245	2006	0
96	1	1	90	291	2008	16865
97	1	1	116	296	2009	0
98	2	2	0	296	2005	17050
99	1	2	0	235	2007	0
100	1	2	0	0	2007	17766
101	1	1	113	304	2009	17980
102	1	1	0	294	2006	16909
103	1	2	114	248	2008	17941
104	1	1	99	296	2009	51836
105	5	2	0	254	2006	17344
106	1	2	107	244	2008	17156
107	5	2	0	281	2006	51177
108	2	2	114	291	2003	17996
109	1	1	105	0	2009	52378
110	1	1	0	271	0	50292
111	1	2	0	307	2007	9466
112	5	2	0	297	0	16879
113	1	2	102	271	2008	16375
114	2	1	0	281	2005	21760
115	1	2	101	245	2009	17636
116	1	2	89	0	2009	16156
117	1	1	99	260	2005	0
118	1	1	104	291	2008	17309
119	1	2	0	261	2006	0
120	1	1	90	296	2008	50884
121	1	2	0	257	2008	16795
122	2	1	0	237	2004	50649
123	2	2	0	311	2005	52899
124	1	2	106	0	2009	16924
125	1	1	0	296	2009	55643
126	1	1	107	296	2008	17050
127	1	2	0	270	2007	17287
128	1	1	0	293	2006	18123
129	1	1	87	296	2007	17450
130	2	1	0	245	2005	0
131	1	2	99	293	2007	18096
132	1	1	114	0	2008	51177
133	1	2	0	0	2006	0
134	1	2	0	312	2007	16942
135	1	2	0	270	0	17055
136	1	2	0	291	2005	17723
137	1	1	0	288	0	18028
138	2	1	0	288	2005	51843
139	1	1	0	271	2007	17189
140	1	1	0	308	2006	17388
141	1	2	88	298	2008	15984
142	1	1	92	301	2008	17116
143	1	1	87	281	2008	17941
144	1	2	0	256	2005	16813
145	1	2	130	0	2008	18103
146	1	2	109	296	2006	16805
147	1	0	0	284	0	17596
148	1	0	112	0	2006	17715
149	2	1	0	300	2004	16763
150	1	1	102	296	0	0
151	1	2	0	271	2006	0
152	1	1	105	281	2008	17077
153	1	1	86	270	0	17402
