node	student	gender	dorm	major	year	school
0	1	1	73	108	2006	9340
1	1	1	32	0	2010	16055
2	1	1	0	95	2007	9378
3	1	1	0	100	2008	9422
4	1	1	0	92	2008	21292
5	1	1	32	103	2010	9472
6	1	1	0	90	2008	3697
7	1	1	31	0	2010	0
8	1	2	43	102	2010	9779
9	1	1	0	89	2008	17516
10	1	2	42	103	2009	9410
11	1	1	42	83	0	9550
12	1	1	43	70	2010	9640
13	1	2	42	89	2009	17454
14	1	1	72	95	0	9313
15	1	1	42	84	2009	18115
16	2	1	0	53	2004	50509
17	1	2	63	88	0	22203
18	2	1	80	53	2008	18001
19	1	2	34	64	2010	8971
20	1	1	91	74	2007	53663
21	1	1	0	82	0	50294
22	1	1	64	95	2007	9211
23	1	2	42	95	2009	5225
24	1	1	49	53	0	1744
25	1	2	35	0	2009	25825
26	1	2	0	115	0	9506
27	2	2	0	94	2005	0
28	1	2	33	74	2008	21778
29	1	1	42	84	2008	3580
30	1	2	0	76	2005	0
31	1	1	34	74	2010	3613
32	1	0	0	0	0	0
33	1	1	70	74	2008	9508
34	1	1	71	106	2007	9617
35	1	2	68	77	2010	9681
36	1	2	42	98	2007	9346
37	2	1	0	67	2005	3591
38	1	1	0	95	0	0
39	1	1	50	64	2010	59466
40	1	1	35	83	2010	52815
41	1	1	0	50	2006	0
42	1	2	41	105	2009	9496
43	1	2	0	93	2009	8647
44	1	0	0	0	0	17269
45	1	2	72	98	2008	15923
46	1	2	70	48	0	9617
47	1	2	0	108	2006	51293
48	1	2	32	93	2010	9421
49	1	2	48	62	2010	9805
50	1	1	0	70	2006	50527
51	1	2	43	0	2010	9623
52	1	2	41	91	2007	3520
53	1	2	0	98	2007	15891
54	1	0	71	53	2006	2190
55	5	1	85	74	0	0
56	1	1	0	64	2007	18108
57	5	1	0	55	0	21090
58	1	1	0	73	2009	3389
59	1	1	0	60	2008	9515
60	1	2	70	108	2008	17081
61	1	1	102	74	0	9572
62	1	2	0	93	2008	9326
63	1	2	56	74	2009	0
64	1	1	63	46	2006	3633
65	2	1	0	55	2005	9570
66	1	1	34	115	2009	9780
67	1	2	48	53	2010	16215
68	1	1	0	78	2008	1333
69	1	2	0	103	0	0
70	1	2	91	0	2007	50909
71	1	1	31	100	2010	16970
72	1	1	42	82	2009	20960
73	1	2	102	109	2006	17329
74	1	1	102	82	2006	9583
75	1	1	42	0	2009	18116
76	1	2	0	106	2006	0
77	1	2	70	89	2007	4295
78	1	2	50	99	2010	3680
79	1	2	0	95	2005	9785
80	1	1	0	95	2005	22223
81	1	1	32	84	2010	3680
82	1	2	42	92	2009	50089
83	2	1	0	82	2005	9581
84	1	1	33	49	2008	4134
85	2	1	0	106	2005	9351
86	1	0	40	0	2009	9482
87	1	1	102	108	2006	25848
88	1	1	33	74	2008	17692
89	1	1	0	73	2006	17756
90	1	2	0	56	2009	9451
91	2	1	0	86	2005	9773
92	1	1	83	64	2009	0
93	1	1	0	95	2010	9382
94	1	2	40	83	0	3557
95	1	1	70	86	2009	9323
96	1	2	50	70	2010	8933
97	5	2	0	73	2006	9316
98	1	1	31	97	2010	9451
99	1	0	71	0	2009	3714
100	1	2	0	74	2006	9437
101	1	1	0	47	2005	9318
102	2	2	0	98	2005	22201
103	1	2	102	70	0	9252
104	1	1	0	44	2007	24657
