node	student	gender	dorm	major	year	school
0	2	2	0	118	0	0
1	1	1	330	105	2008	50492
2	1	1	347	130	2007	25824
3	1	1	331	139	2008	50229
4	1	2	0	153	2006	8569
5	1	1	334	133	2007	52125
6	2	2	0	152	2005	19468
7	1	2	331	105	2007	17454
8	1	1	331	97	2007	50398
9	1	1	329	113	2007	50065
10	2	1	0	98	2005	7009
11	1	1	328	99	2009	21596
12	1	1	327	106	2007	0
13	1	2	0	97	2006	21720
14	1	2	0	114	2007	17793
15	1	1	0	118	2007	25072
16	1	1	333	101	2005	0
17	1	2	347	0	2009	16566
18	1	2	0	139	2007	11099
19	2	1	0	145	2004	50198
20	1	1	346	109	0	50415
21	2	1	0	125	2004	0
22	1	2	335	153	2008	16530
23	1	2	0	112	2006	25438
24	1	1	330	99	2009	21374
25	1	1	331	98	2006	2701
26	1	1	346	97	2007	25639
27	2	1	0	152	2005	19262
28	3	2	0	152	0	0
29	1	2	332	139	2008	16267
30	2	1	0	135	2004	4806
31	1	2	333	120	2008	17140
32	1	2	331	147	2007	56307
33	1	0	0	114	0	0
34	1	1	350	114	2007	26352
35	1	1	335	98	2008	17140
36	1	1	350	0	2008	0
37	1	2	334	153	0	5852
38	1	1	331	97	2008	18230
39	2	1	330	99	2004	9211
40	2	2	0	115	2005	50909
41	1	2	336	136	2008	11224
42	2	2	0	152	2004	53909
43	1	0	0	0	0	0
44	1	2	334	97	2007	2042
45	1	1	341	152	2009	8999
46	1	2	343	152	2008	0
47	1	2	0	152	2008	4496
48	1	1	329	146	2009	2701
49	2	2	347	108	1967	2682
50	1	1	335	99	2009	17294
51	1	2	339	125	2008	50500
52	1	1	346	145	2008	17054
53	1	2	331	114	2007	3172
54	1	2	344	94	2008	25836
55	2	1	0	139	2005	50059
56	1	1	0	98	2007	50229
57	1	2	335	143	2006	1084
58	1	1	328	146	2008	50192
59	1	1	0	98	2005	0
60	1	1	328	0	2008	0
61	1	1	350	98	0	1272
62	1	1	0	97	2007	0
