node	student	gender	dorm	major	year	school
0	2	2	159	298	2004	5464
1	1	1	168	294	2007	16256
2	1	2	177	315	2009	16587
3	1	1	152	0	2009	10289
4	1	1	138	307	2009	3618
5	1	1	134	314	2007	2678
6	1	2	144	307	2008	50025
7	2	1	159	317	2005	50034
8	2	1	159	313	2004	0
9	1	2	153	0	2008	50074
10	1	2	148	0	2008	3284
11	1	0	0	0	0	0
12	1	1	166	301	2007	2472
13	1	2	166	301	2007	50410
14	1	1	152	0	2008	50045
15	4	1	144	0	2008	6139
16	1	2	138	320	2007	18354
17	1	2	153	0	2008	50088
18	1	2	142	0	2008	50146
19	1	2	145	313	2008	50479
20	2	0	188	0	0	25278
21	5	0	0	298	0	0
22	2	1	142	322	0	2422
23	1	2	150	293	2009	15903
24	1	1	148	300	2008	19383
25	1	2	144	0	2008	16256
26	1	2	139	0	2009	16389
27	1	2	164	0	2007	23146
28	1	2	157	302	2006	0
29	2	1	0	294	2005	50112
30	2	1	167	313	2005	50914
31	1	1	142	0	2008	17763
32	1	2	164	303	2006	25156
33	1	1	155	310	2006	16383
34	1	2	159	307	2006	20846
35	1	1	175	310	2009	16108
36	1	1	145	300	2007	1288
37	1	2	178	310	2007	21556
38	2	1	142	294	2005	17453
39	1	2	178	0	2008	19272
40	5	0	0	0	0	5477
41	2	2	161	307	2004	51594
42	2	1	0	316	2004	0
43	1	1	160	309	2008	9321
44	1	1	0	313	2006	1964
45	1	1	142	293	2009	50202
46	1	0	155	306	2007	8992
47	2	1	184	0	2002	50080
48	1	2	153	308	2008	542
49	1	2	142	306	2008	15993
50	1	0	0	316	2006	50756
51	1	0	0	0	0	0
52	1	0	0	322	2005	5616
53	1	2	175	301	2008	0
54	2	1	0	317	2005	50045
55	1	2	144	309	2008	19983
56	1	1	165	307	2006	15987
57	2	1	0	297	2005	50540
58	5	2	0	315	0	55329
59	1	2	137	298	2009	17264
60	1	1	151	0	2009	10215
61	1	1	144	310	2008	16264
62	2	1	0	294	2005	25251
63	2	1	0	301	2004	0
64	1	1	142	0	2008	4334
65	1	1	146	294	2007	21408
66	1	2	138	310	2009	0
67	5	2	191	307	0	50043
68	1	1	168	322	2006	17636
69	1	1	0	291	2008	50521
70	1	1	168	322	2006	3769
71	2	2	165	302	2005	16158
72	1	1	160	313	2005	17908
73	1	1	148	323	2009	16805
74	2	2	0	294	2005	5000
75	1	1	167	317	2007	26726
76	2	2	0	0	2001	16212
77	2	2	155	307	2005	17371
78	1	2	143	317	2009	53663
79	1	1	0	0	2008	50029
80	1	0	0	0	0	0
81	2	1	165	307	2005	0
82	5	2	191	313	2008	51267
83	2	1	0	310	2005	52555
84	1	2	157	313	2006	17135
85	2	1	0	293	2005	21056
86	2	0	0	0	0	0
87	2	2	0	312	2005	9077
88	2	2	185	0	2001	0
89	1	1	155	304	2007	50018
90	1	2	167	301	2006	9321
91	2	2	165	302	2005	26488
92	1	2	157	302	2006	50112
93	2	1	168	294	2005	10854
94	1	2	0	310	2006	0
95	1	0	0	0	0	0
96	2	0	0	0	0	0
97	1	1	144	300	2009	1945
98	1	0	173	0	2007	0
99	1	0	0	311	2007	18289
100	1	1	160	310	2006	50010
101	2	2	0	301	2005	50007
102	1	2	149	0	2009	25519
103	1	2	173	0	2009	21258
104	2	2	168	320	2004	0
105	1	2	152	0	2007	25278
106	2	2	0	292	2005	4481
107	1	2	136	0	2009	16408
108	1	2	0	297	2007	50145
109	1	1	144	0	2009	50010
110	1	1	139	293	2008	50105
111	1	2	167	300	2006	51849
112	1	1	167	313	2006	50184
113	2	1	0	0	2005	50582
114	2	2	168	317	2005	19776
115	1	1	162	316	2006	50310
116	1	2	0	317	2008	3989
117	1	2	160	315	2008	50105
118	2	1	0	307	2005	17246
119	1	2	143	301	2009	50830
120	1	1	172	0	2009	52591
121	1	1	168	320	2006	9674
122	1	2	0	0	2007	0
123	0	1	153	321	2007	21974
124	1	1	176	310	2009	9199
125	1	1	167	317	2007	50795
126	5	0	0	305	0	18439
127	1	1	151	0	2009	16368
128	2	1	187	303	2004	50020
129	1	1	164	293	2006	50582
130	1	0	0	0	0	0
131	1	1	170	293	2009	17636
132	1	2	152	322	2006	25279
133	1	1	151	310	2009	3514
134	2	0	0	0	0	0
135	2	1	0	313	2004	0
136	1	0	0	0	0	0
137	1	2	164	317	2007	2381
