node	student	gender	dorm	major	year	school
0	1	0	209	123	2008	4004
1	2	1	202	131	2004	8617
2	1	0	208	137	2007	23965
3	1	1	205	131	2006	50031
4	1	2	204	112	2009	55100
5	2	0	208	152	2003	0
6	1	1	203	112	2008	25506
7	1	2	210	122	2007	17719
8	1	1	203	0	2007	50946
9	1	1	209	148	2007	9423
10	2	1	209	113	2004	24660
11	2	1	208	136	2004	24457
12	2	1	209	113	2005	53663
13	2	1	208	131	2004	9224
14	2	2	203	139	2003	23621
15	2	1	204	137	2004	50693
16	1	1	207	123	2007	23569
17	1	1	203	113	2008	23994
18	1	1	205	135	2009	50514
19	2	1	202	119	2004	5999
20	1	2	208	149	2005	23593
21	2	1	205	123	2005	23271
22	1	2	202	142	2005	23282
23	1	1	0	108	0	9224
24	1	2	207	132	2006	17636
25	1	2	202	119	2008	18292
26	1	0	0	0	2005	0
27	2	1	210	131	2005	50231
28	2	2	202	136	2005	24029
29	1	1	209	124	2006	50121
30	1	1	203	108	2006	24119
31	1	2	208	136	2006	4568
32	1	2	209	112	2007	17060
33	1	1	207	125	0	8160
34	1	2	206	136	2009	25665
35	1	2	202	120	2007	50728
36	1	2	209	142	2008	24657
37	1	2	206	112	2009	22906
38	1	0	0	0	0	0
39	1	0	0	0	0	0
40	5	2	203	141	2004	23648
41	1	1	209	123	2006	0
42	5	1	209	131	2003	24005
43	1	1	208	109	2007	0
44	1	2	208	112	2009	9223
45	2	2	202	143	2003	8357
46	2	1	206	114	2005	22246
47	1	2	206	143	2008	23394
48	1	2	204	111	2007	20337
49	2	1	0	111	2003	24639
50	2	0	0	0	0	0
51	1	2	203	122	2008	50016
52	1	1	203	122	2009	51849
53	1	2	207	118	2007	23321
54	1	2	204	124	2008	50338
55	5	2	0	142	2010	17060
56	1	1	204	135	0	0
57	2	2	204	112	2004	21843
58	1	1	208	131	2007	23735
59	4	1	0	0	0	0
60	1	1	202	131	2009	23994
61	2	1	208	108	2004	1465
62	1	1	205	143	2007	50598
63	1	1	202	132	2006	12082
64	1	2	207	148	2008	23533
65	2	1	210	127	2004	23341
66	2	2	209	143	2004	24029
67	1	1	206	124	2009	50438
68	1	2	203	143	2009	23662
69	1	1	206	111	2008	24005
70	1	0	0	0	0	0
71	2	2	203	142	2004	2813
72	1	1	205	136	2006	124
73	1	2	203	113	2008	719
74	1	2	206	139	2009	24005
75	2	2	0	131	2005	52555
76	2	1	205	120	2005	4806
77	2	2	206	132	2005	23829
78	1	1	207	120	2008	0
79	2	2	203	138	2001	23954
80	5	1	205	125	2005	0
81	2	0	0	0	0	0
82	2	1	207	120	2004	26481
83	1	2	204	120	2007	0
84	1	1	206	143	2008	51145
85	2	1	208	131	2003	50550
86	4	1	210	149	2006	52555
87	4	1	0	0	0	0
88	1	1	207	131	2008	54923
89	1	2	203	0	2009	9677
90	1	2	208	0	2009	50901
91	1	0	0	125	0	0
92	1	1	206	108	2007	50550
93	1	1	205	131	2008	24026
94	1	1	209	143	2008	23105
95	1	2	202	121	2008	0
96	1	1	202	137	2005	0
97	1	1	203	125	2009	50676
98	2	2	210	141	2005	23645
99	1	1	0	127	2006	0
100	2	2	202	139	2005	24547
101	1	2	206	123	2007	23332
102	1	1	210	108	0	0
103	1	1	202	139	0	50127
104	1	2	208	122	2009	51062
105	1	1	204	131	2007	53663
106	1	1	206	119	2007	23977
107	1	2	204	120	2009	9224
108	1	2	207	113	2007	23854
109	2	2	0	0	2003	19150
110	1	2	205	131	2009	51887
111	1	0	209	123	2008	24005
112	2	1	203	131	2005	51530
113	1	2	0	0	2008	1611
114	2	2	0	131	2005	52104
115	2	2	204	131	2005	50124
116	2	1	0	143	0	0
117	2	1	210	108	2005	0
118	2	2	205	141	2003	17430
119	1	2	209	120	2007	23342
120	1	2	210	125	2008	51156
121	1	2	205	120	2006	24321
122	2	2	203	143	2005	2788
123	1	2	205	131	2005	24162
124	2	2	210	131	0	0
125	1	2	209	141	2006	7867
126	1	2	208	135	2006	0
127	2	1	210	131	2005	23371
128	2	2	205	142	2005	24065
129	1	2	202	145	2008	5979
130	1	1	203	120	2006	50892
131	1	1	208	125	2009	24038
132	1	2	204	139	2009	50302
133	1	1	202	127	2009	11236
134	1	2	203	149	2009	23608
135	1	2	0	128	0	0
136	1	1	205	108	2008	23994
137	1	2	207	143	2007	0
138	1	2	208	133	2008	24661
139	1	2	204	112	2008	50029
140	1	1	205	121	2007	23620
141	1	1	205	127	2007	9369
142	1	2	209	142	2009	16530
143	2	1	209	108	2005	3683
144	1	2	202	108	0	23712
145	1	2	202	127	0	24939
146	1	2	208	142	2008	50029
147	1	1	202	131	2008	20239
148	2	2	204	143	2005	2257
149	1	1	205	139	2009	23645
150	1	1	209	108	2009	50140
151	2	2	206	110	2004	9023
152	1	1	202	114	2007	2335
153	1	2	204	108	2006	1518
154	1	2	205	142	2006	23535
155	1	1	205	0	2009	50029
156	2	1	210	131	2005	9262
157	1	2	206	127	2009	1596
158	1	2	207	122	2009	24264
159	1	2	208	122	2007	24457
160	1	2	202	123	2007	1949
161	4	0	0	0	0	0
162	1	2	210	148	2008	8581
163	1	1	207	120	2008	23968
164	1	2	208	112	2010	0
165	1	1	204	140	2007	8429
166	1	2	202	152	0	54563
167	1	2	202	124	2007	23334
168	2	1	203	119	2004	23487
169	2	2	205	131	2004	7119
170	1	2	0	141	0	0
171	2	2	209	142	2005	24639
172	1	2	202	108	2006	51387
173	1	2	203	141	2008	50494
174	2	2	202	143	2003	20327
175	2	0	0	0	2004	0
176	1	1	208	131	2008	5999
177	1	1	208	122	2008	24634
178	1	2	203	111	2007	0
179	1	2	208	123	2009	50152
180	1	0	205	148	2008	24420
181	1	2	207	142	2007	0
182	1	1	207	113	2006	16208
183	1	1	206	111	2009	0
184	2	2	207	120	2004	24119
185	2	1	204	112	2005	23765
186	2	2	206	122	2005	53541
187	1	0	0	0	0	0
188	2	2	210	112	2005	24027
189	2	1	209	148	2005	16444
190	1	2	207	131	2009	9428
191	1	1	207	148	2009	50764
192	1	2	208	136	2007	54563
193	1	0	0	0	0	0
194	1	2	206	122	2007	24512
195	2	2	0	127	2005	2665
196	2	2	206	120	2004	50754
197	1	2	205	127	2007	50094
198	1	1	203	124	2006	0
199	1	1	202	108	2009	50231
200	1	2	205	152	2009	50108
201	1	2	202	120	2008	24556
202	2	2	205	131	2003	51145
203	1	0	202	0	0	0
204	1	2	203	142	2007	9262
205	1	1	204	143	2007	9321
206	2	2	207	138	2005	24094
207	2	2	203	115	2005	24654
208	1	1	207	107	2009	23562
209	1	2	0	0	2007	23256
210	1	2	206	131	2008	54923
211	1	2	0	152	0	0
212	2	1	209	142	2005	21703
213	1	1	204	0	2007	20480
214	2	1	208	131	2005	10937
215	1	1	203	0	2008	3716
216	1	2	206	141	2007	50914
217	1	2	0	127	2006	9078
218	1	2	206	141	2007	24013
219	1	2	208	136	2009	5646
220	1	2	205	143	2006	50112
221	2	1	205	131	2005	23321
222	1	1	203	131	2007	24411
223	2	1	208	131	2005	8113
224	1	2	209	119	2009	23828
225	1	2	210	131	2007	24567
226	1	1	207	122	2009	23740
227	2	2	210	143	2004	23621
228	1	2	209	120	2009	23728
229	1	2	208	115	2006	24029
230	1	2	204	112	2006	50138
231	1	1	202	132	2009	50722
232	1	2	204	143	2008	24548
233	1	2	204	136	2006	23342
234	1	1	205	139	2006	50822
235	1	1	204	131	2008	24026
236	1	1	202	142	2006	0
237	2	2	207	143	2004	0
238	1	1	203	131	2005	23955
239	1	1	202	0	2007	1384
240	1	1	206	147	2007	24410
241	1	1	204	124	2009	56741
242	1	1	210	125	2009	53846
243	1	2	206	146	2007	24194
244	1	1	208	122	2009	16530
245	1	1	205	131	2008	2223
246	1	2	206	0	2009	24694
247	1	2	202	113	2006	0
248	1	2	0	123	2006	0
249	1	2	203	131	2007	24094
250	2	1	208	151	2003	7871
251	1	2	206	142	2009	55005
252	1	2	0	116	2006	26857
253	1	1	0	0	2007	0
254	1	2	208	136	2009	50693
255	1	2	203	120	2006	23828
256	2	1	209	123	2005	50029
257	1	1	202	125	2006	2422
258	1	1	205	123	2007	24514
259	1	1	204	131	2008	23620
260	1	1	208	137	2006	50486
261	1	2	204	123	2007	4702
262	1	2	208	112	2006	0
263	1	2	0	0	2008	0
264	2	0	0	0	0	0
265	3	2	203	132	2008	23566
266	1	1	204	125	2008	54923
267	1	2	203	112	2007	4677
268	2	1	209	132	2005	9260
269	1	1	209	121	2007	0
270	2	2	203	137	2004	0
271	1	2	210	116	2004	0
272	2	2	209	142	2004	52427
273	1	2	0	0	0	50468
274	1	2	206	143	2009	51100
275	1	1	209	124	2007	11880
276	1	2	206	131	2007	55668
277	1	2	206	136	2006	9021
278	1	0	0	0	0	0
279	1	1	202	132	2009	23987
280	2	2	203	141	2001	0
281	1	1	208	108	2008	1607
282	1	1	205	126	2007	55101
283	1	1	207	121	2007	23965
284	2	2	204	137	2005	50564
285	2	1	210	127	2003	0
286	1	1	205	108	2008	5477
287	1	1	208	121	2006	0
288	1	1	206	112	2006	25119
289	1	2	209	142	2009	20153
290	2	2	0	123	2005	15939
291	1	2	204	137	2009	0
292	5	2	0	125	2007	748
293	1	2	203	131	0	0
294	1	1	202	137	2008	23341
295	1	2	203	135	2006	51990
296	1	2	203	142	0	9388
297	3	0	0	112	0	0
298	2	1	205	108	2003	24264
299	1	2	210	136	2009	23732
300	1	1	204	131	2007	50112
301	1	1	206	0	2009	4494
302	1	2	209	120	2008	24657
303	1	1	204	108	2006	50338
304	1	2	0	143	2007	24586
305	1	1	203	122	2006	23971
306	1	1	210	112	2008	2849
307	1	2	205	120	2008	24694
308	2	2	210	140	2005	20747
309	2	1	202	110	2005	50016
310	2	2	206	138	2005	23548
311	1	1	205	0	2009	23618
312	5	0	0	0	0	0
313	1	1	206	131	2009	50042
314	1	0	210	142	2009	23956
315	1	2	206	142	2009	52759
316	1	2	207	135	2008	23330
317	1	1	206	131	2007	50347
318	2	1	204	125	2001	6399
319	1	2	205	135	2006	17914
320	1	1	206	112	2008	23994
321	1	1	210	137	2008	15817
322	1	1	210	112	2009	19540
323	1	2	206	132	2008	24005
324	1	1	202	112	2008	24093
325	1	2	209	120	0	786
326	2	1	206	112	2004	0
327	5	0	0	0	0	0
328	5	2	210	116	2005	24029
329	5	2	0	0	0	0
330	1	2	210	142	2006	23994
331	1	2	210	138	2007	20327
332	1	1	209	148	2008	23485
333	1	1	208	123	2006	23848
334	1	2	202	115	2009	50029
335	1	2	202	143	2007	50112
336	1	2	205	143	2008	16261
337	1	2	204	122	2006	50060
338	1	1	206	137	2009	24280
339	1	2	205	143	2007	50764
340	1	2	204	125	2009	21408
341	1	2	202	142	2009	51192
342	1	1	208	0	2009	15656
343	1	1	208	123	2007	3208
344	1	1	205	137	2005	23965
345	2	0	0	0	0	0
346	2	1	205	124	2005	50154
