node	student	gender	dorm	major	year	school
0	1	1	322	0	2009	57519
1	2	2	0	48	2002	54421
2	1	2	294	14	2006	16754
3	1	2	310	39	2008	17968
4	1	2	293	66	2006	17129
5	1	2	306	7	2007	52867
6	1	2	307	53	2006	17764
7	1	1	304	78	2004	17932
8	1	1	0	0	0	16024
9	1	1	0	28	2008	51111
10	1	1	296	60	2009	9133
11	1	1	0	76	0	50178
12	2	1	306	7	0	9224
13	2	2	320	85	2005	17082
14	2	2	0	66	2005	25866
15	2	0	0	76	2004	18029
16	1	2	331	76	2006	50240
17	1	2	293	24	2008	15934
18	1	2	322	0	2009	8992
19	1	1	322	3	2008	0
20	5	1	298	0	2006	17876
21	1	2	0	65	0	0
22	1	1	322	84	2009	5852
23	5	0	0	13	0	564
24	2	2	0	25	2005	17918
25	2	2	0	93	2005	530
26	2	2	316	59	2005	9530
27	2	1	0	28	2004	15829
28	1	2	0	76	2008	0
29	1	2	306	51	2006	51060
30	1	1	0	28	2006	53392
31	1	2	293	66	2006	20987
32	1	1	307	24	2008	17081
33	1	2	306	28	2006	0
34	1	1	310	7	2008	15989
35	1	2	305	48	2007	16924
36	1	1	293	29	2008	17968
37	1	1	293	7	2006	18084
38	1	2	300	51	2007	21749
39	1	1	0	9	2006	17844
40	1	2	305	41	2009	17164
41	1	1	322	53	2009	9588
42	1	1	0	0	0	0
43	1	1	306	77	2007	21300
44	1	1	306	65	2006	17402
45	1	1	322	59	2007	50105
46	1	2	322	53	2009	18071
47	2	2	0	0	0	0
48	1	1	0	24	2007	7851
49	1	1	293	86	2007	25357
50	1	1	305	9	2009	4269
51	5	2	310	18	2007	3564
52	1	1	293	0	2008	17914
53	2	1	0	38	2005	16913
54	2	2	0	51	2005	3569
55	1	2	322	18	2008	21196
56	5	2	0	64	0	0
57	2	1	0	0	2005	0
58	1	2	0	76	2007	52564
59	1	0	329	77	2005	50523
60	1	1	305	0	2009	57891
61	1	1	292	7	2007	50065
62	1	1	306	12	2006	50143
63	1	1	0	0	2006	17850
64	1	2	316	7	2005	17732
65	2	1	0	76	2005	0
66	1	2	305	9	2009	50382
67	1	1	0	28	2006	17953
68	1	2	298	28	2007	17675
69	1	0	0	0	0	0
70	5	2	0	25	2006	0
71	1	2	0	24	2007	50749
72	1	1	310	28	2006	16128
73	2	2	302	23	2005	17636
74	2	2	0	7	2005	17009
75	1	2	302	39	2008	9793
76	1	2	320	14	2006	17620
77	1	2	322	66	2008	21094
78	1	2	0	66	2006	3638
79	5	1	326	0	2006	3649
80	1	1	305	28	2009	3117
81	1	1	322	24	2009	4489
82	1	2	310	18	2006	17870
83	1	2	305	32	2008	4815
84	1	1	322	0	0	17836
85	1	2	0	24	2007	17537
86	1	0	0	0	0	0
87	1	2	0	24	2006	52522
88	1	1	322	53	2009	3682
89	2	2	320	65	2005	3594
90	1	1	298	76	2006	51199
91	1	1	322	0	2009	9076
92	1	0	293	28	0	50747
93	1	1	306	38	2007	51060
94	1	2	295	6	2007	9496
95	1	1	325	0	2007	0
96	1	2	296	4	2006	1607
97	1	1	0	28	2005	3243
98	1	1	296	62	2005	10289
99	1	0	0	49	0	50112
100	2	1	306	38	2005	16718
101	1	1	310	65	2008	20960
102	2	1	0	76	2005	20841
103	5	2	320	7	2006	16990
104	1	1	0	4	2006	7775
105	1	1	0	28	2007	9372
106	1	1	293	39	2007	3583
107	1	2	310	28	2008	23726
108	1	2	296	45	2009	17658
109	1	1	307	6	2009	17454
110	2	2	0	9	2004	15409
111	1	2	290	24	2006	17536
112	1	2	296	60	2008	21221
113	1	1	322	84	2008	19443
114	1	1	296	4	2008	50871
115	1	2	305	9	2008	51177
116	1	2	325	6	2006	17305
117	1	2	0	77	2005	16510
118	1	2	322	7	2008	17129
119	1	2	298	53	2008	17009
120	1	1	318	76	2008	53720
121	1	2	0	77	2007	9313
122	1	2	322	18	2007	23321
123	1	1	305	7	2009	57997
124	1	1	0	85	2006	53909
