node	student	gender	dorm	major	year	school
0	1	2	105	246	2005	23621
1	1	1	113	235	2007	20577
2	1	1	94	268	2006	0
3	2	1	0	258	2004	1607
4	1	2	95	278	2009	5847
5	1	1	0	245	2007	2405
6	1	1	93	272	2008	25829
7	1	1	109	268	2008	2381
8	1	1	0	268	0	0
9	1	1	0	250	2006	5211
10	1	1	92	0	2008	2771
11	1	2	90	0	2008	19865
12	1	2	103	255	2006	15852
13	1	1	92	0	2008	5221
14	1	2	94	262	2008	3065
15	1	1	0	245	2009	1924
16	5	0	0	0	0	0
17	2	1	0	257	2005	25251
18	1	1	89	275	2009	50075
19	1	1	90	278	2009	2383
20	1	1	0	257	2008	1596
21	1	2	98	257	2006	50129
22	2	2	0	244	2002	2830
23	1	1	103	235	2006	2803
24	1	1	94	249	2006	2193
25	1	2	94	267	2008	5216
26	5	0	0	0	2007	50172
27	1	1	89	260	2009	0
28	1	1	115	244	2007	3384
29	1	1	0	260	0	2755
30	1	1	95	258	2008	1963
31	2	2	0	235	2005	1456
32	1	1	102	260	2007	52131
33	1	2	89	241	2007	5254
34	1	1	0	261	2008	15527
35	2	1	89	260	2005	2248
36	1	1	103	248	2008	23605
37	1	1	92	267	2009	2749
38	1	2	118	255	2006	719
39	2	1	102	252	2005	571
40	1	1	0	238	2006	50084
41	5	0	0	0	0	0
42	1	1	0	245	2006	25757
43	1	1	95	278	2009	2903
44	1	1	0	257	2006	2752
45	1	1	0	244	0	50036
46	1	2	90	0	0	2793
47	1	1	0	235	2006	52401
48	1	2	99	262	2006	0
49	1	1	89	239	2009	16404
50	1	2	90	0	2008	1596
51	1	1	0	235	2007	1797
52	1	1	116	238	2007	54563
53	1	1	0	268	2007	50864
54	1	1	95	238	2009	2048
55	1	1	95	239	2009	20562
56	1	2	125	0	2008	50206
57	1	1	100	260	2007	2868
58	1	1	0	245	2007	54763
59	1	1	88	0	2008	5211
60	1	1	107	257	2006	1288
61	1	1	99	239	2007	2983
62	1	2	91	0	2009	50036
63	3	2	0	260	0	3716
64	1	1	93	239	2008	1756
65	1	2	105	266	2007	23613
66	1	2	89	246	2008	3172
67	2	1	0	271	2005	1933
68	1	2	0	255	2007	0
69	1	1	94	271	2007	2561
70	1	2	90	255	2008	2734
71	1	2	89	266	2007	2725
72	2	1	89	255	2005	2929
73	1	1	91	268	2008	1450
74	1	2	91	244	2009	51835
75	1	1	129	268	2005	2195
76	1	2	105	260	2006	50537
77	2	1	0	245	2005	1381
78	1	1	90	268	2008	1933
79	2	2	0	250	2005	1317
80	1	2	0	0	2008	1611
81	1	1	0	274	2006	50210
82	2	1	138	245	2005	20784
83	5	2	103	246	0	0
84	1	2	99	241	2006	2896
85	1	1	109	240	2006	2784
86	1	1	95	244	2009	3243
87	1	2	111	255	2008	0
88	1	1	0	268	2008	50521
89	1	1	103	267	2007	25863
90	1	0	0	235	2005	52401
91	1	1	92	235	0	0
92	1	1	90	0	2009	564
93	1	1	90	260	2008	25678
94	1	2	112	260	2006	0
95	1	2	88	278	2008	25902
96	1	1	89	268	2009	636
97	1	1	91	252	2009	15844
98	1	2	89	262	2006	1456
99	1	1	102	235	2007	3062
100	1	2	90	260	2008	51317
101	1	2	91	0	2009	0
102	2	2	86	247	2005	50028
103	2	1	100	260	2005	2768
104	2	1	94	235	2005	2763
105	1	1	157	239	2007	50269
106	2	1	107	255	2005	52941
107	1	1	93	268	2008	2862
108	1	1	89	260	2008	1381
109	1	1	98	245	2008	50207
110	2	1	0	0	2005	2677
111	1	1	123	245	2007	2642
112	1	2	90	262	2008	2636
113	1	1	91	268	2009	50390
114	1	1	107	259	2006	2355
115	1	1	89	268	2008	52131
116	1	2	91	242	2008	2734
117	1	2	90	278	2009	2152
118	2	1	0	252	2005	25695
119	1	2	0	249	2006	25659
120	1	2	0	260	2008	25996
121	1	2	0	255	2006	0
122	1	2	92	246	2009	5221
123	1	1	89	267	2008	20675
124	1	2	94	235	2006	24970
125	1	0	90	255	0	5238
126	1	2	90	240	2009	50161
127	2	1	89	268	2005	25794
128	1	2	89	262	2009	0
129	1	1	103	267	2006	52986
130	1	1	0	268	2006	2734
131	1	2	102	235	2006	50081
132	1	2	89	242	2008	50053
133	1	1	136	235	2006	2786
134	1	1	89	239	2006	1427
135	1	0	107	0	2006	2248
136	1	2	89	0	2008	2481
137	1	1	90	278	2009	1454
138	1	1	0	245	0	2193
139	1	2	91	249	2008	20700
140	1	1	90	244	2009	50946
141	1	2	94	245	2007	0
142	1	2	104	249	2006	50486
143	1	2	95	235	2008	50028
144	1	2	89	240	2008	50891
145	2	1	107	268	2005	50390
146	1	0	0	245	2007	2209
147	1	2	91	266	2006	20576
148	1	1	0	237	2007	20655
149	2	1	108	260	2005	2862
150	2	2	0	257	2004	52569
151	1	1	89	0	2009	25793
152	2	2	0	257	2004	50028
153	1	2	0	262	2008	25927
154	1	2	0	249	2007	20603
155	1	1	103	265	2007	5221
156	1	2	89	262	2009	2054
157	1	2	95	0	2008	50353
158	1	1	88	245	2008	20681
159	5	2	0	279	2005	50081
160	1	1	0	257	2007	25829
161	1	2	0	255	2007	2768
162	1	1	92	245	2007	50486
163	1	0	0	0	0	0
164	2	1	0	268	2005	50036
165	1	2	91	0	2008	50028
166	1	2	101	255	2007	2405
167	1	1	88	0	2009	52815
168	1	0	0	237	2007	23146
169	1	1	0	252	2006	50172
170	1	2	88	0	2009	50036
171	1	1	92	239	2009	7828
172	1	2	0	239	2008	50028
173	1	1	93	244	2008	25890
174	1	2	102	255	0	50165
175	1	1	95	260	2009	0
176	2	2	0	235	2005	2442
177	1	0	0	252	0	59592
178	1	2	0	255	2007	1456
179	1	2	93	255	2007	9654
180	2	2	103	255	2005	51124
181	1	1	0	245	2008	20680
182	1	1	0	238	2005	1916
183	1	2	95	0	2009	2495
184	1	2	90	267	2009	50350
185	1	0	119	0	0	2678
186	1	1	88	257	2008	2678
187	1	1	90	244	2009	1305
188	2	1	89	268	2005	779
189	1	1	88	0	2008	50207
190	1	1	90	260	2008	1443
191	1	1	0	0	2008	9580
192	1	2	145	260	2006	20732
193	1	2	102	247	2006	25927
194	1	2	0	241	2004	50989
195	1	2	101	255	2006	2749
196	1	1	90	239	2009	5221
197	1	1	91	0	0	2248
198	1	2	0	260	2007	3262
199	1	1	94	259	2008	2561
200	1	1	90	257	2009	9692
201	1	2	99	250	2007	2230
202	1	1	0	244	2007	1694
203	1	2	95	267	2008	53759
204	1	2	140	267	2007	25892
205	1	1	88	278	2009	1941
206	1	1	88	239	0	0
207	1	1	89	244	2006	2702
208	1	0	0	0	0	0
209	1	2	101	255	2006	1608
210	1	2	93	235	2008	4310
211	1	2	89	268	2006	54277
212	1	2	93	0	2008	50486
213	1	1	95	260	2009	3062
214	1	1	107	260	2006	2052
215	1	1	0	0	0	50165
216	1	1	91	260	2008	1317
217	2	2	0	262	2004	25848
218	2	2	132	255	2005	20700
219	1	1	90	270	2008	15852
220	1	2	88	267	2007	2135
221	1	2	141	255	2005	2761
222	1	2	129	255	2006	50165
223	1	1	94	269	2008	2228
224	1	0	0	0	0	0
225	1	1	124	238	2007	1808
226	1	2	94	255	2006	50131
227	1	1	119	0	2008	50165
228	1	1	101	268	0	20747
229	1	2	90	255	2008	25659
230	1	2	125	255	2007	50353
231	1	2	0	0	0	0
232	1	2	0	235	0	3262
233	2	2	0	249	2005	25645
234	5	2	0	250	2006	2443
235	1	1	88	267	2007	50165
236	2	2	0	246	0	2687
237	1	1	92	235	2008	3062
238	5	0	0	0	0	0
239	1	1	90	260	2007	2257
240	1	1	126	245	2006	1964
241	1	2	88	272	2008	50165
242	1	1	95	244	2009	2561
243	1	1	0	255	2008	50165
244	1	1	88	245	2008	50537
245	1	1	93	0	2009	24934
246	1	2	0	260	2007	1933
247	1	2	90	267	2008	2191
248	1	1	0	255	2006	2405
249	1	2	0	260	2006	0
250	1	1	95	245	2008	50521
251	1	2	0	250	0	2054
252	1	2	0	0	2008	1730
253	1	2	89	235	2007	1344
254	1	1	103	0	2007	2868
255	2	1	0	235	2005	2734
256	1	1	95	245	2008	1762
257	2	1	0	260	2004	0
258	1	2	0	244	2007	15857
259	1	1	0	245	2006	2193
260	1	2	93	250	2008	0
261	1	1	94	258	2007	2248
262	1	1	112	249	2008	50210
263	1	2	88	278	2008	50028
264	1	2	87	262	2007	0
265	1	1	90	0	2008	2862
266	1	0	0	0	0	0
267	1	2	0	244	2006	50028
268	1	1	95	245	2009	20784
269	1	1	88	0	2008	55543
270	1	1	94	267	2009	1288
271	1	1	91	0	2009	2734
272	1	1	94	268	2007	50633
273	1	1	100	239	0	50864
274	1	2	89	241	2008	2846
275	1	1	93	0	2009	5211
276	2	2	99	267	2005	50028
277	1	2	89	0	2008	5221
278	2	2	0	264	0	1741
279	1	2	95	0	2008	1933
280	1	1	91	0	2008	51002
281	1	1	92	260	2008	0
282	2	2	0	264	2005	1667
283	1	1	95	268	2009	17116
284	1	2	103	237	2006	0
285	1	1	92	239	2008	1594
286	1	1	95	0	2009	50390
287	1	1	0	245	2007	1731
288	1	1	122	268	2006	2734
289	1	2	0	235	2006	1547
290	1	1	94	260	2008	50831
291	1	2	102	259	2006	1547
292	1	2	90	260	2009	1935
293	1	1	94	0	2008	50165
294	2	1	0	248	2005	2755
295	1	2	93	251	2007	2442
296	1	1	0	259	0	2755
297	2	2	110	260	2005	50216
298	1	1	93	0	2009	1607
299	1	1	94	252	2008	51580
300	1	2	0	268	2006	5216
301	1	1	107	257	2005	0
302	1	1	0	268	2007	2763
303	1	2	0	263	2007	15852
304	1	1	99	235	2006	23649
305	1	1	94	257	2006	2561
306	1	2	95	268	0	1387
307	1	1	89	268	2007	50307
308	1	1	89	237	2008	0
309	1	2	90	263	2008	50353
310	1	1	113	260	2007	50677
311	1	1	93	267	2008	50714
312	1	2	95	248	2008	0
313	1	2	0	246	2007	0
314	1	2	0	235	2007	25912
315	1	0	0	0	0	0
316	1	2	89	267	2008	50028
317	1	1	91	260	2007	1607
318	1	2	92	0	0	0
319	1	1	0	252	2008	50055
320	1	1	94	258	2008	25794
321	1	2	0	252	2009	2748
322	1	1	93	245	2008	2616
323	2	1	0	260	2004	2755
324	5	1	0	0	0	2790
325	1	2	104	255	2008	6399
326	1	1	93	0	2008	2561
327	1	2	95	262	2009	719
328	1	2	90	0	2008	20732
329	1	1	0	249	2009	1996
330	1	2	0	0	0	50486
331	1	1	90	249	2008	25890
332	1	2	0	251	2008	52401
333	1	1	101	267	0	0
334	1	2	0	267	0	50028
335	1	0	0	0	0	0
336	1	2	93	0	2008	52166
337	1	0	136	235	2006	2443
338	1	2	0	241	2007	50353
339	1	1	0	255	2009	2767
340	1	2	0	260	2007	2868
341	1	2	91	0	2008	50028
342	1	1	88	268	2007	51995
343	1	0	0	0	0	0
344	1	1	95	268	2009	2869
345	1	1	103	257	2006	2618
346	2	2	125	255	2004	25927
347	1	1	126	239	2006	25541
348	1	2	88	0	2009	1456
349	1	1	98	245	2004	2751
350	1	1	130	239	2007	50627
351	2	2	0	255	2005	2241
352	1	0	0	272	2006	2868
353	4	1	0	0	0	2929
354	1	2	88	278	2008	2853
355	2	1	0	244	2005	50122
356	1	0	0	0	0	0
357	1	2	101	269	2006	12293
358	1	1	92	270	2008	2755
359	1	2	89	250	2008	2929
360	1	2	93	278	2009	25793
361	1	1	122	245	2006	804
362	2	1	0	236	2005	2228
363	1	2	0	247	2009	2054
364	2	2	114	235	2005	2133
365	1	1	0	245	2009	0
366	1	1	90	258	2007	1450
367	1	1	89	245	2007	2763
368	1	2	156	255	0	2227
369	1	1	0	260	2007	2734
370	1	1	0	239	2005	2755
371	1	1	0	249	0	25616
372	1	0	0	0	0	0
373	1	1	95	268	2008	1734
374	2	2	0	255	2005	25927
375	1	1	0	269	0	2929
376	1	1	91	259	2007	2228
377	1	1	0	0	2007	2767
378	1	2	91	260	2007	2678
379	1	1	0	260	2007	50537
380	2	1	0	235	2005	2763
381	1	2	93	267	2008	1298
382	1	1	95	267	2009	54805
383	1	1	95	0	2009	25848
384	2	1	107	268	2005	5216
385	1	1	88	268	2008	6138
386	1	1	88	278	2008	25843
387	1	2	109	260	2006	2793
388	1	2	102	245	2008	50028
389	1	1	93	249	2005	52941
390	2	2	0	264	1999	2476
391	1	2	93	255	2007	1731
392	1	1	126	245	2006	2678
393	1	1	90	252	2008	50326
394	1	1	93	267	2007	50165
395	1	1	0	260	2007	2768
396	1	2	89	247	2006	25049
397	1	1	90	268	0	766
398	1	2	103	255	0	3390
399	1	1	146	260	2007	3338
400	1	1	94	267	2006	2713
401	1	1	0	253	2006	25848
402	1	1	93	278	2009	2841
403	1	1	88	278	2009	2763
404	1	1	0	260	2006	50207
405	5	0	97	0	0	20747
406	1	2	103	246	2006	25962
407	1	1	90	235	2006	1596
408	1	1	101	268	2004	10937
409	1	2	93	277	2008	1547
410	1	1	90	0	2008	51178
411	1	1	124	260	2007	2616
412	1	1	103	245	2006	50975
413	1	1	103	246	2007	2204
414	1	1	0	235	2007	52131
415	1	1	89	268	2006	2376
416	1	1	102	252	2007	50486
417	1	1	86	245	2006	2405
418	1	1	90	0	2009	766
419	1	2	99	259	2007	50486
420	1	2	0	267	2007	2734
421	1	2	95	0	2009	50033
