node	student	gender	dorm	major	year	school
0	2	1	107	251	2005	9704
1	1	0	121	254	2007	26737
2	2	1	0	253	2005	3564
3	1	1	122	248	2006	0
4	1	1	111	250	2007	0
5	1	1	100	260	2007	23105
6	1	1	89	252	2007	25084
7	1	1	92	240	2006	9451
8	1	1	94	0	2008	51346
9	1	1	120	0	2009	50498
10	1	1	113	253	2005	9244
11	1	1	97	272	2006	24986
12	1	1	102	254	2008	18109
13	1	1	0	239	2006	9417
14	1	1	94	257	2008	25621
15	1	1	108	250	2005	21334
16	2	1	106	250	2004	3632
17	1	1	122	238	2009	50909
18	1	1	92	268	2007	0
19	2	1	88	257	2005	23942
20	1	1	0	253	2006	8835
21	1	1	106	0	2009	4655
22	1	1	117	278	2007	50091
23	2	1	0	257	2005	17870
24	1	1	117	268	2006	819
25	1	1	108	250	2006	25043
26	1	1	95	254	2006	51025
27	1	1	88	0	2008	2422
28	2	1	106	250	2005	9321
29	1	0	0	0	0	0
30	1	1	0	250	2006	9692
31	1	1	113	0	2008	0
32	1	1	120	273	2007	0
33	1	1	119	260	2009	17228
34	1	0	116	236	0	51354
35	1	1	94	275	2008	50509
36	1	1	87	259	2008	17763
37	1	1	89	257	2009	16985
38	1	1	99	241	2008	9382
39	2	1	113	242	2004	20288
40	1	1	117	0	2009	17995
41	3	1	0	0	1984	9487
42	1	1	97	253	0	3284
43	1	1	112	240	2007	26646
44	1	1	114	260	2007	22203
45	2	1	115	257	2005	0
46	2	0	109	0	2003	50280
47	1	1	97	235	2008	23942
48	2	1	123	250	2005	50024
49	2	1	121	241	2005	3580
50	1	1	115	238	2007	21069
51	1	1	102	241	2008	17764
52	1	1	108	278	2008	571
53	1	1	99	270	2008	51038
54	2	1	0	272	2005	9313
55	5	1	0	272	2005	0
56	1	1	0	236	2006	0
57	1	0	117	0	2008	0
58	1	1	105	0	2009	50003
59	1	1	0	238	2006	9765
60	2	1	0	249	2004	4053
61	2	1	115	260	2005	24902
62	1	1	122	257	2008	4014
63	1	1	115	250	2008	51465
64	1	1	117	265	2007	3707
65	1	1	88	251	2008	16678
66	1	1	0	241	2007	3658
67	1	1	110	268	2006	9318
68	2	1	0	246	2000	0
69	1	0	122	272	0	16396
70	3	2	0	259	0	0
71	1	1	109	0	2009	1963
72	1	1	90	259	2006	0
73	1	0	0	0	0	0
74	1	1	100	0	2009	51060
75	1	1	117	278	2009	4001
76	1	1	106	248	2006	3505
77	1	1	88	277	0	9313
78	1	1	119	253	2008	22205
79	1	1	117	245	2007	21781
80	1	1	100	243	2008	50832
81	1	1	106	250	2007	50317
82	2	1	87	272	2005	51108
83	1	1	99	279	2008	5252
84	1	1	90	260	2007	17009
85	1	1	87	259	2008	3569
86	1	1	97	250	2008	50909
87	1	0	0	0	0	0
88	2	1	122	0	2004	0
89	1	0	121	250	2006	0
90	2	1	0	237	2005	9249
91	1	1	99	0	2009	9382
92	2	1	91	272	2005	16145
93	1	0	0	0	0	0
94	1	1	119	241	2006	17351
95	1	1	105	241	2008	19157
96	2	1	99	257	0	1894
97	2	0	0	0	0	0
98	1	1	94	281	2008	9254
99	1	0	0	0	0	4680
100	2	1	115	260	2004	9570
101	1	1	92	241	2006	9830
102	2	0	0	252	2005	51241
103	2	1	92	257	2005	9780
104	1	1	91	237	2006	13780
105	1	1	107	259	2006	9626
106	2	1	106	0	2004	9321
107	1	1	0	0	2008	15898
108	2	0	111	276	2005	53057
109	1	1	111	0	2009	50869
110	1	0	0	0	0	0
111	2	1	119	241	2005	50419
112	1	1	115	257	2008	51177
113	1	1	117	253	2006	25716
114	1	1	102	276	2008	52127
115	1	0	0	0	0	0
116	1	1	113	267	2008	52921
117	1	1	109	257	2008	51776
118	1	1	114	278	0	0
119	1	1	93	265	2006	22236
120	1	1	121	253	2008	22927
121	1	1	90	257	2006	16367
122	1	1	122	241	2009	17668
123	1	1	92	236	2006	4212
124	1	1	117	257	2009	9323
125	1	0	0	0	0	0
126	1	1	94	0	2009	15996
127	1	1	0	272	2006	50285
128	1	1	107	253	2009	17454
129	1	1	102	253	2006	9610
130	1	1	100	274	2007	0
131	1	1	114	259	2007	0
132	2	1	108	265	2005	25902
133	1	1	97	276	2007	50074
134	1	1	93	257	2007	9480
135	1	1	95	250	2007	50715
136	2	1	0	250	2004	3021
137	1	1	122	262	2009	50909
138	1	1	93	265	2008	9575
139	2	1	113	0	0	0
140	2	1	0	249	2005	50909
141	1	1	114	268	2009	0
142	1	1	105	260	2006	2701
143	1	1	99	257	2007	3756
144	2	1	93	241	2005	5932
145	1	1	99	272	2008	50115
146	1	1	88	252	2007	2216
147	1	1	121	268	2007	3572
148	2	1	0	237	2005	9496
149	1	1	121	260	2007	23942
150	1	0	100	0	0	7142
151	1	1	107	268	2007	50470
152	1	1	0	236	2006	17573
153	1	1	122	251	2006	8994
154	1	1	106	268	2008	52243
155	1	1	122	276	2006	4134
156	1	1	92	277	2007	50285
157	2	1	0	273	2005	3827
158	1	1	114	275	2006	50073
159	1	1	99	253	2006	50606
160	1	1	120	235	2008	50270
161	2	1	92	265	2005	50305
162	1	1	0	250	2005	9614
163	1	1	121	259	2009	16210
164	1	1	122	271	2006	26546
165	1	1	97	235	2006	3570
166	1	1	0	277	2006	0
167	1	1	88	0	2009	24048
168	1	1	112	237	2006	7577
169	1	1	94	250	2008	5226
170	1	1	0	260	2007	3570
171	1	1	88	276	2007	15953
172	1	1	123	0	2008	3416
173	1	1	107	260	2008	9619
174	1	1	111	262	2008	3755
175	1	1	119	268	2009	23605
176	1	1	123	275	2008	2725
177	1	1	112	279	2006	8883
178	1	1	99	0	2009	0
179	2	1	88	252	2005	0
180	2	1	91	235	2005	51235
181	1	1	111	251	2006	9977
182	1	1	116	241	2008	9388
183	2	1	119	270	2004	9753
184	1	1	112	253	0	51141
185	1	1	106	236	2007	2701
186	1	0	113	259	2006	50686
187	1	0	0	0	0	0
188	1	1	0	0	0	15785
189	1	1	122	240	2007	20763
