node	student	gender	dorm	major	year	school
0	1	2	342	113	2006	10486
1	1	1	340	0	2008	25133
2	1	2	338	109	2006	16311
3	1	1	330	132	2008	16451
4	1	2	338	110	2009	0
5	1	2	338	114	2006	5928
6	1	0	0	131	2006	50785
7	2	1	0	95	2005	17636
8	2	1	0	109	2005	8955
9	2	1	0	132	2005	9105
10	1	1	338	132	2006	0
11	1	1	330	121	2008	50059
12	1	1	330	95	2008	7831
13	1	1	330	118	2006	17050
14	1	1	330	98	2007	21220
15	1	0	0	134	2007	0
16	1	0	0	0	0	0
17	2	2	0	108	2005	315
18	1	2	340	95	2008	26696
19	1	2	0	106	0	19350
20	1	1	333	131	2006	11172
21	1	1	338	132	2009	59821
22	1	1	338	94	2007	11225
23	1	1	340	0	2009	0
24	2	2	0	92	2005	52105
25	1	1	335	131	2008	19860
26	1	1	338	131	2006	9321
27	1	2	334	132	2007	17584
28	2	0	0	109	2005	6280
29	2	1	0	90	2004	0
30	1	2	331	114	2008	4416
31	1	1	334	106	2008	5646
32	1	2	331	129	2009	0
33	1	1	333	0	2009	0
34	2	1	0	106	2005	6399
35	1	2	342	131	2006	50158
36	2	0	332	116	0	20562
37	2	1	338	93	2005	9366
38	1	1	328	108	2009	0
39	1	2	329	0	2008	3601
40	1	1	330	94	2006	50481
41	2	2	0	114	2005	19281
42	1	1	335	95	2008	3638
43	1	2	338	134	2006	20454
44	1	1	327	114	2009	50259
45	2	2	342	109	2005	0
46	2	2	0	106	2005	1408
47	1	2	332	107	2006	9148
48	1	2	333	106	2009	0
49	1	2	333	135	2007	0
50	1	2	340	108	2009	57423
51	1	2	331	106	2009	22250
52	1	1	0	105	2006	3748
53	1	1	329	0	2007	16355
54	1	1	0	109	2005	50848
55	1	2	338	131	2005	50582
56	2	2	332	106	2005	50284
57	1	0	0	0	0	0
58	2	1	0	95	2004	5486
59	1	1	330	118	2009	0
60	2	2	335	114	2003	715
61	1	2	338	108	2006	9262
62	2	1	331	134	2005	16805
63	1	0	335	120	2007	2903
64	1	1	335	109	2007	9291
65	1	2	338	106	2009	25037
66	2	1	0	132	2005	9224
67	1	1	338	135	2006	52564
68	1	2	340	109	2009	50550
69	1	2	338	114	2005	24457
70	2	2	0	104	2001	2325
71	5	2	0	95	2005	20853
72	1	2	335	108	2006	16361
73	1	2	0	114	2006	17537
74	1	2	340	95	2008	50419
75	1	1	331	130	2006	16007
76	1	2	327	0	2009	50732
77	1	1	340	130	2009	19581
78	1	2	0	0	0	16233
79	1	2	0	134	2007	50004
80	2	1	0	118	2005	315
81	1	1	0	94	2007	51601
82	1	0	0	0	0	20631
83	1	1	333	0	2008	16906
84	1	0	338	134	2006	15301
85	1	2	338	94	2009	719
86	1	1	335	109	2007	9255
87	2	2	342	109	2005	25070
88	2	0	0	135	2005	10154
89	1	2	328	131	2007	17430
90	4	2	338	106	2006	52516
91	2	2	0	134	2005	26070
92	1	1	331	114	2009	1278
93	1	1	340	108	2008	0
94	1	2	340	95	2005	6811
95	1	0	0	0	2007	0
96	1	1	0	106	2007	50979
97	1	2	336	108	2007	0
98	1	2	333	108	2007	50213
99	1	2	0	108	2006	6241
100	1	0	0	120	2007	9829
101	1	1	338	135	2006	8910
102	1	2	328	120	2006	21730
103	1	1	340	109	2007	2448
104	1	1	340	0	0	0
105	1	0	332	90	2007	23747
