node	student	gender	dorm	major	year	school
0	1	2	0	111	2005	50864
1	1	1	340	111	2009	25027
2	1	0	0	0	0	0
3	1	2	351	121	2008	5000
4	1	1	352	0	2009	21473
5	1	1	347	131	2007	15903
6	1	2	333	95	2007	8884
7	2	2	347	116	2005	51069
8	1	1	331	0	2006	16818
9	1	1	347	124	2007	50450
10	1	1	342	117	2007	0
11	1	2	353	124	2006	50025
12	1	0	352	0	2009	9073
13	1	1	359	102	2006	11099
14	1	2	0	102	2007	50436
15	1	2	340	95	2008	51190
16	1	1	340	111	2009	16942
17	1	1	0	103	2006	2228
18	1	1	331	121	2006	2135
19	1	1	340	93	2009	4508
20	1	1	340	92	2009	2323
21	2	1	0	93	2005	9078
22	1	2	333	122	2007	3716
23	1	2	334	94	2005	50112
24	1	2	351	115	2008	50698
25	1	2	338	100	2007	50197
26	2	1	0	112	2005	0
27	4	0	0	0	0	0
28	1	0	0	0	0	0
29	1	1	333	117	2004	24999
30	1	1	336	0	2008	50325
31	1	1	349	0	2009	3659
32	2	1	335	121	2004	8845
33	1	1	0	102	2007	10216
34	2	1	333	100	2005	50036
35	1	2	336	0	2008	3284
36	1	0	0	0	0	0
37	1	2	333	95	2007	15890
38	1	2	0	111	0	50595
39	5	0	0	0	0	0
40	1	2	336	0	2008	50124
41	1	1	345	95	2009	3273
42	1	1	339	130	2006	9530
43	1	2	335	111	2006	8971
44	1	2	328	111	2008	7458
45	1	2	334	111	2005	15965
46	1	1	349	0	2009	50010
47	1	1	339	131	2007	3583
48	1	2	331	120	0	50180
49	2	2	0	111	2005	3544
50	1	2	352	104	2009	20747
51	2	2	0	94	2002	8820
52	2	1	0	102	2003	50152
53	1	2	333	95	2008	8826
54	1	1	327	112	2008	51685
55	1	1	0	112	2007	9554
56	2	1	359	111	2004	9321
57	1	1	339	112	2006	50603
58	1	1	333	0	2008	17300
59	2	0	0	0	0	0
60	1	1	333	120	2007	8971
61	1	2	333	111	2007	8952
62	1	1	352	120	2007	8955
63	2	0	0	0	0	0
64	1	1	327	102	2008	23618
65	1	0	0	0	2009	50993
66	3	2	0	98	0	50060
67	1	1	333	130	2007	16439
68	1	1	351	0	2009	0
69	1	1	0	93	2007	20681
70	1	2	347	102	2006	0
71	2	2	334	96	2005	15894
72	2	2	331	99	2002	2056
73	1	1	0	104	2007	50095
74	1	2	339	120	2008	11559
75	2	2	0	102	2005	9484
76	1	1	331	92	2006	23613
77	1	2	341	112	2006	8905
78	2	1	361	131	2005	22237
79	2	1	0	120	1999	8977
80	1	2	331	95	2006	21781
81	1	1	339	95	2007	8872
82	1	1	341	95	2008	9382
83	1	1	331	128	2008	8910
84	1	1	345	95	2009	16913
85	1	0	0	0	0	0
86	1	1	341	111	2008	3246
87	1	2	0	100	2009	53999
88	2	0	0	0	2004	17640
89	2	2	0	112	2005	2233
90	2	0	0	0	0	0
91	1	1	352	0	2009	9366
92	1	2	0	100	2007	0
93	1	1	0	121	0	17092
94	1	1	352	0	2009	11099
95	2	2	352	112	2004	50444
96	2	1	347	112	2005	2824
97	1	2	333	100	2007	14625
98	1	2	350	95	2008	8921
99	2	0	0	100	2004	9692
100	1	1	0	0	2009	9580
101	1	1	333	112	2007	3618
102	1	1	339	0	2008	51535
103	1	1	345	100	2009	5852
104	2	1	0	115	2004	3739
105	1	1	348	0	2009	0
106	1	1	331	0	2006	16818
107	1	1	352	0	2009	17636
108	2	1	334	102	2004	7458
109	1	0	333	119	2006	3581
110	2	1	0	104	2005	530
111	1	1	351	0	2009	2381
112	1	2	350	0	2007	20895
113	1	1	333	104	2008	52263
114	1	2	348	111	2007	0
115	5	1	0	111	2005	23054
116	1	2	339	100	2006	8952
117	1	1	0	0	2009	16487
118	1	1	333	91	2006	8826
119	1	1	348	120	2006	6399
120	2	1	342	120	0	6400
121	1	1	345	102	2009	51060
122	1	1	339	0	2008	9618
123	1	1	0	98	2007	50012
124	1	2	340	0	2009	16506
125	1	0	344	0	0	50017
126	1	2	0	107	0	50081
127	1	2	0	0	2007	50045
128	1	2	327	103	2008	5979
129	2	2	0	118	2005	21022
130	1	2	0	102	2007	9787
131	2	1	0	120	2004	4811
132	1	2	331	100	2006	9428
133	1	0	336	0	0	4119
134	1	2	0	0	0	9745
135	1	1	351	0	2008	50009
136	1	2	0	104	2009	0
137	1	1	0	0	2009	9397
138	2	2	0	100	2005	50028
139	2	1	0	124	2003	21531
140	1	2	0	93	2006	50203
141	1	1	361	0	2008	16282
142	2	1	354	93	2005	9755
143	1	1	339	95	2007	51521
144	2	2	0	111	0	50173
145	1	1	352	120	2009	50611
146	1	1	339	100	2006	50378
147	2	2	0	111	0	0
148	1	1	331	100	2008	9381
149	1	2	344	0	2009	9223
150	1	2	333	95	2007	3858
