node	student	gender	dorm	major	year	school
0	1	2	0	296	2006	0
1	1	2	0	235	2007	21459
2	1	1	0	297	2006	21441
3	5	2	0	368	2006	21417
4	1	2	89	288	2009	59901
5	1	2	92	0	2009	17
6	1	1	0	302	2006	50359
7	1	2	86	0	2009	0
8	1	1	91	285	2008	21055
9	1	2	0	341	2009	0
10	1	1	0	336	2007	17672
11	1	1	88	375	0	21450
12	2	1	0	335	2005	50151
13	1	2	0	314	2006	50509
14	2	2	0	254	2005	21632
15	2	2	0	320	2005	52018
16	1	1	92	256	2009	20846
17	1	1	86	330	2008	51003
18	1	1	92	256	0	0
19	1	1	0	325	2007	20884
20	1	0	0	0	0	0
21	1	1	95	247	2009	21443
22	1	2	0	235	0	21418
23	1	1	101	361	2004	3792
24	1	2	86	0	2008	21685
25	1	0	0	0	2007	0
26	1	2	90	280	0	52301
27	1	2	93	0	2008	0
28	1	2	0	284	2005	3842
29	1	1	0	286	2008	21678
30	1	1	86	280	2007	20921
31	1	2	0	269	2005	0
32	1	1	99	252	0	21724
33	1	2	100	245	2008	16368
34	1	1	0	285	2007	9725
35	1	2	0	348	2006	21418
36	1	1	0	235	2006	21785
37	1	2	0	0	0	0
38	1	1	89	320	2009	3646
39	1	1	89	335	2009	9107
40	1	2	0	314	2006	16241
41	1	2	0	296	2006	16160
42	1	2	0	334	2007	0
43	1	1	0	247	2006	21785
44	1	2	100	399	2007	21621
45	1	1	86	236	2009	21450
46	1	2	0	271	2007	21521
47	1	2	0	235	2005	0
48	1	2	86	324	2007	21628
49	1	1	0	0	2007	21655
50	1	1	96	324	0	21799
51	2	2	0	334	2005	17361
52	1	2	91	236	0	21613
53	1	2	86	284	2005	0
54	1	1	90	317	2009	56539
55	1	2	0	331	2008	21536
56	1	2	0	341	2007	21475
57	1	1	87	377	2005	21800
58	2	2	0	324	0	21083
59	1	1	86	375	2010	16120
60	2	1	0	271	2005	25502
61	1	2	86	297	2008	21280
62	1	1	0	397	2007	21083
63	1	1	0	237	2007	20899
64	1	1	0	325	2005	50509
65	1	1	87	0	2009	16440
66	1	2	0	377	2008	16044
67	1	1	90	0	2009	17632
68	1	2	0	375	2008	16506
69	1	1	90	397	2008	21628
70	1	1	0	246	2008	0
71	1	0	0	0	0	0
72	1	2	0	271	2006	16140
73	1	1	100	290	2008	21059
74	1	2	88	243	2009	21508
75	1	2	107	261	2008	0
76	1	2	101	297	2007	21242
77	1	1	0	399	2007	21462
78	1	2	0	297	2007	0
79	1	1	0	378	2005	0
80	1	2	91	245	2009	21037
81	1	1	0	245	2008	21488
82	1	2	90	0	2009	50367
83	1	2	101	245	2008	3815
84	1	1	0	294	2008	21168
85	1	2	0	335	2005	53223
86	1	1	0	235	2005	0
87	1	2	0	271	2008	21448
88	1	2	90	317	2009	9220
89	1	2	0	266	2007	53660
90	1	1	99	284	2006	20965
91	1	2	0	362	0	0
92	1	1	0	364	0	21742
93	2	2	0	271	2005	3796
94	1	1	0	0	0	20913
95	1	2	0	290	2006	21636
96	1	1	86	368	2009	9235
97	1	2	0	256	2007	52347
98	1	0	0	0	0	0
99	1	2	101	386	2008	21459
100	1	1	0	235	2007	21497
101	1	2	94	315	2005	21487
102	1	1	0	368	2008	21094
103	1	1	0	375	2008	21242
104	1	1	0	252	0	0
105	1	1	0	316	0	20853
106	1	1	0	280	2005	21628
107	1	2	0	382	2006	50367
108	1	1	100	345	2006	20907
109	1	2	89	290	2008	21122
110	1	1	90	324	2008	21678
111	1	1	87	256	2007	20952
112	1	1	100	246	2008	21083
113	1	1	0	389	2007	0
114	1	1	0	266	2006	21463
115	1	1	88	377	0	59217
116	1	2	0	0	0	0
117	1	2	0	296	2007	21475
118	1	2	0	397	2006	8881
119	1	1	100	290	0	0
120	2	2	0	0	0	52806
121	1	1	0	235	2007	17581
122	1	2	0	255	2006	9084
123	1	1	86	274	2009	20838
124	1	1	0	260	0	20884
125	1	1	90	254	2008	21621
126	1	1	101	330	0	21158
127	1	1	89	324	2009	16257
128	1	1	0	280	2006	21510
129	1	2	0	271	2006	21155
130	1	1	0	368	2005	21235
131	1	1	0	271	0	21462
132	1	1	0	393	2006	50506
133	1	1	0	335	2006	16320
134	1	1	0	321	2006	21037
135	1	1	86	290	2009	52806
136	1	1	0	266	2006	21784
137	1	2	111	363	0	16497
138	1	1	0	377	2004	21411
139	1	1	0	297	2008	21455
140	1	2	90	271	2009	20847
141	1	2	0	335	2006	0
142	1	2	86	252	2009	0
143	1	2	99	297	2007	9285
144	1	2	0	368	2005	50075
145	1	1	91	330	2008	21362
146	1	1	0	378	2006	16960
147	1	2	0	335	2006	3736
148	1	1	0	243	2005	21703
149	1	1	86	391	2008	21163
150	2	2	0	271	2005	20924
151	1	1	0	271	2006	0
152	1	1	87	0	2005	21418
153	1	1	0	362	2009	21653
154	1	1	0	377	2006	21618
155	1	1	0	245	0	16235
156	2	2	0	324	2005	0
157	1	2	88	269	2008	21474
158	1	2	90	368	2009	21841
