node	student	gender	dorm	major	year	school
0	1	1	60	175	2008	50009
1	1	1	62	0	2008	17242
2	1	1	71	164	2006	0
3	1	1	67	146	2008	23748
4	1	1	59	0	2009	50382
5	1	1	0	137	0	50104
6	1	2	53	147	2008	22250
7	1	1	72	160	2009	50132
8	4	0	0	0	0	0
9	1	2	55	134	2007	17238
10	1	1	67	128	2006	3572
11	1	1	70	144	2006	0
12	1	1	66	147	2006	16761
13	1	0	0	0	0	0
14	1	2	66	170	2008	52678
15	1	1	55	170	2006	0
16	1	1	58	0	2008	9415
17	2	1	0	137	2005	50502
18	1	1	0	162	2006	18104
19	1	2	67	0	2009	50045
20	1	1	67	0	2009	9586
21	1	2	0	0	2009	50161
22	1	2	52	164	2008	9753
23	1	1	61	137	2007	50188
24	1	1	0	127	2008	3570
25	1	2	51	147	2008	2061
26	1	2	70	133	2005	50398
27	2	2	0	153	2004	9580
28	1	1	67	0	2009	17907
29	1	0	0	0	0	0
30	1	2	72	134	2009	50024
31	1	1	72	0	2009	3674
32	1	2	60	134	2007	9580
33	1	2	59	134	2009	9437
34	1	1	69	160	0	50336
35	1	1	71	125	2006	0
36	1	2	52	0	2009	3677
37	1	2	72	0	2009	50060
38	2	2	64	144	2004	17402
39	1	0	0	0	0	0
40	1	1	52	160	2007	51247
41	1	1	71	167	2007	21531
42	1	2	67	134	2009	9324
43	2	1	70	125	2005	9771
44	1	2	0	164	2009	3564
45	1	2	55	136	2009	9771
46	1	1	0	166	2006	16895
47	2	1	0	0	2008	9076
48	1	1	62	170	2007	3583
49	2	0	71	166	0	9611
50	1	2	54	158	2007	16849
51	1	2	65	137	2006	52215
52	1	0	0	0	0	0
53	1	1	0	0	2007	9372
54	1	2	75	134	2005	9580
55	1	1	67	0	2009	50378
56	1	1	62	168	2006	50006
57	1	2	62	134	2007	9428
58	1	1	67	147	2008	0
59	1	1	67	0	2009	50009
60	1	1	63	135	2006	3610
61	1	2	0	136	2007	9805
62	1	1	71	166	2006	3575
63	2	2	0	136	2005	51177
64	1	2	0	162	2006	5725
65	1	2	63	162	2008	17836
66	1	2	61	137	2008	3632
67	1	1	72	0	2008	2381
68	1	2	72	162	2009	0
69	1	0	0	128	2007	6237
70	1	1	75	128	2006	9318
71	1	2	60	134	2007	16383
72	2	1	0	166	2005	50494
73	1	2	51	123	2007	50595
74	1	1	63	134	2008	9771
75	1	2	67	127	2009	18056
76	1	1	67	0	2009	25279
77	1	1	59	0	2009	50533
78	1	2	72	137	2007	52089
79	1	2	57	134	2007	3716
80	1	1	58	166	2007	9441
81	1	1	61	137	2009	53323
82	2	2	0	134	2005	9580
