node	student	gender	dorm	major	year	school
0	1	2	0	64	2005	3840
1	1	1	83	0	2008	9669
2	2	2	0	70	0	9570
3	1	1	31	90	2010	17661
4	1	1	83	85	2006	20853
5	1	1	39	86	2008	17507
6	2	2	0	85	2004	9612
7	1	1	40	85	2008	0
8	1	2	38	52	0	51043
9	1	1	35	0	2009	50582
10	1	2	36	56	2009	9343
11	1	2	45	52	2007	16448
12	1	1	44	0	2008	9753
13	1	2	44	100	2008	9783
14	1	2	78	103	2006	9624
15	1	1	38	0	2009	3571
16	2	1	83	52	2005	3633
17	1	1	0	102	2006	842
18	1	1	42	102	2008	9536
19	1	2	81	0	0	9678
20	1	2	34	89	2006	9313
21	1	1	83	86	2007	9495
22	1	1	83	92	2007	3151
23	1	2	0	108	2008	22187
24	1	1	83	61	2006	9787
25	1	2	44	0	2008	17294
26	1	2	40	61	2008	0
27	5	2	0	62	0	52041
28	1	1	64	61	2007	0
29	1	2	0	98	2007	0
30	2	1	0	64	2005	21653
31	1	1	42	86	2007	9650
32	1	2	0	0	0	0
33	1	2	47	52	2008	50534
34	1	1	0	99	2009	50963
35	1	2	31	118	0	9625
36	2	2	61	0	2004	0
37	1	1	83	86	2007	6392
38	1	2	83	99	2007	50143
39	1	2	83	52	2006	15945
40	2	1	0	46	0	9366
41	1	1	36	0	2009	17880
42	1	1	41	0	2009	6399
43	1	1	83	61	0	3632
44	5	1	0	86	0	9382
45	2	1	0	98	2004	50167
46	2	2	0	102	2005	9435
47	1	2	48	102	2006	22201
48	4	2	0	0	0	0
49	1	0	0	0	0	0
50	1	1	32	85	2008	50096
51	1	2	74	98	2006	50909
52	2	1	83	52	2005	3003
53	2	2	0	86	2004	0
54	1	2	83	61	2006	17907
55	1	2	40	63	2008	50063
56	1	1	72	121	2008	818
57	1	2	36	51	2008	18003
58	1	0	0	0	0	0
59	2	2	0	51	2005	17763
60	1	1	37	61	2005	16032
61	1	0	0	0	2006	5971
62	2	2	0	99	2004	0
63	1	1	0	98	2006	50582
64	1	2	63	61	2008	50694
65	1	2	44	103	2008	9773
66	1	1	47	52	2007	51715
67	1	2	0	64	2005	21094
68	1	0	0	0	0	0
