node	student	gender	dorm	major	year	school
0	1	2	0	24	2006	50221
1	1	2	0	5	2007	6138
2	1	1	0	52	2007	2665
3	1	1	206	63	2006	24510
4	4	2	0	0	0	0
5	1	2	207	2	2008	16763
6	1	2	0	25	2009	8644
7	1	1	0	68	2009	22313
8	1	2	0	5	2008	4572
9	5	0	0	0	0	0
10	1	2	0	36	2007	0
11	1	1	239	45	2006	9224
12	1	1	236	32	2007	21495
13	2	1	237	55	2004	3735
14	1	2	223	62	2006	8647
15	1	2	221	5	2009	22359
16	1	1	205	51	2008	24694
17	1	2	0	7	2007	16761
18	1	0	0	0	0	0
19	1	2	0	45	2008	0
20	1	1	0	41	2006	23971
21	1	2	207	11	2008	55023
22	1	2	202	57	2006	19687
23	1	1	0	0	0	8670
24	2	2	0	54	2005	18632
25	1	1	237	27	2007	2561
26	1	1	214	45	2009	8344
27	1	2	0	11	2006	0
28	1	0	0	36	0	9567
29	1	0	0	0	0	0
30	1	1	0	47	2006	8617
31	1	0	221	55	2007	17060
32	1	2	217	31	2006	50075
33	2	0	238	4	2004	17116
34	1	2	207	4	2009	16119
35	1	1	212	11	2009	50258
36	1	2	225	31	2005	4800
37	1	1	214	0	2008	17154
38	2	1	0	3	2004	51069
39	1	1	206	57	2009	25280
40	1	1	238	27	2008	6399
41	1	2	227	11	2006	0
42	1	1	206	53	2009	52856
43	1	1	233	0	2008	16546
44	1	1	0	12	2007	18676
45	5	2	225	31	2005	15987
46	1	0	0	0	0	0
47	1	2	212	54	2009	6399
48	2	2	0	55	2004	8631
49	1	1	208	54	2008	26401
50	1	1	212	0	2009	20846
51	1	2	0	48	2007	8644
52	1	2	0	52	2006	17377
53	1	1	206	69	2009	9252
54	2	2	0	5	2005	50192
55	1	2	0	0	2008	4334
56	1	2	0	26	2008	52899
57	1	1	238	57	2008	4276
58	1	2	213	15	2008	4432
59	1	2	207	55	2008	0
60	5	1	0	69	2005	25621
61	1	2	0	18	2007	0
62	2	1	0	18	0	0
63	1	2	225	31	2006	51427
64	1	1	0	57	2008	970
65	1	2	0	55	0	17640
66	1	2	215	31	2006	6126
67	1	2	0	45	2006	21781
68	5	2	0	36	2004	6170
69	2	2	218	0	0	24119
70	2	2	242	23	2005	8648
71	1	2	209	55	2009	4780
72	1	2	207	21	2009	52545
73	1	1	205	5	2009	24038
74	1	1	0	12	2006	50124
75	1	2	0	43	2006	16159
76	1	1	233	11	2007	50003
77	2	1	0	27	2004	16805
78	5	0	0	0	0	0
79	1	0	205	25	2007	0
80	1	2	213	31	2006	8617
81	1	2	203	0	2009	1701
82	1	2	202	36	2005	50924
83	1	1	206	0	2009	50236
84	1	1	230	18	2008	17888
85	5	2	0	69	0	0
86	1	2	223	31	2006	7833
87	1	2	0	54	2006	4001
88	2	2	0	27	2004	8338
89	1	1	207	0	2009	9493
90	1	1	0	11	2006	50261
91	1	1	202	8	2007	12234
92	1	2	0	1	2006	4312
93	1	2	203	27	2009	18677
94	1	2	202	10	2007	1031
95	1	2	0	52	0	0
96	2	2	0	54	2003	20846
97	5	2	241	36	0	24089
98	2	2	0	42	2003	8647
99	1	2	0	36	2005	15876
100	2	1	0	57	2005	18151
101	2	1	0	31	2005	0
102	5	1	0	0	2007	2623
103	1	2	229	55	2007	0
104	1	2	0	30	2010	53826
105	1	2	0	27	2006	8760
106	1	1	0	51	2007	10213
107	1	0	233	27	2007	23099
108	1	2	225	11	2008	17870
109	2	1	230	42	2005	1426
110	1	0	228	31	2006	9343
111	1	2	203	11	2009	5491
112	1	2	0	11	2006	5852
113	1	1	0	11	2007	4092
114	1	1	0	57	2007	1384
115	2	1	0	0	2004	0
116	5	2	0	5	2008	8654
117	1	2	213	11	2007	8443
118	1	2	225	12	2006	50985
119	1	2	207	53	2006	15407
120	1	0	0	0	0	0
121	2	2	202	36	2005	17870
122	1	2	0	24	2008	3386
123	1	2	0	5	2007	50240
124	1	2	216	55	0	23994
125	5	2	0	57	0	0
126	1	1	207	4	2009	4680
127	1	2	212	26	2008	9021
128	1	2	208	10	2008	17353
129	1	2	227	45	2008	5934
130	1	0	225	42	2007	3749
131	1	1	0	0	0	0
132	5	2	0	0	0	12304
133	1	0	0	0	0	1429
134	1	1	207	0	2008	23649
135	2	0	0	0	0	0
136	2	1	236	51	2005	4700
137	1	2	212	13	2009	9176
138	5	2	0	45	2004	8357
139	1	2	0	21	2006	3749
140	5	2	0	0	2007	20495
141	1	2	0	11	2008	17060
142	1	2	229	10	2008	20259
143	1	1	230	11	2008	3871
144	1	2	212	25	2008	12120
145	1	1	202	57	2006	0
146	1	2	221	0	2008	25085
147	1	2	0	5	2009	0
