node	student	gender	dorm	major	year	school
0	1	1	0	159	2008	56294
1	1	2	0	134	2009	4389
2	1	1	0	135	0	4151
3	1	1	105	142	2007	56294
4	1	2	85	208	2009	4416
5	1	1	0	185	2006	4122
6	1	2	106	179	2005	55810
7	5	1	0	181	2005	4071
8	1	2	107	194	2007	4405
9	1	1	0	222	2007	4565
10	1	2	0	143	2005	4637
11	1	2	52	200	2009	0
12	1	2	116	134	0	4032
13	1	2	104	145	2007	4234
14	1	1	105	212	2008	4351
15	1	1	83	131	2009	4050
16	1	1	0	208	2009	51102
17	1	2	0	179	2008	3967
18	1	1	116	221	2009	4495
19	1	1	105	208	2008	4512
20	1	2	0	200	2006	50795
21	1	2	74	129	2008	4582
22	1	2	110	181	2007	4462
23	1	1	86	222	0	50228
24	1	2	78	179	2009	4233
25	1	1	0	120	2007	23817
26	1	2	115	225	2009	4110
27	1	2	0	220	2007	4338
28	1	2	108	139	2009	3953
29	1	2	115	204	2007	0
30	1	2	0	148	2008	4384
31	1	2	74	135	2008	4545
32	1	1	79	120	2009	50451
33	1	1	131	179	2008	3945
34	1	2	0	146	2005	4416
35	1	2	52	139	2009	4022
36	1	2	109	223	2005	4603
37	1	1	115	155	0	3924
38	1	1	0	194	0	4206
39	1	2	79	219	0	4391
40	1	1	104	150	2006	4102
41	1	1	94	222	2008	4206
42	1	2	0	165	2004	4092
43	1	1	0	225	2007	4012
44	1	1	0	0	2007	4050
45	1	1	107	0	2009	4416
46	1	1	82	222	2009	4588
47	1	1	53	222	2009	4423
48	1	1	0	118	0	4640
49	1	1	108	213	2006	3973
50	1	1	105	221	2006	4406
51	1	2	0	145	2007	4276
52	1	1	114	212	2007	4133
53	1	2	105	135	0	3924
54	1	1	0	165	0	51232
55	1	2	0	154	2005	51590
56	1	1	0	120	2005	4380
57	1	1	86	179	0	4446
58	2	2	0	145	2005	50818
59	5	2	0	235	0	4051
60	1	2	105	187	2009	3936
61	1	1	0	194	2007	4032
62	1	1	0	193	2006	4568
63	1	2	95	200	2006	50509
64	1	1	89	179	2008	4338
65	1	1	105	192	0	5123
66	1	1	57	134	2009	52361
67	1	1	0	199	2008	52078
68	1	2	0	165	2009	0
69	1	1	105	176	2007	18245
70	1	2	0	145	2008	0
71	1	1	105	222	2004	4445
72	1	0	0	0	0	17126
73	1	1	91	0	2008	3935
74	1	1	121	179	2008	4281
75	1	2	0	208	2008	4151
76	1	1	105	225	0	4038
77	5	0	0	0	0	0
78	1	2	0	0	2009	4377
79	1	1	0	0	2008	16744
80	1	1	108	179	2008	4527
81	1	1	105	161	2009	4004
82	1	2	0	221	2007	3998
83	1	2	105	0	2009	3897
84	1	1	76	205	2008	4545
85	1	2	131	222	2008	4217
86	1	1	100	0	2009	53317
87	1	2	0	221	2006	4494
88	1	1	124	150	2007	51363
89	1	2	78	149	2009	60495
90	1	2	56	198	2009	4033
91	1	1	83	200	0	4571
92	1	0	0	0	0	0
93	1	2	83	135	0	50093
94	1	1	58	221	2007	4053
95	1	1	104	212	2009	4307
96	2	1	0	200	2005	16379
97	1	2	0	143	2007	3519
98	1	1	84	220	2008	25187
99	1	1	0	222	2007	0
100	1	1	121	194	0	0
101	2	1	107	120	2000	3897
102	1	1	0	134	2006	52361
103	1	1	0	135	2009	51021
104	1	2	87	135	2008	4423
105	1	1	128	178	2009	3908
106	1	1	0	134	2005	20969
107	1	2	0	204	0	51611
108	1	2	0	221	2007	3953
109	1	1	107	173	2008	50140
110	5	1	0	118	2006	4014
111	1	1	51	149	2009	4237
112	1	2	0	222	2007	4384
113	1	1	121	212	2009	3953
114	1	2	0	137	2009	4404
115	1	2	104	135	2008	4448
116	1	1	117	120	2006	4154
117	1	2	105	217	2008	4023
118	1	2	0	145	2005	4151
119	1	1	105	120	2008	55715
120	1	1	0	179	2007	52659
121	1	2	95	192	2007	3899
122	1	1	105	212	2008	3986
123	1	2	105	121	2008	4423
124	1	1	86	0	2005	4134
125	1	2	106	183	2005	3911
126	2	2	0	165	2005	4346
127	1	1	102	150	0	4258
128	1	2	0	175	2008	4374
129	1	2	116	148	2008	4594
130	5	1	0	169	2005	18990
131	1	2	52	176	0	4449
132	1	2	78	169	2009	3936
133	1	2	85	144	2009	25266
134	2	1	0	177	2004	4593
135	1	2	0	198	2007	3981
136	1	2	112	200	2006	3991
137	1	2	115	151	2006	4169
138	1	1	0	134	2008	4392
139	1	1	105	155	2006	4482
140	1	1	128	120	2008	4449
141	1	2	106	135	2007	3990
142	1	2	0	204	2008	4429
143	1	2	85	139	2009	4134
144	1	1	0	120	2008	4169
145	1	2	0	179	2009	0
146	1	1	57	208	0	4023
147	1	2	115	179	2006	4481
148	1	1	0	251	2009	51427
149	1	2	112	148	2008	21965
150	1	2	0	134	2008	3874
151	1	1	0	221	2007	4014
152	1	1	102	220	2007	4294
153	1	1	0	245	2006	4603
154	1	2	0	149	2007	4639
155	1	2	0	148	2007	4234
156	1	1	85	200	2008	4492
157	1	2	58	129	2008	3966
158	2	1	0	222	2005	16259
159	1	2	0	210	0	4488
160	1	1	51	175	2009	3945
161	1	2	105	148	2008	4468
162	1	2	127	194	0	4092
163	1	2	109	220	2008	3941
164	1	2	58	179	2008	3622
165	1	2	64	204	2009	4423
166	1	2	0	165	2005	4529
167	1	1	86	135	2008	3970
168	1	1	115	149	2007	4538
169	1	1	83	134	2009	3943
170	1	1	118	135	2007	3966
171	1	1	82	220	2009	52525
172	1	1	73	212	2008	4488
173	1	2	0	225	0	3904
174	5	2	111	181	2007	4583
175	1	2	0	183	0	53682
176	1	1	0	150	0	3921
177	1	1	127	142	2009	61056
178	1	1	0	179	2005	4049
179	1	2	87	204	0	4501
180	1	2	0	220	2006	4624
181	1	1	83	252	2008	50404
182	2	2	0	198	0	0
183	1	1	0	158	2006	0
184	1	1	94	221	0	0
185	1	2	0	204	2008	4380
186	1	1	81	169	2009	50213
187	1	2	52	204	2009	4538
188	1	1	91	200	2006	4169
189	1	2	0	135	2006	4495
190	1	2	112	178	2007	26732
191	1	1	52	176	2009	0
192	1	1	0	222	2008	4495
193	1	2	109	154	2007	4230
194	1	1	0	222	2005	4086
195	5	1	0	0	0	3951
196	1	2	0	149	0	0
197	1	1	108	222	2006	3966
198	1	2	0	221	0	4249
199	1	2	0	221	0	16390
200	1	2	0	177	0	4957
201	1	1	83	142	2009	4560
202	1	1	0	192	2009	0
203	2	2	95	200	0	0
204	1	1	105	220	2009	4624
205	1	1	0	0	2009	8531
206	1	1	0	222	0	4543
207	1	2	0	179	2008	3871
208	1	1	0	179	0	4313
209	1	2	0	135	2009	0
210	1	2	0	139	2009	4639
211	1	2	83	204	2009	3874
212	1	2	109	135	2008	22935
213	1	1	0	200	0	3908
214	1	1	115	200	2008	3951
215	1	1	0	208	2009	4404
216	1	2	105	221	2009	4538
217	1	2	106	160	2005	3876
218	1	1	128	223	2008	4488
219	1	1	105	194	2008	50433
220	1	2	0	143	2005	3951
221	1	1	108	225	2005	50451
222	1	1	0	222	0	4495
223	1	1	105	0	2008	4342
224	1	2	0	165	0	4404
225	1	2	105	154	0	51833
226	1	2	0	200	2006	4413
227	1	2	0	222	2005	4381
228	5	2	0	145	0	0
229	1	2	0	157	2008	4384
230	1	2	0	183	2007	4588
231	1	0	0	0	0	3971
232	1	1	0	208	2008	22092
233	1	2	0	158	0	4405
234	1	2	108	169	2007	17380
235	1	1	123	194	2007	55352
236	1	1	107	200	2007	3934
237	1	2	80	160	2009	4071
238	1	1	116	212	2009	4141
239	1	1	0	0	0	4007
240	1	2	104	158	2009	4276
241	1	2	87	148	2006	3942
242	1	1	89	222	2006	3979
243	1	1	51	169	2009	0
244	1	1	94	146	2006	4585
245	1	2	106	165	2008	4610
246	1	1	107	165	2007	4336
247	1	2	0	222	0	4140
248	1	2	105	247	2007	25360
249	1	2	0	148	2009	4230
250	1	1	0	234	2008	3977
251	2	1	101	249	2005	20941
252	1	2	83	121	2009	4629
253	1	2	108	145	0	3967
254	1	2	114	139	2008	4453
255	1	2	0	198	2010	4234
256	1	2	0	135	0	3993
257	1	1	0	212	2007	3916
258	1	1	0	179	2008	4405
259	1	1	0	205	2009	50451
260	1	2	53	120	0	4276
261	1	1	83	252	2009	4543
262	5	1	0	201	2004	4599
263	1	1	0	221	2008	9592
264	1	1	0	200	0	4349
265	1	1	90	120	2008	3974
266	1	2	0	0	0	0
267	1	1	0	193	2007	4235
268	1	1	0	165	2005	4318
269	1	1	105	208	2009	4155
270	1	2	128	143	2008	4006
271	1	2	0	0	2008	4005
272	1	2	0	221	2008	51363
273	1	1	0	134	2008	3871
274	1	1	0	223	2005	4378
275	1	2	0	164	2007	3945
276	1	2	116	135	2007	4141
277	2	2	0	198	2005	4544
278	1	1	0	200	0	25507
279	2	1	0	200	2005	0
280	1	1	0	231	2007	52179
281	1	1	60	212	0	4445
282	1	2	115	135	2007	4006
283	1	1	107	127	2005	4233
284	2	1	91	155	2004	50222
285	1	1	0	225	2007	3972
286	5	1	91	152	0	4332
287	1	1	0	222	2006	4425
288	1	1	85	245	2009	51427
289	1	1	0	134	2006	4140
290	1	2	0	165	2005	4338
291	1	1	0	185	2005	17478
292	1	1	0	176	2005	4449
293	1	2	105	0	2008	3968
294	1	1	100	200	0	4405
295	1	1	0	222	0	4543
296	1	1	0	175	2007	4357
297	1	1	0	134	2006	4014
298	1	2	122	204	2007	4640
299	1	2	0	135	2007	4217
300	1	1	80	135	2009	52005
301	1	1	0	0	0	4206
302	1	1	107	129	2008	4093
303	1	1	107	179	2008	21911
304	5	2	0	144	0	9212
305	1	1	0	212	0	4481
306	1	1	0	178	2006	0
307	2	1	101	213	2005	3973
308	1	1	55	225	2009	4093
309	1	1	101	200	0	51900
310	1	1	0	142	2008	4110
311	1	2	0	149	2009	4281
312	2	1	108	151	2005	4422
313	1	2	0	165	2007	3899
314	1	1	102	155	0	3966
315	1	1	80	225	2009	53682
316	1	2	0	164	2006	0
317	1	1	0	208	2007	4384
318	1	1	117	181	2007	61291
319	1	2	109	155	2007	4235
320	1	1	0	222	2007	380
321	1	2	112	223	2006	3934
322	1	2	54	169	0	3897
323	2	1	102	222	2005	4599
324	1	2	107	220	0	3874
325	1	0	0	120	0	4639
326	1	1	105	231	2007	17496
327	1	1	121	179	2008	4251
328	1	1	0	212	2007	4639
329	1	1	55	200	2009	4007
330	1	1	105	135	2009	17377
331	1	1	0	208	0	4093
332	1	1	0	152	2007	4151
333	1	1	60	245	2008	4462
334	1	2	0	134	2005	4380
335	1	1	105	212	2006	4349
336	2	2	0	0	2005	4233
337	1	1	81	222	0	4508
338	1	1	0	193	0	0
339	5	2	0	152	0	3875
340	1	2	0	177	0	4543
341	1	1	123	155	2006	3970
342	1	1	107	177	2007	4591
343	1	2	0	252	2008	4404
344	1	1	0	0	2009	50622
345	1	2	114	149	2006	4132
346	1	1	109	139	2007	50140
347	1	2	105	209	0	24552
348	1	2	0	149	2009	4640
349	1	1	0	155	2007	4639
350	2	1	0	120	2005	3953
351	1	1	104	222	0	52456
352	1	1	121	222	2008	4423
353	1	1	134	187	2007	50140
354	1	1	0	245	2009	4133
355	1	1	0	222	2005	4543
356	2	2	0	185	2005	3973
357	1	1	0	194	2005	4345
358	1	2	0	135	2008	24989
359	1	1	52	134	2009	4023
360	1	2	0	249	2005	3979
361	1	1	0	179	2008	4640
362	1	1	0	118	2006	4640
363	2	2	0	194	2005	4237
364	1	1	104	0	2008	4133
365	2	1	0	0	0	4423
366	1	2	0	127	2006	4230
367	1	2	0	179	2008	17309
368	1	2	61	0	2008	4425
369	1	1	0	222	2006	4482
370	1	2	0	118	2009	4639
371	1	1	0	200	0	4110
372	1	1	105	179	2009	4005
373	1	2	106	157	2008	51427
374	1	1	0	179	2007	4492
375	1	1	124	155	2007	4495
376	1	2	56	0	2009	51900
377	1	1	56	225	2009	0
378	1	1	69	212	2009	4102
379	1	2	0	118	0	4382
380	1	1	0	222	2006	4469
381	2	2	0	194	0	4423
382	1	1	115	179	2007	4566
383	1	1	0	0	2008	4338
384	2	1	0	194	2004	51921
385	1	2	105	143	2009	56294
386	1	2	104	0	0	4276
387	1	0	121	208	2006	4133
388	1	1	104	225	2009	4251
389	1	2	115	171	0	4156
390	1	2	54	208	2009	0
391	1	2	97	208	2007	4429
392	1	2	64	145	2008	3979
393	2	2	0	0	2004	4640
394	1	1	0	179	2005	4135
395	1	1	83	0	2009	51102
396	1	2	86	145	2009	3905
397	1	1	114	252	2007	52756
398	1	1	0	222	2007	1429
399	1	1	0	179	2007	4492
400	1	2	136	187	2009	4494
401	1	2	55	183	2009	50579
402	1	1	0	179	2008	4119
403	1	1	104	212	2008	4006
404	1	1	55	198	2009	4588
405	1	2	55	0	0	0
406	1	1	87	148	2009	51102
407	1	2	117	249	0	4023
408	1	1	0	221	2008	4237
409	1	2	105	200	2008	0
410	1	1	114	0	2008	4134
411	1	2	0	135	2007	55164
412	1	1	101	120	2006	50222
413	1	1	63	222	2009	3951
414	1	2	57	204	2009	4588
415	1	2	0	212	0	4142
416	1	2	104	145	2009	60010
417	1	1	0	222	2007	4425
418	1	1	0	129	2008	4425
419	1	1	0	194	2007	3904
420	1	2	88	203	2008	51611
421	1	1	91	213	2007	52932
422	1	1	107	169	2007	4369
423	1	1	68	225	2007	4269
424	1	2	80	178	2009	55030
425	5	1	0	222	2004	4462
426	1	2	107	134	2008	4310
427	1	2	116	222	2007	4626
428	1	2	0	169	2006	4626
429	1	1	54	217	2009	61239
430	1	1	0	155	2007	52746
431	1	1	0	145	2006	0
432	1	2	0	183	2006	4014
433	1	1	85	0	2009	4355
434	1	0	0	0	0	0
435	1	1	82	210	2009	4588
436	1	1	0	165	2006	3973
437	1	2	106	165	2006	4492
438	1	2	0	143	2005	4637
439	1	1	0	222	2006	4344
440	1	2	0	165	2006	4461
441	1	2	87	164	2006	3897
442	1	1	114	239	2009	60170
443	2	0	91	222	2005	4423
444	1	1	57	192	2009	4251
445	1	1	105	148	2008	4051
446	1	1	0	0	0	3979
447	1	2	0	135	2007	3989
448	1	2	121	223	2006	0
449	1	2	104	198	2009	4011
450	1	1	89	222	2008	4479
451	5	2	0	243	2005	0
452	1	1	114	213	0	24035
453	1	1	115	208	2009	0
454	1	2	105	145	2008	4230
455	1	2	0	129	2006	4544
456	1	2	0	143	0	4033
457	1	1	55	0	2009	3977
458	4	1	0	0	0	4217
459	1	1	84	120	2009	22234
460	1	1	107	0	2008	53317
461	1	2	105	135	2009	4423
462	1	2	0	148	2007	4416
463	1	0	89	149	2008	4093
464	1	1	105	222	2009	3899
465	1	1	0	169	2008	53163
466	1	2	107	222	2006	4033
467	1	2	96	0	0	4514
468	1	1	0	129	0	3924
469	1	1	82	203	2009	51021
470	1	2	107	120	2007	3953
471	1	1	124	234	2007	4512
472	1	1	101	118	2006	4378
473	1	2	84	198	2009	3897
474	1	2	131	120	2008	54358
475	1	2	0	220	2009	56648
476	1	1	117	150	2009	4133
477	1	1	0	200	2006	0
478	1	1	82	0	2009	4294
479	1	1	115	225	2009	16250
480	1	1	108	200	0	4533
481	1	2	104	202	2009	4453
482	1	1	108	222	2008	4234
483	1	2	127	176	2005	4235
484	1	1	86	222	2009	0
485	1	1	66	208	2009	3953
486	1	1	116	200	2008	4454
487	1	2	113	121	2008	3986
488	1	2	0	177	2007	4097
489	1	0	0	0	0	0
490	1	1	82	152	2009	4374
491	1	1	100	194	2005	3967
492	1	1	0	120	2007	4492
493	1	1	0	179	2008	50366
494	1	2	0	145	2005	55352
495	2	1	117	148	2005	4276
496	1	1	104	179	2008	4456
497	1	1	131	194	2006	4588
498	1	0	313	0	2007	54217
499	1	2	0	187	2008	4384
500	1	1	83	222	2009	4334
501	1	2	104	208	2005	50404
502	1	1	107	204	2008	51102
503	1	2	96	118	2008	4405
504	1	2	105	165	2009	50114
505	1	2	106	0	2009	50404
506	1	1	0	185	2006	3918
507	1	1	0	192	2009	51496
508	1	1	128	203	2009	0
509	1	1	0	118	2006	3966
510	1	2	81	208	2007	0
511	1	2	0	0	2009	4416
512	5	2	117	148	0	4061
513	1	2	109	222	0	51833
514	1	2	0	198	2006	4185
515	1	2	0	139	2008	51363
516	1	1	0	194	2006	22873
517	1	2	0	179	2008	55164
518	1	2	107	208	2005	3874
519	1	1	0	135	2006	16229
520	1	2	0	192	2007	4423
521	1	2	0	187	2008	4297
522	2	1	94	200	2005	4551
523	1	1	83	120	2009	4597
524	1	1	56	165	0	4519
525	1	2	122	139	2006	51611
526	1	2	0	182	2007	4404
527	1	1	0	150	0	4551
528	1	1	121	222	2009	4578
529	1	2	0	192	0	0
530	1	2	83	135	2009	3897
531	1	1	117	200	2007	4599
532	1	1	115	179	0	4169
533	1	1	105	222	0	6668
534	1	2	115	179	2008	4490
535	1	2	84	222	2005	4384
536	1	2	106	165	2008	4381
537	1	2	106	139	2006	4357
538	1	2	97	200	2007	6100
539	2	1	0	213	2005	4025
540	1	2	82	139	2004	4117
541	1	2	0	164	0	4381
542	1	2	74	185	2008	4594
543	1	2	82	151	2009	51159
544	1	1	0	213	2006	3871
545	1	1	86	146	2009	3972
546	1	1	0	155	0	4522
547	1	1	105	134	2006	4425
548	1	1	54	134	2008	6211
549	1	1	0	142	2005	4151
550	1	2	86	145	2006	3941
551	1	2	0	200	2006	3874
552	1	2	108	208	2006	50093
553	1	2	87	245	2008	55352
554	1	1	56	152	2009	3899
555	1	1	56	162	2009	0
556	1	2	104	222	2006	4588
557	2	2	0	145	2004	4544
558	1	2	87	194	2008	4423
559	1	2	105	185	2008	4281
560	1	1	84	0	2009	51496
561	1	1	0	213	0	4404
562	1	2	0	120	0	4637
563	1	2	105	165	2008	257
564	1	1	57	210	2009	4597
565	1	1	87	0	0	3972
566	1	1	0	165	0	50723
567	1	2	107	135	2008	4543
568	1	2	84	221	2009	50093
569	1	1	0	212	0	0
570	1	2	0	204	2009	4380
571	1	1	79	175	2009	3966
572	1	2	0	187	2008	3898
573	1	1	101	198	2007	4639
574	1	1	68	208	2008	58931
575	1	1	0	177	2006	52550
576	1	2	0	143	0	0
577	1	1	0	135	2008	4378
578	2	1	0	225	2004	0
579	1	1	105	208	2005	4422
580	1	2	0	192	2008	4336
581	1	1	0	159	0	4599
582	1	1	117	150	2008	55089
583	1	2	105	225	0	51611
584	1	1	128	212	0	50795
585	1	2	0	183	2005	4594
586	1	2	0	148	0	4217
587	1	2	136	204	2006	4119
588	1	1	0	177	2007	3966
589	1	1	116	120	2009	3953
590	1	1	0	212	0	3897
591	1	2	0	165	2006	4448
592	1	2	0	118	2007	22160
593	1	2	0	181	2007	4092
594	1	1	0	0	2005	56294
595	1	1	121	0	0	3966
596	1	2	0	181	2006	4416
597	1	2	0	149	2008	4404
598	1	2	0	118	2007	4344
599	1	1	0	179	2008	4092
600	1	2	0	146	2006	4233
601	1	1	83	135	2009	0
602	1	1	86	155	2009	9570
603	1	2	122	222	2006	4501
604	1	1	121	118	2008	4499
605	1	1	0	0	2008	4378
606	5	2	0	222	2004	4521
607	1	2	65	129	2009	3899
608	1	1	101	222	2007	50140
609	1	1	81	135	2009	4597
610	1	1	84	175	2008	26602
611	1	1	102	142	2008	3899
