node	student	gender	dorm	major	year	school
0	2	1	0	0	0	2714
1	1	1	95	241	2007	1996
2	1	1	93	284	2006	52491
3	1	1	93	257	2007	2764
4	1	1	94	259	2008	1734
5	1	1	91	269	0	1699
6	1	2	88	0	2008	1268
7	2	2	0	281	0	5230
8	1	2	93	242	2006	1547
9	1	2	88	255	2009	1924
10	1	0	90	259	0	0
11	1	1	90	257	2006	2221
12	2	2	86	266	2005	2661
13	1	1	90	284	2009	1389
14	1	2	90	257	2006	0
15	1	0	0	0	2008	50198
16	1	1	89	268	2006	50219
17	2	2	87	284	2005	1389
18	1	0	0	0	0	0
19	1	2	89	0	2009	1384
20	1	1	88	256	0	0
21	1	1	95	256	2008	50648
22	1	2	86	270	2008	1617
23	1	2	88	278	2008	53192
24	1	2	92	241	2007	3079
25	1	2	86	264	0	1783
26	1	1	94	270	2007	50165
27	1	1	89	267	2005	1778
28	1	1	86	270	2007	2669
29	1	1	91	257	2008	2830
30	1	2	90	0	2008	0
31	1	0	0	0	0	0
32	1	1	91	287	0	2694
33	1	1	95	270	2006	1267
34	1	1	91	284	2008	2210
35	1	2	92	260	2007	1835
36	1	1	89	270	2005	2305
37	1	2	90	238	2009	1741
38	1	2	93	264	2005	2422
39	1	1	95	239	2007	2374
40	2	1	87	254	2002	50500
41	1	2	95	0	2009	2805
42	1	2	93	0	2008	2805
43	1	2	94	240	2008	2793
44	1	1	93	0	0	0
45	1	2	95	261	2006	2882
46	1	2	90	263	2007	1638
47	1	1	87	0	2009	50337
48	1	1	91	266	2008	25085
49	1	1	0	239	2006	2734
50	1	1	90	257	2005	51125
51	1	1	95	0	2007	2849
52	1	2	92	261	0	2522
53	1	1	87	0	2008	2849
54	1	1	0	0	0	3007
55	1	1	91	285	2007	2135
56	1	2	93	0	2008	2868
57	1	1	89	270	0	1607
58	1	1	89	272	2006	1699
59	1	1	0	236	2007	2499
60	1	1	89	271	2009	50499
61	1	1	94	270	2007	2714
62	1	1	88	242	2006	2314
63	1	2	95	257	2009	2849
64	1	2	87	265	2009	54277
65	1	1	87	246	0	3036
66	1	1	93	270	0	50975
67	1	1	91	284	2006	2569
68	1	2	87	261	2007	50261
69	2	1	92	238	2005	50504
70	1	1	0	267	2007	2391
71	2	2	0	273	2005	3135
72	1	2	88	239	2009	2443
73	1	1	91	0	2009	2042
74	1	2	86	0	2010	1662
75	1	1	87	241	2007	2813
76	1	1	90	274	2007	2850
77	1	2	86	275	2007	2702
78	1	2	87	252	2006	56416
79	1	1	86	284	2006	2122
80	1	2	89	284	2009	0
81	1	2	87	236	2005	1608
82	1	1	91	253	2006	55576
83	1	1	0	270	0	0
84	2	1	88	246	2005	2371
85	1	1	88	284	2007	1604
86	1	2	95	239	2008	2767
87	1	2	93	281	2006	2439
88	1	2	88	281	2008	1733
89	1	1	92	275	2006	52401
90	1	1	93	235	2007	51365
91	1	2	95	281	2008	1702
92	1	1	86	260	2008	50003
93	1	1	0	262	0	1855
94	1	1	91	270	2008	1305
95	1	1	0	238	2005	1604
96	1	2	88	259	2008	2760
97	1	1	87	0	2009	3044
98	1	2	87	281	2008	2907
99	1	2	92	249	2008	2066
100	1	2	89	275	2006	3044
101	1	2	90	256	2008	2623
102	1	2	86	260	2008	2416
103	1	2	94	253	2009	2247
104	1	2	91	271	2007	1384
105	1	2	93	277	0	50215
106	1	1	89	281	2009	50526
107	1	1	88	241	2007	2439
108	1	2	88	0	2008	0
109	1	0	86	0	0	0
110	2	1	91	235	2005	2442
111	2	1	91	236	2005	2304
112	1	2	94	281	2006	2864
113	1	1	90	238	2007	53827
114	1	1	91	242	2008	2849
115	1	1	92	268	2008	2705
116	1	0	0	238	0	2215
117	1	1	87	241	2008	2233
118	1	0	0	270	0	2498
119	1	2	93	242	2007	0
