node	student	gender	dorm	major	year	school
0	1	1	60	169	2008	52228
1	1	2	73	169	2008	0
2	1	1	65	179	2007	71
3	1	1	104	171	2008	20481
4	1	1	0	188	2007	17645
5	1	0	0	0	0	0
6	2	2	0	177	2005	50159
7	1	2	61	174	2008	22843
8	1	1	108	138	2007	6993
9	1	1	66	135	2007	9605
10	1	1	59	188	2007	0
11	2	1	102	0	2003	51247
12	1	1	104	0	2008	0
13	2	2	0	166	2003	4296
14	1	1	99	166	2007	8259
15	1	1	59	177	2008	24904
16	5	2	0	143	2007	9159
17	1	0	98	177	2006	19157
18	5	2	102	0	2005	7957
19	1	2	0	179	2006	23146
20	2	1	0	177	2005	23140
21	1	1	0	177	2006	50241
22	5	2	0	143	2005	4050
23	2	2	0	179	2003	23018
24	2	1	98	137	2005	0
25	1	2	84	179	2005	3900
26	2	0	0	184	2003	55674
27	1	1	56	170	2009	22998
28	1	2	53	135	2009	20487
29	1	1	0	158	2006	51452
30	1	1	102	145	0	24027
31	1	2	70	173	2009	50583
32	1	1	67	173	2005	0
33	1	2	94	0	2008	3762
34	1	1	0	177	2006	264
35	1	2	67	189	2009	4006
36	1	2	73	138	2008	22944
37	1	2	64	168	2006	1090
38	1	1	67	166	2009	0
39	1	2	0	166	2006	23341
40	2	2	0	140	2005	4758
41	1	1	64	177	2007	25451
42	1	2	70	169	2009	50354
43	2	1	0	160	2005	9366
44	2	0	0	0	0	0
45	1	2	0	179	2005	0
46	1	1	75	135	2007	50000
47	1	1	105	185	2008	50218
48	2	2	92	166	2001	5105
49	1	1	106	145	0	50074
50	1	1	100	179	2007	24119
51	1	2	63	165	2008	23140
52	1	1	52	173	2009	23613
53	1	1	103	0	2008	6399
54	1	2	81	173	2006	5979
55	2	2	93	0	2005	12293
56	1	2	89	134	2008	4677
57	1	2	73	124	2008	50186
58	1	1	75	0	2008	50553
59	1	1	99	134	2007	22936
60	2	2	0	0	2005	23341
61	1	1	74	166	2006	51335
62	1	2	0	171	2006	50010
63	1	1	0	160	0	22827
64	1	1	69	0	2009	16492
65	1	2	62	135	2008	4009
66	5	2	0	166	0	25205
67	2	0	0	138	2005	3762
68	2	1	0	0	0	6047
69	1	2	0	189	2008	0
70	1	1	0	176	2006	9603
71	5	0	0	184	2006	135
72	1	1	69	166	2009	23649
73	1	2	64	168	2008	22932
74	2	2	0	145	2005	6020
75	2	1	102	0	2003	50693
76	1	2	62	179	2009	50070
77	1	1	66	190	2007	23072
78	1	2	83	179	2006	53853
79	2	2	0	179	2004	6300
80	1	1	99	160	2007	50188
81	1	1	0	134	2008	22927
82	2	1	108	164	2005	50335
83	2	2	0	134	2005	50425
84	2	1	0	190	0	0
85	2	1	0	140	2005	23130
86	1	2	67	179	2009	50025
87	5	0	0	0	0	0
88	1	1	54	0	2009	50917
89	1	1	0	164	2007	8971
90	1	1	0	182	2007	4384
91	5	1	0	143	2007	25230
92	1	1	58	160	2008	55674
93	2	2	0	166	2004	5005
94	1	2	0	169	2006	50050
95	1	2	68	173	2009	50076
96	1	2	73	169	2006	4884
97	2	1	99	172	2005	20576
98	1	2	69	0	2009	3842
99	2	1	0	135	2003	4377
100	1	1	0	178	2006	50688
101	1	1	68	182	2009	50597
102	1	2	0	0	2008	4004
103	1	1	53	169	2009	5071
104	1	1	68	166	2009	9070
105	1	1	56	138	2009	3576
106	1	2	59	184	2005	16821
107	1	0	0	171	2007	24100
108	1	2	80	169	2008	23049
109	2	2	92	169	2005	3284
110	1	1	67	145	2009	50752
111	1	1	98	162	2007	50052
112	1	2	115	179	2007	50701
113	1	1	102	145	2007	3841
114	1	2	0	145	2008	25278
115	2	2	0	179	2003	18418
116	1	1	0	179	2005	50383
117	1	1	67	166	2009	4800
118	1	0	65	160	2007	50338
119	2	1	0	192	2004	22979
120	5	2	0	165	2008	4310
121	1	2	0	174	2006	4700
122	1	2	0	169	2008	15653
123	1	1	60	143	2008	22896
124	1	1	54	0	2009	50059
125	2	1	99	160	2005	7895
126	2	2	0	140	2005	23060
127	1	0	72	166	0	50044
128	1	1	64	177	2008	9157
129	2	1	0	0	2004	9255
130	1	1	64	0	0	0
131	1	1	103	190	2007	8373
132	1	2	71	166	2006	22814
133	1	1	0	139	0	8116
134	1	1	65	169	2007	17858
135	1	2	0	0	2008	51910
136	1	1	0	166	2008	5829
137	2	2	0	124	2005	6668
138	1	1	58	135	2006	26348
139	1	2	54	135	2009	50293
140	5	2	0	143	2006	4530
141	1	2	77	179	2008	16159
142	2	0	0	0	0	0
143	1	0	0	169	0	50643
144	1	1	71	171	2006	4694
145	1	2	55	184	2009	0
146	1	2	74	190	2007	23016
147	1	1	55	166	2005	53045
