node	student	gender	dorm	major	year	school
0	1	1	91	0	2009	3840
1	1	2	90	254	2009	50117
2	1	2	87	270	2009	17763
3	2	2	0	254	2005	16261
4	1	1	92	260	2009	9319
5	1	1	87	251	2008	17238
6	2	0	97	251	2005	9611
7	1	1	89	0	0	16661
8	2	1	90	251	2004	18074
9	1	1	88	261	2007	19518
10	1	1	95	249	2006	50304
11	1	2	87	0	2008	16739
12	2	1	0	281	2005	51060
13	1	1	93	274	2007	0
14	1	1	97	263	2006	8849
15	1	0	0	0	0	0
16	2	1	0	255	2005	8875
17	1	2	89	0	2009	17636
18	1	1	94	261	2008	9580
19	1	1	86	0	2008	17115
20	2	2	97	246	2005	17934
21	1	2	91	251	2009	51430
22	1	2	89	0	2009	9705
23	2	1	0	0	2005	0
24	2	1	0	235	2004	4694
25	1	1	90	253	2008	50181
26	1	2	91	268	2008	0
27	1	1	87	0	0	51443
28	1	1	94	0	2008	8647
29	1	0	0	0	0	0
30	1	1	92	238	2008	21781
31	1	1	97	248	2006	9381
32	1	1	97	276	2006	25014
33	1	1	88	276	2007	50137
34	1	2	86	0	2009	16130
35	1	2	97	246	2006	8825
36	1	1	86	242	2009	16924
37	2	1	0	283	2005	3246
38	1	2	87	275	2007	1372
39	1	1	97	275	2006	21134
40	1	2	87	0	0	3769
41	1	2	89	282	2007	16507
42	2	0	0	0	0	0
43	1	1	94	277	2007	8939
44	1	2	89	275	2007	4007
45	1	1	0	282	0	50649
46	2	2	0	254	2004	53430
47	1	1	95	275	2008	52044
48	1	1	96	238	0	25825
49	1	1	94	251	2007	3806
50	2	1	97	244	2005	0
51	1	1	88	0	2008	22234
52	2	2	96	248	2005	8953
53	1	1	92	238	2008	50223
54	2	1	0	0	2005	50529
55	1	1	86	274	2007	17908
56	1	1	89	271	2007	3632
57	1	1	87	248	2008	50024
58	1	1	89	248	2008	15903
59	1	0	0	0	0	0
60	1	1	87	250	2007	9753
61	2	2	97	257	2004	17419
62	1	1	96	237	2006	16327
63	1	1	87	0	2008	18123
64	1	1	89	251	2008	50830
65	1	0	0	0	0	0
66	1	1	0	251	2006	17949
67	1	1	87	0	2008	50963
68	1	2	86	275	2008	50178
69	1	1	0	240	2006	3373
70	1	1	92	240	2008	0
71	1	2	91	260	2009	16010
72	1	2	87	249	2008	16423
73	1	1	87	0	2009	9351
74	2	2	0	281	2005	16256
75	1	1	0	260	2007	25073
76	1	1	97	238	2006	16810
77	2	2	88	241	2004	21781
78	1	1	92	251	2008	9504
79	1	2	94	0	2008	16805
80	1	1	0	281	2007	50224
81	1	0	87	279	2008	17238
82	1	1	95	251	2009	3586
83	2	0	0	281	2004	7864
84	1	1	94	276	2008	4700
85	2	1	89	253	2004	50425
86	1	1	87	248	2007	9757
87	2	1	0	275	2005	50223
88	1	1	92	0	2009	51957
89	1	1	94	238	2007	4312
90	1	2	94	251	2008	25967
91	1	1	95	0	2009	50738
92	1	2	97	253	2006	9757
93	1	1	90	0	2008	2701
94	1	1	86	0	2009	55516
95	1	1	96	271	2006	17081
96	1	2	92	275	2009	16739
97	1	1	97	250	2006	0
98	1	2	97	257	2005	3656
