node	student	gender	dorm	major	year	school
0	1	1	0	264	2007	9771
1	1	1	95	238	2009	61234
2	1	2	0	0	2009	21219
3	1	1	103	264	2007	25006
4	1	2	91	323	2008	25012
5	1	0	0	0	2004	21621
6	1	2	0	286	2005	16004
7	1	2	0	0	2008	25034
8	1	2	0	270	2007	9428
9	1	1	107	299	2008	17154
10	1	2	0	288	2006	18003
11	1	0	0	300	2007	0
12	1	2	91	280	2004	17209
13	2	2	0	260	0	50814
14	1	0	0	0	2008	0
15	1	0	89	318	2007	25008
16	1	2	95	264	2009	0
17	2	2	0	287	2005	0
18	1	1	90	0	2009	20838
19	1	1	0	297	0	0
20	1	1	0	0	0	10786
21	1	2	108	304	2008	15673
22	1	0	0	0	0	0
23	1	2	0	294	2008	16420
24	1	2	0	315	2008	25032
25	1	1	0	277	2006	25031
26	1	1	0	277	2009	25011
27	1	1	124	248	2006	17507
28	1	2	95	238	2008	0
29	2	1	124	248	2004	16079
30	1	0	0	258	0	20839
31	1	1	98	317	2008	9776
32	1	1	0	248	2007	17773
33	1	1	88	296	2004	15942
34	1	2	0	254	0	0
35	1	2	91	288	2009	51974
36	1	1	114	292	2008	8947
37	1	1	91	277	2009	16275
38	1	1	95	248	2009	17908
39	1	2	0	277	2007	0
40	1	2	95	308	2009	0
41	1	1	0	264	2005	9581
42	1	2	109	309	2008	9561
43	1	1	0	330	0	9530
44	1	1	88	296	2009	50588
45	1	2	90	251	2009	16361
46	1	1	0	244	2006	0
47	1	1	0	274	0	25049
48	1	2	91	256	2009	24996
49	2	2	0	0	2005	0
50	1	1	0	296	2006	3676
51	1	1	126	302	2008	25044
52	1	1	0	264	2006	8115
53	1	2	0	318	2007	17528
54	1	1	94	264	2008	9587
55	1	1	95	264	0	0
56	2	1	0	248	2005	16794
57	1	2	107	288	2008	52966
58	1	2	87	305	2009	21669
59	2	2	0	0	2004	0
60	1	2	0	0	2009	52843
61	1	1	95	308	2008	9586
62	1	1	91	0	2009	24977
63	1	2	0	287	2006	25033
64	1	1	0	318	2007	9634
65	1	1	0	238	2006	15890
66	1	1	0	261	2009	0
67	4	0	0	0	0	0
68	1	2	88	288	2009	25036
69	1	1	0	308	2007	0
70	1	1	114	267	2009	9313
71	1	1	0	308	2006	51521
72	1	1	0	262	2007	9415
73	1	0	0	0	0	0
74	1	1	107	0	2008	16269
75	1	0	0	318	2006	16924
76	1	1	94	243	2008	25034
77	1	1	0	330	2006	9530
78	1	1	107	243	2008	5928
79	1	2	86	265	2008	15947
80	1	2	113	318	2007	9581
81	1	1	91	0	0	50425
82	5	2	0	308	0	24981
83	1	2	119	248	2006	9763
84	1	1	91	319	2006	16809
85	1	1	0	253	2006	9489
86	1	2	94	260	2009	0
87	1	2	0	249	2008	50246
88	1	1	91	248	2009	15925
89	1	1	113	296	2007	25013
90	1	1	90	315	2008	17964
91	1	1	103	264	2007	9530
92	1	1	0	0	0	50094
93	1	0	0	0	0	0
94	1	1	92	296	2008	0
95	1	1	0	0	0	8880
96	1	1	111	264	2007	24996
97	1	1	0	288	2005	0
98	2	2	0	285	2005	50509
99	1	1	90	262	2009	16261
100	1	2	0	243	2006	20916
101	1	1	0	259	0	25023
102	1	2	0	265	2006	0
103	0	0	0	0	0	0
104	1	2	90	248	2009	19608
105	1	0	103	308	2007	24996
106	1	1	93	0	2009	54639
107	2	1	0	262	2005	21364
108	1	1	91	281	2009	51911
109	1	2	0	256	0	53118
110	1	1	0	240	0	0
111	1	1	0	329	2005	3739
112	1	2	95	254	2006	0
113	1	1	92	264	2008	50192
114	1	1	94	259	2008	25008
115	1	1	0	329	2007	17537
116	1	2	0	302	0	24989
117	1	2	0	295	2007	0
118	1	0	0	0	0	0
119	1	2	0	308	2005	15937
120	1	2	0	271	2006	52899
121	1	2	0	298	2008	0
122	1	2	109	308	2007	3762
123	1	1	126	287	2008	16327
124	1	2	94	300	2008	17901
125	1	1	0	0	0	9371
126	1	1	95	252	2007	50383
127	1	1	114	238	2007	50240
128	1	1	90	0	2009	17377
129	1	1	0	330	2007	57866
130	1	1	95	0	2009	9441
131	1	0	0	318	0	50325
132	1	1	111	244	2006	15964
133	1	1	0	308	2007	15934
134	1	1	0	0	0	25049
135	1	2	113	251	2007	50814
136	1	1	0	296	2007	0
137	1	2	0	264	2006	17111
138	1	1	114	0	0	17454
139	1	2	104	0	2009	9077
140	1	1	0	287	2008	51846
141	1	2	117	264	2005	16261
142	1	2	102	266	2009	3684
143	1	1	114	323	2008	49
144	1	2	0	0	2006	0
145	1	1	0	0	0	0
146	1	2	90	0	2009	17456
147	1	2	87	248	2005	52957
148	1	1	91	0	2009	21819
149	2	2	0	0	2005	0
150	1	1	0	278	0	50215
151	2	1	0	293	2005	8994
152	1	2	88	290	2009	24981
153	2	1	0	245	2005	21175
154	1	2	110	254	2007	9826
155	1	0	0	302	2006	52155
156	1	2	108	264	2009	9319
157	1	1	0	251	2006	22986
158	1	1	0	238	2006	21397
159	1	0	0	0	0	0
160	1	2	90	302	2009	3654
161	1	0	0	0	2005	9326
162	1	1	0	0	2007	25119
163	1	2	0	264	0	9323
164	1	2	112	305	2009	3762
165	1	1	91	277	2009	50157
166	1	2	114	318	2007	50319
167	1	1	92	262	2008	6399
168	1	2	0	0	0	24996
169	1	2	115	251	2007	4603
170	1	0	126	248	2007	3627
171	1	1	0	262	2009	24977
172	1	2	111	243	2007	24985
173	1	2	113	0	2008	3748
174	1	1	125	277	2006	18003
175	1	1	0	254	2007	50522
176	1	2	91	260	2009	16803
177	1	0	107	308	2008	59025
178	1	1	0	318	2006	0
179	1	1	0	308	2006	50963
180	1	1	109	302	2008	9618
181	1	1	0	305	2008	25034
182	1	0	0	245	2006	15976
183	2	1	124	238	2005	8905
184	1	1	0	248	2007	25038
185	1	1	90	245	0	8884
186	1	2	0	270	2006	24977
187	1	1	91	0	2008	15906
188	1	1	86	302	2008	9628
189	1	2	92	302	2009	0
190	1	1	0	302	2007	9492
191	1	2	129	315	2007	51521
192	1	1	0	308	2005	2622
193	1	2	90	306	2009	50197
194	1	1	90	267	2009	24989
195	1	1	110	330	2008	9783
196	1	1	87	264	2009	3681
197	1	1	0	303	2007	25034
198	1	2	0	0	0	9787
199	1	1	0	267	2006	21487
200	1	2	103	292	2008	25014
201	1	2	0	298	0	6392
202	1	2	0	288	2007	50534
203	1	2	110	235	2008	3529
204	1	2	0	241	2006	24981
205	1	1	102	264	2008	16768
206	1	2	87	248	2009	0
207	1	1	104	296	2008	16809
208	1	1	0	264	2006	9351
209	1	1	0	322	2006	51974
210	1	2	0	0	0	0
211	2	2	0	0	0	0
212	2	2	0	286	2004	51307
213	1	2	111	248	2007	15876
214	1	1	88	315	2009	15985
215	1	2	111	308	2009	6399
216	1	1	0	290	2006	52155
217	2	2	0	260	2005	25006
218	1	1	0	0	0	9496
219	1	1	0	236	2007	0
220	1	2	90	262	0	21660
221	1	2	103	322	2008	25012
222	1	2	99	248	2009	51261
223	2	0	0	286	0	0
224	1	1	104	306	2007	11227
225	1	2	0	238	2010	0
226	1	1	0	302	2006	3749
227	1	1	0	296	2007	0
228	1	1	0	278	0	9557
229	1	1	0	296	0	0
230	1	1	102	277	2008	16924
231	1	2	94	0	2008	3583
232	1	1	0	0	0	16010
233	1	2	0	304	2007	24994
234	1	2	105	238	2008	0
235	2	1	0	0	2004	9437
236	1	1	0	267	2006	9384
237	1	1	0	296	2007	51521
238	1	1	105	0	2008	17418
239	2	1	0	302	0	9496
240	1	1	0	262	2006	3749
241	1	2	87	245	2008	9603
242	1	1	91	0	2008	9565
243	1	1	111	248	2007	6095
244	1	1	0	245	2006	0
245	1	2	0	248	2008	50534
246	1	1	0	302	2006	22250
247	1	1	0	0	2009	51521
248	1	1	91	0	2009	17454
249	1	2	114	308	2007	25033
250	1	2	91	288	2009	9768
251	1	2	103	308	2007	15934
252	1	2	115	318	2006	51294
253	1	2	90	0	2008	21450
254	1	1	0	318	2005	16809
255	1	2	91	308	2008	15940
256	1	2	0	305	2009	25034
257	1	2	0	0	2008	24989
258	1	1	112	245	2009	25036
259	1	1	128	248	2008	25032
260	1	1	0	318	2007	17532
261	1	1	0	238	2005	0
262	2	2	122	288	2005	17771
263	1	2	105	304	2008	9484
264	2	1	127	248	2004	50534
265	1	2	111	275	2007	9369
266	1	2	86	308	2009	16392
267	1	2	112	266	2009	15917
268	1	1	91	308	2009	16499
269	1	1	95	0	2009	16336
270	1	2	112	323	2006	25013
271	1	0	0	296	0	0
272	1	1	112	250	2007	9321
273	2	2	0	302	2005	51405
274	1	1	91	264	0	17060
275	1	0	0	262	2008	51521
276	1	2	0	0	0	0
277	1	1	125	308	2007	26592
278	2	1	95	259	2005	18152
279	3	2	0	250	0	0
280	1	1	0	319	2007	6139
281	1	2	0	257	2009	25034
282	2	2	0	286	2005	9421
283	2	1	0	302	2005	758
284	2	2	120	302	0	26722
285	1	1	93	318	2008	9773
286	1	0	124	0	0	51521
287	1	2	114	316	2008	21579
288	1	1	95	265	2008	17573
289	3	2	0	250	0	17836
290	2	1	0	302	2004	50909
291	1	1	0	258	0	51573
292	1	1	90	305	2007	54835
