node	student	gender	dorm	major	year	school
0	1	1	88	265	2009	9424
1	1	1	0	253	2006	16382
2	1	1	103	247	2008	21495
3	1	1	0	294	2006	16265
4	2	1	0	294	2004	0
5	1	2	103	290	2008	16267
6	1	1	131	242	2007	50481
7	1	2	110	277	2006	21655
8	1	1	0	303	2007	21229
9	1	1	95	235	2007	21816
10	1	1	0	309	2005	17300
11	1	1	125	315	2008	50655
12	1	2	0	297	2007	17507
13	2	2	0	294	2005	17934
14	2	1	0	266	2004	16241
15	1	2	106	270	2007	3394
16	1	2	92	290	2008	16813
17	2	2	0	255	2005	17934
18	1	2	122	270	2006	9343
19	1	1	116	266	2007	25188
20	2	1	0	309	2005	21495
21	1	1	86	292	2009	25825
22	2	2	0	293	2003	16030
23	1	1	93	242	2007	21520
24	1	2	94	243	2008	51901
25	1	2	88	264	2009	17739
26	1	1	86	292	2009	9550
27	1	2	90	0	2008	3675
28	1	2	94	278	2008	17901
29	1	1	93	0	2008	3586
30	1	2	99	0	2008	0
31	1	1	108	235	2006	16321
32	1	2	88	249	2009	9765
33	1	1	86	0	2009	20899
34	5	1	0	288	2007	0
35	1	1	96	309	2008	59173
36	1	2	103	0	2008	8999
37	1	2	0	255	0	52347
38	1	2	88	290	2009	9774
39	1	2	103	308	2006	25286
40	2	1	0	294	2005	21292
41	1	2	94	294	2008	9753
42	1	1	91	0	2008	9290
43	1	1	86	253	2009	16007
44	1	1	108	303	2007	50506
45	1	2	0	262	2007	21800
46	1	2	0	0	2008	21387
47	1	2	86	0	2009	19198
48	1	2	0	293	2005	20846
49	1	0	0	0	0	0
50	1	0	0	262	2007	16243
51	1	0	0	308	2007	21411
52	1	1	0	242	2006	15989
53	5	1	0	288	2007	16490
54	1	2	93	313	2008	16261
55	1	1	0	309	2006	50502
56	1	2	94	0	2008	16212
57	5	1	0	270	2004	0
58	1	1	89	270	2009	0
59	1	1	94	280	2008	51835
60	1	2	107	270	2007	22253
61	1	2	111	253	2007	17164
62	1	0	0	0	0	0
63	2	1	0	298	2005	17901
64	2	2	0	293	2005	52625
65	1	2	86	270	2009	17991
66	1	1	0	288	2007	3674
67	1	1	93	294	2008	21679
68	1	1	127	303	2006	16356
69	1	2	94	249	2007	3709
70	1	1	94	290	2008	16169
71	2	1	114	262	2004	9080
72	2	0	0	294	2005	53376
73	1	2	94	0	2008	50523
74	1	2	0	297	2006	16265
75	1	1	94	242	2008	25014
76	1	1	99	0	2009	0
77	2	2	0	235	2005	21044
78	1	2	94	292	2008	16497
79	1	2	86	242	2009	17042
80	1	2	86	265	2009	19445
81	1	2	128	258	0	18001
82	1	1	0	303	2006	50116
83	1	1	86	290	2009	17343
84	1	1	93	253	2008	16692
85	1	2	0	270	2007	9428
86	1	1	107	263	2007	21799
87	1	2	90	265	2008	16321
88	1	0	94	0	2008	17238
89	1	1	94	262	2007	0
90	1	2	86	255	2008	16207
91	2	2	0	297	2005	21024
92	1	1	131	263	2008	21292
93	1	1	123	294	2006	25927
94	1	2	0	292	2006	20886
95	1	2	0	258	2006	21783
96	1	1	89	242	2009	16492
97	1	2	93	298	2008	16168
98	1	2	99	298	2008	21798
99	1	1	94	309	2008	21622
100	1	2	86	297	2008	9213
101	1	2	103	298	2007	21024
102	1	2	0	249	2005	21846
103	1	2	118	235	2006	51210
104	1	2	0	264	2006	50437
105	1	1	109	242	2006	21313
106	1	2	86	246	2009	50410
107	1	2	93	255	2008	9763
108	1	2	94	270	2008	25465
109	1	2	0	270	2006	16176
110	1	1	127	253	2007	50523
111	5	1	0	266	2004	21436
112	1	1	105	280	2007	16208
113	2	2	0	264	2005	21383
114	1	1	0	0	2008	3674
115	1	2	108	249	2007	9774
116	1	1	129	294	2007	17300
117	1	1	0	309	2006	0
118	1	1	104	309	2007	16501
119	5	1	0	263	2004	16439
120	1	0	93	0	2008	51856
121	1	2	0	277	2006	16506
122	1	1	129	294	2006	17991
123	2	2	0	270	2005	50062
124	1	0	0	0	0	0
125	1	1	0	277	0	9888
126	1	0	0	0	0	0
127	1	1	86	309	2008	50084
128	1	1	94	294	2007	50830
129	1	1	127	297	2006	0
130	1	0	0	0	0	0
131	1	0	0	277	2008	0
132	1	1	96	242	2008	17513
133	2	2	0	0	0	0
134	2	1	0	253	2005	17300
135	5	2	0	288	2006	50367
136	2	1	0	303	2005	15987
137	1	0	0	0	0	0
138	1	2	96	298	2008	0
139	1	1	101	290	2009	22214
140	1	2	93	249	2008	20886
141	2	2	115	298	2002	19198
142	2	1	0	242	0	20919
143	1	1	94	292	2007	17268
144	1	2	0	294	2007	52625
145	1	0	0	0	0	0
146	2	2	0	235	2003	16212
147	1	2	94	235	2008	9147
148	1	1	93	294	2007	16215
149	1	0	0	0	0	0
150	2	1	87	294	0	16414
151	1	2	91	249	2008	0
152	2	2	0	308	2002	16322
