node	student	gender	dorm	major	year	school
0	1	1	0	268	2007	9378
1	5	1	0	291	2005	9611
2	5	1	0	279	2008	9583
3	5	0	0	0	0	9477
4	1	1	89	249	2008	4849
5	2	1	0	273	2002	53398
6	1	1	90	278	2008	22211
7	2	1	0	260	2005	9496
8	1	1	90	288	2009	9532
9	2	1	0	245	2005	16390
10	2	1	0	261	2005	9385
11	2	1	0	236	2005	9459
12	5	1	0	273	2006	55041
13	1	1	92	268	2009	25067
14	1	1	92	268	2009	9417
15	5	1	0	259	2006	0
16	5	1	91	0	2006	22258
17	1	1	89	249	2008	8842
18	1	1	90	245	2009	9324
19	1	1	93	264	2004	0
20	1	1	94	251	2007	25023
21	1	1	93	248	2007	9442
22	5	1	0	0	0	0
23	1	1	93	238	0	15932
24	1	1	86	268	2006	3506
25	5	2	91	259	2005	0
26	1	1	0	0	0	3560
27	1	1	94	248	2007	3646
28	1	1	0	257	2006	9753
29	1	1	89	273	2008	15945
30	1	1	87	288	2006	22237
31	1	1	94	245	2009	9372
32	1	1	92	273	2008	17634
33	1	1	0	247	1926	17863
34	1	1	90	0	2009	9460
35	1	1	0	0	2009	0
36	1	1	93	261	2006	51856
37	1	1	0	281	2008	3750
38	1	1	92	270	2009	16793
39	2	1	0	240	2005	8872
40	1	1	90	273	2008	52453
41	1	1	86	242	2006	9802
42	2	1	0	251	2005	9407
43	1	1	0	288	2007	6139
44	1	1	88	269	2005	9403
45	5	2	94	0	2006	0
46	5	1	91	258	0	16733
47	1	1	89	251	2007	15902
48	5	1	0	249	2006	15959
49	1	1	94	273	2009	9196
50	1	1	94	239	2009	15969
51	1	1	93	264	2005	2375
52	1	1	92	281	2009	9556
53	1	1	89	263	2008	50314
54	1	1	92	247	2008	0
55	1	1	90	238	2009	9628
56	1	1	94	280	2009	15922
57	2	1	0	283	2005	57221
58	1	1	90	291	2009	16243
59	1	1	92	249	2009	23623
60	1	1	92	257	0	9573
61	1	1	0	239	2008	50692
62	1	1	0	273	2007	9536
63	1	1	86	256	2006	25036
64	1	1	87	0	2008	9382
65	1	1	92	256	2009	9768
66	2	1	0	268	2005	9372
67	1	1	93	280	2006	0
68	1	1	0	270	0	9542
69	1	1	0	270	2008	9769
70	1	1	0	249	2006	9673
71	1	0	95	238	2007	15921
72	5	1	0	273	2007	15898
73	1	1	86	263	2007	51129
74	1	1	0	245	2007	15931
75	1	1	94	249	2009	8902
76	5	1	0	0	0	9333
77	1	1	95	254	2006	3598
78	1	0	0	0	2008	3685
79	1	1	94	288	2008	9400
80	4	2	0	0	0	0
81	1	1	92	0	2008	25036
82	1	1	90	0	2009	51494
83	1	1	89	257	2008	8831
84	1	1	92	242	2008	236
85	1	1	92	281	2009	3570
86	1	1	86	286	2007	50615
87	2	1	0	281	2005	8826
88	1	1	88	248	2005	2201
89	1	1	0	277	2006	9451
90	1	1	93	260	2007	8977
91	1	1	0	238	2007	0
92	1	0	87	251	2006	8952
93	2	1	0	242	2005	50506
94	1	1	86	263	2007	8937
95	1	1	94	239	2009	15970
96	1	1	94	240	2006	9404
97	1	1	0	240	2007	9649
98	1	1	92	278	2009	9665
99	1	1	92	268	2009	9441
100	1	1	0	269	2007	10289
101	1	1	92	260	2009	4269
102	1	1	94	239	2008	22237
103	1	1	92	0	2009	17573
104	2	1	0	240	2005	15969
105	1	1	90	268	2009	50692
106	1	1	0	277	2005	8823
107	2	1	0	281	2005	9363
108	1	1	86	239	2006	16216
109	1	1	93	239	2006	3681
110	2	0	0	281	2005	9614
111	1	1	92	277	2009	3531
112	1	1	0	274	2007	0
113	1	1	87	273	2008	24119
114	2	1	0	264	2004	8977
115	1	1	0	281	2007	9761
116	1	1	89	248	2008	9624
117	2	1	0	251	0	8947
118	1	1	90	257	2008	20639
119	1	1	90	242	2008	8826
120	2	1	0	248	2005	18246
121	5	1	0	251	2006	9561
122	1	1	0	263	2007	9372
123	1	1	92	280	2004	17954
124	1	1	92	0	2009	0
125	1	1	87	268	2007	9492
126	1	1	88	263	2006	9336
127	1	1	93	251	2006	51156
128	1	1	0	268	2007	8971
129	1	1	90	268	2009	9617
130	2	1	0	238	2005	9670
131	1	1	88	236	2006	20733
132	1	1	87	249	2008	15931
133	1	1	0	288	2006	9727
134	1	1	90	281	2009	17180
135	1	1	91	281	2006	0
136	1	0	0	0	0	0
137	1	1	0	245	2006	22188
138	1	1	0	0	0	9771
139	1	1	92	245	2009	9793
140	1	1	92	269	2008	3571
141	1	1	0	273	2008	0
142	1	0	0	0	0	0
143	1	0	0	0	0	0
144	1	1	89	289	2008	15897
145	1	1	88	268	2006	9046
146	5	1	0	0	2006	9755
147	2	1	88	251	2005	9492
148	1	1	86	268	2007	3636
149	1	1	87	268	2008	50185
150	1	1	0	245	2006	50294
151	1	0	89	238	2008	50017
152	1	1	0	287	2006	9429
153	1	1	0	240	2006	22250
154	1	1	94	245	2007	3748
155	1	1	0	0	2007	9415
156	1	1	94	245	0	16408
157	1	1	92	273	2009	0
158	1	1	90	292	2009	8875
159	2	1	0	0	0	15959
160	1	1	0	281	2007	51437
161	1	1	86	273	2007	9565
162	1	1	89	245	2008	3576
163	1	1	0	273	2009	9649
164	1	1	0	267	2007	9718
165	1	0	0	252	0	0
166	1	1	90	268	2009	3604
167	1	1	92	273	2009	9313
168	1	1	94	238	2007	9379
169	1	1	0	245	2006	18699
170	1	1	92	261	2009	9763
171	1	1	0	261	2008	9354
172	1	1	90	268	2009	9563
173	1	1	0	0	2009	8840
174	1	1	0	280	2006	50909
175	1	1	0	245	2008	9649
176	1	1	90	268	2009	11114
177	1	1	90	268	2009	0
178	1	0	0	240	2007	50389
179	1	0	0	245	2007	50402
180	1	1	0	281	2006	9787
181	1	0	0	0	0	0
182	1	1	93	240	2006	53375
183	1	1	0	263	2007	50318
184	1	1	0	239	2008	52395
185	1	1	0	270	0	9771
186	1	1	0	261	0	9738
187	1	1	92	240	2009	22256
188	1	1	89	288	2006	15921
189	2	1	0	274	2005	3694
190	1	1	0	281	2006	9324
191	2	1	0	249	2005	3748
192	1	1	88	261	2006	9720
193	2	1	0	257	2005	17383
194	1	1	95	281	2007	15918
195	1	1	92	251	2009	25459
196	1	1	94	268	2008	9760
197	1	1	0	251	2007	9331
198	1	1	93	245	2006	19148
199	1	1	92	280	2009	50222
200	1	1	89	251	2007	50325
201	1	1	87	249	2008	52783
202	1	1	94	271	2008	9654
203	1	1	90	249	2009	9442
204	1	1	88	253	2006	25624
205	1	1	0	0	2007	0
206	1	1	0	287	2005	53001
207	1	1	86	281	2007	0
208	1	1	90	245	2009	52736
209	1	1	0	239	2007	15911
210	1	1	0	264	2007	3765
211	1	1	93	277	2007	23692
212	1	1	0	288	2009	9655
213	1	1	89	261	0	0
214	1	1	0	281	2007	9451
215	2	0	0	261	2005	3546
216	1	1	92	249	2009	9417
217	1	1	92	0	2009	15897
218	1	1	0	269	2007	9460
219	1	2	0	261	0	9772
220	1	1	92	284	2009	50864
221	1	0	0	0	0	0
222	1	1	92	245	2009	0
223	1	1	0	0	2008	15985
224	1	1	90	269	2009	9588
225	1	1	87	268	2008	8911
226	1	1	0	251	2005	0
227	1	1	0	268	2007	16159
228	1	1	0	292	2006	50017
229	1	1	0	273	2006	19157
230	1	1	86	245	2008	6399
231	1	1	92	268	0	9532
232	1	1	0	251	0	9382
233	1	1	92	0	2009	9343
234	1	1	87	269	2007	9694
235	1	1	94	0	0	53429
236	1	1	90	0	2008	22214
237	1	1	86	240	2008	26532
238	1	1	92	249	2009	9382
239	1	1	0	273	2007	9372
240	1	1	0	245	2007	9580
241	4	0	0	292	2002	0
242	2	1	0	281	2005	9617
243	1	1	0	268	2006	15906
244	1	1	0	268	0	8875
245	1	1	90	0	2009	22251
246	1	1	92	268	2009	9669
247	5	2	0	259	0	9351
248	1	1	0	260	2005	50813
249	1	1	0	287	2006	9344
250	1	1	94	289	2008	8994
251	1	1	93	245	2006	8905
252	5	1	0	269	2006	9606
253	1	1	94	239	2008	52453
254	1	1	0	260	2006	20691
255	1	1	0	0	2007	9598
256	1	1	90	268	2009	15936
257	1	1	92	277	2007	9653
258	1	1	92	249	2009	3527
259	1	1	92	261	2009	9388
260	1	1	87	248	2008	9343
261	1	0	0	0	0	0
262	1	1	0	268	2006	22265
263	1	1	0	0	2008	9554
264	1	1	92	0	2009	9752
265	1	1	0	257	2006	10289
266	1	1	86	249	2008	9372
267	2	1	0	288	2004	9681
268	1	1	88	280	2006	15895
269	2	1	0	248	2004	9438
270	1	1	93	281	0	50649
271	1	0	88	281	2005	3900
272	1	0	0	249	0	15943
273	2	1	0	292	2005	51367
274	1	1	88	281	2006	9317
275	1	1	92	253	2009	9331
276	1	1	87	277	2008	15933
277	1	1	87	281	2007	9497
278	1	0	87	0	2008	53398
279	1	1	89	281	2008	15911
280	1	1	89	245	2008	19238
281	1	1	93	251	2008	9378
282	1	1	86	272	2007	15937
283	5	1	0	249	2005	1267
284	1	1	94	279	2008	8960
285	1	1	0	245	2008	52312
286	1	1	0	252	2009	0
287	1	1	92	278	2008	9504
288	5	1	0	273	0	22760
289	1	1	0	261	2005	9563
290	1	1	0	268	2007	25723
291	1	1	87	268	2008	50692
292	1	1	92	278	2009	0
293	1	0	0	0	0	0
294	1	0	0	0	0	0
295	1	1	86	268	2007	9429
296	1	1	0	245	2009	59794
297	2	1	0	249	2005	8271
298	1	1	93	261	2006	6100
299	1	1	92	269	2009	3342
300	1	1	88	264	2006	9720
301	3	0	0	0	0	0
302	2	1	0	248	2005	15939
303	1	1	92	277	2008	3747
304	1	1	89	268	2008	9647
305	1	1	89	239	2008	10488
306	1	1	93	240	0	9159
307	1	1	89	245	2008	8959
308	1	0	0	0	0	0
309	1	1	92	268	2008	15954
310	5	1	0	244	0	21841
311	1	0	92	271	0	0
312	1	1	92	268	2009	53243
313	1	1	90	270	2009	0
314	1	1	92	257	2009	9665
315	4	2	0	0	0	0
316	1	1	0	280	2007	9419
317	1	1	0	273	2007	24208
318	1	1	86	268	2008	9645
319	1	1	0	245	2008	9614
320	2	1	0	251	2005	9605
321	1	1	93	238	2006	3564
322	2	1	0	238	2005	8990
323	1	1	88	236	2006	22234
324	1	1	91	245	2008	0
325	1	1	92	281	2009	53756
326	1	1	89	277	2008	50100
327	1	1	0	238	0	0
328	1	1	90	281	2009	8948
329	1	1	88	260	2006	24172
