node	student	gender	dorm	major	year	school
0	1	0	0	309	0	5078
1	1	2	0	349	0	0
2	1	2	0	282	2007	499
3	1	2	104	288	2009	4050
4	1	2	0	329	2008	8747
5	1	1	124	265	2008	403
6	1	1	101	274	0	51479
7	1	1	0	0	2009	4365
8	1	0	0	241	2006	4655
9	2	1	0	346	2005	345
10	1	1	118	338	2006	24005
11	1	1	0	407	2005	5005
12	2	1	124	265	2005	5042
13	1	2	0	255	2006	0
14	1	1	0	331	2009	4953
15	2	1	0	407	2004	22927
16	1	1	0	326	2007	328
17	1	1	0	0	2009	4971
18	1	1	98	252	2004	81
19	1	0	0	245	0	0
20	1	1	0	265	2007	349
21	1	1	115	361	2007	345
22	1	2	0	331	2004	257
23	2	1	0	323	2005	0
24	1	1	0	258	0	401
25	1	1	0	353	2009	5001
26	1	1	0	245	0	335
27	1	1	121	310	2008	4971
28	1	2	0	304	2008	4406
29	3	1	0	0	0	34
30	5	1	112	241	2005	144
31	1	1	96	255	2009	57111
32	1	2	0	256	0	253
33	1	1	115	311	2008	380
34	1	2	0	319	2007	7
35	2	2	139	288	2005	23105
36	5	1	159	361	0	4437
37	1	1	0	256	2007	52881
38	1	2	0	406	2009	57785
39	1	2	0	284	2010	56010
40	1	1	89	300	2009	5078
41	1	1	114	249	2007	56294
42	1	1	0	256	0	302
43	1	2	98	283	2009	8430
44	1	2	127	282	2008	245
45	2	2	0	280	2005	0
46	1	1	0	357	2007	0
47	1	1	115	300	2009	52708
48	5	0	0	0	0	0
49	1	1	0	411	0	4026
50	1	2	0	361	0	232
51	1	1	0	283	2007	51882
52	1	1	113	241	2008	139
53	1	2	0	244	2005	401
54	1	1	0	309	2007	401
55	1	1	0	357	0	34
56	1	1	0	353	0	184
57	1	1	118	357	2009	5
58	1	1	108	357	2009	22412
59	1	2	101	349	2009	8265
60	1	2	0	390	2005	189
61	1	2	0	266	0	5005
62	2	2	0	242	0	137
63	2	1	0	346	2002	8762
64	2	2	151	359	2005	331
65	1	0	0	0	0	0
66	1	1	110	376	2008	4636
67	1	2	0	286	2007	0
68	1	2	0	280	2009	58290
69	1	1	93	283	2009	5040
70	1	1	115	409	2009	4803
71	2	2	145	311	2005	328
72	1	1	120	412	2004	4866
73	5	1	0	262	2007	0
74	1	2	0	255	2009	439
75	1	1	99	283	0	0
76	1	2	146	0	2006	345
77	2	1	0	245	2005	16268
78	1	1	111	346	2008	278
79	2	1	121	255	2004	4655
80	1	1	0	346	2009	24568
81	1	1	117	0	2008	5000
82	1	1	106	280	2009	5047
83	1	2	0	282	2005	255
84	1	2	108	251	2009	51624
85	1	2	0	266	2004	510
86	1	2	0	329	2006	493
87	1	1	0	361	2009	124
88	2	1	0	355	2005	328
89	1	2	0	324	2006	432
90	1	2	0	236	0	8
91	1	1	110	380	0	5078
92	1	1	0	326	0	5160
93	2	2	0	257	2004	133
94	1	1	119	410	2006	53973
95	1	1	0	329	2006	5053
96	2	1	115	238	2005	24005
97	1	1	0	245	0	52547
98	1	1	0	265	2006	30
99	1	1	103	407	2005	257
100	1	2	0	361	2005	105
101	5	1	0	295	2006	0
102	1	2	0	401	0	191
103	5	1	110	340	2007	4953
104	1	1	0	346	2007	54544
105	1	1	0	327	2007	15945
106	1	1	0	249	2007	4234
107	1	2	0	404	2004	5040
108	1	1	0	405	2008	8
109	1	1	0	241	0	222
110	1	1	89	361	2009	245
111	1	1	0	358	0	257
112	1	1	116	280	2008	4093
113	1	1	111	256	2007	403
114	1	1	123	361	2008	330
115	1	1	107	409	2007	23140
116	1	2	0	331	2006	499
117	1	2	0	275	2008	4923
118	1	2	0	349	2006	0
119	1	2	0	389	0	203
120	1	2	0	285	2007	135
121	1	2	0	280	2006	31
122	1	2	0	401	2005	11717
123	1	0	0	280	2007	4578
124	1	2	131	406	2007	22882
125	1	1	123	0	2007	50438
126	1	1	0	241	0	0
127	1	0	0	0	0	0
128	2	1	119	258	2004	3884
129	1	2	147	282	2008	52452
130	1	2	0	311	2006	4711
131	1	2	134	271	0	393
132	1	1	0	300	2008	415
133	1	2	0	349	2009	423
134	1	1	0	333	2007	255
135	1	1	0	255	2009	487
136	1	2	0	361	0	420
137	1	1	0	361	2005	55064
138	5	2	0	285	2004	34
139	1	2	0	249	2006	34
140	1	1	123	339	2007	336
141	1	2	147	349	2007	51436
142	1	2	0	255	2008	342
143	1	2	100	308	2005	386
144	1	2	0	278	2005	34
145	1	1	0	305	2007	5002
146	1	1	0	326	2006	51
147	1	2	0	0	2007	50901
148	1	2	134	349	2007	51
149	1	2	109	282	2005	295
150	1	1	0	300	2005	4812
151	1	1	0	358	2007	386
152	1	1	124	265	2007	263
153	1	1	0	261	2006	4655
154	1	1	117	240	2005	5895
155	1	2	101	304	2006	50050
156	1	2	0	282	2007	52322
157	1	1	0	252	2007	3290
158	1	2	0	242	2006	124
159	1	2	0	283	2006	250
160	1	2	0	330	0	243
161	1	2	0	275	2007	5053
162	2	1	0	335	2005	51224
163	1	1	0	331	2006	18604
164	1	1	0	335	2008	4392
165	1	2	0	404	2008	390
166	1	2	0	283	2008	295
167	1	1	0	241	0	9161
168	2	1	113	283	2005	4800
169	1	2	0	283	2008	4436
170	1	1	0	358	0	144
171	2	2	0	242	2005	264
172	1	1	102	280	2009	349
173	1	1	122	331	2008	403
174	1	1	0	280	2008	321
175	1	2	0	346	2007	0
176	1	2	127	0	2008	464
177	1	1	0	402	2008	166
178	1	2	0	361	2007	245
179	1	0	140	0	2008	4657
180	1	1	111	305	2005	485
181	2	1	0	410	2004	392
182	2	2	130	240	2004	0
183	1	2	0	406	2006	34
184	1	1	115	331	2006	4655
185	1	2	158	245	2007	34
186	1	2	0	283	2007	4860
187	1	0	0	291	2005	363
188	1	2	139	347	0	243
189	1	2	0	0	2008	144
190	1	1	0	300	2009	130
191	1	2	0	311	2007	5002
192	1	1	86	251	2009	349
193	2	2	0	288	0	51925
194	5	1	0	257	2006	514
195	1	1	92	374	2009	415
196	1	2	0	242	2006	345
197	2	2	0	257	2004	22935
198	1	2	0	265	2008	0
199	1	1	0	0	2008	257
200	1	2	0	363	0	418
201	1	1	114	256	2006	347
202	1	2	129	240	0	22412
203	1	1	118	0	2007	19500
204	2	2	145	275	2005	18700
205	1	2	0	283	2008	423
206	1	2	0	345	2009	4687
207	1	1	89	310	2009	4696
208	2	2	0	254	2005	19153
209	1	2	131	280	2009	51436
210	1	0	0	0	0	238
211	1	1	0	387	2007	438
212	1	2	98	266	2009	510
213	1	2	0	284	2008	5191
214	2	2	0	359	0	5163
215	1	2	0	340	2009	5001
216	1	2	0	390	2009	51910
217	1	1	0	0	2009	34
218	1	2	0	251	2007	142
219	1	2	0	242	2006	20516
220	1	1	0	274	2008	469
221	1	1	0	245	2005	73
222	1	1	0	249	2008	51905
223	1	2	0	304	0	4099
224	1	2	0	283	2008	50917
225	1	1	0	280	2009	326
226	1	2	0	283	2007	499
227	2	2	0	344	2004	164
228	1	1	123	310	0	0
229	1	2	0	349	2007	54759
230	1	1	88	358	2009	34
231	5	2	160	361	2007	4432
232	1	2	0	401	0	492
233	1	2	146	280	2007	331
234	5	2	0	363	2008	0
