node	student	gender	dorm	major	year	school
0	1	1	0	283	2006	24750
1	1	1	0	283	2008	24514
2	1	1	120	243	2008	50215
3	1	1	0	0	2008	51579
4	1	1	96	352	2009	53654
5	1	1	0	296	2005	24110
6	1	2	0	331	0	23494
7	1	1	132	257	2008	52555
8	1	1	93	251	2009	24100
9	1	0	0	309	2006	23797
10	2	1	130	310	2005	50374
11	1	2	98	242	2008	0
12	2	2	0	256	2005	24467
13	1	1	0	264	2008	24766
14	1	1	97	269	2007	23565
15	2	1	0	330	2004	0
16	1	1	0	347	2005	6159
17	1	1	0	242	2008	3164
18	2	2	90	324	2005	24423
19	2	1	0	345	2005	51125
20	2	1	0	319	2005	24660
21	1	1	131	0	2007	51657
22	1	0	0	0	0	0
23	1	0	0	0	2008	12138
24	1	1	0	318	2008	24366
25	1	2	104	235	2005	24000
26	1	1	95	319	2009	23256
27	1	1	120	331	2008	24750
28	2	2	0	355	2002	24411
29	1	1	91	331	2009	0
30	1	2	0	272	0	24514
31	1	1	145	311	0	24514
32	1	0	0	0	0	0
33	1	1	129	318	2007	24694
34	2	2	0	266	2005	24335
35	1	1	0	323	2007	24052
36	1	1	129	304	2006	24119
37	1	1	127	309	2007	52410
38	1	0	0	273	2008	23342
39	2	2	0	274	2005	23973
40	1	1	136	304	2006	50294
41	1	1	0	331	2008	24634
42	2	1	131	257	2005	24750
43	2	0	0	0	0	0
44	1	1	0	319	0	24065
45	1	1	99	0	2009	3898
46	2	1	0	262	2004	23782
47	1	1	134	257	2006	55023
48	1	1	89	283	2009	53068
49	2	1	0	269	2005	24752
50	1	0	138	0	2007	1568
51	1	2	112	304	2006	24567
52	1	1	91	256	2008	23831
53	1	1	0	303	2007	24280
54	1	2	0	303	2007	50951
55	1	2	0	242	2008	53104
56	1	1	0	269	2006	24270
57	2	2	0	310	2004	23995
58	1	1	0	283	2007	50690
59	2	1	0	276	2004	23413
60	1	2	94	251	2009	24274
61	2	2	0	344	2004	24411
62	1	1	0	269	2006	23897
63	1	1	92	316	2009	23880
64	1	1	91	252	2009	23342
65	1	0	0	352	2005	23989
66	1	1	91	347	2009	50520
67	1	1	0	252	2008	23967
68	1	2	88	263	2007	0
69	1	2	0	266	2005	24633
70	1	1	99	252	2009	24638
71	1	1	144	329	2008	24199
72	2	2	0	309	2004	24194
73	1	1	96	316	2009	24395
74	1	2	88	348	2008	23860
75	1	2	140	299	2006	0
76	2	1	0	252	2005	24321
77	1	1	0	297	2006	24786
78	1	1	123	331	2008	23698
79	1	1	91	336	2008	24119
