node	student	gender	dorm	major	year	school
0	1	2	0	80	2005	50463
1	1	1	34	69	2009	50071
2	2	1	0	0	2005	17157
3	1	2	48	82	2009	8847
4	2	2	0	65	2004	9321
5	1	1	63	0	0	9773
6	1	1	0	69	2006	15942
7	2	1	0	79	2005	0
8	1	2	0	0	2006	9753
9	2	1	0	0	2005	3576
10	2	1	0	80	2004	9787
11	2	2	0	53	2004	12060
12	1	1	58	69	2006	3586
13	1	2	40	51	2009	50037
14	1	2	54	48	2006	16117
15	2	2	58	53	2005	50037
16	2	1	0	0	0	0
17	1	2	63	55	2007	18700
18	1	2	0	68	2006	3574
19	1	2	53	53	2008	15897
20	2	2	54	79	2004	0
21	2	2	0	68	2005	0
22	1	2	54	81	2006	8648
23	1	0	0	0	0	0
24	5	2	59	81	2005	50303
25	1	2	32	80	2009	0
26	1	1	50	58	2007	17268
27	1	1	37	76	2009	21068
28	1	2	39	0	2009	16849
29	1	1	63	69	2007	0
30	1	2	32	68	2009	50460
31	1	1	47	88	2008	9372
32	1	2	45	66	2009	2248
33	1	2	0	80	2007	50595
34	1	1	0	86	0	50105
35	1	2	63	77	2008	9678
36	1	1	52	48	2006	0
37	1	1	61	76	2007	25678
38	2	1	58	48	2005	16788
39	1	1	53	83	2008	9581
40	1	2	51	80	2009	16328
41	1	1	42	69	2009	53132
42	2	1	58	69	2005	0
43	1	1	37	51	2009	16794
44	1	1	61	0	2008	9516
45	1	2	34	0	2008	55947
46	2	2	0	0	2005	17238
47	1	1	34	0	2009	9492
48	1	2	0	66	2007	50583
49	2	2	59	53	2005	17115
50	1	2	45	84	2009	23510
51	1	2	34	80	2009	57199
52	1	1	57	80	2006	4295
53	1	1	0	48	2008	9429
54	1	1	37	84	2009	23322
55	1	1	49	58	2007	22250
56	1	2	0	51	2006	17746
57	1	1	43	51	2009	16356
58	1	2	63	80	2008	9319
59	1	2	53	53	2008	17536
60	2	2	0	54	2005	16217
61	1	1	0	54	2008	3727
62	2	2	0	54	2005	16807
63	1	1	61	0	2008	9366
64	1	1	0	79	2006	9460
65	2	2	0	80	2004	16062
66	5	1	0	0	0	9389
67	1	1	42	80	2009	50215
68	1	2	63	0	2007	0
69	1	1	0	54	2008	50105
70	1	2	63	68	2008	3544
71	2	2	0	54	2005	21
72	1	1	50	48	2008	22187
73	1	2	34	0	2009	52258
74	1	2	63	82	2008	6000
75	1	1	34	86	2009	50484
76	2	1	57	78	2005	16384
77	1	2	0	53	2007	17138
78	1	1	58	48	2005	0
79	1	1	0	82	2006	9434
80	1	2	63	52	2008	9611
81	1	1	53	83	2008	3686
82	2	1	57	48	2005	19102
83	2	1	0	81	2004	17456
84	2	2	0	79	2005	0
85	2	2	59	53	2004	0
86	1	1	63	51	2008	9413
87	1	1	36	87	2009	3678
88	1	2	50	68	2008	51768
89	1	2	0	53	2006	0
90	1	1	58	80	2006	3681
91	1	1	49	54	2008	9312
92	1	1	0	48	2009	21724
93	1	1	63	48	2006	0
94	1	1	46	70	2009	2228
95	1	1	54	73	2006	17540
96	2	2	0	80	2004	2617
97	2	2	54	68	2004	2731
98	1	1	0	48	2009	25542
99	2	2	0	80	2005	16396
100	2	1	0	51	2005	3576
101	2	2	0	68	2004	0
102	1	1	57	82	2006	52215
103	1	2	63	53	2008	16008
104	1	2	54	53	2008	9428
105	1	2	57	53	2006	8946
106	2	1	0	69	2004	9580
107	1	2	0	72	2007	9544
108	1	2	33	53	2008	50268
109	1	2	63	0	2007	9415
110	1	1	49	0	2008	25002
111	1	1	0	51	2007	9423
112	1	2	54	66	0	9319
113	1	1	60	80	2007	16758
114	1	2	54	66	2007	0
115	1	1	0	0	2007	2152
116	1	2	0	88	2005	50130
117	1	1	31	48	2009	16865
118	1	2	0	84	2006	16274
119	2	1	56	48	2005	3602
120	1	2	60	83	2006	16816
121	1	0	63	91	2008	16160
122	1	2	0	79	2009	0
123	1	1	62	70	2008	4463
124	3	2	0	68	2006	50608
125	1	2	52	64	2006	50081
126	1	1	47	57	2007	9424
127	1	0	49	68	2008	9351
128	1	2	46	0	2009	17247
129	1	1	0	82	2006	16893
130	2	0	0	0	0	0
131	1	1	33	58	2009	17157
132	1	2	37	51	2007	0
133	2	1	58	79	2004	3528
134	1	2	63	81	2008	9346
135	1	2	36	75	2009	0
136	1	1	0	51	2006	9404
137	1	1	34	0	2009	17598
138	1	1	58	0	2005	17097
139	1	1	31	69	2009	25794
140	1	1	61	54	2008	18104
141	1	1	45	0	2009	9540
142	1	0	0	0	0	0
143	1	1	36	58	2009	55554
144	5	1	0	79	2006	23679
145	2	1	57	68	2004	0
146	1	2	0	51	2005	0
147	1	2	51	48	2009	23342
148	1	1	43	0	2009	50094
149	1	1	61	69	2006	6566
150	1	1	60	51	2007	16794
151	1	1	0	82	2007	9464
152	1	1	0	83	2005	9328
153	1	2	43	48	2009	17401
154	2	2	59	91	2005	0
155	1	0	0	55	2006	50242
156	2	2	0	0	2005	16004
157	1	1	56	83	2006	0
158	2	0	0	0	2005	779
159	1	2	44	64	2008	15945
160	1	2	50	53	2008	21800
161	1	2	0	65	2007	2061
162	5	2	0	80	0	0
163	1	1	54	68	2007	26544
164	1	1	44	68	2009	12337
165	1	1	62	68	2005	0
166	1	2	37	78	2009	24029
167	1	1	61	48	2008	9617
168	2	1	0	81	2005	17537
169	1	1	63	79	2007	0
170	2	1	56	58	2005	16496
171	1	2	60	68	2006	0
172	1	2	0	53	2006	9403
173	2	1	0	83	2005	3633
174	2	2	0	0	2005	9773
175	1	2	63	48	2008	9421
176	1	1	0	58	2007	17129
177	5	2	0	93	0	0
178	5	1	0	93	2008	3617
179	1	2	0	56	2008	16217
180	1	2	63	0	2008	0
181	1	2	49	0	2008	16318
182	1	1	62	69	2007	2061
183	1	1	58	51	2006	9528
184	1	1	0	54	2007	9370
185	1	2	62	81	2005	0
186	1	0	59	66	2006	3729
187	1	0	0	51	0	0
188	2	1	58	51	2004	0
189	1	1	50	0	2008	16262
190	2	1	0	54	2005	9588
191	1	0	0	0	0	0
192	1	2	31	80	2009	6138
193	1	1	63	51	2008	21326
194	1	1	63	66	2007	9569
195	1	2	54	48	2008	9385
196	2	2	54	51	2005	16507
197	1	2	0	53	2007	16813
198	1	2	63	0	2008	16127
199	1	2	39	78	2009	3565
200	1	1	59	83	2006	9493
201	1	1	37	68	2009	9634
202	1	2	54	82	2005	9428
203	1	2	63	58	2008	1672
204	2	1	0	0	2005	9720
205	1	1	33	54	2009	17368
206	1	2	40	74	2009	17598
207	1	1	61	80	2007	4700
208	1	2	45	0	2008	3502
209	1	2	37	82	2009	16212
210	1	0	0	0	0	0
211	1	0	0	83	2008	9681
212	2	2	0	53	2004	52899
213	1	2	63	84	2007	50583
214	1	1	61	48	2008	51289
215	1	2	50	52	2007	3686
216	1	1	54	0	2007	9424
217	1	1	0	58	2006	2734
218	1	2	0	48	2007	19153
219	1	1	40	83	2009	3523
220	1	1	61	79	2008	6138
221	2	1	0	48	2004	17211
222	1	2	56	75	0	0
223	1	2	0	53	2006	11050
224	2	2	52	73	2004	0
225	1	1	61	83	2006	54222
226	1	2	58	64	2005	3632
227	2	1	0	58	2000	818
228	2	1	56	54	2004	50165
229	2	1	0	72	2005	1451
230	1	2	45	76	2009	9542
231	1	2	0	51	2006	5221
232	1	1	42	83	2007	25044
233	1	1	0	82	2007	9375
234	1	1	63	79	2007	0
235	1	2	33	66	2009	9617
236	1	1	60	54	2007	16090
237	1	2	0	80	2006	17055
238	1	1	63	0	2008	16229
239	1	2	32	80	2009	16168
240	1	1	57	60	2006	9722
241	1	2	32	0	2009	16990
242	1	2	0	58	2007	11895
243	1	2	54	0	0	0
244	2	1	59	83	2005	9655
245	2	2	0	55	2004	50197
246	1	1	44	78	2009	9800
247	2	2	59	52	2005	16813
248	2	0	0	84	0	9319
249	1	2	46	53	2009	17388
250	1	1	40	91	2009	16420
251	1	1	37	58	2009	16043
252	1	1	63	84	2008	9423
253	1	1	63	80	2007	1943
254	1	1	0	51	2006	50221
255	5	0	0	0	0	0
256	1	2	54	0	2008	23450
257	1	1	59	87	2006	9466
258	1	0	54	58	2007	9313
259	2	2	62	58	2005	15918
260	5	0	0	0	0	16396
261	1	1	47	0	2008	50335
262	1	2	0	73	2006	15969
263	1	2	0	68	2007	17930
264	2	0	0	85	0	0
265	1	1	33	69	2009	5211
266	2	2	57	82	2004	9774
267	1	1	54	0	2008	9323
268	1	0	47	0	2008	50963
269	1	1	0	53	2009	15943
270	1	1	58	54	2006	2233
271	1	1	63	73	2008	4488
272	1	1	44	68	2009	24321
273	2	1	62	53	2004	4610
274	2	1	0	81	2005	24568
275	4	2	0	0	0	0
276	5	1	57	87	2005	52402
277	1	2	34	0	2009	17115
278	1	2	0	66	2007	22253
279	2	2	56	82	2004	0
280	1	1	0	69	0	3581
281	1	1	54	51	2008	25070
282	2	2	0	52	2004	9472
283	1	1	40	69	2009	22237
284	1	2	53	80	2007	9575
285	1	1	42	47	2008	16114
286	2	2	58	80	2005	6138
287	1	2	60	54	2008	9428
288	1	2	0	53	2007	16296
289	2	1	59	69	2005	51210
290	2	2	0	52	2004	16321
291	1	1	0	51	2006	18108
292	1	2	37	64	2009	59592
293	1	2	63	58	2007	9515
294	2	2	59	69	2005	8948
295	2	1	0	78	2005	50218
296	2	2	58	53	2004	3853
297	2	2	56	66	2004	18108
298	1	2	46	68	2008	17681
299	1	1	62	69	2006	3730
300	1	2	54	68	2008	15943
301	1	1	0	58	2006	1451
302	1	1	60	87	2006	22221
303	1	1	42	78	2009	50293
304	1	2	45	69	2008	9720
305	1	0	47	0	2008	26736
306	1	2	0	68	0	0
307	1	1	60	70	2006	50302
308	1	1	0	53	2006	9780
309	1	1	51	65	2009	51928
310	1	1	61	69	2006	0
311	1	2	0	80	2007	17522
312	1	1	54	73	2007	9625
313	1	1	0	78	2007	3575
314	2	1	0	51	2004	25179
315	1	2	46	51	2009	51006
316	1	1	0	58	2007	17300
317	2	0	0	0	0	0
318	1	2	60	68	2007	0
319	1	1	53	51	2008	9440
320	1	1	0	0	0	17786
321	1	1	44	83	2008	21781
322	1	2	63	64	2008	15983
323	1	2	33	0	2009	0
324	1	2	35	0	2009	16112
325	1	1	0	64	0	3667
326	1	0	0	0	0	0
327	2	2	58	81	2004	0
328	2	1	0	81	2005	54805
329	1	1	62	80	2006	15874
330	2	2	62	80	2005	16267
331	1	2	0	58	2007	50145
332	1	1	47	51	2008	9530
333	1	2	57	51	2006	9428
334	1	2	54	84	2008	3565
335	2	1	58	53	2004	17540
336	1	0	43	0	2009	50180
337	1	2	54	82	2007	50909
338	1	1	51	69	2009	50582
339	1	1	0	69	2007	51405
340	1	1	0	51	2006	16490
341	1	1	61	54	2008	2248
342	1	2	0	48	2009	16212
343	1	1	0	82	2006	51108
344	1	1	0	0	0	0
345	1	2	63	80	2008	50419
346	1	2	38	80	2007	10937
347	5	1	0	69	2005	9588
348	1	1	63	0	2008	3576
349	1	1	34	54	2009	23795
350	1	2	42	48	2009	17060
351	1	1	54	71	2007	17296
352	1	2	63	76	2008	9351
353	1	0	0	0	0	0
354	1	1	63	68	2008	17537
355	1	1	0	53	2006	4281
