node	student	gender	dorm	major	year	school
0	1	1	208	374	2006	1384
1	1	1	0	367	2008	3093
2	2	2	0	319	2005	2248
3	1	1	333	356	2007	0
4	1	1	0	0	0	2753
5	1	1	0	348	2005	1607
6	2	2	0	327	2005	1379
7	1	1	0	369	2005	1996
8	1	2	0	342	2006	0
9	1	1	0	371	2007	1429
10	1	0	0	0	0	0
11	2	2	0	365	2005	1632
12	1	1	0	350	2007	2599
13	2	2	171	306	2003	1943
14	1	1	0	0	0	50098
15	1	0	0	0	0	0
16	1	2	128	298	2008	2573
17	1	2	0	327	2005	1764
18	1	2	282	366	2007	1562
19	1	1	0	341	2006	2790
20	1	0	0	314	0	50732
21	1	1	258	355	2009	60738
22	1	2	0	355	2009	2191
23	1	2	258	0	2009	2788
24	1	2	264	0	2009	2846
25	1	1	274	367	2009	0
26	1	1	0	316	2007	1764
27	1	2	0	317	2007	1330
28	1	1	0	0	2009	52979
29	1	1	0	375	2007	1838
30	2	2	0	314	2003	23965
31	1	1	324	368	2009	51263
32	1	1	0	382	0	2048
33	1	2	266	327	2009	50500
34	2	2	0	0	2005	2779
35	1	1	0	292	2006	2113
36	1	2	0	327	2009	1654
37	1	2	136	355	2008	52401
38	1	1	259	382	2009	1942
39	1	1	0	375	2007	1503
40	1	1	274	314	2008	1912
41	1	2	0	365	0	0
42	1	1	0	355	2007	1476
43	1	2	0	384	2009	0
44	1	0	323	312	0	16805
45	1	2	257	351	2009	10937
46	1	1	0	374	2006	1310
47	1	2	362	355	2006	0
48	2	1	0	367	2005	1594
49	2	1	0	367	2005	3057
50	2	2	262	340	1976	3003
51	1	2	128	298	2008	50115
52	1	1	339	367	2007	3120
53	2	1	259	311	2005	1486
54	1	2	0	360	2007	2326
55	1	1	0	291	2009	2335
56	1	2	182	304	2006	51231
57	1	2	179	327	2006	2813
58	1	1	0	361	2008	2754
59	1	2	0	333	2007	0
60	1	1	269	0	2009	52088
61	2	2	0	316	2005	2749
62	1	0	0	0	0	0
63	1	2	272	390	2009	2900
64	1	2	273	315	2009	1667
65	1	0	0	0	0	0
66	1	2	256	319	2008	1734
67	1	1	0	374	2008	2954
68	2	2	0	314	2004	0
69	1	2	257	368	2009	2561
70	1	0	320	0	2008	2460
71	1	1	0	368	2008	56639
72	1	2	0	329	2006	1805
73	1	2	0	348	2008	2702
74	2	1	0	319	2004	0
75	1	1	0	355	2006	9830
76	1	1	0	355	2005	0
77	2	2	0	314	2004	0
78	1	2	0	355	2007	2381
79	1	2	0	298	2008	3004
80	1	2	273	317	2009	50215
81	1	1	266	0	2009	2327
82	1	2	281	367	2008	54222
83	1	2	272	355	2009	2564
84	1	1	0	0	2008	20577
85	1	1	0	329	2008	1923
86	1	2	323	319	2007	3081
87	1	1	0	355	2009	2764
88	1	1	270	352	2009	1311
89	1	0	0	298	2006	2868
90	1	0	0	0	0	0
91	1	1	0	368	2008	1617
92	1	1	267	350	2007	2747
93	2	0	0	0	0	0
94	1	1	0	368	2006	0
95	2	2	215	344	2004	50165
96	1	1	0	290	2007	1421
97	1	1	143	305	2007	1652
98	1	1	0	382	0	2326
99	2	2	324	352	2005	3080
100	1	2	0	317	0	2664
101	1	1	0	0	2008	0
102	1	2	348	292	0	2193
103	1	1	0	0	2008	50112
104	1	0	0	291	2008	2505
105	1	2	0	329	2007	1763
106	1	2	0	332	2007	2709
107	1	1	141	300	0	9745
108	2	2	0	317	2005	50342
109	2	1	0	357	2004	1595
110	1	1	257	368	2009	0
111	1	1	0	375	2006	2041
112	2	1	0	300	2000	1596
113	2	1	0	314	2005	50390
114	1	1	0	355	0	0
115	1	1	265	390	2009	2881
116	1	1	265	387	2009	2849
117	1	2	140	0	2008	2472
118	1	1	266	341	2009	2426
119	1	1	265	341	2007	1914
120	2	2	0	0	2004	1738
121	1	1	0	382	2005	2769
122	1	1	0	292	2007	1326
123	5	2	0	300	2010	3172
124	1	1	0	329	2008	2622
125	2	0	0	319	2005	50165
126	1	1	0	0	2009	2748
127	2	1	0	355	0	24645
128	1	2	272	355	2009	2788
129	1	2	257	319	2009	0
130	2	1	0	292	2005	0
131	1	2	262	297	2009	3133
132	1	1	0	368	2007	0
133	1	2	259	0	2009	2805
134	0	0	0	0	0	0
135	1	1	0	291	2006	2426
136	1	2	256	319	2008	50055
137	1	1	0	317	2008	2714
138	5	1	0	393	2008	2597
139	1	1	0	362	2007	1744
140	1	1	0	298	2008	2914
141	1	0	0	348	2006	3004
142	1	2	186	365	2006	0
143	1	1	0	367	2009	2960
144	2	1	0	375	0	2460
145	1	1	0	329	2007	1421
146	1	2	0	308	2006	50353
147	1	2	259	317	2009	0
148	1	1	266	355	2009	1963
149	1	2	0	341	2008	1887
150	1	1	274	298	2009	1320
151	1	1	263	0	2009	10492
152	1	1	0	0	2008	0
153	1	1	0	387	2005	0
154	1	0	0	306	2006	1885
155	1	1	0	387	2006	1361
156	1	2	0	314	0	2960
157	1	1	0	368	2006	2702
158	1	1	269	382	2009	2809
159	1	2	256	317	2009	50063
160	1	1	314	0	2008	2670
161	2	2	0	319	2004	0
162	1	1	0	350	2006	16335
163	1	1	0	292	2007	2088
164	2	2	0	366	2005	1298
165	1	1	0	368	2009	2326
166	1	2	260	298	2009	25111
