node	student	gender	dorm	major	year	school
0	1	1	77	128	2008	50652
1	1	2	80	138	2007	2581
2	2	1	0	211	2004	19608
3	1	2	74	147	2009	17478
4	1	1	78	180	2008	23741
5	1	1	0	248	2007	50967
6	1	2	80	234	2006	23748
7	1	1	123	216	2007	25849
8	1	2	79	0	0	0
9	1	1	90	147	2008	11872
10	1	2	77	146	2009	50622
11	1	2	85	201	2007	9791
12	1	2	74	165	2009	9774
13	2	1	0	0	2005	21055
14	1	1	124	211	2007	0
15	1	2	80	154	2007	3655
16	1	0	0	211	2006	9157
17	1	2	123	151	2006	17529
18	1	1	76	201	2008	17759
19	2	0	0	0	2005	23810
20	1	1	0	284	2006	0
21	1	2	70	245	2007	16049
22	4	2	0	0	0	1704
23	1	2	132	129	2008	9321
24	1	1	76	147	2009	12024
25	2	2	0	181	2005	19865
26	1	2	131	260	2009	19070
27	1	1	80	264	2006	9677
28	2	2	127	168	2005	3743
29	2	1	0	0	2004	9451
30	1	2	71	255	2007	17939
31	1	2	105	206	0	0
32	1	1	76	180	2008	17528
33	1	1	123	154	2005	23994
34	2	0	0	0	0	0
35	1	1	72	222	2008	3012
36	1	1	0	180	2006	2416
37	2	1	0	162	2005	5616
38	1	2	123	260	2006	19785
39	1	1	77	147	2009	16114
40	1	1	0	239	2007	4655
41	1	1	76	140	2009	23618
42	5	2	123	288	2005	9612
43	1	2	89	257	2008	50706
44	2	2	0	178	2005	15956
45	1	2	77	187	2009	9385
46	1	1	115	265	2006	4281
47	2	2	0	166	0	0
48	1	2	71	151	2009	9373
49	1	2	96	219	2008	9515
50	1	2	76	154	2009	9536
51	2	1	0	211	2003	0
52	5	2	77	153	2007	16429
53	1	2	123	211	2006	50924
54	2	1	0	264	2004	0
55	1	1	77	289	2009	9617
56	1	2	71	0	2007	50486
57	2	2	0	264	0	4249
58	1	1	76	289	2008	17707
59	2	2	0	187	2004	5999
60	2	1	123	275	2005	21242
61	1	1	0	211	2006	3701
62	2	2	0	227	2004	18111
63	1	1	0	265	2006	10832
64	1	1	123	264	2006	4119
65	1	0	79	201	2005	0
66	1	1	77	0	2008	16261
67	1	1	70	179	2008	3633
68	1	1	104	151	2008	2669
69	1	0	0	0	2008	50506
70	2	1	0	227	2004	9617
71	1	2	123	187	2006	17636
72	1	1	80	0	2008	3118
73	1	1	80	186	2006	15925
74	1	2	76	175	2008	9757
75	1	2	76	175	2008	50344
76	2	2	80	129	2004	50070
77	1	0	127	0	2006	17584
78	1	2	123	252	2006	21462
79	1	2	76	0	2009	18040
80	1	1	79	216	2007	9570
81	1	0	0	0	0	0
82	1	1	90	175	2008	23003
83	1	2	123	205	2006	50042
84	5	1	77	158	2006	17264
85	2	1	0	287	2005	50201
86	1	0	0	211	0	17402
87	1	0	78	211	2008	25502
88	2	1	80	147	2004	4344
89	1	1	0	275	2006	9554
90	1	1	75	154	2008	15996
91	1	2	77	234	2008	9502
92	1	2	80	197	2008	17211
93	1	1	123	154	2007	17305
94	1	1	0	265	2006	9588
95	2	2	0	216	2004	50512
96	1	2	78	175	2006	16161
97	1	1	123	260	2006	9489
98	1	2	74	179	2008	50130
99	2	1	0	264	2005	9351
100	1	1	123	211	2005	9382
101	2	1	124	201	2005	50267
102	2	2	124	175	2005	56626
103	2	2	0	227	2004	9553
104	1	2	76	216	2008	2233
105	1	0	0	0	0	6676
106	1	1	79	260	2007	18063
107	1	2	90	146	2006	0
108	1	0	75	0	2008	56377
109	1	1	81	180	2008	17433
110	1	1	124	175	2006	0
111	1	1	0	264	2006	7470
112	2	2	79	248	2004	0
113	1	1	127	147	2006	16805
114	2	1	0	187	2004	0
115	1	1	80	264	2006	4302
116	1	1	77	196	2008	3750
