node	student	gender	dorm	major	year	school
0	5	1	0	0	2005	57199
1	1	1	72	56	2009	52092
2	1	1	0	73	2006	16032
3	2	2	0	133	2005	0
4	1	1	0	0	0	10289
5	1	1	7	0	2009	50024
6	1	1	2	0	2008	16438
7	1	1	0	0	0	2397
8	1	2	0	78	0	0
9	1	2	4	79	2007	9262
10	1	0	0	50	0	50575
11	1	0	11	124	2007	2813
12	5	2	0	0	2007	0
13	1	1	0	110	2006	3575
14	1	2	0	110	2007	17156
15	1	1	71	79	2008	2699
16	1	1	78	90	2009	0
17	1	2	0	77	0	0
18	1	2	7	49	2009	9533
19	1	1	78	111	2008	17746
20	1	1	12	78	2007	4492
21	1	1	15	90	2006	50045
22	5	0	0	45	2005	0
23	1	1	0	57	2006	144
24	1	1	2	0	2008	22565
25	1	2	15	97	2006	50353
26	1	1	17	111	2006	50275
27	1	1	0	116	2007	50285
28	1	2	0	57	2007	16420
29	5	1	0	76	2005	0
30	2	1	0	90	2004	50259
31	1	1	55	102	2006	50131
32	1	1	2	54	2009	18154
33	1	2	11	57	2008	17496
34	1	2	65	0	2008	50202
35	2	0	0	122	2005	9078
36	1	2	3	54	2006	0
37	1	1	13	90	2006	3721
38	2	2	0	75	2004	9773
39	1	1	0	75	2006	0
40	1	2	3	90	2007	17568
41	1	1	53	83	2007	0
42	1	2	7	78	2009	16496
43	1	1	11	90	2007	50693
44	5	1	1	0	2006	2365
45	1	1	14	0	2007	17845
46	1	1	75	0	2005	16545
47	2	2	0	110	2004	16120
48	1	1	53	100	2008	16812
49	1	1	17	78	2008	51164
50	1	2	7	101	2009	16791
51	1	1	0	90	2006	53092
52	1	2	7	107	2009	16104
53	2	2	0	67	2005	16507
54	5	2	0	110	0	1912
55	1	1	11	85	2007	9581
56	1	0	6	77	2006	24029
57	1	1	14	79	2007	16256
58	1	1	11	75	2007	17636
59	1	2	0	109	2007	0
60	2	2	3	0	0	50104
61	2	0	0	0	0	0
62	1	2	0	107	2007	52933
63	1	1	0	0	0	2749
64	1	2	0	93	2006	0
65	1	2	3	66	2006	9429
66	2	1	0	50	2005	50043
67	1	2	0	0	2009	9598
68	1	2	8	110	2008	25377
69	2	0	0	0	0	0
70	1	1	0	111	2006	17309
71	1	1	0	0	2007	16496
72	1	0	0	0	2006	16267
73	1	2	1	111	2008	17636
74	5	2	0	90	2002	50738
75	1	1	75	0	2008	50706
76	1	1	0	64	2007	0
77	1	0	0	0	0	0
78	1	2	11	0	2006	16077
79	1	2	0	126	2006	0
80	1	1	14	60	2007	11631
81	1	1	17	111	2005	0
82	1	1	55	0	2006	0
83	0	2	0	122	2004	50325
84	1	2	3	93	2006	17476
85	2	1	0	100	2005	18054
86	2	2	0	0	2004	51805
87	2	2	0	75	0	16497
88	1	1	10	111	2007	16804
89	2	2	0	68	2005	17969
90	1	1	13	78	2006	50909
91	1	1	5	105	2006	9414
92	1	1	53	56	2008	53178
93	1	2	0	62	2004	25082
94	1	0	0	0	0	0
95	1	1	11	72	2007	50099
96	1	1	0	50	2006	50135
97	1	2	3	77	2006	4119
98	1	2	6	62	2005	19445
99	1	1	75	0	2009	16385
100	1	2	65	67	2006	17636
101	1	1	8	0	2008	16141
102	1	2	7	75	2009	9550
103	2	1	55	116	2005	17608
104	1	1	4	75	2009	25551
105	1	1	54	78	2007	25180
106	2	1	0	0	2004	50088
107	1	1	0	105	2007	50156
108	1	2	0	78	0	50100
109	1	2	7	75	2009	3574
110	1	2	2	107	2009	25476
111	1	1	4	78	2009	50036
112	1	1	0	116	0	0
113	1	1	48	45	2007	20853
114	1	1	5	50	2008	3240
115	2	0	0	0	0	0
116	2	1	62	104	2005	16367
117	2	1	9	93	2004	1606
118	1	0	0	0	0	0
119	4	2	0	0	0	18721
120	2	2	0	57	2005	0
121	1	2	0	83	0	0
122	1	1	3	90	2005	22566
123	1	1	7	83	2007	9263
124	1	1	0	0	0	9771
125	2	0	0	75	2003	50460
126	2	1	0	72	2004	0
127	2	0	0	0	0	0
128	1	1	50	45	2008	50481
129	1	2	12	110	2008	12099
130	2	2	0	110	2005	50165
131	1	2	15	43	2006	0
132	1	1	56	105	2008	9073
133	1	1	3	105	2006	17211
134	1	2	0	0	2006	0
135	5	1	0	133	2006	0
136	2	2	0	72	2005	50168
137	1	2	2	57	2009	17898
138	2	1	3	93	2005	17995
139	1	2	12	57	2009	1289
140	2	2	6	93	2001	17908
141	5	2	0	116	0	0
142	2	1	0	52	2004	50384
143	1	0	72	0	2009	0
144	1	1	3	122	2007	51503
145	1	2	10	77	2008	50377
146	1	1	12	57	2006	23995
147	1	1	4	0	2009	3618
148	1	1	55	0	2007	9618
149	1	0	2	0	2009	16282
150	1	1	52	110	0	3864
151	1	2	2	110	2009	50157
152	1	2	3	46	2008	53321
153	1	2	4	0	2009	9128
154	1	1	55	90	2007	50335
155	1	0	55	43	2006	50074
156	1	2	12	75	2008	3565
157	1	2	3	75	2006	6392
158	2	1	0	78	2005	17640
159	2	1	0	105	2004	52104
160	1	0	0	0	0	0
161	1	1	72	111	2007	17613
162	1	2	4	0	2008	19562
163	5	1	0	0	2006	2326
164	1	2	5	77	2008	51590
165	1	2	2	0	2009	1451
166	2	1	49	78	2005	16805
167	1	1	0	0	2008	2823
168	1	2	17	90	2006	5928
169	1	1	55	122	2006	25082
170	1	1	7	56	2009	17584
171	1	2	11	100	2007	21679
172	1	1	55	128	2007	17786
173	1	2	0	50	2006	0
174	1	1	72	42	2009	0
175	1	1	0	78	0	3591
176	1	0	4	0	2008	50305
177	2	1	0	78	2005	18323
178	1	2	8	57	2008	4004
179	2	1	0	0	2004	50059
180	2	1	0	103	2005	0
181	2	2	0	72	2005	3576
182	1	2	0	90	2006	16445
183	2	2	0	110	2005	0
184	1	2	0	69	0	0
185	1	0	13	90	0	50077
186	2	1	0	0	2004	0
187	2	2	0	104	2005	17949
188	1	2	8	0	2008	16168
189	1	2	3	90	2007	50427
190	1	1	8	78	2007	4119
191	1	1	2	0	2009	0
192	1	2	0	0	2006	9653
193	1	1	0	110	2008	2291
194	1	2	12	0	2009	0
195	1	1	0	75	2006	50872
196	1	2	14	72	2007	50004
197	2	2	0	0	2005	9106
198	1	0	2	0	2009	17908
199	1	2	14	66	2005	0
200	1	1	0	114	2007	17640
201	1	1	53	0	2008	50025
202	2	1	0	0	0	9414
203	1	1	55	49	2008	3638
204	1	1	1	56	2007	51052
205	2	1	52	84	2005	16354
206	1	1	5	0	2008	19939
207	2	1	0	110	2004	3622
208	1	2	12	110	2008	9005
209	2	2	0	101	2005	15855
210	2	1	0	75	0	58987
211	1	1	71	0	2009	15912
212	1	1	0	0	0	60034
213	2	1	0	46	2005	0
214	1	1	75	111	2009	53335
215	1	2	0	75	2009	50442
216	1	0	50	111	2008	50292
217	1	1	56	111	2008	17097
218	1	1	17	110	2008	50292
219	1	2	2	107	2008	24658
220	1	1	55	0	2008	17641
221	1	1	4	56	2008	16032
222	5	2	1	0	2007	50354
223	1	1	0	75	2006	16969
224	1	2	0	90	2007	2599
225	1	2	2	0	2009	9626
226	1	1	72	110	2009	17407
227	5	1	0	128	2007	982
228	1	0	8	43	2007	0
229	1	2	10	0	2008	50131
230	5	1	0	111	2009	14168
231	1	2	0	75	2007	16803
232	1	1	2	111	2009	16720
233	2	1	0	60	2005	3568
234	1	2	3	0	2008	17636
235	1	1	15	116	2006	1361
236	1	1	0	43	2007	50166
237	1	1	55	56	2007	3610
238	2	2	0	100	2004	0
239	2	1	0	0	2003	16233
240	2	1	0	0	0	10090
241	2	2	3	75	2003	2869
242	1	2	11	116	2006	9678
243	1	1	50	111	2007	26684
244	1	2	7	46	2009	0
245	1	1	2	0	2009	20680
246	1	1	1	57	2006	9060
247	1	2	0	107	0	0
248	1	1	0	101	2007	5221
249	1	1	7	78	2009	16104
250	1	2	0	107	2007	0
251	1	2	16	104	2007	17584
252	2	1	0	110	2004	1526
253	1	2	0	0	2009	17646
254	1	0	0	0	0	0
255	1	2	0	0	2008	0
256	2	1	6	90	2004	17246
257	1	2	2	60	2008	16024
258	1	1	11	50	2007	21094
259	1	0	0	0	0	0
260	2	2	12	57	2005	0
261	1	1	71	0	0	50043
262	1	1	55	109	2007	17414
263	1	1	80	90	2005	9244
264	1	2	11	77	2007	9617
265	2	2	0	99	2005	16264
266	2	1	0	75	2004	0
267	2	1	0	75	2005	51465
268	1	2	9	57	2006	3755
269	5	0	0	0	0	0
270	2	2	3	77	2005	0
271	5	0	0	0	0	0
272	1	1	54	75	2006	16810
273	1	2	4	75	2006	50004
274	2	1	0	43	2005	16320
275	1	2	0	72	0	17885
276	1	1	56	110	2008	51901
277	2	1	0	111	2005	2824
278	2	2	0	128	1969	0
279	1	2	7	101	2009	18064
280	1	1	2	0	2009	16068
281	1	1	75	75	2008	50082
282	2	1	0	0	2001	17636
283	2	2	3	57	2005	51339
284	2	2	0	57	2004	16727
285	2	1	0	72	2005	50509
286	2	1	0	78	2005	7721
287	1	2	2	0	2009	9580
288	1	2	0	90	0	50203
289	1	1	50	110	2007	9343
290	1	2	0	90	2006	50215
291	1	1	71	0	2009	9128
292	2	1	0	56	2005	17353
293	1	2	0	104	2006	54834
294	1	2	7	111	2009	9321
295	1	2	0	0	2005	4296
296	1	2	64	75	2007	19208
297	1	2	8	57	2008	2422
298	1	0	0	0	0	0
299	1	2	8	0	2008	50415
300	1	1	80	126	2007	19608
301	1	1	56	121	2007	0
302	1	2	1	110	2007	21781
303	5	2	0	111	2007	2696
304	1	2	0	43	2005	16159
305	1	1	76	50	2008	50005
306	5	2	0	76	2004	9670
307	1	2	11	61	2007	0
308	1	1	75	0	2009	17264
309	2	2	15	122	0	50439
310	2	1	0	90	2002	0
311	1	1	48	122	2006	8947
312	1	2	78	0	2009	3674
313	1	1	48	107	2006	54805
314	1	1	75	0	2009	17717
315	2	2	0	90	2004	0
316	2	2	0	110	2003	0
317	1	2	3	77	2006	50868
318	1	1	10	111	2008	3754
319	1	2	12	93	2008	9321
320	2	1	0	79	2004	17264
321	1	2	11	125	2008	9477
322	1	2	74	0	2008	50197
323	1	2	11	49	2006	0
324	1	2	51	47	2007	0
325	2	1	0	83	2003	16335
326	1	2	11	83	2007	17211
327	2	2	0	78	2004	17454
328	1	2	8	0	2008	1608
329	1	1	0	123	2008	50117
330	1	1	7	110	2009	50390
331	1	2	10	75	2008	1996
332	1	1	0	75	2006	16522
333	1	2	9	110	2006	9382
334	1	0	0	0	0	0
335	1	2	13	61	2005	0
336	2	2	0	0	2002	0
337	1	1	10	85	2006	15912
338	2	2	68	83	2004	17475
339	1	2	8	110	2007	3858
340	2	2	0	110	2005	22926
341	1	2	1	55	2006	9530
342	1	2	76	77	2007	50025
343	5	2	0	121	2006	11134
344	1	1	0	78	2007	17885
345	5	1	0	76	2005	3739
346	1	1	71	0	2008	9580
347	1	1	2	0	2009	9580
348	2	2	0	77	2004	9533
349	2	1	0	83	2005	9484
350	2	1	9	126	2005	50045
351	2	1	3	55	2002	0
352	1	2	9	125	0	0
353	1	2	0	0	0	9581
354	2	2	0	0	2005	23741
