node	student	gender	dorm	major	year	school
0	1	1	0	88	2007	2816
1	1	2	0	111	2006	0
2	1	1	1	63	2009	21056
3	1	1	134	116	2008	18343
4	1	1	111	116	2007	14291
5	1	2	0	61	2006	3769
6	1	1	17	126	2009	50344
7	2	1	111	117	2005	21841
8	1	2	32	0	2008	50737
9	1	2	73	97	2007	16694
10	1	2	111	95	2008	3540
11	1	0	0	0	0	0
12	1	0	0	0	0	0
13	5	1	0	141	2006	0
14	2	1	81	84	2004	0
15	1	2	16	47	2009	17296
16	1	0	0	93	2006	3622
17	4	2	0	0	0	17406
18	1	2	0	44	2006	0
19	1	0	0	0	0	0
20	1	1	104	53	2004	17009
21	1	1	0	46	2005	17204
22	2	0	0	0	0	0
23	1	2	52	79	2008	50491
24	2	2	7	88	2003	14563
25	2	1	0	107	2004	540
26	1	1	2	44	2009	18089
27	1	1	107	116	2008	52104
28	1	1	111	63	2006	0
29	2	1	111	88	2004	17430
30	2	1	0	110	2005	16049
31	1	2	111	53	2006	17456
32	2	2	0	49	2005	50423
33	2	1	20	107	2005	50521
34	1	2	60	63	2008	17636
35	2	1	0	115	2005	17377
36	1	1	124	67	2007	4289
37	1	0	0	0	0	0
38	2	1	107	47	2005	0
39	1	1	10	0	2009	16439
40	2	2	0	90	2004	21007
41	2	2	111	69	0	17636
42	1	2	29	115	2007	17253
43	2	1	0	67	2005	18108
44	1	1	106	111	2007	0
45	2	2	0	69	2004	0
46	2	2	86	111	2005	1617
47	1	1	97	116	2006	50720
48	1	1	111	61	2008	50334
49	1	2	0	0	2008	52957
50	1	1	39	94	2006	18152
51	5	1	0	123	0	1267
52	4	0	0	0	0	0
53	5	2	0	47	0	0
54	5	1	0	150	2007	17930
55	2	2	0	88	2004	14590
56	1	2	14	97	2009	10492
57	1	1	8	61	2008	17870
58	1	0	0	93	2008	0
59	1	2	32	47	2008	17717
60	1	2	111	77	2006	0
61	2	1	0	115	2004	9717
62	1	2	29	97	2008	50235
63	1	1	11	90	2009	18109
64	1	0	0	0	0	0
65	2	2	0	147	2004	16264
66	2	1	0	55	2005	2561
67	4	1	111	67	2005	0
68	1	1	9	55	2008	3890
69	2	1	0	97	2003	0
70	1	2	41	47	2008	50173
71	1	2	3	0	2009	2674
72	2	2	0	47	2005	0
73	1	2	0	85	2005	17167
74	1	2	0	90	2006	16445
75	1	1	11	67	2009	50523
76	2	1	126	88	2005	0
77	1	1	15	97	2007	17636
78	1	2	0	0	2007	0
79	2	1	111	94	2005	17908
80	5	1	0	67	2006	0
81	1	2	0	79	2007	0
82	1	2	12	47	2008	1924
83	2	1	0	55	2003	0
84	2	1	0	110	2005	3755
85	1	1	7	62	2009	50168
86	1	2	32	88	2006	17273
87	1	1	10	57	2009	6399
88	5	0	0	0	0	0
89	1	2	111	104	2006	12080
90	1	2	2	55	2009	0
91	1	2	111	90	2007	16445
92	1	2	0	80	2006	50089
93	1	1	103	67	2008	17472
94	2	1	0	107	2005	50003
95	1	0	0	0	0	0
96	5	1	0	69	2005	50168
97	1	2	42	46	2006	17050
98	1	2	0	0	0	0
99	1	1	0	125	2010	0
100	1	2	75	52	2008	17997
101	1	1	111	93	2006	17410
102	2	2	0	111	2005	16264
103	2	2	0	55	2004	2868
104	1	2	34	53	2008	17914
105	1	2	111	47	2007	50700
106	1	1	100	88	2007	50292
107	1	1	111	97	2007	17407
108	1	2	0	47	2007	17331
109	1	1	102	126	2007	50892
110	2	0	0	0	0	0
111	2	1	0	97	2005	17862
112	1	1	0	73	2006	50131
113	1	1	10	55	2009	17170
114	1	2	124	61	2006	9319
115	1	2	32	0	2008	21621
116	1	1	111	105	2006	50509
117	1	1	18	115	2007	17632
118	2	0	0	0	2002	0
119	2	1	0	55	2004	16318
120	1	2	111	47	2006	17430
121	2	1	0	80	2004	6139
122	4	2	0	0	0	0
123	1	1	111	93	2007	19606
124	1	1	14	93	2009	16234
125	1	2	16	55	2008	16924
126	1	1	0	44	0	0
127	1	1	100	97	2006	17886
128	2	2	0	73	2005	3284
129	2	2	0	90	2005	9351
130	1	2	10	69	2009	58523
131	1	0	0	0	0	0
132	4	2	0	0	0	17709
133	2	1	111	111	2005	9321
134	1	1	28	105	2007	842
135	1	2	0	79	0	50814
136	2	1	83	55	2003	2157
137	1	2	49	77	2008	50034
138	1	2	110	0	0	0
139	1	0	0	44	0	0
140	1	1	111	57	2006	0
141	1	1	108	97	2008	17097
142	1	2	0	47	2006	50963
143	2	0	0	0	0	17269
144	5	1	0	79	2009	0
145	5	2	0	113	0	0
146	1	1	0	55	2005	17581
147	2	1	0	79	2004	0
148	1	2	111	100	2007	22187
149	2	1	99	111	2003	24054
150	1	1	111	84	2006	24162
151	1	2	11	0	2009	50377
152	1	1	0	0	0	0
153	1	2	63	77	2006	19153
154	1	1	98	43	2007	0
155	1	1	0	116	2006	17430
156	5	0	0	0	0	0
157	1	1	0	93	2006	2061
158	1	1	111	78	2007	17030
159	1	1	14	84	0	56304
160	1	1	2	95	2009	16045
161	2	2	0	0	0	0
162	2	1	111	115	2004	9349
163	1	1	17	44	2009	17191
164	1	2	0	93	2005	54563
165	1	2	0	131	2006	0
166	5	2	111	55	2010	0
167	1	0	0	80	2006	9321
168	2	1	105	77	2005	2277
169	1	2	111	0	0	50065
170	1	2	32	79	2008	9077
171	1	2	0	55	2007	0
172	2	1	0	47	2005	50307
173	1	1	0	43	2006	10910
174	1	2	0	105	2007	4481
175	1	1	16	135	2009	16805
176	1	1	39	55	2008	50012
177	1	2	0	115	2005	0
178	2	2	47	44	2004	17967
179	1	1	100	55	2007	16719
180	1	2	39	55	2008	17042
181	2	2	111	123	2005	2854
182	2	2	111	97	2005	2997
183	1	0	0	53	2007	9077
184	1	0	0	0	0	0
185	1	2	0	113	2007	5535
186	1	1	0	61	2006	0
187	1	2	3	62	0	3389
188	4	1	0	0	0	21581
189	1	2	36	46	2007	15999
190	1	1	4	0	2009	24902
191	2	1	111	90	2005	0
192	1	1	37	77	2007	25178
193	1	1	99	44	2006	3789
194	1	1	105	110	0	17844
195	1	2	111	63	2007	17682
196	2	1	83	90	2005	50223
197	1	2	64	114	2006	53821
198	2	2	111	93	2004	2868
199	1	1	10	111	2009	6265
200	5	1	0	135	2003	24532
201	2	1	0	53	2002	0
202	1	1	14	94	2009	18230
203	2	1	0	67	2004	0
204	1	1	0	61	2008	24942
205	2	1	98	117	2005	2272
206	1	2	11	115	2009	17880
207	1	1	0	52	2009	50228
208	1	2	0	0	0	16353
209	1	1	24	88	2008	0
210	1	2	0	0	0	0
211	2	2	78	77	2005	17908
212	2	2	67	115	2005	18079
213	1	2	2	55	2004	1320
214	2	1	0	95	2004	50709
215	1	1	11	95	2009	0
216	2	0	0	0	0	54178
217	1	2	10	46	2009	17488
218	1	2	57	111	2007	9073
219	1	1	108	80	2006	17060
220	1	2	0	77	2008	0
221	2	1	97	67	2005	17407
222	1	2	1	90	2009	15903
223	2	1	115	43	2005	0
224	1	1	0	55	2006	10943
225	1	1	0	77	2006	2753
226	1	2	8	55	2009	21715
227	1	1	36	49	2009	16268
228	1	2	34	76	2007	0
229	2	1	29	77	2005	3858
230	1	2	28	69	2007	0
231	1	1	11	57	2009	17886
232	1	1	103	55	2007	0
233	1	2	0	97	2007	22559
234	1	0	0	62	2006	22287
235	1	2	0	97	0	0
236	2	1	19	95	2004	0
237	1	2	67	55	2008	17203
238	1	1	111	95	2006	18041
239	5	2	0	0	2004	0
240	2	1	98	115	2004	0
241	1	1	108	115	2006	17766
242	1	1	17	95	2009	18070
243	5	2	0	128	2005	0
244	1	1	81	0	2007	2753
245	1	1	9	123	2009	16376
246	2	1	0	116	2005	16437
247	1	1	16	0	2009	6111
248	1	2	72	57	2006	17640
249	1	2	32	69	2007	9244
250	5	2	0	138	2006	16794
251	1	1	111	74	2007	17764
252	1	1	107	93	2006	50212
253	1	0	108	126	2007	0
254	2	2	58	79	2005	50152
255	1	2	14	93	2009	0
256	2	2	111	52	2003	3743
257	1	2	0	69	2005	17934
258	1	1	0	61	2006	50031
259	1	2	0	62	2008	52937
260	1	1	14	0	2009	17242
261	5	1	0	44	2008	16793
262	1	2	0	55	0	17862
263	1	0	0	0	0	0
264	1	2	65	55	2008	20357
265	1	1	102	55	2007	50192
266	1	1	9	50	2008	17842
267	2	1	0	97	2005	6791
268	1	1	111	79	2006	16758
269	1	1	10	97	2009	18003
270	2	2	18	44	2003	0
271	2	2	0	88	2005	50419
272	1	2	0	90	2006	50291
273	1	0	0	0	0	0
274	2	1	104	73	2004	51385
275	1	1	0	110	2006	18071
276	2	2	0	83	0	0
277	1	0	0	0	0	4700
278	1	2	51	77	2005	16924
279	1	2	0	0	0	50234
280	5	0	0	0	0	0
281	1	2	16	105	2009	17242
282	2	1	0	61	2005	18294
283	1	2	111	53	2007	50985
284	1	2	73	116	2006	19198
285	1	2	45	116	2007	9077
286	2	2	0	77	2005	3979
287	2	2	111	79	2004	51152
288	1	1	134	115	2007	0
289	1	0	0	146	2007	50358
290	5	1	0	103	2008	0
291	1	1	3	115	2009	21778
292	1	2	0	88	2008	50259
293	1	2	134	95	2010	17079
294	1	2	21	61	2006	4889
295	2	0	0	0	0	0
296	1	1	111	44	2007	0
297	2	1	0	57	2004	18001
298	1	1	16	97	2009	17079
299	2	0	0	0	0	3622
300	1	2	63	119	2007	54754
301	1	1	14	0	2009	51385
302	1	1	103	57	2006	21094
303	1	1	104	95	2007	17444
304	1	2	0	107	2006	16733
305	4	2	0	0	0	0
306	1	1	14	97	2008	51301
307	2	1	111	77	2004	50249
308	1	1	111	95	2006	50164
309	1	2	79	97	2006	50786
310	1	1	0	63	2008	18003
311	1	2	117	55	2005	0
312	1	2	1	0	2009	21094
313	1	2	0	83	2006	9299
314	1	1	11	84	2009	9665
315	1	1	107	77	2006	16313
316	1	0	0	0	2008	0
317	1	1	111	0	2008	17636
318	1	2	124	55	2007	50168
319	1	1	38	123	2006	21781
320	1	1	104	94	2008	50191
321	1	2	0	111	2006	0
322	1	2	73	93	0	0
323	1	2	8	63	2008	9407
324	2	2	0	0	2004	0
325	1	1	14	105	2009	53132
326	1	1	16	0	2009	4004
327	5	2	0	111	2005	0
328	2	2	124	55	2004	13130
329	2	0	0	0	0	0
330	2	1	0	95	2005	17352
331	1	2	111	47	2008	4981
332	2	1	0	69	2004	18135
333	1	2	67	111	2007	16109
334	1	1	1	0	0	17456
335	1	0	0	0	0	17030
336	1	1	134	63	2007	17228
337	1	0	0	0	0	0
338	1	2	73	43	2006	52806
339	2	2	0	53	2005	17636
340	1	1	0	55	2006	16764
341	1	2	41	47	2007	50293
342	1	1	10	95	2009	18054
343	1	1	10	116	2007	4976
344	5	2	0	0	2002	17636
345	4	0	0	0	0	0
346	1	1	36	62	2008	14291
347	1	1	111	97	2006	0
348	1	1	35	47	2008	17909
349	2	2	0	113	2005	50408
350	1	2	11	85	2009	17043
351	1	1	14	55	2009	50070
352	1	1	0	102	2005	52957
353	1	1	1	69	2009	9484
354	1	2	34	55	2007	25178
355	1	2	0	88	2007	0
356	1	2	0	0	2008	15985
357	1	1	106	90	2005	0
358	1	1	0	78	2005	0
359	1	2	48	105	2007	16764
360	1	2	10	115	2009	17478
361	1	1	9	95	2007	18028
362	2	2	0	80	2004	0
