node	student	gender	dorm	major	year	school
0	1	1	160	141	2006	4459
1	1	1	0	130	2007	4449
2	1	1	0	170	2009	0
3	1	1	63	133	2009	4110
4	1	1	0	154	2006	4287
5	1	1	106	149	2008	4291
6	1	2	81	211	2006	4514
7	1	1	110	142	0	4501
8	1	1	160	243	2008	9147
9	1	1	153	138	2009	4492
10	1	0	0	118	2006	4141
11	1	2	123	131	2008	4588
12	1	2	62	254	2009	4551
13	1	1	151	131	2008	4530
14	1	1	0	144	2008	4582
15	1	1	0	141	2007	4063
16	1	2	124	216	2006	4488
17	1	1	0	123	2007	4119
18	1	2	0	145	2007	4551
19	1	1	0	232	2007	4501
20	1	2	111	118	2009	4169
21	1	1	153	149	2009	4392
22	1	1	63	248	2009	4584
23	1	1	0	149	2009	0
24	1	2	0	185	2006	26593
25	1	1	110	139	2008	4588
26	1	1	152	131	2007	4156
27	1	1	0	146	0	3967
28	2	1	0	0	2005	4568
29	1	2	71	234	2008	4050
30	2	2	76	149	2005	4578
31	1	2	0	145	2006	4501
32	1	1	128	190	2006	3961
33	1	1	90	178	2008	3951
34	1	1	0	139	0	3908
35	1	1	0	130	2006	51855
36	1	2	66	157	2006	4423
37	2	1	94	213	0	0
38	1	2	0	133	2006	4639
39	1	2	123	157	2008	0
40	1	1	160	221	0	4488
41	1	1	61	202	2008	4423
42	1	2	0	200	0	4445
43	1	1	0	196	2008	0
44	1	2	149	224	0	4435
45	1	1	0	187	2007	3979
46	1	1	0	211	2009	50795
47	1	2	0	178	2005	3921
48	2	0	0	207	0	0
49	1	2	0	119	2009	4599
50	1	2	64	151	2009	4514
51	1	2	59	228	2008	54710
52	1	2	0	176	0	4108
53	1	2	0	138	2008	50795
54	5	1	0	139	0	55089
55	1	1	99	178	2008	3986
56	2	2	0	178	2004	0
57	1	0	119	140	2007	4514
58	2	1	0	138	2003	0
59	2	1	0	207	2004	3926
60	1	2	106	130	2008	52188
61	1	0	0	147	0	0
62	1	2	83	207	2008	4133
63	2	2	0	228	2005	5061
64	1	1	92	118	0	4538
65	1	1	64	141	2009	0
66	1	2	110	148	2005	24555
67	1	1	176	213	2007	3878
68	2	1	0	228	0	9640
69	1	2	104	228	0	4276
70	5	0	0	0	0	0
71	1	1	0	184	2009	4594
72	1	2	165	170	2006	0
73	1	2	0	138	2007	4482
74	1	2	152	149	2008	4014
75	1	2	69	157	2006	50222
76	1	1	63	149	2009	51496
77	1	1	128	146	2008	3922
78	1	1	104	202	2007	4461
79	1	2	63	133	2008	50228
80	1	1	126	133	2009	4640
81	1	1	0	200	2006	4482
82	1	1	160	180	2008	4355
83	1	1	0	118	2006	4551
84	5	1	0	250	2005	4009
85	1	2	103	203	2009	4251
86	1	2	0	159	0	17529
87	2	2	0	148	2004	393
88	1	1	105	207	2009	61022
89	1	1	0	181	0	3871
90	1	1	0	157	2005	4303
91	1	2	0	157	2006	4437
92	1	1	53	146	2008	4382
93	1	1	0	212	2008	4565
94	1	1	146	188	2007	51833
95	5	1	175	250	2008	4110
96	1	1	0	0	2008	4566
97	1	2	101	141	2006	52993
98	1	1	0	192	0	50140
99	1	2	119	200	0	3967
100	1	1	148	157	2007	3979
101	1	1	0	210	2006	4573
102	1	1	65	207	2008	4626
103	2	1	0	218	2005	4387
104	1	1	124	187	2006	4420
105	1	2	104	200	2006	4494
106	1	0	0	0	0	0
107	1	2	78	149	2006	4555
108	1	1	64	150	2008	3982
109	1	2	114	207	2007	4469
110	1	2	0	190	0	4032
111	1	2	0	196	2004	3908
112	1	1	61	190	2007	0
113	1	1	0	223	2009	4180
114	1	1	0	200	2005	55352
115	1	1	87	181	2006	4093
116	1	1	61	223	0	4084
117	2	1	0	154	2005	0
118	1	2	108	131	2010	0
119	1	2	63	200	2009	4279
120	1	1	0	131	0	4492
121	5	0	0	235	2006	4381
122	1	1	63	207	2009	0
123	1	0	0	0	0	0
124	1	1	126	181	2006	4050
125	1	1	97	146	2007	4578
126	2	1	0	154	2005	4217
127	1	2	0	176	2008	4092
128	1	2	122	172	2005	4156
129	1	1	65	149	2008	4514
130	1	1	97	243	2007	10186
131	1	1	104	241	2007	60170
132	2	1	0	123	2005	4038
133	1	1	65	0	2008	3951
134	1	2	71	157	2008	4222
135	2	1	90	157	2004	4032
136	1	1	96	210	2008	23526
137	1	2	148	141	2007	4392
138	1	1	96	207	2007	4637
139	1	1	0	138	0	59247
140	2	1	0	139	2005	51900
141	1	1	0	176	2006	4427
142	1	1	174	150	2008	3931
143	1	2	103	131	2007	4781
144	1	2	0	0	0	4384
145	1	1	62	241	2009	4151
146	1	1	0	222	2008	4276
147	1	1	122	241	2009	4349
148	1	2	116	148	0	4626
149	2	2	0	123	2005	4291
150	2	1	0	149	2005	624
151	1	2	0	172	2005	4084
152	1	1	0	171	2006	50222
153	1	1	102	141	2005	4251
154	1	1	0	199	2007	4038
155	2	2	0	188	2005	4142
156	1	1	101	161	0	4374
157	1	2	73	0	2007	4423
158	1	1	104	204	0	4020
159	1	1	149	231	2009	4551
160	2	2	0	235	2004	4318
161	1	2	83	157	2006	3995
162	1	1	146	170	2006	4565
163	1	1	52	123	2009	4284
164	1	1	124	149	2006	4405
165	2	0	0	0	0	0
166	1	1	0	133	2008	4637
167	2	1	0	235	2004	4551
168	1	2	0	211	2006	50795
169	1	2	113	131	0	4281
170	1	2	0	141	2007	4354
171	1	2	110	157	0	3946
172	1	2	64	133	2009	4185
173	1	2	166	134	2008	3957
174	1	2	114	131	2006	3897
175	1	1	51	207	2009	4251
176	1	2	114	130	2009	4110
177	2	1	0	157	2005	0
178	1	1	88	181	0	4397
179	1	1	0	212	2006	4374
180	1	1	0	235	2008	5007
181	1	2	106	131	0	4626
182	1	2	62	149	2009	4377
183	1	1	63	0	2009	0
184	1	1	59	212	2009	4425
185	1	1	156	234	2007	9138
186	5	1	0	211	2005	4269
187	1	1	180	178	2006	4535
188	1	2	153	157	2009	51102
189	1	2	0	145	2009	52361
190	2	2	124	178	2005	0
191	1	2	0	207	2008	51102
192	1	2	65	151	2008	50787
193	1	1	0	178	2006	5078
194	1	1	0	139	0	51211
195	2	2	82	207	2005	22494
196	1	1	89	181	2007	4262
197	1	1	62	209	2009	4092
198	2	2	0	235	2005	4590
199	1	1	153	211	2009	0
200	1	0	95	0	2007	4514
201	1	2	152	154	2006	1174
202	1	1	59	146	2009	3909
203	1	2	124	178	2009	4416
204	1	1	0	143	0	4092
205	1	1	0	202	2006	53617
206	1	1	95	146	2008	51247
207	2	0	0	0	0	0
208	2	2	76	157	2005	3911
209	1	1	123	138	2008	4218
210	1	1	123	232	2008	3934
211	1	2	0	207	2005	4551
212	1	1	62	138	2009	4378
213	1	1	59	151	2009	4495
214	1	2	75	157	2006	16710
215	1	2	0	119	2006	20263
216	5	1	0	235	2005	5002
217	1	0	0	0	0	0
218	2	2	0	133	0	4543
219	1	1	0	211	2005	4578
220	2	1	99	181	2005	4012
221	1	2	151	185	2008	9087
222	5	2	126	133	2006	6100
223	1	2	0	200	2006	4858
224	1	2	0	166	2006	4110
225	1	2	0	170	2006	4551
226	1	1	0	180	2005	4425
227	1	2	0	235	2007	50114
228	1	1	165	131	2009	4377
229	1	1	119	133	0	3896
230	1	2	102	182	2008	26149
231	1	2	83	185	0	51102
232	1	2	147	141	2008	50723
233	2	1	0	188	2004	4276
234	1	2	65	228	2008	53221
235	1	1	0	149	0	0
236	1	1	0	230	2005	0
237	1	1	0	120	0	51635
238	1	1	0	149	0	4351
239	1	0	0	0	0	0
240	1	2	135	148	2006	4169
241	2	1	0	138	2005	50956
242	1	1	106	196	2005	0
243	1	2	0	127	2006	3957
244	1	2	149	236	2009	56677
245	1	2	114	130	2007	51427
246	1	1	52	140	2005	0
