node	student	gender	dorm	major	year	school
0	1	1	0	0	2008	4007
1	1	2	64	133	2009	17537
2	1	2	71	156	2008	16079
3	1	1	69	157	2009	21083
4	1	1	67	157	2007	17786
5	1	1	113	128	2007	9241
6	1	1	70	0	2009	50088
7	1	2	75	189	2008	50138
8	1	0	65	0	0	21613
9	1	2	60	189	2008	52737
10	2	2	0	176	2004	50151
11	2	1	0	165	0	19543
12	1	2	73	0	2009	17573
13	2	1	55	134	2005	0
14	1	2	0	151	2007	54563
15	2	1	0	198	0	0
16	1	2	64	154	2009	17537
17	1	1	0	158	2006	5229
18	1	1	53	147	2007	16234
19	1	1	106	140	2008	21083
20	1	1	0	175	0	0
21	1	1	69	151	2009	7004
22	5	1	0	118	2007	4953
23	1	2	62	0	2008	9618
24	1	1	68	154	2007	17984
25	1	2	60	0	2008	9244
26	1	2	0	174	2005	16090
27	1	1	70	171	2009	16109
28	1	0	74	167	2008	4312
29	1	1	0	180	2006	55843
30	1	2	0	178	2008	50112
31	1	1	68	180	2008	20829
32	1	2	119	143	2007	9378
33	5	1	0	209	2004	0
34	1	2	114	179	2006	18108
35	2	2	0	133	2003	51330
36	1	1	53	134	2005	50002
37	1	2	70	174	2008	50275
38	1	2	0	133	2008	9077
39	1	1	55	0	2008	50001
40	1	2	0	122	0	52333
41	1	1	0	135	2007	21339
42	1	2	0	0	2007	52899
43	1	2	0	189	2003	50072
44	1	1	55	134	2007	51302
45	1	1	0	0	2009	3898
46	1	1	0	0	2008	51354
47	5	2	0	140	2004	23653
48	1	1	70	154	2009	17191
49	1	2	70	189	2009	50228
50	2	2	0	124	2004	16424
51	1	1	67	0	2008	9077
52	1	2	64	133	2009	21621
53	1	1	0	197	2007	16439
54	1	2	60	189	2008	52899
55	1	2	0	143	2006	21566
56	1	2	64	0	2009	8826
57	1	1	61	173	2008	16924
58	1	2	69	189	2009	50814
59	2	0	0	0	0	16444
60	1	2	67	140	2008	17238
61	1	2	0	154	2007	8948
62	2	1	0	128	2004	17309
63	1	0	0	179	2007	53084
64	1	1	75	218	2007	50116
