node	student	gender	dorm	major	year	school
0	2	2	0	341	0	50100
1	1	1	128	302	2007	50009
2	1	1	0	301	2009	50287
3	1	1	128	0	2009	50359
4	2	2	0	315	2001	0
5	1	1	187	341	2008	2233
6	1	1	197	338	2005	260
7	1	2	133	308	2009	50692
8	1	1	190	0	2008	50060
9	2	1	197	289	2005	50222
10	2	2	195	319	2005	51925
11	2	1	197	310	2005	51014
12	1	0	180	323	0	15965
13	1	2	155	302	2006	9773
14	1	1	0	299	2008	715
15	1	0	0	0	0	0
16	1	0	0	299	2007	3243
17	1	1	139	366	2008	15989
18	4	0	0	0	0	0
19	1	0	0	0	2007	9321
20	2	1	0	290	2004	0
21	2	2	0	341	2005	50701
22	1	1	155	366	2008	50073
23	1	1	181	341	2007	5928
24	1	1	183	360	2007	0
25	1	0	154	350	2007	5000
26	2	2	197	306	2005	18158
27	1	2	154	338	2006	50258
28	1	2	133	351	2009	16075
29	1	1	0	319	2006	9628
30	1	2	194	304	2006	0
31	1	2	130	340	2009	1317
32	2	1	197	306	2005	11099
33	1	1	130	297	2008	9940
34	1	2	180	301	2007	26535
35	1	1	197	332	2006	50221
36	2	2	175	326	2003	50241
37	1	0	194	0	2005	0
38	1	1	191	366	2009	22229
39	1	1	141	338	2007	10119
40	1	0	140	364	2009	50020
41	1	1	0	349	2009	50088
42	2	2	197	313	2003	15903
43	1	2	0	313	2007	50020
44	1	1	154	323	2006	9771
45	2	2	0	302	2001	0
46	2	2	0	319	2003	16805
47	1	2	134	307	2009	9321
48	1	1	193	360	2008	18003
49	1	1	185	349	2008	0
50	1	2	189	323	2008	9594
51	1	1	197	341	2006	15903
52	2	1	0	309	2004	50029
53	1	1	155	306	2007	21473
54	1	0	145	342	0	0
55	2	2	197	367	2004	50124
56	1	2	130	364	2009	0
57	1	1	137	309	2009	17278
58	1	1	197	302	2006	17050
59	1	1	0	312	2007	3022
60	2	1	0	341	2005	9611
61	5	2	0	303	0	3284
62	5	2	197	309	2006	12060
63	1	2	155	306	2008	55170
64	1	1	128	0	2009	2061
65	1	1	132	0	2009	16112
66	1	1	197	302	2007	3716
67	1	1	192	339	2005	50118
68	1	1	199	341	2007	51309
69	2	2	0	338	2005	9023
70	2	2	0	323	2004	0
71	1	2	154	338	2007	22204
72	2	2	0	315	2005	50872
73	1	1	154	377	2006	0
74	2	2	0	323	2004	21408
75	1	1	141	340	2008	4251
76	2	1	0	302	2005	50909
77	1	2	197	338	2006	8130
78	1	2	190	0	2008	16396
79	1	2	132	0	2008	50112
80	2	2	0	340	2000	9159
81	2	1	0	366	2004	0
82	1	1	197	301	2006	3651
83	1	1	191	347	2009	50025
84	1	2	184	338	2006	50010
85	2	1	197	326	2005	50415
86	1	1	130	302	2009	19860
87	1	1	140	0	2009	17454
88	2	1	154	303	2005	0
89	2	2	0	355	2005	0
90	1	0	0	0	0	0
91	2	1	197	304	2004	819
92	1	0	0	0	0	0
93	1	2	140	323	2009	15240
94	1	0	0	0	0	0
95	1	1	130	0	2009	17636
96	1	1	178	312	2006	2544
97	1	1	197	321	2007	50066
98	1	1	189	302	2007	10122
99	2	0	0	0	2005	0
100	1	2	145	323	2006	50494
101	1	1	155	366	2006	17870
102	1	1	130	353	2009	16168
103	1	2	0	377	0	16195
104	2	2	197	364	2004	3716
105	1	2	197	306	2006	2241
106	1	1	156	302	2006	50207
107	2	2	0	351	2005	16219
108	1	1	128	328	2006	16929
109	1	0	0	379	2005	0
110	1	2	184	328	2008	0
111	1	1	0	0	0	16046
112	2	1	0	366	2005	16091
113	1	2	132	364	2009	9147
114	2	0	0	317	2005	50325
115	5	2	0	302	2010	0
116	1	1	145	377	2006	5252
117	1	1	139	323	2008	0
118	1	1	195	341	2008	5126
119	1	2	155	364	2008	50786
120	2	1	197	290	2005	9343
121	2	0	0	378	2005	10788
122	1	1	139	0	2009	51037
123	2	1	0	364	2004	17746
124	5	1	0	338	0	0
125	1	2	154	352	2006	9496
126	2	1	0	326	2004	3576
127	1	2	133	0	2008	2061
128	1	1	155	0	2007	9753
129	1	1	183	340	2007	52783
130	1	1	178	315	2006	0
131	5	2	197	290	0	0
132	1	0	156	322	0	51286
133	2	0	0	326	0	0
134	2	2	0	323	2005	0
135	1	2	183	364	2007	25364
136	1	2	157	363	2007	6387
137	2	2	0	0	0	9351
138	1	1	197	377	2006	0
139	1	2	155	0	2007	51339
140	1	2	181	319	2008	52101
141	1	1	180	366	2006	50518
142	1	2	195	341	2006	51043
143	2	1	197	374	2004	0
144	2	2	0	378	2005	10937
145	1	2	128	326	2008	2701
146	1	2	180	332	2006	9580
147	1	2	0	0	0	0
148	1	1	0	326	2006	5932
149	1	1	135	0	2008	17880
150	1	1	154	340	2006	51465
151	1	1	197	326	2006	9366
152	1	1	197	341	2006	9783
153	1	1	128	306	2008	5211
154	1	2	197	369	2006	0
155	1	2	130	306	2009	17238
156	2	1	197	347	2004	17352
157	1	2	181	338	2006	0
158	5	2	197	323	0	0
159	1	2	140	0	2009	22246
160	1	1	0	317	2006	50022
161	1	1	178	366	2007	9333
162	1	2	0	366	2006	25085
163	1	1	0	0	2008	0
164	1	0	0	353	2006	17636
165	1	1	197	341	2006	16068
166	1	0	0	0	2007	3841
167	1	2	146	360	2008	3749
168	3	1	183	321	2008	21531
169	2	2	0	364	1999	51107
170	2	0	157	319	2004	0
171	1	1	139	0	2009	11285
