node	student	gender	dorm	major	year	school
0	2	2	0	56	0	25065
1	2	1	9	36	2002	0
2	1	1	8	5	2007	50909
3	2	2	3	15	2003	2426
4	1	2	0	19	0	0
5	1	0	0	0	0	0
6	1	1	23	37	2008	22256
7	2	1	6	15	2005	1320
8	2	1	8	0	2004	0
9	2	2	2	10	2005	0
10	2	2	2	40	1974	9321
11	4	0	0	0	0	0
12	1	0	3	3	2008	50028
13	2	2	8	3	2004	16168
14	5	1	0	19	2006	0
15	2	1	27	2	2003	50100
16	1	2	22	25	2008	4570
17	1	1	27	31	2007	50203
18	2	1	27	13	2005	50074
19	5	2	0	42	2006	0
20	2	1	11	31	2004	3588
21	1	2	9	13	2006	21219
22	2	1	4	33	2004	23620
23	2	0	0	0	0	0
24	2	0	11	29	2002	0
25	2	0	4	6	2002	0
26	2	1	4	21	2002	9580
27	1	1	7	40	2006	50010
28	1	2	5	13	2007	17789
29	2	1	6	15	2005	50589
30	1	0	0	0	0	16243
31	2	2	0	0	2004	0
32	2	2	8	29	1998	19942
33	2	1	1	39	2004	24094
34	1	2	29	0	2009	50582
35	1	1	10	33	2008	51300
36	2	1	0	2	0	50909
37	2	1	9	22	2003	50290
38	2	0	0	0	0	0
39	1	1	3	31	2007	16120
40	2	2	11	20	2003	50259
41	2	1	1	14	2004	50029
42	1	2	15	14	2008	1608
43	1	2	9	15	2008	1451
44	2	2	3	6	2003	52941
45	2	1	7	20	2000	0
46	1	2	29	5	2010	0
47	1	2	1	21	2006	9321
48	1	1	13	27	2009	9220
49	2	2	9	0	2003	0
50	1	1	22	40	2009	50029
51	1	1	5	6	2007	6399
52	1	2	3	33	2007	0
53	2	1	27	13	2002	4655
54	2	1	8	0	2004	0
55	2	2	10	5	1999	17908
56	4	1	0	0	0	22353
57	1	2	29	36	2009	50007
58	1	1	16	0	2009	3638
59	2	2	0	13	2005	9159
60	1	1	11	25	2006	50683
61	1	2	3	5	2006	6447
62	4	2	0	10	0	0
63	5	2	0	53	2007	0
64	2	0	27	20	2004	9757
65	4	0	0	0	0	0
66	1	0	2	15	2006	50055
67	1	2	4	29	2007	18559
68	1	0	0	0	0	0
69	1	0	2	36	0	0
70	1	0	0	0	0	0
71	2	2	7	40	2005	9692
72	1	2	30	0	0	0
73	5	2	0	33	0	50803
74	2	2	27	13	2003	50583
75	1	1	15	0	2009	9078
76	1	2	3	13	2007	5203
77	2	1	27	19	2003	17407
78	1	1	4	31	2008	11280
79	2	0	0	0	2004	17636
80	5	0	0	0	0	0
81	1	2	9	0	2006	0
82	2	1	6	36	2001	17584
83	1	1	4	36	2008	24565
84	1	2	29	3	2009	52906
85	2	1	1	13	2001	0
86	5	2	0	0	2006	0
87	1	0	30	22	2006	9351
88	6	0	0	0	0	0
89	1	2	8	40	2005	9421
90	1	1	16	0	2009	17352
91	2	0	9	28	1995	0
92	1	1	10	5	2008	50305
93	1	0	0	0	0	0
94	1	0	0	0	0	0
95	1	0	0	19	0	0
96	1	1	15	19	2009	9313
97	5	0	0	0	0	0
98	2	1	6	21	2003	50008
99	1	2	24	41	2009	51624
100	1	1	5	26	2006	5971
101	1	2	0	5	0	0
102	1	1	1	13	2006	0
103	2	2	4	5	2004	0
104	1	1	4	15	2006	9415
105	1	0	2	13	2006	50213
106	1	1	29	0	2009	713
107	1	1	7	0	2008	25065
108	1	2	4	13	2008	51879
109	2	2	8	0	2004	0
110	1	1	15	0	2008	12458
111	1	2	15	6	2009	21095
112	1	0	0	0	0	0
113	1	1	5	25	2006	16400
