node	student	gender	dorm	major	year	school
0	1	0	0	247	0	50713
1	1	1	110	261	2008	25073
2	1	2	120	294	2005	25103
3	1	0	144	286	2007	25178
4	1	1	146	250	2007	15996
5	1	2	113	283	2009	25370
6	1	2	148	294	2008	25274
7	2	2	0	267	2005	25471
8	1	0	0	0	0	0
9	1	0	0	0	0	0
10	1	1	98	279	2009	25426
11	2	1	145	286	2005	8160
12	2	1	0	295	2005	3571
13	1	0	153	280	2006	9720
14	1	1	109	262	2008	25353
15	1	2	144	290	2006	50594
16	1	2	145	280	0	3796
17	1	1	113	257	2008	16475
18	1	2	110	286	2008	25459
19	1	2	0	286	2007	25283
20	2	1	0	262	2005	15875
21	1	2	114	279	2009	19939
22	1	1	0	274	2007	0
23	1	1	86	278	2007	25283
24	2	1	0	282	2005	25143
25	1	2	115	293	2009	4555
26	1	0	0	0	0	0
27	1	2	146	267	2007	53430
28	1	1	152	272	2006	0
29	1	2	0	0	2006	25458
30	1	1	136	273	2006	25279
31	1	1	151	280	2008	25000
32	1	1	138	291	2008	16234
33	2	1	0	250	2004	25286
34	1	2	146	282	2007	0
35	1	1	111	0	2008	25096
36	1	1	148	291	2008	25154
37	1	0	0	0	0	0
38	1	0	0	0	0	0
39	1	1	148	278	2008	25331
40	1	1	0	257	0	25369
41	1	1	98	295	2009	17294
42	1	1	0	272	2006	25283
43	1	1	91	290	2009	25130
44	1	1	0	250	2009	25230
45	1	1	0	278	2006	25426
46	2	2	0	286	2005	50319
47	2	1	0	235	2005	9278
48	1	2	0	280	2006	0
49	1	2	0	251	2007	25426
50	1	0	0	240	0	3622
51	1	1	94	294	2009	50429
52	1	1	109	300	2009	25267
53	1	1	0	256	2008	59348
54	1	1	0	294	2009	25353
55	1	1	114	256	2009	21242
56	2	0	0	0	2003	21049
57	1	1	153	283	2007	50226
58	1	1	119	295	2009	25475
59	1	2	146	267	2006	3638
60	1	0	153	291	0	0
61	1	1	0	261	2008	21268
62	1	1	118	279	2009	25178
63	1	2	95	287	2009	25506
64	1	1	148	245	2008	25287
65	1	1	152	250	2008	25267
66	1	1	153	278	2007	25081
67	1	1	89	295	2007	25223
68	1	1	110	249	2008	25090
69	1	2	89	246	2009	25188
70	2	2	0	259	2005	50985
71	1	1	145	235	0	51385
72	1	1	0	277	2006	25116
73	1	1	115	273	2009	61009
74	1	2	118	282	2009	9140
75	1	0	98	0	2010	0
76	1	1	148	267	2008	16251
77	1	1	111	0	2008	25056
78	2	2	0	251	2003	25289
79	1	1	153	273	2007	6126
80	1	1	96	245	2008	21800
81	1	2	0	0	2007	0
82	1	1	149	278	2008	25500
83	1	1	88	262	2009	25506
84	1	1	0	272	2006	25409
85	1	2	97	247	2008	51264
86	1	1	152	294	2006	25502
87	1	1	148	291	2006	51003
88	1	1	98	283	2008	25393
89	1	1	88	295	2009	8947
90	1	1	147	272	2007	25067
91	1	1	0	272	2007	16441
92	1	1	0	295	2009	51264
93	1	1	0	292	2006	21125
94	1	2	99	289	2009	9122
95	1	2	120	235	0	16338
