node	student	gender	dorm	major	year	school
0	1	1	0	132	2008	9078
1	1	1	85	141	2006	9071
2	1	1	86	203	2007	9290
3	2	2	0	145	2005	9256
4	1	1	61	211	2008	16168
5	1	2	0	122	2005	9301
6	1	1	58	163	2008	9025
7	1	1	86	163	2006	9230
8	1	1	0	143	0	9262
9	1	2	0	174	2009	0
10	1	2	132	0	2008	16212
11	1	2	59	182	2009	3708
12	1	2	0	151	2006	0
13	1	1	87	132	2008	9187
14	1	1	0	218	2005	50213
15	5	2	0	151	2006	0
16	1	1	58	145	2009	9307
17	1	1	81	138	0	0
18	1	2	53	134	2009	50696
19	1	2	52	191	2009	9078
20	1	1	0	157	2007	9262
21	1	1	132	177	2007	9148
22	1	1	0	149	2006	9138
23	1	1	0	0	0	0
24	2	1	0	178	2004	9077
25	5	1	0	211	2006	9115
26	1	2	0	217	2006	9077
27	1	2	65	143	2007	25111
28	1	1	0	191	2008	0
29	1	1	93	191	2008	17137
30	1	2	81	0	2006	19155
31	2	1	0	145	2005	52564
32	2	2	0	141	2005	9178
33	1	1	85	157	2006	16215
34	1	2	0	0	2007	50101
35	1	1	0	170	2008	0
36	1	1	53	174	2009	9177
37	1	1	85	133	2008	9133
38	1	2	70	132	0	8998
39	2	1	0	163	2005	17444
40	1	1	57	164	2009	52040
41	1	1	0	141	2006	9124
42	1	2	0	143	2008	9154
43	4	2	0	0	0	18178
44	2	1	0	143	2004	3762
45	1	1	0	211	2007	9262
46	2	1	117	163	2005	9084
47	1	2	87	132	2007	9673
48	1	1	0	134	2009	9252
49	1	1	85	145	2007	9139
50	1	1	0	0	2007	53663
51	1	1	0	0	2009	9199
52	1	1	85	0	2008	9136
53	1	2	0	143	2005	50101
54	1	2	71	0	2008	9307
55	1	2	0	151	0	9262
56	1	1	0	134	2005	0
57	1	2	53	132	2008	9046
58	1	1	0	170	2008	21598
59	1	2	55	210	2009	0
60	1	0	53	138	2007	9077
61	1	1	86	129	2007	51444
62	1	1	56	145	2009	9120
63	1	1	100	122	2007	51339
64	1	1	53	138	2008	9262
65	1	1	81	211	2007	9148
66	1	1	53	216	2009	9241
67	2	1	0	132	2005	17444
68	1	1	0	118	2008	9260
69	1	1	81	134	2008	53663
70	2	1	0	141	2004	16045
71	1	1	57	191	2009	9122
72	1	1	96	134	2007	17164
73	3	0	0	165	0	0
74	1	1	0	164	2005	9147
75	1	2	81	135	2008	9211
76	1	1	0	210	2007	19776
77	1	2	0	133	2006	50241
78	1	0	61	132	2008	9157
79	1	1	85	130	2007	9262
80	2	2	85	0	2005	51003
81	1	1	74	178	2008	9261
82	1	1	85	0	0	16241
83	1	1	0	180	0	9154
84	1	1	0	152	2008	53663
85	1	1	0	191	2006	3841
86	1	2	101	158	2008	9000
87	1	1	62	133	2008	9178
88	1	0	85	118	2007	9107
89	2	2	0	143	2003	9224
90	1	1	85	145	2006	9139
91	1	2	78	134	2007	50068
92	2	2	118	145	2005	9224
93	1	2	59	0	0	0
94	1	1	60	184	2008	9148
95	1	2	58	134	2009	8999
96	1	0	127	148	2007	9146
