node	student	gender	dorm	major	year	school
0	5	2	0	169	0	0
1	1	0	262	148	2008	0
2	2	1	0	0	0	6155
3	1	1	198	252	2009	3840
4	1	2	0	272	0	0
5	1	2	0	172	2006	0
6	1	2	0	170	2008	9975
7	1	2	0	249	2007	0
8	1	1	192	287	2009	50203
9	1	0	0	0	0	0
10	1	2	0	252	0	5725
11	1	2	198	0	2008	0
12	1	1	196	246	2009	10620
13	1	2	272	148	2007	10492
14	1	2	191	246	2008	6159
15	1	2	203	140	2005	10685
16	1	1	272	198	2006	19776
17	5	1	0	221	2009	21718
18	1	1	0	0	2009	6572
19	1	2	198	0	2008	18553
20	1	2	198	249	2009	10542
21	2	1	0	183	2005	0
22	1	1	272	252	2008	17763
23	1	2	272	186	2006	6392
24	5	2	272	290	2008	793
25	1	2	247	181	2007	315
26	5	2	0	172	2004	9842
27	1	1	268	244	2006	10659
28	1	1	0	152	2009	52941
29	1	2	199	0	2009	23341
30	1	1	272	158	2007	9886
31	1	2	272	147	2007	10345
32	1	2	198	260	2009	9975
33	2	1	191	186	2004	10687
34	1	2	209	183	2008	51724
35	1	2	0	159	2008	16761
36	1	2	0	182	2008	10376
37	1	2	199	216	2009	17658
38	1	1	272	252	2007	9840
39	1	2	272	155	2006	9884
40	1	2	272	0	2007	9967
41	1	2	203	227	2009	0
42	1	1	195	250	2008	10178
43	1	1	254	216	2008	19561
44	2	0	0	0	0	0
45	1	1	194	159	2009	17584
46	4	2	0	0	0	10376
47	1	1	0	0	0	10705
48	1	1	0	155	2006	10216
49	1	2	0	247	2006	52645
50	1	1	0	199	2006	16805
51	1	1	0	251	0	57633
52	3	2	0	206	0	0
53	1	1	196	216	2007	10608
54	2	1	0	258	2005	9256
55	1	2	272	181	2005	52645
56	1	2	272	163	2006	9975
57	1	1	0	0	2007	5852
58	1	0	0	0	0	0
59	1	1	237	244	2007	10169
60	1	2	0	249	2007	10070
61	1	2	0	0	2008	9343
62	1	2	199	227	2009	51597
63	1	1	206	159	2006	10375
64	2	0	0	0	0	0
65	2	2	0	216	2005	16212
66	6	2	197	197	2008	2277
67	1	1	197	155	2009	55352
68	2	1	0	147	2004	10180
69	1	1	0	159	2007	50661
70	2	1	272	252	2005	51241
71	2	1	0	252	2005	10171
72	1	1	202	216	2008	51647
73	1	1	195	147	2008	25659
74	1	1	272	198	2008	9886
75	1	1	200	221	2006	10657
76	1	2	272	183	2007	0
77	1	2	201	181	2006	51173
78	1	2	226	259	2006	4423
79	1	1	197	244	2009	779
80	1	1	272	230	2006	9880
81	2	2	0	236	2001	10135
