node	student	gender	dorm	major	year	school
0	1	2	0	284	2007	11493
1	1	1	97	266	2009	5997
2	1	1	0	268	0	51887
3	1	1	0	254	2008	331
4	1	1	99	252	2009	5000
5	2	2	0	0	0	52259
6	1	1	99	248	2009	0
7	1	2	92	289	2009	0
8	2	2	0	250	2004	58422
9	1	2	0	0	0	22934
10	1	2	0	276	0	23795
11	1	0	0	256	2008	172
12	1	2	0	266	2009	11494
13	2	2	0	257	0	0
14	1	0	0	0	0	0
15	1	2	95	248	2007	11423
16	1	1	0	249	0	0
17	1	2	0	277	2007	0
18	1	1	93	252	2009	11666
19	1	1	131	263	2006	11568
20	1	1	118	276	2007	5127
21	1	1	0	0	2008	11398
22	1	0	0	0	0	0
23	1	1	119	243	2008	52259
24	1	2	0	247	2007	22814
25	1	2	0	272	0	0
26	1	1	123	272	2006	22935
27	1	1	0	274	0	0
28	1	1	125	252	2006	23141
29	1	1	101	277	2009	22935
30	1	0	119	287	2008	11558
31	1	2	86	253	2008	51308
32	1	2	0	252	2005	11670
33	1	2	0	277	2006	11537
34	1	1	93	0	2008	52568
35	1	1	119	248	2008	11519
36	1	1	99	238	2009	11719
37	1	2	0	244	0	11753
38	1	1	0	258	2007	8558
39	1	2	0	281	2008	11452
40	1	2	0	0	2008	22974
41	1	2	90	277	2008	11541
42	1	1	99	280	2009	11493
43	2	2	0	284	2004	11575
44	1	1	0	258	2006	8670
45	1	1	118	237	2007	4694
46	1	1	0	238	0	11456
47	1	2	0	0	2007	56010
48	1	2	92	281	2009	23495
49	1	1	99	287	2009	11649
50	1	1	0	254	0	23488
51	5	2	0	268	0	0
52	1	2	0	258	2006	11558
53	1	2	92	277	2009	51903
54	1	1	0	238	2009	0
55	5	2	0	238	2006	0
56	1	2	106	254	2007	4815
57	1	1	0	238	0	11585
58	1	1	0	287	2007	11748
59	1	0	0	0	0	0
60	1	1	0	280	2006	11729
61	1	1	0	248	0	8723
62	1	2	0	277	0	8646
63	1	2	92	277	2005	53406
64	1	2	0	272	0	0
65	1	1	99	254	2009	11654
66	1	2	114	277	2006	50310
67	2	1	0	273	2005	53781
68	1	1	124	272	0	8429
69	1	2	0	282	0	11398
70	5	1	0	256	2006	11436
71	1	1	93	249	2009	12337
72	1	1	0	253	2006	4800
73	1	1	0	254	2007	50375
