node	student	gender	dorm	major	year	school
0	1	1	222	274	2009	10486
1	1	0	0	421	0	51241
2	1	1	206	247	2007	0
3	1	1	189	354	2005	6026
4	1	1	0	362	2006	10204
5	1	0	0	0	0	0
6	5	2	253	361	2006	58825
7	2	1	0	306	2004	10077
8	2	1	0	288	2005	10303
9	1	2	307	273	2008	10248
10	1	2	301	337	2008	56369
11	1	1	226	193	2007	10670
12	1	2	192	273	2008	10016
13	1	1	204	318	2010	10300
14	1	2	0	229	2005	9840
15	1	2	289	267	0	0
16	1	2	0	234	2008	10705
17	1	1	189	187	2009	10596
18	1	1	217	229	0	10490
19	1	1	0	406	2006	10537
20	1	2	0	427	2008	9855
21	5	0	0	0	0	0
22	1	2	0	187	2007	10003
23	1	1	0	235	0	0
24	1	2	218	337	2007	10471
25	1	1	194	341	2009	10270
26	1	2	218	361	2006	10070
27	1	1	0	292	2005	0
28	5	1	0	286	2007	0
29	1	1	300	428	2008	10578
30	1	1	206	306	2008	6098
31	1	1	219	378	2009	24660
32	1	1	306	175	2008	10178
33	1	1	0	229	0	1426
34	1	1	189	187	2008	10235
35	1	2	0	416	2007	52724
36	1	2	0	361	2006	10648
37	1	2	213	337	2008	10308
38	1	2	197	305	2009	10122
39	1	1	301	291	2005	10659
40	1	2	301	186	2008	9973
41	1	1	0	305	2006	0
42	1	1	0	438	2006	10738
43	1	1	0	229	2006	0
44	1	2	240	216	2007	10564
45	1	1	0	229	2004	10543
46	1	0	0	0	0	0
47	2	1	0	0	2005	10659
48	1	2	0	291	2008	10372
49	1	2	221	337	2009	10270
50	1	1	211	421	0	10464
51	1	2	0	216	2006	10408
52	1	1	0	362	2006	10338
53	1	1	0	297	2007	10661
54	2	1	0	143	2005	10147
55	1	1	195	161	2008	10492
56	1	1	203	426	2009	10519
57	1	1	217	376	2009	10722
58	1	1	218	203	2009	10587
59	2	2	0	203	2004	10215
60	1	2	0	418	2005	10284
61	1	1	205	140	2007	10241
62	2	2	0	317	2004	6496
63	5	1	0	175	0	10398
64	1	2	298	210	2007	10535
65	1	0	0	316	2008	10611
66	1	1	0	426	2006	10537
67	1	1	196	291	2009	10197
68	1	2	203	278	2008	50298
69	1	1	0	173	2007	10349
70	1	1	0	229	2007	10657
71	1	0	0	0	0	0
72	1	1	261	294	2009	10208
73	1	1	0	229	2006	10247
74	2	2	0	280	2005	9916
75	1	1	198	264	2006	6392
76	1	2	0	262	2007	10573
77	1	2	0	341	2005	19116
78	1	1	213	355	2006	10163
79	2	2	276	309	2005	10713
80	1	0	0	0	0	10070
81	1	2	0	143	2005	10043
82	1	2	253	378	2006	0
83	1	1	215	338	2006	10428
84	1	1	0	180	0	10608
85	2	1	259	143	2005	50661
86	1	1	303	143	2006	10437
87	1	2	0	309	2008	9944
88	1	2	198	0	2008	9912
89	2	1	0	383	0	6105
90	1	2	301	330	2006	56063
91	1	1	0	143	2006	10570
92	1	1	0	170	2007	10332
93	1	1	0	354	2007	10247
94	1	1	275	179	2008	10659
95	1	0	0	0	0	0
96	1	1	211	229	0	0
97	1	1	306	297	0	10376
98	1	1	191	160	0	6704
99	1	1	223	0	2008	10122
100	1	2	0	187	0	10542
101	1	2	307	262	2008	9830
102	3	0	300	0	0	0
103	1	2	193	332	2005	5710
104	2	2	0	361	2002	5620
105	2	1	0	361	2004	10172
106	1	2	211	292	2007	9880
107	1	1	262	161	2006	10266
108	1	1	0	421	2006	9973
109	1	1	193	383	2009	10637
110	1	2	223	416	2007	10189
111	1	2	195	0	2008	10279
112	1	1	207	337	2009	10375
113	1	1	0	377	2007	10340
114	1	1	280	354	2006	10314
115	2	2	0	210	2004	10615
116	1	2	223	337	0	9849
117	1	1	0	426	2005	0
118	2	1	0	235	0	50661
119	1	2	213	161	2007	0
120	1	1	307	337	2007	10657
