node	student	gender	dorm	major	year	school
0	1	2	0	332	2006	0
1	1	1	120	271	2008	10486
2	1	1	0	247	2008	19876
3	1	1	0	332	2006	19519
4	1	1	0	333	2009	19285
5	1	2	104	302	2007	50027
6	1	1	117	306	2008	52297
7	1	1	116	336	2009	19451
8	1	2	0	251	2004	18940
9	1	1	0	302	2008	5497
10	2	2	0	271	2005	19881
11	1	1	163	289	2008	0
12	1	2	0	303	2006	51482
13	1	0	0	0	0	0
14	1	2	119	254	2008	9830
15	2	2	0	302	2005	50036
16	1	2	163	308	2008	52161
17	1	1	0	236	0	5807
18	1	1	173	332	0	19555
19	1	1	119	284	2007	4690
20	1	2	0	321	2006	50027
21	3	0	0	0	0	0
22	1	1	113	336	2008	0
23	4	2	0	0	0	6669
24	1	1	163	339	2009	19414
25	1	1	116	248	2009	19941
26	1	1	145	290	2007	5973
27	1	1	135	333	2004	53045
28	2	1	0	302	2005	6744
29	1	2	104	320	2007	19088
30	1	2	0	285	2006	19423
31	1	1	134	257	2008	6813
32	1	1	99	310	0	19410
33	1	1	112	247	0	19396
34	1	1	89	256	2008	19104
35	1	1	111	339	2009	8160
36	1	2	0	285	0	19927
37	1	1	0	272	2006	50659
38	2	2	0	248	2005	6780
39	1	2	163	307	2009	19939
40	2	2	0	281	2005	19007
41	1	2	135	247	2006	19051
42	1	1	0	264	0	19687
43	1	2	0	273	2008	19198
44	1	2	122	334	2005	19423
45	2	1	0	327	2005	19456
46	1	2	122	235	2008	19340
47	1	2	111	247	2009	16420
48	1	1	111	333	2008	21315
49	1	1	103	321	2009	50854
50	1	1	0	321	2007	6727
51	2	1	96	320	2005	53780
52	1	1	0	0	0	50376
53	1	1	0	302	2006	18419
54	1	1	87	321	2007	19716
55	1	2	122	247	2005	14509
56	1	1	0	256	2005	19652
57	1	1	121	339	2009	58487
58	2	1	0	302	2005	19350
59	1	1	100	321	2007	21691
60	1	2	0	320	2006	19116
61	1	1	161	333	0	19805
62	2	2	0	0	0	51482
63	1	2	135	247	2009	6399
64	1	2	152	273	2006	50859
65	1	2	0	285	0	0
66	1	1	159	309	2009	19323
67	1	2	157	247	2008	19758
68	1	2	117	321	2008	19940
69	1	1	118	235	2006	0
70	1	2	0	237	2006	18962
71	1	1	148	302	2008	50668
72	1	1	87	320	2006	19576
73	1	2	0	297	2007	18943
74	1	1	0	296	2006	18962
75	1	2	0	285	2006	19114
76	1	1	173	0	2008	25278
77	1	2	148	314	2008	19443
78	1	1	126	257	0	9077
79	1	1	0	308	2007	57410
80	2	1	0	265	0	19861
81	1	1	92	320	2006	8227
82	1	2	0	312	2005	55144
83	1	1	161	237	2008	10637
84	1	1	113	257	0	18993
85	2	2	95	320	2004	19323
86	1	1	0	237	2006	53199
87	1	1	0	293	2010	51482
88	1	2	121	0	2009	52645
89	5	2	0	0	0	19744
90	1	1	89	235	2006	6111
91	1	0	0	0	0	0
92	1	2	0	321	2007	19123
93	1	2	151	235	2008	52116
94	1	1	93	290	2007	19144
95	1	2	0	295	2008	6669
96	1	2	0	247	2009	19438
97	1	1	137	0	2008	19141
98	1	1	0	264	2007	8130
99	1	1	116	257	2009	19619
100	1	2	159	320	2008	19330
101	1	2	137	302	2008	19110
102	1	0	144	340	2006	5971
103	1	1	0	272	0	19133
104	1	1	144	257	2006	6100
105	1	2	109	247	2006	52757
106	1	1	129	247	2008	19137
107	1	1	120	235	2008	6126
108	1	1	0	330	2005	18984
109	1	2	0	302	2005	50321
110	1	2	98	259	2004	6560
111	1	0	118	334	2006	2093
112	1	1	0	321	2008	51482
113	2	1	0	241	2005	0
114	1	2	132	339	2009	55419
115	1	1	0	343	2006	19680
116	1	1	0	343	0	19757
117	1	1	161	343	2008	19519
118	2	1	0	297	2002	19340
119	1	1	117	290	2008	3397
120	1	1	0	264	0	19136
121	1	2	159	247	2009	18989
122	1	2	0	258	2006	53045
123	1	2	0	339	2009	19110
124	1	1	132	303	2009	50267
125	1	1	99	264	2007	19939
126	1	0	126	263	2006	19757
127	1	2	161	285	2006	50044
128	1	1	122	289	2008	18989
129	1	0	0	287	2005	19785
130	1	2	137	248	2008	52964
131	1	2	0	240	0	19288
132	1	2	154	273	2008	6253
133	1	1	105	236	2010	19141
134	1	2	0	247	2008	19135
135	1	2	137	235	2007	19050
136	1	1	112	321	2009	9888
137	1	2	0	326	2006	19941
138	1	2	143	261	2006	9944
139	1	1	120	255	2008	53586
140	1	2	156	320	2006	23003
141	1	1	116	255	2009	19968
142	1	2	0	287	2006	18997
143	2	1	108	311	2005	10029
144	1	2	102	299	2009	57458
145	1	1	0	287	0	19116
146	1	1	0	310	0	19562
147	1	1	0	325	2005	19585
148	1	2	0	328	2006	19410
149	1	2	137	318	2006	19153
150	1	1	0	255	2008	0
151	1	1	103	338	2009	52878
152	1	2	132	339	2009	50105
153	1	1	170	321	2006	19466
154	1	2	121	247	2009	19198
155	1	1	122	302	2008	51006
156	1	1	162	310	2009	51482
157	1	1	0	339	2010	19048
158	1	0	0	240	2007	0
159	1	2	122	339	2008	19725
160	1	1	0	235	2007	19939
161	1	2	98	320	2005	50351
162	1	1	150	313	2008	19940
163	1	1	87	263	2008	53106
164	1	2	0	0	2006	19785
165	1	1	112	320	2009	6100
166	1	1	122	0	2008	8128
167	1	1	0	264	2006	10650
168	1	2	162	240	2008	54176
169	1	2	151	247	2008	19606
170	1	2	0	265	2006	6658
171	1	2	0	0	2005	0
172	2	2	0	302	2005	53045
173	1	1	0	0	2008	3681
174	1	1	139	288	2009	3747
175	1	1	118	273	2008	6097
176	1	1	97	321	2004	3199
177	1	1	96	273	2007	19222
178	1	1	134	252	2008	19221
179	1	1	131	235	2009	19850
180	1	1	0	302	2006	19860
181	1	1	148	0	2008	19222
182	1	2	0	343	2006	19198
183	1	2	0	236	2005	19387
184	1	2	0	273	2006	19509
185	1	2	166	339	2009	10169
186	1	1	0	286	0	19350
187	1	2	167	308	2008	54176
188	1	1	0	339	2009	19687
189	1	2	0	251	2006	19709
190	2	2	0	258	2005	19167
191	2	1	0	320	2005	19350
192	1	1	132	255	2009	53174
193	1	2	0	316	2007	19297
194	1	1	166	339	2009	50411
195	1	1	0	257	2007	50489
196	2	1	0	302	2005	52757
197	1	1	103	309	2009	50335
198	1	1	100	321	2009	53663
199	1	1	137	247	2008	16510
200	1	1	0	235	2006	51482
201	1	2	137	262	2008	19768
202	1	1	151	0	2008	0
203	1	1	112	284	2006	19496
204	2	1	0	257	0	5980
205	1	1	150	247	2008	54176
206	2	2	0	308	2005	5886
207	1	0	110	0	0	0
208	1	0	0	0	0	0
209	5	2	0	335	2007	50376
210	1	1	0	323	2010	19085
211	1	0	0	0	0	0
212	1	1	103	313	2008	18553
213	1	1	0	302	2008	8307
214	1	2	0	273	2007	21600
215	1	2	132	302	2009	55773
216	1	2	119	271	2008	13973
217	1	2	0	247	2007	3686
218	2	1	0	240	2005	0
219	1	2	0	285	2009	19413
220	2	1	151	333	2003	3874
221	2	1	101	306	2005	19903
222	1	0	0	0	0	0
223	1	1	160	313	2006	19033
224	1	2	0	276	2006	19285
225	1	1	0	0	2008	19876
226	1	1	162	235	2009	3284
227	1	1	0	289	2007	19974
228	1	2	0	317	2007	52111
229	1	1	122	321	2007	19116
230	1	2	159	247	2009	5789
231	1	1	120	302	2008	19941
232	1	0	0	0	0	0
233	1	1	0	281	2006	0
234	1	1	135	312	2009	19606
235	1	2	173	260	2008	6967
236	1	1	0	265	2007	19155
237	1	1	0	321	2008	0
238	1	2	123	235	2006	10186
239	1	2	0	320	2006	0
240	1	1	100	257	2007	0
241	1	2	0	271	2007	50659
242	1	1	93	302	2007	19222
243	1	1	0	310	2007	5463
244	1	2	0	247	2008	19144
245	1	2	119	334	2007	19850
246	2	1	92	303	2005	19591
247	2	1	0	343	2005	9894
248	1	1	170	242	2006	6253
249	1	1	0	296	2006	19829
250	2	1	126	257	2005	19033
251	1	0	162	343	2009	6385
252	1	1	139	239	2009	52388
253	1	2	0	247	2007	19978
254	1	2	0	303	2008	3527
255	1	1	0	247	2008	19653
256	1	1	0	343	2007	19817
257	2	1	0	321	2004	5535
258	1	1	0	309	2009	19414
259	1	1	111	310	2009	19785
260	2	1	110	321	2005	55419
261	1	2	0	297	2006	19129
262	1	2	112	247	2009	10937
263	1	1	105	289	2007	19149
264	1	1	116	248	2009	19939
265	1	1	0	257	2006	19350
266	1	1	145	302	2006	6385
267	1	2	0	307	2007	5807
268	1	1	0	310	2009	51482
269	1	1	0	321	2007	19443
270	1	1	116	247	2009	50411
271	1	2	0	343	2006	19198
272	1	1	0	321	2006	19838
273	1	1	0	343	2008	19822
274	1	1	0	321	2008	19249
275	1	2	121	247	2009	11099
276	1	1	0	321	0	8130
277	1	2	166	247	2009	51624
278	1	2	122	273	2007	19519
279	2	1	125	321	2005	50213
280	1	1	134	256	2008	19221
281	1	2	151	320	2007	19400
282	1	1	0	290	2006	19190
283	1	2	166	246	2009	6392
284	1	2	0	332	2007	21543
285	1	2	166	247	2009	5932
286	1	1	110	288	2008	9915
287	1	2	98	271	2007	19576
288	1	0	134	314	2007	54388
289	1	2	107	247	2007	19580
290	1	1	105	320	2008	19096
291	1	2	0	247	2007	19150
292	1	2	0	343	2004	50075
293	1	1	139	287	2009	19586
294	1	1	87	296	0	51533
295	1	2	119	320	2005	0
296	1	2	0	273	2008	19030
297	1	2	0	285	2006	19357
298	1	1	166	312	2006	19116
299	1	2	159	235	2009	52381
300	2	1	0	240	2004	0
301	1	1	105	343	2006	50761
302	1	1	89	302	2007	20239
303	1	1	144	265	2007	50265
304	2	1	0	240	2005	19449
305	5	1	113	0	2007	0
306	1	1	0	343	2007	51482
307	1	1	0	241	2008	53045
308	2	2	0	301	2005	19805
309	1	2	123	285	2006	5999
310	2	0	0	287	2005	19122
311	1	2	137	258	2008	1695
312	1	1	135	308	2009	20841
313	1	1	112	290	2009	0
314	1	1	120	310	2008	52591
315	1	1	113	339	2009	19519
316	1	1	134	266	2008	19350
317	1	2	137	339	2008	52164
318	1	1	0	290	2006	19848
319	1	2	162	248	2009	0
320	1	2	112	308	2009	50027
321	1	2	0	320	2006	19562
322	1	1	111	257	2007	19758
323	1	2	142	235	0	19414
324	1	1	144	321	0	50310
325	1	1	0	321	2005	51544
326	1	2	0	247	2008	53779
327	1	2	143	236	2006	19785
328	1	2	112	247	2008	5928
329	1	2	132	273	2009	19127
330	1	1	99	252	2006	19576
331	1	2	111	247	2009	52964
332	1	1	0	321	2007	19410
333	1	2	0	285	2006	19616
334	2	2	0	343	0	19443
335	1	1	127	336	2006	6295
336	1	1	150	247	2008	19443
337	1	2	116	247	2009	19396
338	1	1	0	241	2007	19443
339	1	2	99	248	2007	19975
340	2	2	0	235	1983	0
341	1	1	112	321	2009	19659
342	1	2	163	309	2009	19253
343	1	1	0	330	0	53676
344	2	0	0	320	2005	19898
345	1	1	122	309	2008	52116
346	1	1	0	302	2009	55849
347	1	2	166	339	2009	0
348	1	1	113	321	2009	19708
349	1	2	0	312	2006	19410
350	1	1	135	257	2009	53045
351	2	1	0	330	2005	19608
352	1	1	0	272	2006	19833
353	1	2	131	321	2009	6971
354	1	2	163	290	2009	8112
355	1	2	148	247	2008	19913
356	1	2	157	247	2008	19519
357	2	1	0	0	2005	6170
358	1	1	102	326	2008	18493
359	1	1	159	247	2009	19033
360	1	2	146	334	2008	5896
361	1	1	0	309	2004	19134
362	1	2	143	263	2006	10650
363	1	1	166	327	2009	19575
364	1	1	103	246	2008	19249
365	2	1	89	285	2005	0
366	1	1	122	271	0	2022
367	1	0	89	257	2008	19051
368	1	1	161	265	2006	19940
369	1	1	0	255	2006	0
370	1	2	0	343	2006	19941
371	1	2	147	248	2008	18962
372	1	2	137	321	2006	19129
373	1	2	153	299	2007	19861
374	1	2	111	247	2009	19153
375	1	2	123	247	2008	5480
376	2	2	125	239	2005	0
377	1	2	155	321	2006	0
378	1	0	135	247	2007	0
379	1	1	110	310	2006	5999
380	1	1	121	247	2009	9199
381	2	1	0	235	2005	19663
382	2	1	101	248	2005	19133
383	1	2	119	308	2008	9886
384	1	1	87	0	2008	53045
385	1	2	159	294	2010	19135
386	1	1	99	343	2008	50489
387	1	1	0	329	2008	51482
388	1	1	0	284	2007	19486
389	1	1	0	310	2005	19797
390	1	0	0	0	0	0
391	1	1	137	247	2008	19096
392	1	1	0	331	2008	19297
393	1	1	122	333	0	19693
394	1	2	121	247	2009	19447
395	2	2	146	306	2003	19782
396	1	1	87	235	2008	19152
397	2	1	0	302	2004	19141
398	1	2	117	273	2008	10178
399	1	1	106	273	2005	1451
400	1	2	137	304	2006	19414
401	1	2	0	313	2008	19025
402	1	2	139	239	2009	16091
403	1	1	0	321	2006	19350
404	1	2	0	265	0	19586
405	1	2	112	308	2009	19253
406	1	1	101	247	2008	19885
407	1	0	0	0	0	0
408	1	1	106	290	2007	19807
409	1	2	0	301	2006	19084
410	1	1	159	302	2009	19687
411	2	1	111	321	2005	0
412	1	2	116	309	2009	19968
413	1	1	126	235	2006	19012
414	1	1	130	287	2007	6956
415	1	1	120	242	0	19410
416	1	2	163	308	2009	19297
417	1	2	119	259	2008	19157
418	1	1	118	271	2007	1941
419	1	1	139	287	2007	0
420	1	2	155	0	0	53135
421	1	2	119	320	2007	26709
422	1	2	156	235	2006	19153
423	1	2	161	343	0	11895
424	2	0	106	321	2005	50044
425	1	2	147	261	2007	6111
426	1	1	145	273	2005	52297
427	1	1	129	343	2008	51006
428	2	2	99	316	2002	5999
429	2	1	170	302	2004	9211
430	1	1	122	336	2008	5886
431	1	2	0	305	2006	19185
432	1	1	151	311	0	19586
433	1	2	0	303	2005	19555
434	1	2	0	337	2006	19606
435	2	1	0	301	2004	19810
436	1	2	158	273	2008	19785
437	1	1	0	264	2006	10332
438	1	2	116	247	2009	19323
439	2	1	0	302	2005	6253
440	1	1	138	248	2008	19945
441	1	2	0	0	2006	25070
442	1	1	0	286	2006	21542
443	2	1	0	309	2005	50489
444	1	2	0	247	2007	19135
445	1	1	170	333	2006	50825
446	1	1	0	257	2007	51482
447	1	2	0	321	2008	19365
448	1	1	0	264	2006	19322
449	1	1	138	255	2007	19882
450	1	2	119	256	2007	19383
451	5	2	0	252	2005	5898
452	1	2	155	247	2007	19478
453	1	2	100	260	2009	19208
454	1	2	117	273	2007	52381
455	1	1	106	320	2007	11115
456	1	0	0	0	0	0
457	1	2	0	328	2006	17662
458	2	2	0	320	2005	19879
459	1	1	163	339	2009	19561
460	1	2	115	266	2008	19576
461	1	1	0	339	2009	19350
462	1	2	0	320	2007	19358
463	1	2	112	343	2006	21598
464	1	2	95	273	2008	6818
465	1	1	99	265	2008	19710
466	1	2	0	273	0	19253
467	1	1	159	343	2009	19625
468	1	2	163	308	2009	19971
469	2	2	0	308	2005	18984
470	1	2	133	239	2009	19822
471	1	2	163	281	2008	19927
472	1	1	0	321	2006	19413
473	1	1	0	265	2006	19155
474	1	1	120	263	2007	19469
475	1	1	145	320	0	9894
476	1	1	119	333	2007	19212
477	1	1	162	331	2009	5999
478	1	1	92	0	2008	5794
479	1	2	0	235	2006	19865
480	1	2	113	252	2008	19942
481	1	2	121	343	0	19865
482	1	1	0	309	2006	51482
483	1	2	119	240	2008	52111
484	1	2	151	239	2008	0
485	1	1	137	302	2007	50346
486	1	0	0	274	2008	19917
487	1	2	0	241	2006	19350
488	1	1	87	266	2007	5537
489	1	1	162	257	2009	19667
490	1	1	0	321	0	19281
491	1	2	0	236	2007	0
492	1	2	156	302	2007	50909
493	1	2	159	247	2009	0
494	1	1	134	273	2008	18976
495	1	2	0	247	2007	19033
496	1	2	0	297	2005	19135
497	1	2	156	273	2008	19939
498	1	1	0	321	2007	19536
499	1	2	117	334	2006	19586
500	1	1	170	320	2007	19694
501	1	2	117	343	2008	19839
502	1	1	125	302	2006	19357
503	1	1	121	302	2009	16251
504	1	2	0	302	2006	19155
505	1	1	0	302	2006	19518
506	1	2	141	339	2008	19443
507	1	1	110	332	2006	3284
508	1	1	0	329	0	19423
509	1	1	0	248	2006	19757
510	1	2	159	247	2009	50489
511	1	1	170	273	2007	19606
512	1	2	157	308	2008	6399
513	1	2	143	251	2008	19711
514	1	2	0	345	2008	19153
515	1	1	0	321	2006	19350
516	1	2	0	271	0	0
517	1	1	168	271	2008	0
518	1	1	121	343	2009	0
519	1	2	98	236	2007	0
520	1	1	0	250	2006	19814
521	1	1	87	255	2007	50854
522	1	2	151	343	2007	19225
523	1	2	119	247	2007	19383
524	1	2	0	0	2007	19350
525	2	1	0	0	2005	3243
526	1	0	127	321	2007	6678
527	1	0	0	0	0	0
528	2	1	0	302	2005	52591
529	1	1	100	339	2009	19254
530	2	1	106	284	2005	52913
531	1	2	0	303	2007	6691
532	1	0	0	0	0	0
533	1	1	116	339	2009	50103
534	1	1	166	339	2009	16338
535	1	2	154	0	0	0
536	1	1	173	339	2008	9326
537	1	1	138	343	2008	19743
538	1	2	116	302	2009	19323
539	1	1	138	320	2007	19337
540	1	2	162	308	2009	19879
541	1	1	150	306	2007	19469
542	1	1	113	341	2009	6000
543	1	2	171	289	2005	5852
544	1	1	0	285	0	19410
545	2	0	0	247	2005	53202
546	2	1	0	287	2005	19184
547	2	2	137	289	2005	19838
548	1	0	0	0	0	0
549	1	0	173	336	2008	25278
