node	student	gender	dorm	major	year	school
0	1	1	259	150	2007	6126
1	1	0	219	197	2008	26517
2	2	1	0	205	2005	25078
3	1	1	212	0	2009	21391
4	2	2	197	197	2004	0
5	1	1	190	205	2009	54959
6	1	1	250	195	2006	50184
7	1	2	219	216	2007	22591
8	5	1	0	152	2008	25658
9	1	1	250	210	2007	50178
10	1	2	221	206	2007	55782
11	1	2	197	212	2007	0
12	1	1	0	152	2006	0
13	1	1	250	221	2008	1803
14	2	2	239	182	2005	19431
15	1	1	212	160	2007	8627
16	2	2	227	194	2002	1943
17	1	2	189	218	2008	4702
18	1	2	205	216	2007	16530
19	1	0	0	0	0	0
20	2	1	259	206	2005	19706
21	1	2	0	0	0	0
22	1	2	211	184	2008	2365
23	1	0	247	195	2007	0
24	1	1	245	195	2007	24020
25	1	1	247	159	2006	50489
26	5	0	0	0	0	0
27	1	2	0	187	2005	51412
28	2	2	0	153	2005	3571
29	2	1	0	205	2005	50854
30	1	1	219	196	2009	17679
31	2	1	247	195	2004	25843
32	1	2	222	159	2006	26517
33	1	1	259	212	2007	21598
34	1	1	193	218	2009	8998
35	1	1	195	195	2008	50874
36	1	1	250	195	2007	17060
37	2	2	0	195	2004	0
38	2	2	0	205	2005	3565
39	2	1	0	206	2004	0
40	1	1	197	195	2007	51700
41	1	2	195	206	2009	5898
42	1	1	253	197	2008	50016
43	1	1	210	184	2006	26289
44	1	1	206	182	2007	9603
45	1	2	234	183	2006	9580
46	1	1	254	0	2007	7110
47	2	1	253	195	2004	5973
48	2	1	0	0	0	2305
49	1	1	0	0	2008	20577
50	5	1	0	195	2006	4007
51	4	0	0	0	0	0
52	2	1	250	154	2005	0
53	1	1	189	200	2009	50016
54	1	0	259	144	2008	3300
55	1	2	195	208	2008	50305
56	1	2	233	150	2007	50285
57	1	1	213	216	2009	4568
58	1	1	256	195	2007	10427
59	1	2	203	212	2007	5643
60	2	1	0	160	2005	5852
61	1	2	189	0	2008	50028
62	1	1	249	199	2006	5807
63	1	2	212	193	2008	25895
64	1	2	0	182	2006	25279
65	2	0	0	199	2005	0
66	1	1	215	204	2008	9382
67	1	2	211	209	2006	50498
68	1	2	0	0	0	0
69	1	0	226	197	2007	0
70	2	2	202	218	2005	0
71	1	1	256	208	2006	58616
72	1	2	189	182	2006	10687
73	1	0	0	0	0	0
74	1	1	247	150	2007	5875
75	1	1	0	219	2007	5898
76	1	1	208	218	2008	10663
77	1	1	219	199	2009	6378
78	1	0	0	183	2007	6139
79	2	2	0	216	2005	11172
80	1	1	0	218	2008	51193
81	2	2	0	200	2004	0
82	1	1	197	206	2007	5999
83	1	1	195	195	2009	16043
84	1	1	250	179	2006	21598
85	2	1	254	182	2004	0
86	1	1	0	158	2008	2277
87	1	1	0	205	2006	15656
88	1	2	195	194	2008	9530
89	1	2	0	199	0	0
90	2	2	0	182	2005	0
91	1	2	191	199	2009	21326
92	1	2	208	197	2009	53433
93	1	1	0	197	2006	50105
94	5	1	0	215	0	0
95	1	1	210	150	2007	11353
96	1	2	232	171	2008	12060
97	1	1	0	150	2005	0
98	1	2	202	200	2007	7831
99	1	1	205	0	2008	50020
100	1	1	203	206	2006	6101
101	1	0	0	0	0	0
102	1	2	197	216	2008	50681
103	2	2	0	205	2004	2052
104	1	2	195	152	2009	26546
105	1	2	233	150	2006	50498
106	1	0	0	0	0	0
107	2	1	0	197	2005	2670
108	1	1	0	150	2009	5932
109	1	1	0	195	2009	0
110	1	2	205	195	2008	11157
111	1	2	240	212	2006	5932
112	5	1	0	196	2005	3674
113	1	1	253	206	2007	5834
114	2	1	0	218	2005	6145
115	1	1	194	200	2009	0
116	1	1	194	195	2009	10398
117	1	2	206	171	2008	15903
118	1	2	240	182	2007	20631
119	2	1	243	205	2004	12337
120	1	2	189	178	2008	50308
121	1	1	205	159	2009	3946
122	1	1	198	152	2006	0
123	5	2	0	0	0	6546
124	1	1	0	182	2006	6377
125	1	1	253	195	2008	5898
126	1	1	255	203	2008	1913
127	1	1	244	204	2007	25280
128	1	1	259	200	2007	6967
129	1	1	211	150	2009	5845
130	1	2	219	0	2008	50065
131	1	1	216	210	0	51387
132	1	1	202	0	2009	50034
133	1	2	0	159	2005	0
134	2	2	219	0	2001	0
135	1	0	0	207	0	50507
136	1	1	0	160	2006	0
137	5	1	0	0	2009	8138
138	5	2	0	0	2008	6399
139	1	1	244	169	2008	11115
140	2	1	0	197	2005	3032
141	1	1	249	201	2006	9884
142	1	2	194	195	2009	5691
143	1	0	0	0	0	0
144	1	1	215	159	2008	26517
145	1	2	263	182	2007	25360
146	1	2	218	159	2009	55773
147	2	0	0	206	2004	0
148	2	1	0	195	2005	0
149	1	1	209	218	2008	2788
150	2	2	0	159	2005	3675
151	2	1	248	195	2005	0
152	1	1	0	159	2006	7411
153	1	2	236	176	2007	10872
154	1	1	189	169	2007	50125
155	2	1	0	201	2004	0
156	1	2	189	204	2007	2794
157	1	2	212	181	2008	20577
158	1	2	0	159	2006	9321
159	1	0	0	197	2006	15665
160	1	1	210	150	2006	51549
161	1	0	244	220	2008	5932
162	1	2	214	194	2010	2383
163	1	2	189	200	2008	17537
164	1	1	250	195	2008	21613
165	1	1	197	195	2007	53864
166	1	1	0	182	2006	0
167	1	1	195	197	2009	17766
168	1	2	205	171	2007	26420
169	2	2	197	169	2004	5802
170	1	1	190	169	2006	5852
171	1	0	0	0	0	0
172	2	1	0	209	2005	1912
173	1	2	0	221	2007	9260
174	1	2	240	182	2006	6241
175	2	1	0	179	2005	1636
176	1	1	200	163	2009	26753
177	2	1	249	200	2005	16233
178	1	2	203	159	2007	19608
179	2	1	258	197	2004	51192
180	1	0	256	169	2008	3900
181	1	2	195	212	2006	50371
182	1	1	193	200	2008	3841
183	1	2	0	169	2006	1933
184	1	1	0	195	2006	2972
185	2	2	0	195	2004	0
186	2	2	207	203	2005	6010
187	1	1	212	205	2009	9262
188	1	2	205	159	2007	5999
189	1	1	213	150	2009	5895
190	1	2	197	159	2007	22927
191	2	2	0	178	2004	21315
192	1	2	263	182	2006	50285
193	1	1	216	150	2007	0
194	5	2	197	195	2004	2561
195	1	1	191	195	2008	23613
196	1	2	191	172	0	0
197	1	1	0	0	2006	9940
198	1	1	205	0	2008	2753
