node	student	gender	dorm	major	year	school
0	1	2	24	212	2009	21778
1	1	1	0	188	2007	6300
2	1	2	12	154	2006	52399
3	1	1	34	0	2007	15659
4	2	2	17	0	0	2248
5	2	2	0	123	2005	18122
6	2	2	4	118	2004	6615
7	1	1	2	118	2006	9254
8	1	2	17	159	2006	53853
9	1	2	0	191	2007	26600
10	2	2	24	225	2004	19518
11	1	2	6	0	2009	51835
12	1	1	7	216	2009	3120
13	1	2	16	217	2008	24029
14	1	0	8	216	2006	50057
15	1	2	34	195	2007	0
16	5	1	0	188	2007	24411
17	1	2	23	194	2005	5554
18	1	1	0	124	2006	19222
19	2	2	24	165	2002	5002
20	2	1	0	195	2005	10384
21	2	2	0	165	2005	5971
22	1	2	17	179	2009	0
23	1	1	9	159	2008	1985
24	1	2	27	219	2006	24679
25	1	1	19	193	2007	6154
26	1	1	30	156	2009	6000
27	1	1	15	123	2006	6768
28	1	2	8	132	2009	52964
29	1	1	14	166	2009	51387
30	1	1	36	220	2006	53301
31	1	0	0	0	0	0
32	1	1	5	154	2008	8128
33	1	1	0	145	2006	21134
34	1	1	26	133	2008	51333
35	1	1	3	132	2009	16492
36	1	1	9	217	2007	6895
37	1	1	15	176	2007	2572
38	1	1	13	217	2006	9196
39	1	2	1	188	2009	5656
40	1	1	15	0	2009	1562
41	1	1	7	124	2007	51247
42	2	1	29	156	2004	9887
43	1	2	11	155	2008	21825
44	1	1	36	194	2006	0
45	1	2	24	0	2009	3699
46	5	1	0	160	2006	6393
47	1	1	9	216	2005	50537
48	1	1	14	133	2009	3034
49	1	2	6	128	2008	51995
50	1	1	25	165	2006	52964
51	1	0	11	176	2007	5486
52	1	1	28	0	2007	5664
53	1	1	0	157	2008	6475
54	1	2	23	147	2009	19991
55	1	1	7	216	2009	50506
56	1	1	26	193	2008	20899
57	1	1	26	137	2009	3650
58	2	2	1	124	2005	19198
59	2	1	0	0	0	6768
60	1	1	25	225	2009	23649
61	1	1	20	193	2008	26738
62	1	2	12	0	2009	18107
63	1	0	0	0	0	0
64	1	1	30	239	2009	6768
65	1	1	3	176	2008	53716
66	1	1	0	133	2007	2965
67	2	1	0	0	2004	0
68	2	2	17	225	0	5645
69	2	1	20	133	2005	9424
70	1	1	13	195	2009	52018
71	2	2	17	188	2004	25081
72	1	1	26	194	2008	5569
73	2	1	9	165	2004	0
74	1	2	23	142	2009	18107
75	1	0	0	0	0	0
76	2	2	27	193	1976	19153
77	1	1	28	118	2009	10249
78	1	2	21	236	2006	9793
79	1	1	19	217	2008	17030
80	1	2	12	236	2006	54763
81	1	1	0	220	2008	0
82	2	2	1	216	2004	10481
83	2	2	4	192	2001	0
84	1	1	18	216	2009	50662
85	1	1	29	133	2007	6725
86	2	2	0	0	2005	20481
87	1	1	7	133	2008	21600
88	1	0	29	166	2008	5797
89	1	2	22	147	2007	23621
90	1	1	0	133	2007	20352
91	1	1	18	193	2006	6170
92	1	1	28	0	2009	26781
93	2	1	20	217	2005	19466
94	1	2	24	206	2007	5535
95	1	1	2	172	2006	50211
96	2	2	23	225	2005	52899
97	1	2	10	124	2008	6893
98	1	1	3	128	2008	4479
99	1	2	24	133	2006	6993
100	1	1	25	132	2008	19860
101	1	1	28	165	2006	52053
102	1	1	28	132	2008	19723
103	1	2	22	133	2008	6475
104	1	2	11	118	2006	23621
105	1	1	5	195	2008	3898
106	1	0	0	184	0	0
107	1	1	20	159	2008	0
108	1	2	17	231	2008	20835
109	5	2	0	156	2004	719
110	1	2	23	0	2008	50688
111	1	2	0	0	2005	0
112	1	1	15	220	2008	52386
113	2	2	16	123	2005	50710
114	1	2	0	0	0	0
115	1	2	24	138	2009	6392
116	1	1	29	217	2008	6199
117	1	1	13	206	2008	16741
118	1	2	17	160	2009	5932
119	1	2	27	128	0	51990
120	2	1	0	129	2005	6000
121	1	1	2	118	2005	26526
122	1	1	9	217	2007	17472
123	2	2	6	0	2002	0
124	1	2	16	118	2008	6796
125	1	2	1	138	2009	50244
126	1	1	20	133	2006	16270
127	1	2	27	165	2008	5979
128	1	2	17	216	2006	9826
129	1	1	18	220	2006	50265
130	1	2	27	165	2006	50510
131	1	1	20	216	2008	10531
132	1	1	13	133	2009	5882
133	1	1	18	217	2008	53199
134	1	1	0	165	0	51857
135	1	1	20	0	2007	6565
136	1	1	13	123	2007	15483
137	5	2	0	193	2005	55782
138	1	2	21	119	2005	6475
139	1	1	0	189	2007	10215
140	1	2	16	176	2006	19443
141	1	1	9	217	2007	14436
142	1	0	18	118	2006	10208
143	1	2	0	0	2008	0
144	2	1	13	176	2002	24634
145	1	0	16	165	2006	16320
146	1	1	30	193	2009	21796
147	1	1	14	118	2006	5950
148	1	1	36	207	2006	19281
149	1	1	15	217	2006	6766
150	1	2	11	118	2007	19198
151	1	1	7	235	2008	6975
152	5	2	0	143	0	10318
153	1	1	13	0	2007	6897
154	1	1	7	195	2009	21724
155	1	2	27	217	2008	0
156	1	2	24	165	2008	15818
157	1	0	0	0	0	0
158	1	2	6	159	2007	6391
159	1	2	0	165	2006	0
160	5	1	33	118	2006	2248
161	1	1	9	0	2009	19414
162	1	1	2	217	2009	7439
