node	student	gender	dorm	major	year	school
0	1	1	0	0	2009	17609
1	1	1	0	0	2008	52194
2	1	2	57	209	2007	0
3	2	0	0	0	0	0
4	1	2	27	174	2008	0
5	1	1	34	0	2009	9588
6	1	1	34	0	2009	17561
7	2	1	51	209	2005	17636
8	1	2	37	204	2009	50080
9	1	1	25	129	2007	50090
10	1	1	0	160	2007	0
11	2	1	0	129	2004	21417
12	1	1	22	174	0	17060
13	1	0	0	0	0	0
14	1	0	0	197	2006	50063
15	1	1	34	135	2009	17157
16	1	1	42	148	2009	50388
17	1	1	33	135	2006	16007
18	2	2	0	174	2005	17137
19	1	1	0	174	2007	17599
20	1	1	36	223	2008	53069
21	2	2	0	197	2005	21383
22	2	2	0	205	2005	0
23	4	1	0	233	0	18003
24	1	1	0	136	2006	16758
25	1	1	31	135	2008	21134
26	2	2	0	221	0	50151
27	1	0	0	0	0	0
28	1	1	0	148	2008	17986
29	2	0	0	0	0	0
30	1	1	0	230	2009	50649
31	1	2	0	135	0	17584
32	1	1	32	190	2007	3979
33	1	0	0	0	0	0
34	1	2	31	234	2007	17457
35	2	1	0	204	2005	9382
36	1	1	0	223	2006	8885
37	1	1	26	149	2008	23334
38	1	1	0	186	2007	9757
39	1	1	37	168	2008	213
40	1	2	16	188	2008	17908
41	1	2	8	219	2007	51977
42	1	1	41	209	2009	16477
43	1	1	25	135	2008	50305
44	2	1	27	135	2005	18296
45	1	2	37	0	2009	51394
46	1	2	58	232	2010	0
47	1	1	23	174	0	1964
48	1	1	31	213	2006	16756
49	2	2	0	209	2005	50173
50	1	1	0	222	2005	0
51	1	2	26	219	2007	50379
52	1	2	33	221	2006	17636
53	1	1	0	0	2007	2072
54	1	1	55	218	2006	50017
55	1	2	37	224	2009	16267
56	1	2	31	208	2008	16077
57	1	0	0	0	0	0
58	1	1	24	204	0	1311
59	1	2	62	168	2008	50586
60	1	2	28	222	2008	17766
61	1	2	33	209	2006	16161
62	1	1	23	204	0	16383
63	1	2	37	211	2009	0
64	1	1	0	209	2006	4655
65	5	0	0	0	0	0
66	2	2	16	209	0	50088
67	2	1	0	191	2004	25279
68	1	2	0	209	2005	0
69	2	1	0	142	2005	50043
70	1	2	57	0	2007	26517
71	1	2	0	210	2005	58660
72	1	1	37	209	2009	17584
73	1	1	38	223	2005	16318
74	1	1	32	230	2008	17264
75	1	1	0	221	2009	54795
76	1	2	62	203	2008	50292
77	1	1	34	223	2009	9575
78	2	1	0	168	2004	17568
79	1	2	24	209	2007	16212
80	1	1	42	0	2009	5503
81	1	1	62	218	2008	21531
82	1	1	34	223	2009	16022
83	1	1	0	150	2008	18065
84	1	1	28	230	2009	24915
85	1	1	0	160	2006	9771
86	1	1	23	223	2009	50105
87	1	1	32	160	2007	11114
88	1	1	41	213	2006	50070
89	1	2	31	136	2007	16024
90	1	2	42	211	2009	21598
91	1	1	62	191	2008	3755
92	1	2	0	150	2006	50146
93	2	2	0	0	2003	9598
94	1	1	0	0	0	0
95	1	0	23	221	2005	0
96	1	1	0	190	2006	5234
97	1	1	0	191	2007	16865
98	1	0	0	0	0	0
99	1	1	32	136	2008	3762
100	1	1	42	148	2006	24378
101	1	2	33	168	2007	17980
102	1	1	26	129	0	9588
103	1	1	31	174	2008	20853
104	1	1	32	0	2007	16067
105	5	1	34	196	2004	1274
106	1	1	31	213	2008	50547
107	5	0	0	0	0	0
108	1	2	37	186	2009	24210
109	1	1	0	158	2006	18051
110	1	1	34	0	2009	50682
111	2	1	0	144	2005	21640
112	1	1	27	209	2006	51722
113	1	2	34	205	2009	1933
114	1	1	27	213	2008	50928
115	2	2	0	209	2005	17907
116	1	1	22	221	2004	16230
117	5	1	0	235	2005	16007
118	5	2	0	158	2006	3743
119	1	2	35	222	2006	9673
