node	student	gender	dorm	major	year	school
0	2	1	0	23	2005	17001
1	1	2	320	57	2007	9041
2	2	1	0	53	2005	21800
3	1	0	0	21	2007	0
4	2	2	0	20	2005	21037
5	1	2	291	57	2008	17895
6	1	2	334	26	2007	21343
7	1	1	315	0	2009	9224
8	2	2	0	26	2005	9720
9	2	1	0	23	2003	3711
10	1	2	315	9	2008	4262
11	2	1	336	7	2005	15996
12	1	1	319	27	0	51959
13	1	1	322	37	2006	18123
14	1	1	313	0	2009	21730
15	1	2	309	9	2007	9780
16	2	2	340	23	2003	21056
17	1	1	328	45	2009	17191
18	1	1	338	9	2007	50360
19	1	1	326	61	2008	50247
20	1	1	315	75	2008	21268
21	1	2	304	53	2009	0
22	1	2	291	23	2008	3576
23	2	2	0	0	2001	9565
24	1	2	291	23	2008	21575
25	2	1	0	9	2005	20958
26	1	2	328	0	2009	50189
27	1	1	323	68	2009	50189
28	1	1	0	68	2007	50093
29	1	1	324	30	2007	25319
30	2	1	292	74	2004	50099
31	1	2	313	57	2008	1934
32	2	1	300	26	0	16032
33	1	2	0	26	2007	18938
34	1	1	313	46	2009	3612
35	1	2	291	2	2008	3574
36	1	1	304	27	2007	21343
37	1	2	302	16	2009	21831
38	1	2	0	53	2007	12304
39	1	2	304	14	2007	50865
40	1	1	319	9	2008	21596
41	2	1	0	16	2005	21626
42	1	2	304	0	2007	9313
43	1	2	302	9	2006	17749
44	1	1	0	9	2007	21383
45	1	2	328	23	2006	17238
46	2	1	0	63	2005	20835
47	1	2	304	62	2008	52899
48	1	1	304	10	2009	16438
49	1	1	304	63	2007	17766
50	1	2	301	53	2007	9626
51	1	1	0	0	2006	15987
52	1	1	323	16	2009	17153
53	1	1	304	0	2009	16215
54	1	1	304	68	2008	51520
55	1	2	304	17	2007	50089
56	1	2	305	26	2007	16184
57	1	2	317	28	2008	16388
58	1	1	328	26	2009	18051
59	1	1	315	0	2009	16264
60	1	1	324	20	2007	16382
61	1	2	309	53	2007	5932
62	1	2	328	24	2008	1924
63	5	1	0	68	2007	16718
64	1	1	0	53	2006	5979
65	1	0	0	0	0	0
66	2	1	0	53	2005	9437
67	1	2	315	54	2008	50422
68	1	1	304	27	2008	53660
69	1	2	0	61	2006	9781
70	2	1	0	74	2005	21406
71	1	0	0	0	2006	0
72	2	1	330	26	2002	0
73	1	2	315	74	2006	9570
74	1	1	0	26	2006	4262
75	1	2	335	28	2008	21846
76	1	1	324	68	2007	3607
77	1	2	302	0	2009	21831
78	1	2	315	53	2007	9831
79	1	2	328	26	2006	4696
80	1	1	0	68	2006	0
81	2	0	0	16	2005	16416
82	1	1	0	68	2007	18108
83	1	2	291	53	2007	50410
84	1	2	313	9	2009	19445
85	1	1	302	0	2009	50025
86	1	2	305	14	2006	21254
87	1	2	301	53	2007	50649
88	1	0	0	0	0	0
89	1	1	313	34	2009	53922
90	2	1	0	26	2005	5852
91	1	2	291	0	2008	51849
92	2	1	290	53	2005	21799
93	1	2	0	45	2007	16744
94	1	2	331	31	2006	21242
95	2	2	0	6	2005	464
96	1	2	336	30	2008	17939
97	1	2	297	20	2007	21155
98	1	2	313	12	2009	0
99	1	2	302	0	2009	0
100	1	2	328	20	2006	17949
101	1	1	315	0	2009	16219
102	2	1	0	23	2005	50825
103	1	2	313	0	2009	50203
104	1	1	328	0	2009	9077
105	1	2	0	1	2007	50830
106	1	2	315	12	2009	0
107	1	1	326	9	2007	17934
108	1	1	304	0	2009	9771
109	1	2	310	23	2007	15938
110	2	1	0	9	2005	19095
111	2	1	0	9	2005	20967
112	2	2	0	46	2005	50127
113	2	2	0	28	2004	9108
114	1	1	327	9	2008	15996
115	1	2	302	29	2009	50846
116	1	2	291	61	2008	17472
117	1	2	0	54	2006	21776
118	1	2	337	57	2007	17927
119	1	2	327	16	2007	50037
120	1	1	0	64	2006	16451
121	1	1	324	17	2007	15932
122	1	1	292	9	2007	55634
123	1	2	313	0	2009	17115
124	1	0	0	0	0	0
125	1	1	315	0	2009	16440
126	1	1	328	27	2007	50075
127	1	0	315	26	2006	17949
128	1	1	292	63	2007	16161
129	1	1	330	46	2008	21371
130	1	1	318	68	2006	51221
131	1	1	315	7	2007	50193
132	2	2	318	23	2005	21136
133	1	2	315	12	2009	17853
134	1	2	309	1	2007	16499
135	1	1	318	68	2006	16793
136	1	2	339	26	2008	1912
137	1	1	315	6	2008	50025
138	1	1	0	46	2006	51165
139	1	1	328	30	2009	21598
140	2	1	293	12	2005	50173
141	1	1	327	20	2007	19785
142	2	1	0	9	2005	21686
143	1	2	0	81	2008	21792
144	1	2	0	0	2006	54563
145	1	2	329	37	2008	4032
146	1	2	315	62	2008	53379
147	1	2	0	53	2007	3900
148	1	2	313	45	2008	0
149	1	2	313	46	2008	21703
150	1	2	328	1	2009	16265
151	1	1	291	0	2008	3649
152	1	1	329	68	2008	50527
153	1	2	304	16	0	50202
154	2	1	319	12	2005	16117
155	1	2	311	5	2006	50367
156	2	1	0	68	2005	2152
157	2	1	0	17	2004	0
158	1	2	0	53	2006	9078
159	1	1	304	68	2008	9773
160	1	1	315	68	2008	16007
161	1	2	315	16	2009	17153
162	1	1	313	14	2009	17079
163	2	1	0	0	2005	9757
164	1	2	304	26	2009	16764
165	1	1	328	0	2009	50025
166	2	1	0	26	2005	50666
167	1	1	315	54	2009	16070
168	2	1	307	30	2001	16385
169	1	1	313	0	2008	16499
170	2	0	0	53	2005	50360
171	1	1	291	1	2008	16227
172	1	1	0	59	2006	3622
173	1	2	311	20	2005	21816
174	1	1	323	54	2009	3538
