node	student	gender	dorm	major	year	school
0	1	1	0	383	2010	0
1	1	1	0	364	0	20054
2	5	1	0	278	2004	20151
3	1	2	0	267	2007	20362
4	1	0	98	238	0	20315
5	6	1	0	0	2008	0
6	1	2	102	255	2006	20239
7	2	1	98	340	2005	20362
8	1	1	95	340	2009	0
9	1	1	0	236	2006	20154
10	1	0	0	0	0	0
11	1	1	141	326	0	20326
12	1	2	0	238	2006	20486
13	1	1	86	390	2009	23782
14	5	1	0	363	2007	61174
15	1	2	0	276	0	0
16	5	2	140	237	2005	12088
17	1	2	125	238	0	20153
18	1	2	130	0	0	23621
19	1	1	0	260	2005	24099
20	1	2	112	387	2009	20154
21	5	2	0	386	2006	0
22	1	2	119	357	2008	20326
23	1	1	0	236	0	20426
24	1	1	0	326	2008	20391
25	1	2	124	358	2007	20323
26	5	2	0	305	2005	56142
27	2	1	0	340	2005	50138
28	2	1	121	238	2005	20054
29	1	1	0	239	0	20326
30	1	1	94	361	2008	24411
31	1	2	0	334	2008	20210
32	2	1	122	265	0	20480
33	1	1	86	347	2009	50369
34	1	2	0	309	2006	20143
35	1	1	111	236	2007	24944
36	1	2	130	304	2009	20380
37	1	1	0	388	2008	23308
38	1	2	0	326	2008	23948
39	1	1	0	391	2006	20055
40	1	1	0	304	2008	20454
41	1	1	0	284	2005	12029
42	1	1	0	280	2006	24232
43	1	2	0	346	2007	23853
44	1	1	0	386	2009	20497
45	1	1	0	373	2006	20037
46	1	1	0	236	2006	0
47	2	1	0	386	2005	8263
48	1	2	129	236	2007	20357
49	2	1	131	346	2005	53881
50	1	1	0	236	2006	20426
51	1	1	141	324	2009	19995
52	2	2	0	351	2005	20362
53	1	1	95	273	2007	23562
54	1	1	0	0	0	0
55	1	2	112	236	2006	20551
56	1	2	0	252	0	20315
57	1	1	0	304	2008	23535
58	1	2	0	272	2007	20491
59	1	2	130	326	2009	20259
60	1	1	0	0	0	20398
61	1	2	0	351	2007	20239
62	1	1	99	238	2008	24122
63	1	1	0	382	2007	20129
64	1	1	86	346	2009	23342
65	1	1	0	388	2009	20326
66	1	2	0	326	2006	20440
67	1	2	93	382	2009	20037
68	1	2	0	386	2007	20357
69	1	2	0	380	0	20129
70	1	2	134	272	2007	20357
71	1	1	0	307	2007	24474
72	1	2	0	332	2007	20642
73	2	2	117	265	2005	50924
74	1	1	98	304	2007	20086
75	1	1	88	364	2009	20225
76	1	1	107	238	2006	20481
77	1	2	0	382	0	0
78	1	2	95	346	2007	0
79	1	2	0	343	2009	56142
80	1	0	0	0	0	0
81	1	2	130	304	2009	0
82	1	2	0	369	2007	20337
83	1	2	129	304	2008	20358
84	1	1	93	305	2006	20132
85	1	2	0	239	2006	23494
86	1	0	0	0	0	0
87	1	2	0	332	2010	20319
88	1	2	130	252	2009	24280
89	1	1	99	388	2007	24122
90	1	1	0	393	2006	20327
91	1	0	0	332	0	0
92	1	1	0	367	2005	20163
93	2	2	120	258	2004	20164
94	1	2	131	258	2006	0
95	1	1	0	0	2008	20386
96	1	1	0	350	2008	3222
97	5	1	0	392	0	20054
98	1	2	130	320	2009	20359
99	1	2	118	292	0	23256
100	1	2	0	276	2005	16556
101	1	0	0	0	0	0
102	1	2	130	276	2009	20481
103	1	2	130	342	2009	20239
104	1	2	95	332	2005	20495
105	1	1	95	267	2009	20017
106	1	1	130	0	0	19820
107	2	0	0	334	2005	20551
108	1	1	0	340	0	0
109	1	1	0	364	2007	20327
110	2	2	92	236	2005	20511
111	1	2	0	334	2006	20362
112	1	1	95	257	2008	7897
113	1	2	0	279	2006	54971
114	1	1	0	276	2007	0
115	1	1	86	258	2008	3151
116	1	0	0	0	0	0
117	1	1	86	382	2009	20353
118	1	2	0	332	2007	20259
119	1	2	0	357	2007	20327
120	1	2	0	326	2006	0
121	1	2	0	326	2007	24054
122	1	1	0	326	2007	20357
123	1	1	130	280	2007	23810
124	2	1	121	274	0	20357
125	2	1	0	304	0	20327
126	1	2	112	255	2006	20372
127	1	1	0	258	2005	20327
128	1	1	94	347	2006	24411
129	1	1	0	292	2006	20508
130	1	2	0	375	2006	19995
131	1	1	0	280	2009	20357
132	1	2	0	318	0	0
133	1	1	87	349	2009	20239
134	1	2	117	340	2007	23967
135	1	1	0	340	2007	24232
136	1	1	98	361	2008	53716
137	1	1	0	280	2006	20026
138	1	2	0	349	2008	19492
139	1	1	87	364	0	20340
140	1	1	95	320	2005	20480
141	5	2	0	262	2004	20362
142	1	0	87	277	0	24770
143	1	2	126	386	2008	53805
144	1	2	0	274	2006	0
145	5	1	99	374	2005	20491
146	1	2	0	351	2007	20302
147	5	2	0	373	2005	20491
148	1	1	0	386	2007	20464
149	5	1	0	236	2005	20164
150	1	1	0	275	0	20495
151	1	1	0	388	2009	55412
152	2	0	0	0	0	20239
153	1	1	109	367	2008	20152
154	1	2	0	278	2007	20418
155	1	1	0	307	2006	0
156	2	1	0	305	2005	0
157	1	2	139	278	2009	23477
158	1	2	86	380	2005	0
159	1	2	110	281	2007	24119
160	1	1	0	364	0	0
161	1	2	0	262	2005	23623
162	1	2	0	334	0	0
163	1	2	0	318	2010	0
164	1	1	0	382	2006	0
165	1	2	0	375	0	20440
166	1	2	130	359	2009	55084
167	1	1	95	384	2004	20489
168	2	2	0	343	2005	20326
169	1	0	0	0	0	0
170	2	2	0	334	0	6138
171	1	1	0	382	2008	50690
172	1	2	95	0	2009	0
173	1	2	0	320	2005	0
174	1	1	86	383	2009	20026
175	2	2	0	342	2001	20216
176	1	2	134	236	2006	23815
177	1	2	102	258	2008	20495
178	1	1	0	388	0	20052
179	1	2	130	388	2009	23282
180	1	1	98	0	2007	23267
181	2	0	0	0	0	0
182	1	2	91	361	0	20478
183	1	2	139	259	2009	18159
184	1	1	0	387	2007	0
185	1	2	0	236	2008	16049
186	1	2	139	309	2009	22364
187	1	2	0	253	2006	20362
188	1	0	0	255	2007	20153
189	1	0	0	249	0	0
190	2	1	0	253	2004	20259
191	1	0	0	367	2007	20316
192	1	2	0	343	2006	0
193	1	1	88	0	2008	0
194	1	1	87	388	2009	23308
195	1	1	0	357	2007	23533
196	1	1	107	388	2007	50231
197	1	0	0	258	2007	23679
198	2	2	0	276	2005	20326
199	1	2	118	332	2006	20152
200	1	2	142	272	2007	24033
201	2	2	92	246	2005	20480
202	1	2	86	243	2009	20487
203	1	2	92	292	0	20097
204	1	1	99	326	2006	50236
205	1	1	98	304	2006	20095
206	5	1	0	332	2007	20391
207	1	2	0	281	2006	23555
208	1	2	0	382	2006	20359
209	1	1	0	284	2008	8737
210	1	1	0	274	2007	23673
211	1	1	0	257	0	20401
212	2	1	122	238	0	20239
213	1	2	118	236	2006	7704
214	1	1	142	260	2007	20064
215	1	1	0	247	2006	20326
216	1	1	103	304	2009	20380
217	5	1	0	340	2005	54030
218	1	1	0	255	0	23271
219	1	2	134	236	2007	20152
220	1	1	86	342	2008	20026
221	1	2	0	320	2008	20153
222	1	2	123	340	2007	23621
223	1	1	142	388	2008	20252
224	1	2	131	268	2004	0
225	1	2	0	258	0	23555
226	5	2	0	267	2005	51879
227	2	1	0	375	2005	20326
228	1	1	130	340	2009	50138
229	5	2	0	332	0	24232
230	1	2	95	382	2008	20465
231	1	1	130	386	2009	24798
232	2	1	0	357	2005	53515
233	1	1	0	304	0	20495
234	1	1	87	236	2006	20337
235	1	1	127	241	2006	20262
236	1	1	107	340	2007	20481
237	1	2	125	383	2008	20337
238	1	2	0	343	2005	20326
239	1	1	99	326	2008	1063
240	1	1	107	292	2008	23618
241	1	1	0	280	2007	23351
242	1	1	0	326	2008	24005
243	1	1	142	361	2008	20332
244	4	2	0	294	2005	0
245	1	0	0	0	0	0
246	1	2	0	262	0	20316
247	1	2	86	258	2009	1681
248	1	2	0	284	2006	24694
249	1	1	0	272	2006	20402
250	1	2	0	304	2006	20362
251	1	1	0	382	2008	20323
252	1	1	0	318	2008	23735
253	1	2	0	332	2006	20129
254	1	2	110	381	2008	20153
255	1	2	0	0	0	20480
256	1	1	86	307	2009	20440
257	1	2	0	283	2007	0
258	1	1	0	236	0	20327
259	1	2	93	0	2008	0
260	1	2	86	292	2009	50236
261	1	2	86	332	2009	24456
262	1	1	0	304	2007	20514
263	5	2	0	390	2006	20478
264	1	2	118	0	2007	0
265	1	2	0	375	2007	20038
266	5	1	0	386	2008	20454
267	1	1	99	326	2009	20443
268	1	1	0	265	0	23281
269	1	2	0	369	2007	20327
270	1	1	87	361	2007	20337
271	1	2	86	285	2009	20153
272	2	2	0	279	2010	50690
273	2	1	87	280	2005	20006
274	1	1	103	382	2008	24454
275	2	2	0	376	2005	20097
276	1	1	86	0	2008	52555
277	1	2	130	0	2009	54222
278	1	1	86	246	2009	9253
279	1	1	0	259	2007	20480
280	1	1	103	364	2007	20480
281	1	1	100	259	0	24033
282	1	2	93	390	2009	20091
283	1	2	112	320	2007	2201
284	2	2	86	272	2005	52555
285	1	2	0	276	2007	0
286	1	1	0	334	0	20495
287	1	2	110	340	2008	20337
288	1	1	0	320	0	20295
289	1	2	117	272	2005	0
290	6	1	122	273	2006	8526
291	1	1	0	347	2007	20357
292	1	1	86	0	2009	24770
293	1	1	88	326	2008	50138
294	1	1	0	265	2007	20015
295	2	1	0	364	2005	20129
296	2	2	0	339	2005	20143
297	1	2	0	373	2006	20054
298	1	2	0	339	0	20326
299	1	2	0	380	0	20239
300	1	1	86	382	2008	20154
301	1	1	107	367	2007	20153
302	1	2	86	326	2009	20154
303	5	2	111	297	2004	0
304	1	2	0	239	2009	20091
305	1	1	0	304	2006	20315
306	1	1	130	375	2007	50690
307	1	1	130	274	2009	24024
308	1	2	0	319	2007	9300
309	1	1	0	349	2007	19350
310	1	2	0	265	2007	20129
311	2	1	0	364	2005	20239
312	1	0	0	0	0	0
313	1	1	0	307	2006	20388
314	2	2	0	285	2004	20481
315	1	1	0	388	2007	24411
316	1	1	95	278	2008	2951
317	1	0	0	0	0	0
318	1	2	142	270	2008	24456
319	1	0	122	367	2007	20486
320	1	1	0	270	2006	20164
321	1	1	0	280	2006	12099
322	1	2	0	349	2008	20362
323	1	1	0	367	2006	23267
324	1	2	97	258	2009	24253
325	2	1	0	334	0	20337
326	1	1	109	265	2007	23604
327	1	1	86	280	2009	53737
328	1	1	0	334	0	50690
329	1	1	86	386	2009	20239
330	1	2	0	338	0	51832
331	1	2	0	291	2008	24634
332	1	1	0	275	2005	20110
333	1	2	0	346	2006	18211
334	2	1	0	238	2004	20313
335	1	1	0	255	2008	20239
336	1	1	0	349	2006	53805
337	1	2	130	326	2009	0
338	1	2	139	236	2009	24115
339	1	2	106	258	2007	20129
340	5	2	0	237	2006	5570
341	1	2	0	347	0	23679
342	1	2	0	361	0	20262
343	1	1	93	304	2008	52568
344	2	2	106	265	2005	24457
345	1	2	0	339	2007	24054
346	1	2	134	270	2006	20239
347	1	0	0	364	2006	20334
348	5	1	0	332	2006	0
349	1	1	98	332	2009	20480
350	2	1	109	334	2005	20151
351	5	2	0	307	0	20006
352	1	2	0	292	2006	24278
353	1	1	95	247	2009	20340
354	5	2	0	285	2007	0
355	5	2	0	390	0	50369
356	1	2	118	334	2006	12391
357	1	2	112	320	0	0
358	1	1	0	388	2008	20362
359	1	2	0	334	2006	20280
360	5	2	0	258	2006	20327
361	1	2	0	255	0	20495
362	1	2	93	320	2009	20239
363	1	2	93	326	2008	24410
364	1	2	130	326	2009	20263
365	1	1	0	384	2008	20288
366	1	1	87	344	2008	24272
367	1	2	0	258	0	0
368	1	2	0	367	2008	20360
369	1	1	0	280	2007	20026
370	5	0	0	0	0	0
371	1	1	87	0	2006	4501
372	1	1	131	332	0	0
373	1	0	0	0	0	0
374	1	2	124	340	2006	20156
375	1	2	130	351	2009	20495
376	1	2	0	326	0	20495
377	1	1	94	318	2007	23765
378	1	2	86	295	2009	20153
379	1	1	0	292	2009	0
380	1	0	0	287	0	20362
381	1	1	98	280	2008	24456
382	2	1	0	340	2005	20243
383	1	2	0	279	0	20323
384	1	1	0	390	0	20082
385	1	1	95	320	2008	19995
386	1	1	90	309	2008	20495
387	1	2	0	274	2007	20054
388	1	2	0	292	2005	0
389	1	2	0	0	0	20259
390	1	1	98	238	2004	50138
391	4	1	0	0	0	20327
392	1	1	121	318	2008	24631
393	1	2	86	386	2009	20487
394	1	1	0	388	0	20316
395	1	1	0	393	0	20302
396	1	1	107	260	2008	20123
397	1	2	0	340	2008	23555
398	1	2	125	364	0	19995
399	1	2	86	320	2009	20337
400	1	2	134	338	2007	20239
401	1	1	130	383	2009	20316
402	1	1	86	258	2009	23649
