node	student	gender	dorm	major	year	school
0	1	2	0	403	2006	51881
1	1	1	0	461	0	21512
2	1	2	0	337	0	9092
3	1	2	0	294	2007	20895
4	1	2	0	273	0	0
5	1	2	0	498	2006	20838
6	1	1	0	258	2006	21640
7	1	1	0	314	2008	0
8	1	2	0	403	2007	21853
9	1	2	0	0	0	9151
10	1	2	0	269	2007	21670
11	1	1	243	0	2008	21084
12	2	1	0	507	2005	16112
13	2	2	177	388	2005	21655
14	1	2	0	461	2005	25084
15	4	2	0	314	2007	0
16	1	1	116	280	2009	21025
17	5	0	0	0	0	0
18	1	2	99	448	2009	0
19	1	2	0	285	0	0
20	2	2	0	0	0	0
21	1	0	0	0	0	0
22	1	0	0	0	0	0
23	1	1	0	450	2006	21846
24	1	1	102	265	2008	50213
25	1	2	0	324	2008	3565
26	1	1	0	427	0	21778
27	1	1	0	491	2010	21258
28	1	0	0	352	0	0
29	1	2	99	337	2009	21441
30	1	1	202	389	2007	21556
31	1	1	0	298	2007	21457
32	1	2	234	325	2008	20919
33	1	1	121	520	2009	53352
34	1	2	0	355	2008	21799
35	2	0	0	0	2004	21846
36	1	2	158	294	0	21781
37	1	1	0	325	2007	20879
38	2	2	0	388	2005	20959
39	1	1	193	420	2007	9673
40	1	0	0	0	0	0
41	1	2	104	427	2006	3561
42	1	2	0	415	2006	21135
43	1	1	0	298	2008	20884
44	1	1	0	0	2009	21709
45	1	2	0	324	2006	16506
46	1	1	0	325	2007	21271
47	1	2	253	403	2008	21794
48	1	1	110	448	2009	0
49	1	1	0	414	0	51747
50	1	2	0	309	2005	21022
51	1	1	0	420	2006	50287
52	1	1	0	280	0	21417
53	1	1	0	320	0	51747
54	1	2	91	406	2010	20883
55	1	2	0	0	2008	21468
56	1	2	122	461	2008	20986
57	1	2	0	239	2006	16028
58	1	1	0	355	0	20935
59	1	2	91	0	2009	16381
60	2	2	0	0	2004	0
61	1	2	88	0	0	21638
62	1	2	0	263	2010	21362
63	1	1	228	465	2008	52806
64	1	2	0	378	0	21238
65	1	1	0	291	2008	25143
66	1	1	0	284	2007	21095
67	1	2	0	427	0	21367
68	1	1	0	403	2008	9140
69	1	2	151	282	2006	50509
70	1	2	92	355	2009	52301
71	1	1	0	426	2006	21140
72	1	2	0	428	2007	21318
73	1	1	199	519	2007	20838
74	1	2	89	0	2008	0
75	1	1	0	517	2006	21445
76	1	2	0	465	2006	21638
77	1	2	0	284	2006	21180
