node	student	gender	dorm	major	year	school
0	1	2	86	267	2009	4481
1	1	1	169	267	2006	16461
2	1	1	0	280	2006	15989
3	1	0	0	298	2005	16068
4	1	2	0	276	2006	16008
5	1	0	0	345	2006	16361
6	1	1	0	339	2006	16311
7	1	1	104	272	2008	52316
8	1	1	101	278	2009	57153
9	1	1	166	310	2007	16452
10	1	1	103	0	2009	15989
11	1	1	0	305	2006	16408
12	1	1	0	264	0	16414
13	2	2	0	250	2005	16077
14	1	2	99	323	2009	0
15	1	1	166	241	2007	16077
16	1	2	159	283	2007	16311
17	5	1	0	0	0	0
18	1	1	0	333	2005	16090
19	1	2	105	248	2007	16288
20	5	1	0	348	2006	16496
21	1	2	128	267	2006	16394
22	1	1	156	335	2007	16378
23	1	0	154	281	2008	50509
24	2	1	0	241	2005	16852
25	1	1	155	0	0	16507
26	1	2	110	298	2009	16024
27	5	2	0	280	0	0
28	1	2	166	247	2008	16245
29	1	2	89	274	2009	16090
30	1	2	96	281	2009	15992
31	1	2	158	298	2005	4582
32	1	0	0	0	0	0
33	1	1	0	276	2006	16353
34	2	1	152	247	0	0
35	1	2	0	259	2006	16070
36	1	2	155	255	2007	16365
37	1	1	166	280	2008	16326
38	1	0	0	0	0	0
39	1	1	156	0	2008	16406
40	2	2	0	339	2005	16197
41	1	2	118	273	2005	16481
42	1	2	162	327	2010	16045
43	1	2	0	0	2007	0
44	1	1	186	272	2006	16216
45	1	2	0	333	2006	16258
46	1	1	0	328	2006	16311
47	2	1	0	245	2005	0
48	1	1	188	325	2007	16326
49	1	2	163	281	2006	16424
50	5	2	0	255	2006	53158
51	2	1	0	275	2005	18002
52	1	1	0	275	2008	16067
53	1	2	0	271	2006	16434
54	1	1	160	327	2010	16219
55	1	1	97	339	2009	15985
56	1	1	159	311	2008	16445
57	2	1	0	255	0	16445
58	1	2	93	336	2008	16258
59	1	2	153	0	2008	16396
60	1	1	0	310	2006	16446
61	1	0	0	0	0	0
62	1	2	0	315	2006	0
63	1	1	0	339	2006	16416
64	1	2	0	255	2007	16158
65	1	1	0	248	0	16090
66	2	2	0	248	2005	16104
67	1	1	162	327	2010	51339
68	1	1	0	264	2007	0
69	2	2	0	274	2004	16425
70	1	2	160	338	2008	16281
71	2	1	0	266	2005	0
72	1	2	0	255	2007	16095
73	1	1	166	253	2006	16111
74	1	1	0	272	2006	16065
75	1	1	0	292	2008	16089
76	1	2	96	351	2009	16261
77	1	1	0	239	2007	0
78	1	2	0	280	2008	16420
79	1	2	0	349	0	16044
80	1	2	0	271	2006	16049
81	1	1	0	275	2006	50653
82	1	1	91	0	2009	16079
83	2	1	0	264	0	17987
84	1	1	99	0	2008	16513
85	1	2	0	309	2006	16247
86	1	1	92	339	2008	51289
87	1	2	91	312	2009	16024
88	1	1	166	271	2007	16395
89	2	2	0	235	2005	16268
90	1	1	0	302	2006	3810
91	2	1	0	275	2005	16209
92	1	1	155	285	2007	16261
93	1	1	0	302	2005	16259
94	1	2	88	330	2008	16195
95	2	1	0	333	2005	16089
96	1	1	0	248	2008	16280
97	1	1	166	241	2006	16191
98	2	2	0	266	2005	0
99	1	1	165	275	2008	16160
100	1	0	86	248	2009	16077
101	1	1	0	325	2009	0
102	1	2	158	338	2009	16234
103	1	1	194	355	2009	1775
104	1	1	168	245	2006	16235
105	1	2	0	339	2006	53542
106	1	1	0	299	2007	16169
107	1	2	108	336	2009	16234
108	1	2	158	271	2006	16095
109	1	2	99	242	0	0
110	2	2	0	267	2005	16451
111	1	2	0	0	2008	16240
112	1	2	0	264	2005	0
113	1	0	0	0	0	0
114	1	1	0	339	2006	16032
115	5	1	166	363	2005	17835
116	1	2	0	276	2007	0
117	1	1	0	264	2007	16077
118	2	1	0	271	2005	50063
119	1	1	188	281	2007	16250
120	1	2	0	333	2006	16054
121	1	0	170	0	0	0
122	1	0	0	304	2008	0
123	1	2	0	290	0	16399
124	5	1	0	290	2006	53132
125	1	1	0	325	2005	16310
126	1	1	0	338	2008	16334
127	2	1	0	272	2004	16360
128	1	2	0	245	2006	16365
129	1	2	0	338	2007	51339
130	1	0	0	0	0	0
131	1	2	0	297	2008	16293
132	1	1	166	302	2007	51339
133	1	0	0	0	0	0
134	1	1	0	339	2008	20852
135	1	2	188	339	2006	16521
136	1	1	0	338	2009	16317
137	1	1	0	0	2007	16383
138	1	1	0	327	0	16385
139	1	1	0	280	2006	16156
140	1	2	92	336	2009	16235
141	1	0	0	0	0	16119
142	1	1	0	275	2006	16311
143	1	2	0	261	2008	15984
144	1	2	0	338	2005	16077
145	1	1	182	245	2006	16176
146	1	2	159	313	2007	16241
147	1	1	0	275	2007	54925
148	1	1	166	280	2008	16199
149	1	1	168	271	2006	0
150	1	1	0	325	2006	16004
151	1	0	0	0	0	0
152	1	1	0	264	2006	16422
153	1	0	0	0	0	0
154	1	0	0	0	0	0
155	1	2	171	313	2007	16136
156	1	1	0	302	2006	16168
157	1	2	154	253	2008	15988
158	2	2	147	333	2005	16344
159	2	1	106	267	2005	16089
160	1	2	0	315	2006	16120
161	1	2	0	333	2006	16385
162	1	2	0	250	2006	16256
163	4	2	0	0	0	0
164	1	2	0	264	2007	16335
165	1	2	0	333	2007	16484
166	1	1	153	315	2007	16077
167	1	1	102	248	2009	0
168	1	2	0	255	2009	16326
169	1	2	0	349	2007	16273
170	1	1	158	275	0	50305
171	1	1	94	245	2007	16061
172	1	1	0	245	2007	16293
173	1	2	166	317	2007	16389
174	1	2	178	302	2008	15997
175	1	1	0	325	2006	16152
176	1	2	158	235	2007	16318
177	1	1	0	320	2006	0
178	1	0	0	0	0	0
179	1	1	155	281	2007	52394
180	5	1	0	338	0	0
181	1	1	0	272	2006	16318
182	1	2	89	313	2009	16507
183	1	1	0	248	2006	16337
184	1	2	170	267	2007	16257
185	1	2	166	322	2009	58931
186	1	1	0	361	2008	16264
187	1	1	0	235	2007	50063
188	1	2	0	296	2007	16490
189	1	1	0	328	2005	16447
190	1	1	106	264	0	16413
191	1	2	171	333	2008	16410
192	2	2	0	281	2005	16090
193	1	1	168	333	2007	16327
194	1	1	0	339	2006	16162
195	1	1	0	328	2006	16037
196	1	1	0	275	2007	16427
197	1	2	108	248	2009	16258
198	1	1	0	241	2004	16334
199	1	1	0	264	2008	16450
200	1	1	0	352	0	0
201	2	0	0	275	2005	16368
202	1	2	0	281	2006	16268
203	2	1	0	259	2005	16007
204	1	2	97	235	2009	16288
205	1	2	0	327	2008	16450
206	5	1	0	0	0	16259
207	2	1	146	339	0	17637
208	1	0	0	0	0	0
209	1	2	0	272	2008	17081
210	1	1	153	302	2007	16240
211	1	1	0	235	2007	16158
212	1	1	94	337	2008	6241
213	2	1	0	264	2005	16000
214	1	2	153	235	2008	16114
215	1	2	0	255	2005	16112
216	1	1	0	248	2006	0
217	1	1	0	264	2005	51339
218	1	2	155	258	2007	16246
219	2	2	0	266	2004	16171
220	1	1	170	270	2006	50491
221	1	1	0	302	2008	16334
222	1	1	95	336	2009	16024
223	1	1	0	339	0	16088
224	2	2	0	248	0	16407
225	1	2	167	253	2005	58931
226	1	2	0	256	0	16055
227	2	2	0	319	2005	16090
228	1	2	0	235	2007	16418
229	1	2	0	264	2006	16007
230	1	2	0	266	2005	16024
231	1	0	0	0	0	0
232	1	1	96	271	2008	16258
233	1	2	158	280	2008	16235
234	1	2	0	292	2007	16240
235	1	2	158	333	2008	16045
236	1	1	159	327	2009	16077
237	1	2	0	281	0	16506
238	1	2	0	338	2010	16497
239	1	1	159	0	2008	16318
240	1	2	0	235	2006	0
241	2	1	0	302	2005	15997
242	1	1	163	319	2007	16497
243	1	2	99	333	2006	16090
244	1	1	0	252	2007	0
245	1	2	166	264	2008	16234
246	1	1	155	274	2006	16407
247	1	1	95	255	2009	16445
248	1	1	166	253	2008	0
249	1	1	155	267	2007	16119
250	1	1	163	338	2007	16329
251	1	1	131	271	2005	16046
252	1	1	0	325	2008	16055
253	1	1	0	339	2007	16103
254	1	1	0	275	2006	16516
255	1	2	90	271	0	0
256	1	1	93	339	2009	16145
257	1	0	109	0	2008	16375
258	1	1	162	0	2008	0
259	1	2	155	273	0	16058
260	1	1	160	327	2010	16235
261	2	1	0	248	2005	16385
262	5	2	0	272	2005	16318
263	1	2	0	280	2005	16389
264	1	2	92	0	2009	16306
265	1	1	0	302	2005	0
266	1	2	99	327	2008	16367
267	2	1	0	280	2005	0
268	1	2	175	327	2009	16090
269	1	1	93	0	2009	16147
270	1	1	99	338	2009	16168
271	1	2	0	280	2008	16090
272	1	1	0	272	2005	16158
273	1	1	0	248	2008	21006
274	1	1	0	264	2007	16046
275	1	2	0	327	2007	16012
276	1	2	0	311	2008	16275
277	5	2	111	267	2006	16236
278	2	1	0	324	2004	16204
279	1	1	0	0	2009	16219
280	1	1	0	264	2007	16088
281	1	1	177	336	2007	16361
282	1	2	0	267	2006	16808
283	1	2	112	235	2005	16088
284	1	2	112	267	2007	16120
285	1	2	0	256	0	51395
286	1	2	0	333	2006	16392
287	1	1	99	305	2008	52348
288	1	1	182	333	2007	15945
289	1	2	0	271	2007	0
290	2	1	0	339	2005	16022
291	1	1	162	312	2009	17528
292	1	1	0	325	2008	15993
293	1	2	0	245	0	16235
294	1	2	162	313	2007	16208
295	1	1	163	267	2006	16015
296	4	2	0	0	0	16171
297	1	2	0	290	2007	16448
298	1	2	162	327	2009	8648
299	1	2	181	255	2008	16030
300	1	1	189	275	2006	16427
301	1	1	156	275	2008	16376
302	1	2	154	336	2008	58931
303	1	1	177	255	2008	16353
304	2	2	0	339	2005	16322
305	1	2	170	258	2008	16233
306	1	2	155	313	2008	0
307	5	1	0	303	2005	16136
308	1	2	96	312	2009	16496
309	1	2	0	256	2009	16475
310	1	2	0	313	2006	0
311	1	1	91	272	2009	16241
312	1	0	0	0	0	0
313	1	2	0	264	2006	51339
314	1	2	0	315	2007	16208
315	1	2	158	261	2008	16109
316	1	1	0	302	2006	16077
317	1	1	0	327	2007	16062
318	1	2	0	302	2006	0
319	1	1	94	255	2005	50677
320	1	0	163	244	2006	0
321	1	1	0	302	2008	16041
322	1	1	0	280	2005	16223
323	1	2	0	0	2006	16058
324	1	2	178	339	2007	16018
325	1	2	0	235	2007	0
326	1	1	155	327	2009	16090
327	1	1	157	268	2008	16496
328	1	2	99	327	2009	16168
329	1	1	86	264	2009	16191
330	1	1	0	280	2007	3777
331	1	1	0	244	2007	0
332	1	2	0	0	2009	16059
333	1	1	105	248	2009	16334
334	1	2	90	260	2009	16431
335	2	1	0	352	2004	0
336	1	1	176	281	2006	0
337	2	1	0	0	2005	16227
338	2	2	0	267	2004	16358
339	1	1	0	0	0	16413
340	1	2	128	280	2007	15987
341	1	1	0	339	2008	16326
342	1	2	159	255	2008	52701
343	1	1	93	333	2009	16090
344	1	2	178	312	2008	16216
345	1	1	0	271	2007	16526
346	1	2	108	327	2009	16261
347	2	0	0	275	2005	16308
348	1	1	0	244	2006	16444
349	1	1	92	325	2009	16151
350	1	1	0	325	2006	16232
351	1	1	86	338	2005	16090
352	1	2	0	290	2007	16383
353	1	2	0	276	2006	4093
354	1	1	158	299	2008	16219
355	1	2	109	290	2007	16205
356	1	2	0	327	2009	16213
357	1	1	102	339	2008	3654
358	1	1	169	248	2008	0
359	1	1	99	241	2009	16300
360	2	1	109	280	2005	16444
361	1	2	94	0	0	0
362	1	1	0	301	2005	16265
363	1	1	93	312	2009	0
364	1	2	99	280	2007	16010
365	1	2	177	336	2009	16246
366	1	1	106	290	2009	16235
367	1	1	94	264	2007	16037
368	1	2	0	275	2008	16077
369	2	2	0	327	2005	5928
370	1	2	0	258	2005	16418
371	1	0	0	0	2006	16234
372	1	1	109	285	2009	16469
373	1	1	108	338	2007	51557
374	1	1	0	325	2009	16521
375	1	2	107	339	2006	16300
376	1	2	0	302	2006	16158
377	1	2	95	292	2009	16218
378	1	0	0	271	0	0
379	2	2	0	271	2005	16326
380	2	2	0	266	2005	16246
381	5	1	90	348	0	15989
382	1	2	118	0	2008	51339
383	1	1	0	339	2008	50635
384	6	2	0	0	2004	16022
385	1	1	94	302	2008	16202
386	1	1	153	0	2008	52696
387	1	1	170	302	2008	16077
388	1	2	155	259	2006	16090
389	1	1	0	339	2005	50126
390	4	1	0	319	0	16016
391	1	1	176	256	2006	16024
392	1	2	86	327	2009	51339
393	1	1	0	339	2006	16502
394	1	0	0	0	2007	0
395	1	2	89	259	2008	15987
