node	student	gender	dorm	major	year	school
0	1	1	0	286	2006	23562
1	1	0	0	265	0	24100
2	1	1	0	252	2006	23670
3	1	2	0	293	2006	23535
4	2	1	0	327	2005	23341
5	1	1	0	319	2007	24248
6	1	1	108	260	2009	52589
7	1	1	0	235	2006	24805
8	1	2	0	285	2007	50956
9	1	2	100	258	2006	51093
10	1	1	0	334	2007	23685
11	1	1	0	319	2005	23447
12	1	1	0	322	2007	23968
13	1	2	161	0	2009	0
14	1	2	104	236	2008	24210
15	1	2	0	254	2008	23555
16	1	2	0	269	0	23450
17	1	1	101	269	2009	23995
18	1	1	0	0	2007	0
19	2	1	0	254	2004	24657
20	1	2	161	306	2009	52568
21	1	1	0	254	2008	23782
22	1	2	125	235	2007	24742
23	1	1	0	334	0	23457
24	1	1	0	302	2009	24761
25	1	0	0	291	2005	24417
26	1	1	0	283	2005	24694
27	1	2	0	264	2007	23533
28	2	0	0	331	2004	23858
29	2	2	106	259	2004	24210
30	1	2	92	337	2009	24020
31	1	2	0	293	2008	51398
32	1	1	0	319	2008	24140
33	1	2	0	254	2008	24074
34	1	2	106	283	2007	15664
35	2	0	0	304	2004	0
36	1	1	111	254	2009	24162
37	1	0	0	0	0	0
38	1	2	0	304	2007	23685
39	1	2	87	317	2009	0
40	1	1	139	327	2007	23829
41	1	1	169	317	0	24209
42	2	1	0	272	2005	52282
43	2	2	96	318	0	24094
44	5	1	0	334	0	24780
45	1	2	102	265	2009	23965
46	1	2	0	326	2006	24397
47	1	1	0	327	2007	24375
48	1	1	109	267	2009	23491
49	3	2	0	274	2004	0
50	1	1	0	0	0	23533
51	2	1	0	254	2004	23965
52	1	2	163	303	2009	0
53	1	2	0	239	2005	24682
54	1	2	0	291	2006	23665
55	1	1	0	327	2007	54007
56	1	2	0	237	2005	24395
57	5	1	0	331	2006	24425
58	1	0	0	311	2006	51416
59	1	2	0	244	2004	24679
60	4	2	0	0	0	0
61	1	1	161	337	2009	23717
62	1	1	0	319	2009	24094
63	1	1	0	319	2005	23701
64	2	1	0	327	2004	23303
65	4	2	0	0	0	2926
66	1	1	101	332	2007	24162
67	1	2	0	254	2006	24247
68	2	1	143	291	2005	52761
69	2	1	0	0	2005	24510
70	1	2	0	272	2007	23853
71	1	1	0	269	2007	23460
72	1	0	0	319	2008	50231
73	1	1	113	305	2008	0
74	1	2	0	0	2007	52410
75	1	2	0	304	2008	24583
76	1	1	102	254	2009	0
77	2	1	0	327	2004	55204
78	1	1	110	334	2009	23556
79	1	2	0	282	2008	52094
80	1	1	0	254	2009	23432
81	1	1	97	291	2008	52273
82	1	1	113	337	2009	23487
83	1	1	0	0	2008	24032
84	1	1	0	242	2008	24190
85	1	2	0	265	2007	24736
86	1	2	106	254	2009	50742
87	5	1	0	235	2005	24694
88	1	1	0	293	2008	23545
89	1	2	0	312	2006	24768
90	1	2	161	337	2009	52557
91	1	2	96	327	2008	24456
92	2	2	0	281	0	0
93	2	1	0	317	2005	24411
94	2	1	0	327	2005	23318
95	1	1	0	336	2008	51181
96	1	1	0	334	2008	52578
97	1	1	0	334	2004	24480
98	1	2	135	302	2007	24122
99	1	2	0	259	0	55204
100	1	1	0	334	2006	23908
101	1	1	161	290	2009	0
102	1	1	0	239	2006	24330
103	2	2	114	257	2005	24029
104	1	1	0	252	2007	23858
105	1	2	92	269	2008	24526
106	1	0	0	302	2005	23662
107	2	2	0	238	2003	23348
108	1	1	0	283	2006	24201
109	1	1	0	334	2009	24122
110	1	1	0	254	2005	23989
111	1	1	0	303	2005	23413
112	1	2	0	264	2005	23342
113	1	1	0	0	2008	23551
114	1	1	0	282	2005	0
115	4	2	0	0	0	0
116	1	2	155	272	2007	50356
117	1	1	108	0	2009	23878
118	1	2	0	286	2006	50951
119	1	1	91	291	2009	50374
120	1	2	0	293	2006	24799
121	1	1	0	254	2007	24278
122	1	1	0	302	2007	23851
123	1	2	0	266	2008	23623
124	1	2	0	308	2005	0
125	1	1	108	334	2009	24030
126	1	2	92	236	2008	24644
127	2	2	0	277	2004	23715
128	2	0	133	264	2003	23555
129	1	1	0	334	2006	24352
130	1	1	0	252	2006	24226
131	1	1	0	332	2004	24410
132	1	2	0	239	2006	23254
133	1	1	0	302	2007	23831
134	5	1	108	334	0	23698
135	1	2	133	252	2007	23542
136	1	2	154	261	2008	50619
137	1	2	0	261	2006	24110
138	1	1	0	269	2007	23566
139	2	2	0	266	0	24770
140	1	1	102	254	2009	24454
141	1	2	0	0	2008	24750
142	1	2	0	259	0	23735
143	1	1	161	319	2009	23858
144	2	1	0	257	0	0
145	1	1	0	285	2006	23829
146	1	2	0	0	2006	23670
147	1	1	0	319	2007	23860
148	1	1	0	330	2005	54628
149	1	2	92	236	0	23791
150	1	2	86	304	2008	24770
151	1	1	0	291	2006	23341
152	1	2	163	304	2009	23556
153	2	2	0	235	2003	0
154	1	2	0	235	2006	23461
155	5	0	0	0	0	0
156	1	1	0	252	2007	24663
157	2	2	0	0	2002	0
158	2	1	0	334	2005	24603
159	2	2	0	302	2004	23254
160	1	1	101	290	2009	23341
161	2	2	0	254	2004	24512
162	1	2	0	261	2005	53654
163	1	0	0	0	0	0
164	1	1	100	254	2008	24747
165	5	1	0	269	2005	23535
166	1	2	151	283	2005	24395
167	2	2	0	267	2004	23782
168	1	1	115	337	2009	50236
169	1	1	0	282	2007	0
170	1	2	92	259	2009	0
171	1	1	0	265	2008	24025
172	1	2	87	269	2009	53088
173	1	2	131	250	2005	51530
174	1	2	154	280	2008	24595
175	1	2	0	258	2006	0
176	1	1	142	267	2008	24020
177	1	1	109	283	2009	24491
178	1	1	0	254	2009	23823
179	1	1	0	254	2005	23967
180	5	2	0	293	0	25502
181	1	2	0	325	2005	23358
182	1	1	0	319	2008	24583
183	1	0	0	246	2006	23433
184	1	1	0	319	2008	24175
185	1	1	0	317	0	23915
186	1	1	0	256	2005	24657
187	5	2	0	282	2006	24481
188	1	1	0	291	2005	24475
189	1	1	0	319	2006	23937
190	1	1	99	317	2009	24322
191	1	2	150	260	2006	54105
192	1	1	0	334	2008	24659
193	1	1	89	287	0	23675
194	1	1	0	314	2006	23623
195	1	1	108	319	2009	24411
196	1	2	0	317	2007	24491
197	1	1	0	238	2005	59191
198	1	2	0	254	2006	23342
199	1	2	0	272	2008	23670
200	1	1	166	294	2007	24456
201	1	1	101	246	2009	24697
202	1	2	0	334	2006	24779
203	1	2	0	261	2005	24248
204	1	2	92	253	2009	23623
205	5	2	0	253	2004	24122
206	1	1	113	337	2009	0
207	1	1	0	325	2008	23466
208	1	1	0	336	2006	23526
209	1	1	0	302	2006	23533
210	1	2	100	248	2009	0
211	1	1	0	334	2005	24537
212	1	2	0	285	2006	50138
213	1	2	141	308	2010	0
214	1	1	0	334	2006	24727
215	2	2	0	0	2003	3367
216	5	2	0	249	0	23619
217	5	1	0	336	2004	24119
218	1	2	105	0	2009	24410
219	1	2	0	244	2006	51416
220	1	1	144	286	2008	55005
221	1	2	0	246	2005	0
222	1	2	0	0	2005	23973
223	1	2	0	285	2006	24816
224	1	1	100	267	2006	23323
225	1	1	103	302	2008	23292
226	1	2	0	258	2008	24560
227	1	1	143	319	2006	24384
228	1	2	0	237	2006	24320
229	1	1	0	264	0	0
230	1	1	0	302	2007	24411
231	1	2	99	331	2004	23569
232	1	0	0	0	2005	5002
233	2	2	0	0	2007	24271
234	1	1	0	300	2006	24317
235	1	2	0	272	2008	23880
236	1	2	0	243	2006	24233
237	1	1	0	334	2007	23752
238	1	2	104	269	2008	23520
239	1	1	115	337	2009	24788
240	2	1	0	302	2005	24474
241	2	1	0	0	2004	24026
242	1	2	0	266	0	24301
243	1	1	0	302	2006	50514
244	1	1	148	290	2005	23618
245	1	2	0	286	0	23269
246	1	1	109	337	2009	23728
247	1	2	0	313	2007	24423
248	1	2	0	304	0	24342
249	1	1	0	269	2005	23965
250	1	0	0	0	2007	24029
251	2	2	0	265	2001	23290
252	1	1	0	334	2005	55204
253	1	2	0	313	2008	23569
254	1	1	0	0	2007	24527
255	1	2	0	337	2007	23822
256	1	2	0	264	2008	50514
257	1	2	86	258	2008	24194
258	1	1	0	327	2006	24119
259	1	0	0	0	2007	24025
260	1	2	0	304	2005	24694
261	1	2	0	292	2007	0
262	1	1	166	294	2009	24514
263	2	1	0	325	2005	24005
264	1	1	0	237	2006	24609
265	1	2	159	264	2008	23323
266	1	2	0	252	0	23267
267	1	1	0	246	2005	23415
268	1	2	0	319	2007	0
269	1	1	0	256	2006	24657
270	1	1	0	291	2007	24271
271	1	1	169	334	2009	23623
272	2	1	0	235	2003	24384
273	1	2	107	317	2005	23965
274	1	2	0	283	2005	23489
275	1	1	0	0	2006	0
276	1	2	93	317	2007	23533
277	1	1	0	239	2007	24457
278	1	2	0	261	2007	24320
279	1	2	0	259	2007	24025
280	5	1	0	333	2007	24248
281	1	2	0	285	2006	24583
282	2	2	0	321	0	24481
283	1	1	141	310	2006	24005
284	1	1	0	288	2007	23501
285	1	1	0	302	2008	24232
286	1	2	90	289	2007	24708
287	1	2	166	299	2008	24660
288	1	2	0	331	2006	24465
289	1	1	111	0	2009	23271
290	1	1	101	334	2008	0
291	1	2	0	331	2007	24595
292	1	2	155	265	2007	23782
293	1	1	0	267	2004	51062
294	1	1	91	319	2009	23943
295	1	1	0	290	2006	24474
296	1	1	0	302	2007	24094
297	1	2	0	259	2005	55750
298	1	2	0	252	2009	0
299	1	1	0	319	2005	52647
300	5	2	90	256	2004	24029
301	1	2	92	314	2009	52758
302	1	2	0	0	2008	23455
303	1	2	166	299	2007	24030
304	1	1	0	319	2006	23555
305	1	1	113	254	2007	3871
306	1	2	0	298	2006	8647
307	1	1	108	317	2009	24457
308	1	2	0	291	2007	24130
309	1	0	0	0	0	0
310	1	1	0	293	2007	24009
311	1	1	0	310	2007	24384
312	1	2	0	238	2006	24321
313	1	2	160	252	2007	51145
314	1	2	0	291	2006	24727
315	1	1	161	291	2009	24066
316	1	2	163	282	2009	23494
317	1	1	0	254	2007	23851
318	1	2	155	265	2009	24029
319	1	2	0	266	2006	23851
320	1	2	0	261	2008	24659
321	1	1	101	0	2008	0
322	1	1	95	254	2008	23724
323	1	1	0	288	2007	50742
324	1	1	146	267	2007	24514
325	1	0	0	288	2006	24471
326	1	2	92	266	2009	52244
327	1	2	114	304	2006	24145
328	2	2	0	285	2005	52761
329	1	1	108	0	2009	53202
330	1	2	92	286	2009	24033
331	1	1	0	246	2005	23726
332	1	1	108	334	2009	23685
333	1	2	0	258	2008	51727
334	1	2	151	317	2009	24692
335	1	2	0	236	2005	50134
336	2	1	0	0	2005	0
337	1	2	0	277	2005	23585
338	1	1	0	305	2007	24660
339	1	1	0	334	2005	23457
340	1	2	0	317	2009	23791
341	1	1	0	252	2009	23444
342	1	1	0	254	2007	51192
343	1	0	0	0	0	0
344	1	2	157	317	2007	23495
345	1	1	0	291	2005	24640
346	1	2	0	321	2005	23384
347	2	2	0	319	2005	23675
348	2	2	0	304	2002	23335
349	2	1	0	302	2005	24194
350	1	2	0	290	2006	24092
351	2	1	0	325	2006	24291
352	1	2	156	252	2007	23308
353	1	1	102	252	2009	23810
354	1	0	0	0	0	0
355	1	1	0	242	2006	24052
356	1	2	92	258	2009	23886
357	1	1	0	337	2009	24119
358	1	2	0	305	2008	0
359	1	2	92	259	2009	0
360	1	1	0	291	2005	24411
