node	student	gender	dorm	major	year	school
0	1	2	0	59	2007	50165
1	1	1	0	85	2006	1733
2	1	2	0	43	2005	1701
3	1	1	34	162	2009	0
4	1	2	0	59	2008	1706
5	1	2	43	172	0	1349
6	1	2	62	0	0	0
7	1	2	0	90	2005	2191
8	2	1	0	101	2005	2509
9	2	2	0	83	2003	0
10	1	2	0	83	2004	2856
11	1	0	0	0	0	0
12	1	2	0	103	2007	2326
13	2	2	0	103	2005	2753
14	1	1	33	177	2009	50239
15	1	2	0	162	2005	0
16	1	2	0	83	2006	2919
17	1	1	0	115	2008	1638
18	1	2	88	101	2008	2439
19	1	1	33	164	2008	3065
20	1	1	0	101	0	0
21	1	2	0	83	0	1734
22	1	2	0	0	2007	2469
23	1	1	34	0	0	2590
24	1	1	0	68	2008	2782
25	1	1	0	58	2008	2591
26	2	2	0	83	2004	2304
27	1	1	32	149	2009	52468
28	1	1	0	0	2008	2526
29	1	0	0	0	0	0
30	2	2	64	60	2005	57206
31	1	1	0	101	2007	2803
32	1	1	0	114	2008	1708
33	1	2	91	164	2006	2190
34	1	0	0	0	0	0
35	2	2	0	162	2005	2747
36	1	1	0	85	2006	1874
37	1	2	0	43	2006	2596
38	1	2	0	84	2006	1704
39	1	1	70	0	2008	1608
40	1	2	0	149	0	0
41	1	2	33	105	2008	50165
42	1	2	34	59	2008	2661
43	1	1	0	58	2008	1933
44	1	1	32	177	0	9214
45	1	2	0	76	0	2754
46	1	1	34	164	2008	1451
47	1	2	56	101	2005	2248
48	1	0	0	164	2006	2919
49	1	2	0	177	2008	3057
50	1	1	0	73	2006	1942
51	2	1	0	153	2005	1603
52	1	0	0	48	2006	1503
53	1	2	0	103	2005	2584
54	1	1	88	48	2008	2196
55	1	2	0	84	2005	0
56	1	2	0	162	2006	1456
57	1	1	32	61	2008	2753
58	1	2	34	103	2008	2325
59	1	1	0	118	2005	2995
60	1	2	0	114	2007	1384
61	1	1	0	177	2009	2597
62	1	2	33	59	2008	0
63	1	2	0	150	2007	1783
64	1	2	0	76	2007	1732
65	1	1	0	58	2006	1506
66	1	1	0	0	0	0
67	1	1	0	0	2008	2190
68	1	1	32	103	2009	2702
69	2	1	0	69	2005	0
70	1	2	59	97	2008	2664
71	1	1	0	80	2008	50675
72	1	2	0	177	2007	1399
73	1	1	32	0	2008	50975
74	1	1	0	103	2007	50162
75	1	2	0	103	2007	2599
76	1	0	0	0	0	0
77	1	1	97	101	2007	1595
78	1	1	0	158	2007	0
79	1	2	63	76	2008	50648
