node	student	gender	dorm	major	year	school
0	1	1	0	173	2007	1734
1	1	2	192	157	2007	2211
2	1	2	211	213	2006	1547
3	1	2	197	157	2008	1506
4	1	2	218	364	2008	3121
5	1	2	190	157	2008	3029
6	1	2	251	272	2008	1384
7	1	2	0	213	2006	1933
8	2	1	0	272	2004	2381
9	1	2	0	0	0	0
10	1	2	190	330	2008	1694
11	1	1	196	173	2008	1889
12	2	2	0	294	2005	1666
13	1	2	198	157	2008	2868
14	1	1	0	157	0	50747
15	1	1	0	173	2007	2997
16	2	1	0	213	2005	0
17	1	2	0	249	2005	2561
18	1	1	0	208	2007	2805
19	1	2	192	245	2008	17055
20	1	1	235	173	2009	0
21	5	2	0	151	2005	51005
22	1	2	252	364	2009	1577
23	2	2	204	278	2004	1795
24	1	2	250	245	2009	2748
25	1	1	0	358	2006	2813
26	1	1	0	272	0	2463
27	1	2	0	352	2005	0
28	5	1	0	227	2006	9414
29	1	0	0	0	0	0
30	1	1	191	352	2007	1617
31	1	1	198	353	2005	0
32	1	1	0	353	2007	2573
33	2	2	0	213	0	0
34	1	1	0	264	2007	3121
35	1	1	0	247	2007	2512
36	2	0	0	0	0	1326
37	1	1	192	358	2007	1946
38	2	1	0	271	2005	53478
39	1	2	0	235	2008	2041
40	1	1	0	318	2005	1372
41	1	2	190	213	2008	50747
42	2	2	0	233	2005	1912
43	1	2	0	218	2005	5928
44	1	1	0	208	0	3118
45	1	1	198	318	0	2238
46	1	1	0	278	2006	2216
47	1	1	192	364	2009	52304
48	1	1	197	157	0	1632
49	2	1	0	352	2005	3120
50	2	1	0	163	2005	5646
51	1	2	0	242	2008	1465
52	1	1	252	364	2009	2181
53	1	2	198	264	2009	1438
54	1	1	252	264	2009	3034
55	1	1	0	243	2007	1596
56	1	2	189	364	2007	1883
57	1	2	0	0	2007	50152
58	1	2	191	264	2009	1816
59	1	2	0	278	2006	1933
60	1	2	0	352	0	50028
61	1	2	247	154	2006	55170
62	1	2	192	245	2009	1800
63	1	2	0	227	2005	20201
64	1	0	0	294	2008	50485
65	1	2	198	179	2008	0
66	5	1	0	371	2004	1800
67	1	2	0	245	2006	1617
68	1	1	0	213	2007	1443
69	2	2	0	213	2005	3015
70	1	2	0	330	2006	1267
71	1	1	0	213	2006	5491
72	1	1	224	156	2006	1604
73	1	1	0	316	2007	1466
74	1	2	0	208	2007	1424
75	1	2	0	329	2006	0
76	1	1	253	353	2009	2221
77	1	1	0	173	2006	50746
78	1	2	0	173	2006	3053
79	1	1	0	213	2006	1933
80	1	1	0	252	2006	1592
81	1	2	193	329	2006	1913
82	1	2	191	245	2008	50107
83	1	1	0	173	2008	51593
84	1	1	198	212	2007	1274
85	1	1	197	157	2007	0
86	2	1	0	329	2005	52304
87	5	2	0	161	0	2572
88	1	2	191	264	2007	2422
89	1	2	198	279	2007	1274
90	1	2	192	242	2008	1596
91	2	2	0	353	2005	3080
92	1	1	0	198	2007	2784
93	1	1	0	208	2008	3022
94	2	1	0	316	0	1507
95	1	1	189	364	2009	2599
96	1	1	191	201	2008	1774
97	1	1	198	157	2008	1726
98	1	1	189	358	2007	1928
99	2	2	0	294	2004	2784
100	1	2	0	294	2007	2049
101	1	1	0	0	2007	1734
102	2	2	210	164	2003	1349
103	1	2	213	213	2006	1738
104	1	1	0	353	0	0
105	2	2	0	245	0	2327
106	1	1	0	212	2006	50098
107	1	2	0	154	2006	2193
108	1	2	0	235	2008	2661
109	1	1	196	285	2007	1272
110	1	2	0	213	2007	1714
111	1	1	0	212	0	1740
112	1	2	0	353	2007	50622
113	1	2	191	278	2008	1916
114	1	1	198	264	2009	1320
115	1	1	0	318	2006	2730
116	1	1	0	198	2007	2686
117	1	2	0	278	2007	50622
118	1	1	0	0	2007	52401
119	1	1	0	249	2007	1286
120	2	2	0	213	2005	1725
121	1	2	235	0	2008	2584
122	1	1	0	319	2005	2433
123	1	2	190	350	2009	1277
124	1	2	0	245	2007	3041
125	1	1	0	271	2006	50055
126	2	2	0	287	2005	1964
127	1	1	252	272	2009	2439
128	1	1	0	353	2006	1277
129	1	1	252	264	2009	2748
130	2	1	0	353	2004	1803
131	1	1	190	318	2008	0
132	1	0	0	0	0	0
133	1	2	191	264	2008	50508
134	1	2	189	213	2007	1274
135	1	2	210	264	2008	2861
136	1	1	0	353	2007	1389
137	1	1	0	213	2006	2868
138	1	1	198	252	2008	2275
139	1	1	0	353	2005	2452
140	1	2	0	213	0	0
141	1	1	0	294	2006	1569
142	1	0	0	0	0	0
143	1	2	0	173	2006	2849
144	2	2	0	329	2005	0
145	1	1	0	294	2004	0
146	1	2	0	157	0	2786
147	1	2	253	243	2009	1800
148	1	0	0	0	0	0
149	2	2	214	244	2004	2661
150	1	1	197	0	2009	5221
151	1	2	235	245	2009	1287
152	1	2	0	368	2007	0
153	2	2	213	227	2004	1451
154	1	0	0	0	0	0
155	1	1	0	254	2006	0
156	1	2	0	0	0	0
157	2	1	0	181	2004	0
158	1	2	0	279	2006	2900
159	1	1	0	173	2005	2052
160	2	2	0	294	2005	2889
161	1	2	189	364	2007	2665
162	2	2	0	0	2003	0
163	2	2	0	0	2004	50391
164	1	1	0	353	2006	2647
165	1	2	0	278	2009	1734
166	1	1	251	173	2009	1607
167	1	2	0	242	2008	1486
168	2	2	0	147	2005	2728
169	1	1	0	149	2007	1800
170	2	2	0	353	2005	1429
171	1	1	198	364	2009	0
172	1	2	208	264	2008	0
173	1	1	198	364	2009	3052
174	1	1	0	358	2007	1935
175	1	2	204	245	2007	2928
176	1	2	0	140	2007	2031
177	1	1	0	264	0	1420
178	5	1	0	0	0	2900
179	2	1	0	213	2004	50165
180	1	1	0	157	0	1274
181	2	2	194	353	2005	1654
182	1	2	199	249	2006	2584
183	1	2	0	285	2006	2448
184	1	1	198	264	2007	1734
185	1	1	0	0	2008	2813
186	1	2	0	294	2006	50341
187	1	2	189	243	2009	50344
188	1	2	190	154	2009	2398
189	1	1	0	297	2006	0
190	1	1	192	294	2007	50257
191	1	2	194	358	2009	2881
192	1	1	196	364	2007	2000
193	1	1	189	272	2008	1912
194	1	2	191	157	2008	3082
195	1	1	192	353	2008	2658
196	1	1	0	208	0	0
197	1	1	225	239	0	50225
198	1	2	209	157	2007	13130
199	1	2	0	213	2006	1607
200	1	1	0	358	2006	51075
201	1	1	0	212	2008	2509
202	1	1	251	259	2008	1604
203	1	1	235	0	0	1835
204	1	1	0	324	2006	2907
205	1	1	0	286	2007	50165
206	1	2	0	324	2007	2969
207	1	1	226	264	2007	1326
208	2	1	0	157	2005	2593
209	1	1	189	173	2007	2032
210	2	1	0	213	2005	2248
211	1	2	253	0	2009	1738
212	2	2	0	352	2005	2919
213	1	1	230	278	2006	50225
214	1	1	189	213	0	0
215	1	1	189	364	2009	50652
216	1	1	190	264	0	2608
217	2	1	0	360	2005	0
218	2	1	0	173	2004	1486
219	1	1	0	213	2007	2122
220	1	2	233	164	2006	2191
221	2	2	0	358	2005	50098
222	5	2	0	227	2005	50356
223	1	1	252	154	2009	50363
224	1	1	0	358	2007	2288
225	1	0	0	0	0	0
226	1	2	195	243	2007	2749
227	1	2	0	141	2007	2247
228	1	1	194	352	2007	2669
229	1	1	198	157	2009	55170
230	2	2	203	242	2004	1487
231	1	2	197	278	2007	2895
232	1	1	252	364	2009	0
233	1	2	0	197	2008	2230
234	1	0	0	264	2007	50652
235	1	0	0	0	2009	0
236	1	2	215	242	2008	2661
237	1	1	0	294	2007	3029
238	1	1	196	234	2007	1380
239	1	1	252	352	2009	1838
240	1	2	196	233	2009	2054
241	1	2	0	294	2006	50353
242	1	1	0	278	0	1913
243	2	2	217	140	2005	1983
244	1	2	0	144	2006	2191
245	1	1	0	252	2006	2233
246	1	1	189	352	2009	1776
247	2	2	0	235	2005	50613
248	1	2	0	243	2005	1486
249	1	1	198	364	2009	50225
250	1	2	197	198	2006	1287
251	2	1	0	0	0	1584
252	1	2	0	294	2006	50652
253	2	1	0	208	2005	2839
254	1	1	189	198	2007	2842
255	1	1	195	353	2008	50622
256	2	2	0	294	2005	1887
257	1	2	0	227	2007	1389
258	1	1	0	213	2007	3007
259	1	0	0	0	0	0
260	1	2	0	224	2008	1697
261	1	1	0	164	2007	2335
262	1	1	0	353	2008	1940
263	1	1	0	233	2006	50499
264	1	1	0	287	2007	2422
265	1	2	253	213	2009	0
