node	student	gender	dorm	major	year	school
0	2	1	0	280	2005	2241
1	1	1	100	241	2009	5280
2	1	2	94	243	2009	1380
3	1	1	0	246	2007	1454
4	1	1	97	235	0	25798
5	1	1	0	280	2008	781
6	1	1	92	246	2009	2623
7	1	1	94	273	0	2736
8	2	1	0	291	2005	1338
9	2	2	0	252	2005	1719
10	1	1	94	246	2009	2608
11	1	1	140	275	2007	1870
12	1	2	0	267	2008	25551
13	1	2	0	252	2006	3057
14	1	2	94	246	2009	2972
15	1	2	142	264	2006	1928
16	2	2	0	236	2005	2917
17	1	1	140	283	2008	2162
18	1	0	0	0	0	0
19	1	1	132	246	2008	25678
20	1	1	0	291	2006	52131
21	1	0	0	0	0	0
22	1	1	0	252	2006	1393
23	1	1	0	288	2006	2442
24	1	0	0	0	0	0
25	1	2	95	261	0	9768
26	2	2	0	279	2005	2853
27	1	0	137	290	2005	0
28	1	2	0	245	2005	1355
29	1	1	0	273	2006	1800
30	1	1	149	240	2010	1543
31	1	1	105	268	0	1924
32	1	2	142	240	2006	2578
33	1	1	87	256	2009	0
34	1	1	0	283	2006	1596
35	1	1	95	246	2009	0
36	1	1	0	239	2007	3080
37	1	1	0	290	2005	1964
38	1	0	0	279	2010	2498
39	1	2	0	258	2008	1566
40	2	2	0	269	2005	2303
41	1	1	98	272	2009	2839
42	1	2	0	236	2007	11872
43	1	2	0	235	2008	1382
44	2	1	0	0	0	0
45	1	2	90	251	2008	1838
46	1	2	0	236	0	0
47	1	2	86	261	2008	1679
48	1	1	138	273	2005	2271
49	1	2	94	265	2009	2856
50	1	2	121	246	2008	2201
51	1	2	0	291	2008	50747
52	2	2	0	279	2005	1303
53	1	2	0	297	0	2401
54	1	2	122	239	2010	0
55	1	2	140	252	2006	2233
56	1	2	131	259	2005	2882
57	1	1	100	283	0	1607
58	1	1	98	246	2009	2868
59	1	1	116	236	2004	2617
60	1	0	0	250	0	0
61	1	1	142	248	0	2919
62	1	1	0	246	2005	2599
63	1	1	102	241	2010	2526
64	2	2	0	236	2005	53759
65	1	2	130	246	2005	2185
66	1	2	145	270	2008	1547
67	1	2	141	251	2007	1429
68	1	2	0	279	2006	1697
69	1	1	0	273	2007	52160
70	1	1	0	289	0	1420
71	2	0	0	299	2005	2404
72	1	2	0	251	0	0
73	1	2	0	258	2006	1344
74	1	1	89	244	2009	2890
75	1	1	87	242	2009	1595
76	1	1	0	259	2006	0
77	1	1	92	288	2009	3058
78	1	2	142	251	2009	10215
79	1	2	142	284	0	0
80	1	1	0	272	2006	2241
81	1	2	102	269	0	2271
82	1	1	0	246	0	50356
83	1	1	89	244	2009	1272
84	2	1	0	294	2005	1454
85	1	1	102	299	2009	25757
86	2	2	0	243	2004	15351
87	1	2	0	246	2008	2021
88	2	2	0	282	0	2891
89	1	0	0	0	0	0
90	1	1	0	246	0	2439
91	1	2	146	272	2008	2983
92	1	2	0	279	0	2856
93	1	1	133	273	0	2886
94	1	0	0	0	0	0
95	1	2	0	253	2006	3058
96	1	1	0	246	0	2608
97	1	2	0	279	0	2335
98	1	2	93	277	0	1679
99	1	1	0	236	2007	1767
100	1	2	151	265	2004	3036
101	1	1	0	244	2007	2557
102	1	2	140	298	2009	23665
103	1	1	92	246	2008	2753
104	1	2	0	241	2007	2460
105	1	2	0	235	0	15247
106	1	2	0	253	2006	1498
107	1	2	87	297	2010	2752
108	1	2	98	0	0	0
109	2	2	0	246	0	2277
110	1	2	140	246	2008	1331
111	1	2	129	235	2007	9154
112	1	2	94	251	2004	1697
113	3	2	0	288	0	2133
114	1	2	120	251	2007	2786
115	1	2	140	292	2009	3043
116	1	2	0	252	2008	1732
117	1	2	0	293	2007	0
118	1	1	0	246	2006	1800
119	1	1	134	236	2005	53420
120	1	1	94	236	2009	2355
121	1	1	87	246	0	0
122	1	1	114	256	2006	2401
123	1	1	134	246	2007	2792
124	1	2	118	242	2008	50541
125	1	1	0	246	2007	2784
126	2	0	147	246	0	1594
127	2	0	0	0	0	0
128	2	1	0	289	2005	2616
129	1	2	96	291	2009	1959
130	1	1	0	246	0	1607
131	1	2	92	251	2009	2805
132	1	2	94	246	2009	1451
133	1	1	0	275	2006	1414
134	1	1	144	236	2007	1344
135	1	1	0	246	0	1326
136	1	2	0	280	2007	719
137	1	1	102	243	2009	2247
138	1	1	133	274	2007	2443
139	1	2	0	259	2007	5222
140	5	2	0	251	2004	2661
141	1	1	96	288	0	1914
142	1	2	94	250	2009	25546
143	1	0	0	0	0	0
144	1	1	0	246	2005	1426
145	1	1	0	246	2006	2599
146	2	2	0	246	2005	50165
147	1	1	0	268	2007	3191
148	1	2	117	239	2007	1648
149	1	1	96	248	2009	2022
150	2	1	0	285	2004	1611
151	1	1	0	246	2007	2869
152	1	2	0	236	2010	1349
153	1	1	0	242	0	3062
154	2	2	0	297	2005	1756
155	1	1	0	269	0	1515
156	5	2	0	298	0	1738
157	1	1	140	259	2008	2661
158	1	0	0	246	0	2895
159	1	1	0	273	2005	1965
160	1	2	142	239	2006	2584
161	1	2	0	282	0	1355
162	1	1	0	246	2006	2983
163	1	2	0	252	2006	1655
164	1	2	0	246	2006	0
165	1	1	132	273	2007	2866
166	1	2	0	238	2006	0
167	1	2	0	279	2006	3020
168	1	2	0	278	0	1526
169	1	2	0	251	2010	2572
170	2	1	0	236	2005	2208
171	2	1	147	246	2005	2870
172	2	2	0	262	2005	50541
173	1	1	140	260	0	2443
174	1	2	0	269	2006	1331
175	1	2	140	252	2007	1525
176	1	2	0	251	2009	2832
177	1	2	0	251	2007	2844
178	1	1	0	283	2006	2304
179	1	1	0	236	0	51382
180	1	2	0	258	2005	1604
181	1	2	0	266	0	0
182	1	2	0	251	2005	2198
183	1	1	87	290	2005	1608
184	1	1	0	246	0	1311
185	1	2	0	279	2006	2135
186	5	1	0	236	2005	2135
187	1	1	134	269	2007	1438
188	1	2	0	244	0	50392
189	1	2	0	246	0	51165
190	1	2	140	246	0	54277
191	1	1	98	242	2009	2805
192	1	1	0	291	2006	2832
193	2	2	0	246	2005	2617
194	1	2	0	257	2005	2853
195	1	1	136	246	2007	2435
196	1	1	94	274	0	2792
197	1	1	0	249	0	2026
198	1	2	140	277	2008	1800
199	1	2	101	246	2007	1595
200	1	1	94	0	0	2805
201	1	1	87	236	2008	3094
202	1	2	0	237	2006	1315
203	2	1	0	243	2005	3058
204	1	1	89	273	2009	2432
205	1	2	0	271	0	50225
206	1	1	0	269	2007	2868
207	1	2	144	240	2005	1303
208	1	1	0	246	0	0
209	1	1	94	296	0	2889
210	1	1	0	268	2008	15659
211	1	2	0	267	0	1338
212	1	2	120	236	2007	1963
213	1	2	98	245	2008	3012
214	1	1	0	246	2007	50225
215	1	1	0	274	2005	3012
216	1	2	0	236	2005	2919
217	1	2	100	246	2009	0
218	1	2	0	271	2005	2233
219	1	2	102	259	2008	1596
220	1	2	0	235	2009	2416
221	1	2	140	279	2007	1965
222	1	0	0	0	0	0
223	1	1	134	236	2006	3057
224	1	2	140	252	2008	3058
225	1	0	0	236	0	0
226	1	2	140	259	2007	5320
227	1	0	0	0	0	0
