node	student	gender	dorm	major	year	school
0	1	2	140	237	0	3685
1	2	2	164	263	0	3697
2	5	0	0	392	0	55708
3	1	1	123	366	2008	3616
4	1	1	183	373	2006	3714
5	1	1	121	261	2009	3727
6	1	1	139	352	2009	9720
7	1	2	137	274	2005	3581
8	1	2	0	338	2005	3523
9	1	1	0	256	2009	3561
10	1	1	145	235	2008	51339
11	5	1	0	393	2006	9435
12	5	0	190	0	0	22250
13	1	2	115	331	2007	9673
14	1	1	100	393	0	9495
15	1	1	132	398	2007	3607
16	1	1	0	245	2007	3522
17	1	2	197	373	2006	0
18	1	1	172	245	2007	9464
19	1	1	89	0	2008	3737
20	1	1	95	390	2008	3547
21	1	2	0	235	2009	3604
22	1	1	100	0	2009	21142
23	2	2	0	340	1995	0
24	1	2	190	341	0	3755
25	1	1	0	251	0	0
26	1	1	0	0	2008	20898
27	1	1	0	398	2007	52128
28	1	1	133	0	2009	3627
29	5	1	0	235	2005	15444
30	1	1	166	381	2007	16466
31	1	2	183	330	2005	3622
32	2	2	0	306	2005	3598
33	1	2	0	0	0	3580
34	1	1	143	370	2006	3651
35	1	2	89	256	2009	3629
36	1	1	190	0	2009	3727
37	5	1	190	399	2006	50494
38	1	0	0	394	2005	0
39	1	0	167	330	2008	3751
40	1	2	107	339	2008	3751
41	2	2	0	320	2004	3551
42	1	2	166	381	2007	3556
43	1	0	0	0	0	3494
44	1	2	0	341	2008	3548
45	1	1	0	273	2009	50325
46	1	2	166	256	2006	3711
47	5	2	0	261	0	50643
48	1	2	0	373	2006	3686
49	5	2	0	0	0	0
50	1	2	142	303	0	3714
51	2	1	0	292	2005	15894
52	1	1	166	398	2005	3718
53	1	1	142	396	0	3655
54	5	1	0	315	2006	0
55	1	2	0	320	2006	3697
56	1	2	91	285	2007	3617
57	1	1	0	245	2006	3756
58	5	1	0	0	2006	0
59	1	1	0	265	2006	8985
60	1	1	139	251	2008	54413
61	1	1	92	393	2008	3509
62	1	1	0	250	0	51069
63	1	1	0	245	2005	16385
64	1	2	133	301	2009	3681
65	1	2	88	0	0	0
66	1	1	0	245	2006	3600
67	1	1	0	0	2008	3589
68	2	1	190	283	2005	3533
69	1	1	127	373	2007	3704
70	1	1	106	0	2008	9588
71	2	1	0	362	2004	3687
72	1	1	164	291	2009	21037
73	1	1	0	338	2006	3734
74	1	1	132	267	2008	53524
75	1	2	145	320	0	0
76	1	1	0	396	2009	3737
77	1	0	168	0	2008	9479
78	1	1	91	245	2007	3571
79	1	1	139	283	2008	3685
80	1	1	141	393	2008	22201
81	1	2	0	393	0	0
82	1	1	145	398	2007	9533
83	2	2	125	373	2005	3588
84	1	2	166	335	2007	17888
85	1	1	132	292	2008	3564
86	2	1	174	0	0	3504
87	1	2	88	274	2008	3698
88	1	2	190	392	2005	50130
89	1	1	133	373	2009	22256
90	1	2	167	370	2008	3520
91	1	1	131	0	2009	3612
92	1	1	101	393	2009	9614
93	1	1	126	269	2009	3502
94	1	1	137	337	2009	52402
95	1	1	141	350	2007	3618
96	1	2	184	285	2007	3506
97	2	1	0	0	0	3680
