node	student	gender	dorm	major	year	school
0	1	1	103	299	2007	9506
1	1	1	126	235	2008	9385
2	1	0	117	0	2007	9437
3	1	2	159	312	2007	9429
4	2	2	0	257	2002	9690
5	1	1	114	249	2008	9404
6	1	1	123	249	2009	9688
7	1	1	118	322	2008	8961
8	1	1	115	270	2007	9324
9	1	2	99	312	2008	9678
10	1	2	108	304	2006	9758
11	1	1	119	339	0	9466
12	1	1	0	321	2007	9779
13	1	1	0	0	2009	50692
14	1	1	0	308	2007	9318
15	1	1	0	321	2007	9497
16	1	1	89	0	2008	0
17	1	1	0	327	2008	16492
18	1	2	123	339	2009	9739
19	1	0	0	0	0	0
20	1	1	0	337	2005	9328
21	1	1	117	321	2008	9455
22	1	1	104	314	2007	16315
23	1	2	118	257	2004	0
24	1	0	0	0	0	0
25	1	1	0	257	2005	9780
26	1	1	108	348	2007	9497
27	1	2	0	251	2004	9553
28	1	1	117	338	2007	0
29	1	2	0	268	2006	0
30	2	1	132	258	2005	16694
31	1	1	108	0	2008	3682
32	1	2	0	262	2007	9504
33	1	1	112	321	2009	9699
34	1	1	0	309	2010	9780
35	1	2	109	277	2008	9723
36	1	0	0	0	0	0
37	1	2	110	268	2006	9492
38	1	0	0	0	0	0
39	1	1	116	329	2008	9536
40	1	2	111	291	2009	3588
41	2	2	0	309	2004	9443
42	5	1	0	311	2007	9468
43	1	1	119	0	2009	9789
44	1	0	124	235	2007	9351
45	1	1	109	329	2008	9625
46	1	1	106	329	2007	9606
47	1	1	108	321	2007	9629
48	1	2	0	257	2006	9404
49	1	1	0	235	2009	8985
50	1	2	137	249	2006	9429
51	1	2	125	261	2009	9594
52	1	1	131	338	2006	9581
53	1	1	117	257	2009	9468
54	1	2	118	279	2008	9528
55	1	2	111	327	2009	9437
56	1	2	0	0	0	9533
57	2	2	0	266	2005	9712
58	1	2	0	266	2005	17291
59	2	1	0	258	2004	9561
60	1	2	123	279	2009	3714
61	2	1	0	329	2005	21625
62	1	1	0	300	2009	3853
63	1	1	107	300	2009	1714
64	1	2	153	346	2008	18270
65	1	2	0	309	2007	9267
66	1	2	0	309	2006	9384
67	1	2	0	261	2008	50074
68	1	1	93	329	2007	9498
69	1	2	157	349	2008	9412
70	1	1	120	239	2009	17939
71	1	2	0	277	0	9489
72	1	2	0	300	2006	9508
73	1	2	118	321	2008	3654
74	1	1	101	249	2009	9328
75	1	2	118	339	2008	50875
76	1	1	0	348	2006	9729
77	1	1	0	253	2006	9556
78	1	1	118	0	2007	9419
79	1	1	0	321	2007	0
80	1	1	0	337	2006	9556
81	1	1	121	0	2009	9561
82	1	1	109	257	2007	9346
83	1	1	0	242	2006	9495
84	1	1	127	257	2007	9763
85	1	2	140	242	0	9382
86	2	2	0	339	2005	9342
87	1	1	0	266	2006	9343
88	1	2	123	0	2009	0
89	1	0	0	0	0	0
90	1	1	107	321	2009	9788
91	2	0	0	310	2005	16385
92	1	1	0	327	0	8840
93	1	2	0	300	2009	59556
94	1	2	93	257	2008	9327
95	1	2	106	0	2008	9466
96	1	2	159	307	2007	6512
97	1	2	123	249	2008	9397
98	1	1	107	293	2008	9673
99	1	1	118	0	2008	9654
100	1	1	87	291	2007	9389
101	1	2	0	275	2006	9331
102	1	2	158	0	2008	3650
103	1	1	90	291	2008	50192
104	1	1	106	338	2009	9736
105	1	0	0	0	2008	0
106	2	1	0	307	2004	9378
107	1	2	125	312	2008	9474
108	1	2	122	333	2009	9573
109	1	1	0	327	2006	9791
110	2	1	0	336	2005	3523
111	1	2	0	279	2006	9318
112	1	1	0	257	2006	16249
113	1	1	0	239	2007	9413
114	1	1	90	293	2006	9607
115	1	1	119	0	2008	9594
116	2	1	130	329	2005	16507
117	1	1	0	0	2005	9561
118	1	1	107	314	2009	50927
119	1	2	121	0	2008	17139
120	1	0	0	0	0	17700
121	1	2	0	0	2007	9318
122	1	1	119	321	2008	50909
123	1	2	126	257	2008	51339
124	1	2	154	251	2008	9460
125	1	2	0	293	2007	17537
126	1	1	125	0	2009	9761
127	5	2	0	268	2006	9498
128	1	0	0	249	2007	9722
129	1	2	0	293	0	9774
130	1	1	112	293	2007	9763
131	1	2	0	293	2005	17228
132	1	0	0	0	0	0
133	1	2	110	286	2009	3583
134	2	1	0	337	2005	3613
135	1	2	123	0	2008	9584
136	1	2	121	291	2009	9679
137	1	1	0	293	2007	9441
138	1	0	0	312	2005	9474
139	1	1	0	249	2007	9442
140	1	2	90	346	2007	53017
141	1	1	93	248	2008	9617
142	1	1	0	339	2005	9318
143	2	1	0	337	2005	9717
144	1	1	109	321	2008	9351
145	1	2	0	262	2008	9640
146	1	1	109	0	0	9363
147	1	1	91	0	2008	53243
148	1	0	0	0	0	0
149	1	1	112	242	2009	50509
150	1	1	100	242	2007	9780
151	1	0	0	337	0	50303
152	1	1	0	0	2006	9340
153	1	1	101	321	2009	9780
154	2	2	124	270	2005	9805
155	1	0	0	0	0	0
156	1	2	126	310	2009	0
157	2	1	0	320	0	9765
158	2	1	0	329	2005	9789
159	1	1	0	279	2007	9549
160	2	2	0	252	2005	9701
161	2	1	0	345	2005	0
162	1	2	107	249	2009	9688
163	1	1	111	270	2009	21122
164	1	2	93	300	2005	0
165	1	1	109	321	2009	9647
166	1	1	91	327	2009	25280
167	1	2	109	249	0	0
168	1	1	128	337	2006	52666
169	2	2	0	0	0	9342
170	1	2	117	0	2007	9333
171	1	1	111	321	2008	9561
172	1	1	0	348	2006	9673
173	2	2	0	257	2005	9677
174	1	2	110	252	2007	0
175	1	0	0	0	0	0
176	1	2	109	291	2008	9805
177	1	0	0	291	0	16077
178	1	2	0	270	2006	9324
179	1	2	109	257	2007	9739
180	1	2	0	301	2007	9428
181	1	2	0	248	2005	9768
182	1	1	124	321	2008	0
183	1	1	127	337	2007	9441
184	2	2	0	327	2005	9610
185	1	1	117	0	2008	9495
186	1	2	120	309	2009	9727
187	1	2	0	0	0	9536
188	1	0	125	0	2009	3754
189	1	1	94	257	2005	0
190	2	0	0	266	2004	9567
191	1	2	111	277	2009	9773
192	1	2	0	279	2006	0
193	1	1	0	0	2008	9618
194	2	2	0	268	2005	9533
195	1	1	115	0	2007	3520
196	1	1	0	0	2009	0
197	1	2	86	291	2008	9774
198	1	2	88	291	2008	9572
199	1	2	121	0	0	9655
200	1	2	117	329	2009	9319
201	1	2	120	0	2008	3748
202	1	1	107	0	2008	22737
203	1	1	118	0	2007	9501
204	1	1	117	321	2008	16268
205	1	1	0	291	2006	0
206	1	2	0	300	2006	9564
207	2	1	0	310	2005	9701
208	2	2	0	261	0	0
209	1	1	0	279	2006	9318
210	1	1	0	254	2006	9318
211	1	2	125	327	2009	16068
212	1	1	91	235	2008	56610
213	1	1	124	249	2008	22261
214	1	1	0	337	2007	0
215	2	2	0	310	2005	0
216	2	1	0	350	2005	9805
217	1	2	0	314	2007	9688
218	1	2	0	242	2007	3874
219	1	1	108	321	2008	9442
220	1	0	0	345	2006	9581
221	1	1	0	310	2007	9484
222	1	2	106	277	2006	9412
223	1	2	94	293	2008	9765
224	1	1	118	0	2008	9581
225	1	1	106	249	2007	9388
226	1	1	93	321	2008	0
227	1	1	94	0	2008	9496
228	1	1	94	354	2005	9588
229	1	1	0	327	2005	9581
230	1	2	123	324	2009	9727
231	1	2	91	311	2007	9351
232	1	1	105	308	2007	9336
233	1	1	108	266	2008	53946
234	1	1	0	327	2006	22200
235	1	2	0	257	2007	9649
236	1	1	109	257	2008	17287
237	1	1	143	249	2007	9470
238	1	2	94	257	2007	9564
239	1	2	108	307	2009	9606
240	5	2	0	303	2005	9312
241	1	2	0	257	2006	50927
