node	student	gender	dorm	major	year	school
0	2	1	0	157	2005	0
1	1	2	54	130	2007	0
2	1	1	0	139	2005	58261
3	1	1	0	122	2006	16437
4	1	1	78	124	2007	21817
5	1	1	79	122	2008	2753
6	1	2	0	129	2006	5211
7	1	2	54	137	2009	25278
8	5	0	0	136	0	0
9	2	2	0	0	0	51367
10	1	2	66	122	2009	16068
11	1	1	63	118	2010	9617
12	2	0	0	0	0	21237
13	1	2	0	126	2007	16482
14	1	1	53	142	2006	21784
15	2	1	0	129	2005	16385
16	1	1	52	141	2009	21579
17	1	2	89	126	2006	50876
18	2	1	0	132	2003	20895
19	2	2	0	146	2004	21707
20	1	2	90	125	2008	0
21	1	2	58	120	2007	51165
22	1	2	0	137	2006	21381
23	1	0	0	128	0	50613
24	2	2	97	126	2004	50354
25	1	2	66	118	2006	50381
26	1	1	0	122	2005	9224
27	2	2	89	122	2005	9397
28	2	2	98	118	2004	16219
29	1	1	0	133	2006	17658
30	1	1	63	139	2009	4639
31	1	1	63	129	0	21357
32	1	1	0	139	2007	21164
33	1	1	0	142	2007	8823
34	1	1	0	0	2005	0
35	1	0	0	0	0	0
36	1	1	64	120	2007	19860
37	1	2	52	132	2006	18138
38	1	2	0	128	2006	23254
39	1	2	52	139	2006	2090
40	1	2	64	126	2006	16219
41	1	2	0	123	2005	21153
42	2	2	0	152	2005	50293
43	1	2	64	134	2006	8966
44	1	0	0	0	0	0
45	1	2	63	118	2009	19281
46	1	2	63	137	2007	3716
47	1	1	61	123	2009	16354
48	1	2	57	130	2008	24264
49	1	2	0	122	2006	50042
50	1	1	0	128	0	0
51	2	2	0	135	2005	20731
52	1	1	80	126	2006	24657
53	1	1	66	122	2008	1734
54	1	1	62	122	2008	19908
55	2	2	0	126	2004	54927
56	1	2	64	126	2008	19095
57	2	2	0	123	2004	21119
58	1	2	70	134	2008	21556
59	1	2	58	152	2009	21581
60	1	2	0	122	2005	1764
61	1	2	0	143	2010	0
62	1	2	0	126	2010	0
63	1	2	64	126	2007	9321
64	1	2	76	126	2006	16065
65	1	2	89	126	0	17584
66	1	2	67	0	2008	50310
67	1	1	63	126	2007	16077
68	2	2	66	123	2004	20987
69	2	2	0	0	2005	21009
70	1	2	57	137	2009	0
71	1	2	54	134	2008	50148
72	1	2	64	121	2009	50114
73	2	2	0	0	2005	51518
74	1	1	63	125	2008	21163
75	1	2	57	123	2008	17407
76	1	1	64	124	2007	9570
77	5	0	0	145	0	0
78	1	2	0	123	2007	20846
79	1	2	64	134	2008	50725
80	1	2	94	143	2007	16168
81	1	1	66	120	2006	17636
82	2	2	0	139	2004	0
83	1	1	63	0	2010	50257
84	1	2	57	118	2008	19694
85	1	0	0	0	0	0
86	1	2	75	141	2008	21735
87	1	1	63	128	2008	50613
88	1	2	0	122	2007	51096
89	1	1	67	132	2007	3853
90	1	1	63	118	2010	25279
91	1	1	0	138	2006	17995
92	1	2	0	139	2008	19157
93	1	1	0	122	2006	21611
94	1	1	54	152	2008	9283
95	2	2	0	134	2005	21238
96	1	2	68	118	2006	3678
97	1	2	53	122	2006	0
98	2	2	97	140	2003	0
99	1	1	0	124	2006	20681
100	1	2	57	131	2009	51269
101	1	1	63	137	2007	9159
102	1	1	54	124	2006	24026
103	1	0	51	126	2008	16335
104	1	1	62	122	2007	16420
105	1	0	0	0	0	0
