node	student	gender	dorm	major	year	school
0	2	1	50	29	2005	5486
1	2	1	9	43	2004	542
2	1	0	0	40	0	0
3	2	1	50	40	2005	17430
4	2	2	47	17	2004	2355
5	2	2	42	0	2003	11350
6	1	2	21	48	2008	3681
7	1	2	29	25	2007	16396
8	2	2	66	8	2005	4004
9	2	1	0	25	2004	50005
10	2	1	53	16	2004	8647
11	1	1	24	0	2009	17115
12	2	2	38	24	2002	17934
13	1	0	49	17	2007	0
14	1	2	0	14	2008	50963
15	2	0	42	0	2004	25011
16	1	1	14	0	2008	50706
17	1	2	0	20	2008	50131
18	1	2	13	25	2006	5620
19	1	1	10	0	2008	15998
20	2	2	0	40	2005	1531
21	2	1	19	18	2004	0
22	2	2	0	16	2004	0
23	1	2	25	0	2009	17636
24	2	2	0	0	2002	23105
25	2	2	0	29	2004	16484
26	1	0	0	0	0	5971
27	2	1	49	40	2005	3528
28	1	1	2	0	2009	4686
29	1	2	18	2	2007	745
30	2	2	36	18	2004	25735
31	5	1	0	16	0	0
32	1	2	0	8	2007	3650
33	1	1	12	7	2009	9076
34	2	0	0	0	0	0
35	1	0	14	31	2006	21125
36	1	1	14	33	2009	3651
37	2	1	50	21	2001	50365
38	2	1	53	14	2005	9434
39	1	2	41	40	2007	10854
40	1	2	28	25	2008	17092
41	4	1	0	0	0	0
42	1	2	7	43	2007	10705
43	2	0	0	0	0	0
44	2	2	11	24	0	15903
45	1	2	45	24	2006	50460
46	1	1	1	7	2009	15402
47	1	1	0	0	2005	9580
48	1	1	53	51	2006	26828
49	1	1	0	4	2006	819
50	1	2	0	0	2008	26482
51	1	1	21	0	2009	50013
52	2	2	36	0	2003	0
53	1	2	34	0	2007	0
54	1	2	47	12	2007	52104
55	1	0	49	0	2007	50016
56	1	2	0	2	0	51465
57	1	1	12	0	2009	50384
58	1	2	0	17	0	18376
59	2	1	0	0	2001	50494
60	1	0	0	0	0	0
61	1	0	0	34	0	3161
62	2	1	0	29	2005	50827
63	1	2	8	37	2009	17620
64	5	2	70	0	0	0
65	1	1	61	4	0	0
66	1	1	61	12	2008	50604
67	1	2	29	24	2006	6158
68	1	0	0	0	0	0
69	1	0	0	0	0	0
70	1	0	0	0	0	0
71	2	2	50	49	2004	0
72	1	0	48	0	2007	50210
73	2	0	0	0	0	0
74	1	1	0	40	2006	3284
75	1	2	29	25	2006	0
76	1	2	28	14	0	0
77	1	1	23	0	2009	58261
78	1	0	53	16	2007	0
79	1	1	18	0	2009	2449
80	4	1	0	0	0	0
81	2	2	0	18	2004	0
82	1	2	14	14	2009	12310
83	1	2	12	24	2008	5616
84	1	2	13	7	2008	17097
85	1	0	0	0	0	0
86	1	1	0	41	2006	0
87	1	2	35	24	2006	3373
88	1	2	59	22	2007	15244
89	1	1	53	25	2007	50156
90	1	2	0	0	2008	2442
91	2	1	0	22	2005	9415
92	1	1	0	24	2009	1797
93	1	1	48	40	2006	17137
94	6	2	1	40	2008	0
95	2	1	0	7	2004	0
96	1	2	0	0	2006	0
97	1	2	55	24	2007	25393
98	1	1	48	40	2007	19776
99	1	2	0	0	2005	0
100	2	2	0	3	2005	5477
101	1	2	29	0	2008	18696
102	2	0	0	0	0	0
103	2	1	52	44	2004	0
104	2	0	48	5	2005	25723
105	1	1	1	7	2009	3656
106	1	2	9	24	2006	2839
107	2	2	0	26	2002	0
108	1	1	30	7	2005	0
109	1	0	0	24	2007	25895
110	2	1	50	16	2003	0
111	2	1	0	29	2005	2674
112	1	1	14	40	2009	0
113	1	1	52	4	2006	0
114	1	2	13	12	2008	8938
115	1	2	36	14	2007	50161
116	1	2	35	44	0	52614
117	1	2	41	9	2006	0
118	2	2	41	31	2000	4686
119	1	2	12	14	2008	3749
120	1	1	53	17	2005	0
121	2	1	50	6	2001	4626
122	1	1	53	24	2007	50696
123	1	1	0	0	2006	25073
124	1	2	36	14	2006	1912
